datetime,symbol,open,high,low,close,volume
2025-07-10 17:00:00,AMEX:SPY,623.42,623.79,623.01,623.72,526648.0
2025-07-10 17:15:00,AMEX:SPY,623.74,624.269,623.31,623.735,509948.0
2025-07-10 17:30:00,AMEX:SPY,623.77,624.86,623.75,624.82,507611.0
2025-07-10 17:45:00,AMEX:SPY,624.83,625.1,624.59,624.88,309265.0
2025-07-10 18:00:00,AMEX:SPY,624.85,625.32,624.83,625.08,378870.0
2025-07-10 18:15:00,AMEX:SPY,625.1,625.58,624.98,625.51,349946.0
2025-07-10 18:30:00,AMEX:SPY,625.51,625.76,625.37,625.74,284266.0
2025-07-10 18:45:00,AMEX:SPY,625.74,625.79,625.54,625.7,182476.0
2025-07-10 19:00:00,AMEX:SPY,625.69,625.77,625.12,625.21,276025.0
2025-07-10 19:15:00,AMEX:SPY,625.22,625.62,625.03,625.57,280992.0
2025-07-10 19:30:00,AMEX:SPY,625.57,625.78,625.24,625.689,269851.0
2025-07-10 19:45:00,AMEX:SPY,625.69,625.71,625.45,625.54,189553.0
2025-07-10 20:00:00,AMEX:SPY,625.53,626.1,625.53,625.92,248394.0
2025-07-10 20:15:00,AMEX:SPY,625.93,626.23,625.79,626.1,267774.0
2025-07-10 20:30:00,AMEX:SPY,626.09,626.44,626.09,626.37,329365.0
2025-07-10 20:45:00,AMEX:SPY,626.39,626.77,626.19,626.57,335086.0
2025-07-10 21:00:00,AMEX:SPY,626.58,626.77,626.459,626.615,267280.0
2025-07-10 21:15:00,AMEX:SPY,626.61,626.88,626.57,626.59,274307.0
2025-07-10 21:30:00,AMEX:SPY,626.59,626.67,626.32,626.34,278995.0
2025-07-10 21:45:00,AMEX:SPY,626.34,626.46,626.095,626.27,308281.0
2025-07-10 22:00:00,AMEX:SPY,626.26,626.525,626.18,626.43,283573.0
2025-07-10 22:15:00,AMEX:SPY,626.44,626.56,626.12,626.2,265426.0
2025-07-10 22:30:00,AMEX:SPY,626.2,626.67,626.17,626.5,426243.0
2025-07-10 22:45:00,AMEX:SPY,626.5,626.505,625.21,625.88,1445215.0
2025-07-10 23:00:00,AMEX:SPY,625.82,625.87,625.27,625.38,240722.0
2025-07-10 23:15:00,AMEX:SPY,625.38,625.55,625.38,625.5,67424.0
2025-07-10 23:30:00,AMEX:SPY,625.49,625.87,625.49,625.71,56038.0
2025-07-10 23:45:00,AMEX:SPY,625.7,625.73,625.47,625.51,6090.0
2025-07-11 00:00:00,AMEX:SPY,625.56,625.65,625.56,625.64,570.0
2025-07-11 00:15:00,AMEX:SPY,625.65,625.65,625.49,625.53,550.0
2025-07-11 00:30:00,AMEX:SPY,625.5,625.55,625.49,625.54,211.0
2025-07-11 00:45:00,AMEX:SPY,625.54,625.56,625.47,625.55,485.0
2025-07-11 01:00:00,AMEX:SPY,625.53,626.0,625.53,625.98,2235.0
2025-07-11 01:15:00,AMEX:SPY,625.96,626.01,625.9,625.94,4561.0
2025-07-11 01:30:00,AMEX:SPY,625.88,625.92,625.78,625.92,699.0
2025-07-11 01:45:00,AMEX:SPY,625.92,626.13,625.87,626.09,1328.0
2025-07-11 02:00:00,AMEX:SPY,626.15,626.27,626.13,626.13,1410.0
2025-07-11 02:15:00,AMEX:SPY,626.14,626.14,626.02,626.08,969.0
2025-07-11 02:30:00,AMEX:SPY,626.11,626.11,626.05,626.05,229.0
2025-07-11 02:45:00,AMEX:SPY,626.11,626.359,626.11,626.32,381.0
2025-07-11 11:00:00,AMEX:SPY,622.74,624.7,622.36,622.4,11045.0
2025-07-11 11:15:00,AMEX:SPY,622.43,622.77,622.2,622.68,4414.0
2025-07-11 11:30:00,AMEX:SPY,622.6,622.61,622.34,622.47,2618.0
2025-07-11 11:45:00,AMEX:SPY,622.45,622.96,622.42,622.79,2607.0
2025-07-11 12:00:00,AMEX:SPY,622.77,623.0,622.59,622.77,3132.0
2025-07-11 12:15:00,AMEX:SPY,622.8,622.84,622.32,622.34,4393.0
2025-07-11 12:30:00,AMEX:SPY,622.31,622.72,622.3,622.5,1599.0
2025-07-11 12:45:00,AMEX:SPY,622.44,622.5,621.66,621.74,4586.0
2025-07-11 13:00:00,AMEX:SPY,621.67,622.3,621.46,622.3,6836.0
2025-07-11 13:15:00,AMEX:SPY,622.2,622.25,621.9,621.9,2305.0
2025-07-11 13:30:00,AMEX:SPY,621.96,621.96,621.59,621.85,3972.0
2025-07-11 13:45:00,AMEX:SPY,621.97,622.02,621.49,621.77,9199.0
2025-07-11 14:00:00,AMEX:SPY,621.77,622.28,621.7,622.25,19145.0
2025-07-11 14:15:00,AMEX:SPY,622.26,622.67,622.19,622.64,26762.0
2025-07-11 14:30:00,AMEX:SPY,622.66,622.98,622.64,622.72,16520.0
2025-07-11 14:45:00,AMEX:SPY,622.72,623.26,622.61,622.8,11145.0
2025-07-11 15:00:00,AMEX:SPY,622.8,623.02,622.62,622.95,14020.0
2025-07-11 15:15:00,AMEX:SPY,622.92,622.92,622.22,622.34,11350.0
2025-07-11 15:30:00,AMEX:SPY,622.34,622.66,622.16,622.39,18852.0
2025-07-11 15:45:00,AMEX:SPY,622.37,622.81,622.37,622.62,13146.0
2025-07-11 16:00:00,AMEX:SPY,622.6,622.83,622.34,622.53,22582.0
2025-07-11 16:15:00,AMEX:SPY,622.54,622.8,622.2,622.79,52332.0
2025-07-11 16:30:00,AMEX:SPY,622.74,623.51,621.68,621.83,734832.0
2025-07-11 16:45:00,AMEX:SPY,621.81,623.319,621.53,623.23,668704.0
2025-07-11 17:00:00,AMEX:SPY,623.23,623.65,622.99,623.6,437224.0
2025-07-11 17:15:00,AMEX:SPY,623.57,624.26,623.4,624.005,363069.0
2025-07-11 17:30:00,AMEX:SPY,624.01,624.38,623.7,623.97,413691.0
2025-07-11 17:45:00,AMEX:SPY,623.97,623.97,623.25,623.87,269729.0
2025-07-11 18:00:00,AMEX:SPY,623.85,623.89,622.83,622.83,407341.0
2025-07-11 18:15:00,AMEX:SPY,622.83,623.8,622.72,623.4,452474.0
2025-07-11 18:30:00,AMEX:SPY,623.4,624.63,623.35,624.4,440841.0
2025-07-11 18:45:00,AMEX:SPY,624.42,624.46,623.47,623.78,359275.0
2025-07-11 19:00:00,AMEX:SPY,623.81,624.08,623.15,623.46,400341.0
2025-07-11 19:15:00,AMEX:SPY,623.47,624.0,623.43,623.94,259771.0
2025-07-11 19:30:00,AMEX:SPY,623.95,624.09,623.59,623.62,199141.0
2025-07-11 19:45:00,AMEX:SPY,623.6,624.43,623.56,624.34,310301.0
2025-07-11 20:00:00,AMEX:SPY,624.35,624.58,624.12,624.41,366633.0
2025-07-11 20:15:00,AMEX:SPY,624.39,624.58,624.229,624.45,253583.0
2025-07-11 20:30:00,AMEX:SPY,624.45,624.58,623.77,623.95,342960.0
2025-07-11 20:45:00,AMEX:SPY,623.95,624.555,623.92,624.5,304742.0
2025-07-11 21:00:00,AMEX:SPY,624.46,624.69,624.215,624.44,302479.0
2025-07-11 21:15:00,AMEX:SPY,624.439,624.51,623.89,624.27,356332.0
2025-07-11 21:30:00,AMEX:SPY,624.27,624.82,624.179,624.82,361529.0
2025-07-11 21:45:00,AMEX:SPY,624.82,624.855,624.22,624.36,391925.0
2025-07-11 22:00:00,AMEX:SPY,624.33,624.35,623.13,624.13,880584.0
2025-07-11 22:15:00,AMEX:SPY,624.13,624.72,624.04,624.45,526231.0
2025-07-11 22:30:00,AMEX:SPY,624.45,624.58,624.13,624.215,603948.0
2025-07-11 22:45:00,AMEX:SPY,624.21,624.47,623.47,623.61,1472856.0
2025-07-11 23:00:00,AMEX:SPY,623.56,623.64,623.31,623.35,305955.0
2025-07-11 23:15:00,AMEX:SPY,623.35,623.37,622.99,623.14,44087.0
2025-07-11 23:30:00,AMEX:SPY,623.13,623.41,623.02,623.11,35957.0
2025-07-11 23:45:00,AMEX:SPY,623.13,623.33,623.01,623.01,11984.0
2025-07-12 00:00:00,AMEX:SPY,623.16,623.23,623.05,623.08,988.0
2025-07-12 00:15:00,AMEX:SPY,623.1,623.1,623.0,623.08,3923.0
2025-07-12 00:30:00,AMEX:SPY,623.09,623.24,623.09,623.18,226.0
2025-07-12 00:45:00,AMEX:SPY,623.22,623.24,623.1,623.14,63.0
2025-07-12 01:00:00,AMEX:SPY,623.15,623.28,623.14,623.14,66.0
2025-07-12 01:15:00,AMEX:SPY,623.14,623.26,623.14,623.16,499.0
2025-07-12 01:30:00,AMEX:SPY,623.19,623.2,623.13,623.19,878.0
2025-07-12 01:45:00,AMEX:SPY,623.19,623.2,623.12,623.18,200.0
2025-07-12 02:00:00,AMEX:SPY,623.19,623.19,623.19,623.19,25.0
2025-07-12 02:15:00,AMEX:SPY,623.1,623.11,623.1,623.11,103.0
2025-07-12 02:30:00,AMEX:SPY,623.1,623.1,623.0,623.02,286.0
2025-07-12 02:45:00,AMEX:SPY,623.01,623.12,623.0,623.0,296.0
2025-07-14 11:00:00,AMEX:SPY,621.88,621.88,621.14,621.33,10448.0
2025-07-14 11:15:00,AMEX:SPY,621.38,621.38,621.1,621.14,2686.0
2025-07-14 11:30:00,AMEX:SPY,621.18,621.36,621.16,621.32,1791.0
2025-07-14 11:45:00,AMEX:SPY,621.35,621.91,621.35,621.67,2727.0
2025-07-14 12:00:00,AMEX:SPY,621.66,621.82,621.55,621.82,744.0
2025-07-14 12:15:00,AMEX:SPY,621.82,622.08,621.68,621.92,2142.0
2025-07-14 12:30:00,AMEX:SPY,621.95,622.1,621.86,622.03,1463.0
2025-07-14 12:45:00,AMEX:SPY,622.05,622.08,621.96,622.07,750.0
2025-07-14 13:00:00,AMEX:SPY,622.05,622.11,621.74,621.9,7197.0
2025-07-14 13:15:00,AMEX:SPY,621.95,622.02,621.72,621.72,2254.0
2025-07-14 13:30:00,AMEX:SPY,621.82,621.9,621.62,621.82,2858.0
2025-07-14 13:45:00,AMEX:SPY,621.87,621.88,621.65,621.71,2350.0
2025-07-14 14:00:00,AMEX:SPY,621.74,622.1,621.52,622.03,16515.0
2025-07-14 14:15:00,AMEX:SPY,622.01,622.03,621.47,621.54,5736.0
2025-07-14 14:30:00,AMEX:SPY,621.57,622.21,621.55,622.21,10535.0
2025-07-14 14:45:00,AMEX:SPY,622.22,622.31,621.9,621.97,10175.0
2025-07-14 15:00:00,AMEX:SPY,621.9,622.1,621.75,622.07,8425.0
2025-07-14 15:15:00,AMEX:SPY,622.1,622.31,622.0,622.3,13375.0
2025-07-14 15:30:00,AMEX:SPY,622.29,622.31,621.9,622.2,19611.0
2025-07-14 15:45:00,AMEX:SPY,622.19,622.28,621.84,622.02,8803.0
2025-07-14 16:00:00,AMEX:SPY,622.0,622.15,621.74,622.14,11986.0
2025-07-14 16:15:00,AMEX:SPY,622.15,623.21,621.99,623.19,40748.0
2025-07-14 16:30:00,AMEX:SPY,623.17,623.35,621.79,621.96,676825.0
2025-07-14 16:45:00,AMEX:SPY,621.93,623.46,621.8,622.67,580000.0
2025-07-14 17:00:00,AMEX:SPY,622.67,623.03,622.26,622.94,402292.0
2025-07-14 17:15:00,AMEX:SPY,622.93,623.71,622.58,622.69,504560.0
2025-07-14 17:30:00,AMEX:SPY,622.68,623.1,622.37,622.98,550972.0
2025-07-14 17:45:00,AMEX:SPY,622.96,623.52,622.66,623.48,337052.0
2025-07-14 18:00:00,AMEX:SPY,623.47,623.8,623.28,623.66,555511.0
2025-07-14 18:15:00,AMEX:SPY,623.65,624.14,623.41,624.13,352122.0
2025-07-14 18:30:00,AMEX:SPY,624.14,624.39,623.84,624.161,415392.0
2025-07-14 18:45:00,AMEX:SPY,624.17,624.18,623.77,623.949,261971.0
