datetime,symbol,open,high,low,close,volume
2025-07-07 19:45:00,AMEX:USO,76.34,76.43,76.23,76.23,21189.0
2025-07-07 20:00:00,AMEX:USO,76.26,76.26,75.9,75.97,12614.0
2025-07-07 20:15:00,AMEX:USO,75.96,76.02,75.935,75.96,10406.0
2025-07-07 20:30:00,AMEX:USO,75.98,76.19,75.915,75.98,77426.0
2025-07-07 20:45:00,AMEX:USO,75.96,76.01,75.84,75.93,13110.0
2025-07-07 21:00:00,AMEX:USO,75.91,75.99,75.69,75.76,29628.0
2025-07-07 21:15:00,AMEX:USO,75.74,76.56,75.67,76.49,78959.0
2025-07-07 21:30:00,AMEX:USO,76.51,76.88,76.48,76.83,34789.0
2025-07-07 21:45:00,AMEX:USO,76.85,76.86,76.62,76.62,28221.0
2025-07-07 22:00:00,AMEX:USO,76.63,76.66,76.625,76.65,3905.0
2025-07-07 22:15:00,AMEX:USO,76.645,76.669,76.585,76.61,3350.0
2025-07-07 22:30:00,AMEX:USO,76.58,76.58,76.53,76.57,5988.0
2025-07-07 22:45:00,AMEX:USO,76.555,76.555,76.485,76.5,39550.0
2025-07-07 23:00:00,AMEX:USO,76.54,76.54,76.53,76.54,245.0
2025-07-07 23:15:00,AMEX:USO,76.53,76.63,76.53,76.61,1548.0
2025-07-07 23:30:00,AMEX:USO,76.59,76.59,76.4,76.52,31037.0
2025-07-07 23:45:00,AMEX:USO,76.53,76.53,76.42,76.44,301.0
2025-07-08 01:00:00,AMEX:USO,76.43,76.43,76.43,76.43,3.0
2025-07-08 01:30:00,AMEX:USO,76.32,76.32,76.27,76.27,22.0
2025-07-08 11:00:00,AMEX:USO,76.04,76.14,76.0,76.0,1660.0
2025-07-08 11:15:00,AMEX:USO,76.05,76.05,75.89,75.89,100.0
2025-07-08 11:30:00,AMEX:USO,75.94,76.07,75.88,76.04,2203.0
2025-07-08 11:45:00,AMEX:USO,75.91,75.96,75.84,75.92,1062.0
2025-07-08 12:00:00,AMEX:USO,75.98,76.19,75.95,76.15,1784.0
2025-07-08 12:15:00,AMEX:USO,76.19,76.19,75.96,76.03,270.0
2025-07-08 12:30:00,AMEX:USO,76.04,76.06,75.87,75.87,1325.0
2025-07-08 12:45:00,AMEX:USO,75.87,75.93,75.86,75.87,625.0
2025-07-08 13:00:00,AMEX:USO,76.08,76.21,76.07,76.21,2285.0
2025-07-08 13:15:00,AMEX:USO,76.12,76.21,76.01,76.21,1918.0
2025-07-08 13:30:00,AMEX:USO,76.21,76.21,76.12,76.16,555.0
2025-07-08 13:45:00,AMEX:USO,76.14,76.33,76.11,76.3,703.0
2025-07-08 14:00:00,AMEX:USO,76.36,76.36,76.32,76.32,500.0
2025-07-08 14:15:00,AMEX:USO,76.29,76.32,76.29,76.32,310.0
2025-07-08 14:30:00,AMEX:USO,76.35,76.42,76.3,76.36,670.0
2025-07-08 14:45:00,AMEX:USO,76.33,76.43,76.31,76.39,2170.0
2025-07-08 15:00:00,AMEX:USO,76.3,76.4,76.25,76.37,1946.0
2025-07-08 15:15:00,AMEX:USO,76.42,76.46,76.4,76.46,1924.0
2025-07-08 15:30:00,AMEX:USO,76.44,76.5,76.4,76.49,1677.0
2025-07-08 15:45:00,AMEX:USO,76.45,76.53,76.42,76.45,2491.0
2025-07-08 16:00:00,AMEX:USO,76.46,76.48,76.21,76.21,3252.0
2025-07-08 16:15:00,AMEX:USO,76.19,76.29,76.17,76.18,1459.0
2025-07-08 16:30:00,AMEX:USO,76.2,76.28,76.14,76.16,11143.0
2025-07-08 16:45:00,AMEX:USO,76.18,76.36,76.15,76.36,7678.0
2025-07-08 17:00:00,AMEX:USO,76.36,76.54,76.05,76.54,16398.0
2025-07-08 17:15:00,AMEX:USO,76.55,76.63,76.45,76.47,12872.0
2025-07-08 17:30:00,AMEX:USO,76.47,76.75,76.47,76.75,6919.0
2025-07-08 17:45:00,AMEX:USO,76.73,76.77,76.61,76.68,14906.0
2025-07-08 18:00:00,AMEX:USO,76.65,76.71,76.58,76.64,6520.0
2025-07-08 18:15:00,AMEX:USO,76.63,76.85,76.62,76.79,9543.0
2025-07-08 18:30:00,AMEX:USO,76.8,77.14,76.79,77.1,21233.0
2025-07-08 18:45:00,AMEX:USO,77.07,77.07,76.94,77.05,6634.0
2025-07-08 19:00:00,AMEX:USO,76.99,77.08,76.94,76.98,3054.0
2025-07-08 19:15:00,AMEX:USO,77.03,77.23,77.03,77.13,21138.0
2025-07-08 19:30:00,AMEX:USO,77.15,77.28,77.05,77.27,33045.0
2025-07-08 19:45:00,AMEX:USO,77.27,77.38,77.225,77.37,10017.0
2025-07-08 20:00:00,AMEX:USO,77.34,77.4,77.31,77.38,6756.0
2025-07-08 20:15:00,AMEX:USO,77.4,77.58,77.39,77.49,16360.0
2025-07-08 20:30:00,AMEX:USO,77.49,77.49,77.17,77.17,12867.0
2025-07-08 20:45:00,AMEX:USO,77.18,77.28,77.18,77.21,7611.0
2025-07-08 21:00:00,AMEX:USO,77.22,77.22,77.02,77.06,10450.0
2025-07-08 21:15:00,AMEX:USO,77.09,77.1,76.88,76.94,10966.0
2025-07-08 21:30:00,AMEX:USO,76.955,77.05,76.92,77.0,9143.0
2025-07-08 21:45:00,AMEX:USO,77.03,77.09,77.0,77.0,5010.0
2025-07-08 22:00:00,AMEX:USO,77.02,77.03,76.97,76.97,3977.0
2025-07-08 22:15:00,AMEX:USO,76.97,77.0,76.96,76.99,4876.0
2025-07-08 22:30:00,AMEX:USO,77.01,77.14,77.01,77.135,9236.0
2025-07-08 22:45:00,AMEX:USO,77.135,77.15,76.915,76.95,49073.0
2025-07-08 23:00:00,AMEX:USO,76.95,77.01,76.95,76.99,521.0
2025-07-08 23:15:00,AMEX:USO,76.93,76.95,76.92,76.95,412.0
2025-07-08 23:30:00,AMEX:USO,76.85,76.85,76.85,76.85,1.0
2025-07-08 23:45:00,AMEX:USO,76.82,76.82,76.76,76.76,715.0
2025-07-09 00:15:00,AMEX:USO,76.8,76.8,76.8,76.8,1.0
2025-07-09 01:00:00,AMEX:USO,76.77,76.77,76.66,76.68,741.0
2025-07-09 11:00:00,AMEX:USO,76.95,77.4,76.95,77.35,924.0
2025-07-09 11:15:00,AMEX:USO,77.45,77.5,77.39,77.45,1276.0
2025-07-09 11:30:00,AMEX:USO,77.43,77.58,77.43,77.58,391.0
2025-07-09 11:45:00,AMEX:USO,77.48,77.56,77.48,77.55,655.0
2025-07-09 12:00:00,AMEX:USO,77.55,77.56,77.55,77.56,50.0
2025-07-09 12:15:00,AMEX:USO,77.34,77.34,77.34,77.34,200.0
2025-07-09 12:30:00,AMEX:USO,77.22,77.35,77.22,77.3,358.0
2025-07-09 12:45:00,AMEX:USO,77.4,77.4,77.24,77.3,290.0
2025-07-09 13:00:00,AMEX:USO,77.29,77.29,77.17,77.24,1282.0
2025-07-09 13:15:00,AMEX:USO,77.24,77.31,77.23,77.28,346.0
2025-07-09 13:30:00,AMEX:USO,77.19,77.2,77.18,77.18,256.0
2025-07-09 13:45:00,AMEX:USO,77.16,77.18,77.08,77.15,910.0
