datetime,symbol,open,high,low,close,volume
2025-07-10 16:00:00,AMEX:UVXY,17.0,17.05,16.98,17.01,17012.0
2025-07-10 16:15:00,AMEX:UVXY,16.99,17.02,16.97,17.0,2855.0
2025-07-10 16:30:00,AMEX:UVXY,17.0,17.105,16.945,17.055,181252.0
2025-07-10 16:45:00,AMEX:UVXY,17.05,17.12,17.03,17.09,69977.0
2025-07-10 17:00:00,AMEX:UVXY,17.09,17.18,17.05,17.06,60804.0
2025-07-10 17:15:00,AMEX:UVXY,17.05,17.115,17.0,17.08,101662.0
2025-07-10 17:30:00,AMEX:UVXY,17.07,17.075,16.96,17.0,73078.0
2025-07-10 17:45:00,AMEX:UVXY,17.0,17.03,16.985,17.01,38220.0
2025-07-10 18:00:00,AMEX:UVXY,17.01,17.045,16.97,17.01,41442.0
2025-07-10 18:15:00,AMEX:UVXY,17.01,17.01,16.98,16.99,44203.0
2025-07-10 18:30:00,AMEX:UVXY,16.99,16.995,16.93,16.98,32804.0
2025-07-10 18:45:00,AMEX:UVXY,16.98,17.01,16.95,16.97,61259.0
2025-07-10 19:00:00,AMEX:UVXY,16.97,17.025,16.97,17.0,43750.0
2025-07-10 19:15:00,AMEX:UVXY,17.01,17.01,16.96,16.965,24445.0
2025-07-10 19:30:00,AMEX:UVXY,16.97,16.98,16.96,16.97,60969.0
2025-07-10 19:45:00,AMEX:UVXY,16.97,16.985,16.935,16.98,59840.0
2025-07-10 20:00:00,AMEX:UVXY,16.98,17.0,16.96,16.975,18905.0
2025-07-10 20:15:00,AMEX:UVXY,16.975,16.98,16.94,16.95,11337.0
2025-07-10 20:30:00,AMEX:UVXY,16.94,16.95,16.935,16.945,15390.0
2025-07-10 20:45:00,AMEX:UVXY,16.95,16.95,16.92,16.945,45484.0
2025-07-10 21:00:00,AMEX:UVXY,16.945,16.96,16.94,16.96,33352.0
2025-07-10 21:15:00,AMEX:UVXY,16.96,16.96,16.93,16.94,30129.0
2025-07-10 21:30:00,AMEX:UVXY,16.945,17.02,16.945,17.01,53382.0
2025-07-10 21:45:00,AMEX:UVXY,17.01,17.03,17.0,17.005,44745.0
2025-07-10 22:00:00,AMEX:UVXY,17.01,17.01,16.945,16.945,23474.0
2025-07-10 22:15:00,AMEX:UVXY,16.94,16.94,16.885,16.89,65228.0
2025-07-10 22:30:00,AMEX:UVXY,16.89,16.9,16.835,16.86,82417.0
2025-07-10 22:45:00,AMEX:UVXY,16.855,16.94,16.855,16.9,161990.0
2025-07-10 23:00:00,AMEX:UVXY,16.9,17.0,16.9,16.93,10756.0
2025-07-10 23:15:00,AMEX:UVXY,16.93,16.94,16.91,16.91,2455.0
2025-07-10 23:30:00,AMEX:UVXY,16.92,16.95,16.9,16.92,7212.0
2025-07-10 23:45:00,AMEX:UVXY,16.94,16.94,16.93,16.93,1731.0
2025-07-11 00:00:00,AMEX:UVXY,16.91,16.93,16.9,16.91,741.0
2025-07-11 00:15:00,AMEX:UVXY,16.91,16.91,16.88,16.88,3981.0
2025-07-11 00:30:00,AMEX:UVXY,16.87,16.87,16.83,16.83,1698.0
2025-07-11 00:45:00,AMEX:UVXY,16.84,16.84,16.84,16.84,561.0
2025-07-11 01:00:00,AMEX:UVXY,16.88,16.89,16.87,16.88,958.0
2025-07-11 01:15:00,AMEX:UVXY,16.87,16.89,16.84,16.89,1684.0
2025-07-11 01:30:00,AMEX:UVXY,16.87,16.87,16.87,16.87,101.0
2025-07-11 01:45:00,AMEX:UVXY,16.85,16.89,16.84,16.84,867.0
2025-07-11 02:00:00,AMEX:UVXY,16.86,16.86,16.82,16.86,1086.0
2025-07-11 02:15:00,AMEX:UVXY,16.86,16.86,16.83,16.84,835.0
2025-07-11 02:30:00,AMEX:UVXY,16.83,16.83,16.81,16.82,11777.0
2025-07-11 02:45:00,AMEX:UVXY,16.81,16.82,16.8,16.8,2142.0
2025-07-11 11:00:00,AMEX:UVXY,17.12,17.49,17.09,17.48,15412.0
2025-07-11 11:15:00,AMEX:UVXY,17.48,17.49,17.35,17.35,2732.0
2025-07-11 11:30:00,AMEX:UVXY,17.4,17.45,17.39,17.39,2942.0
2025-07-11 11:45:00,AMEX:UVXY,17.42,17.42,17.38,17.39,1106.0
2025-07-11 12:00:00,AMEX:UVXY,17.37,17.42,17.37,17.42,2666.0
2025-07-11 12:15:00,AMEX:UVXY,17.38,17.45,17.38,17.45,982.0
2025-07-11 12:30:00,AMEX:UVXY,17.43,17.43,17.39,17.39,735.0
2025-07-11 12:45:00,AMEX:UVXY,17.4,17.62,17.4,17.58,21703.0
2025-07-11 13:00:00,AMEX:UVXY,17.57,17.65,17.5,17.5,3980.0
2025-07-11 13:15:00,AMEX:UVXY,17.52,17.55,17.5,17.54,26342.0
2025-07-11 13:30:00,AMEX:UVXY,17.53,17.55,17.51,17.55,550.0
2025-07-11 13:45:00,AMEX:UVXY,17.5,17.51,17.47,17.5,267.0
2025-07-11 14:00:00,AMEX:UVXY,17.5,17.54,17.34,17.37,47811.0
2025-07-11 14:15:00,AMEX:UVXY,17.37,17.37,17.32,17.34,3526.0
2025-07-11 14:30:00,AMEX:UVXY,17.33,17.4,17.3,17.37,21700.0
2025-07-11 14:45:00,AMEX:UVXY,17.39,17.39,17.35,17.38,1646.0
2025-07-11 15:00:00,AMEX:UVXY,17.38,17.38,17.36,17.38,5805.0
2025-07-11 15:15:00,AMEX:UVXY,17.37,17.53,17.36,17.5,22649.0
2025-07-11 15:30:00,AMEX:UVXY,17.51,17.53,17.42,17.44,19692.0
2025-07-11 15:45:00,AMEX:UVXY,17.41,17.42,17.34,17.35,6105.0
2025-07-11 16:00:00,AMEX:UVXY,17.35,17.43,17.32,17.37,36766.0
2025-07-11 16:15:00,AMEX:UVXY,17.37,17.46,17.37,17.42,28519.0
2025-07-11 16:30:00,AMEX:UVXY,17.43,17.46,17.31,17.41,230428.0
2025-07-11 16:45:00,AMEX:UVXY,17.4,17.51,17.215,17.23,132594.0
2025-07-11 17:00:00,AMEX:UVXY,17.23,17.27,17.15,17.15,111025.0
2025-07-11 17:15:00,AMEX:UVXY,17.15,17.17,17.04,17.12,100466.0
2025-07-11 17:30:00,AMEX:UVXY,17.13,17.19,17.1,17.13,31815.0
2025-07-11 17:45:00,AMEX:UVXY,17.145,17.21,17.13,17.135,33508.0
2025-07-11 18:00:00,AMEX:UVXY,17.14,17.25,17.13,17.22,94888.0
2025-07-11 18:15:00,AMEX:UVXY,17.23,17.235,17.08,17.1,51171.0
2025-07-11 18:30:00,AMEX:UVXY,17.1,17.1,16.97,17.0,189635.0
2025-07-11 18:45:00,AMEX:UVXY,16.99,17.17,16.98,17.15,41915.0
2025-07-11 19:00:00,AMEX:UVXY,17.14,17.22,17.11,17.195,41051.0
2025-07-11 19:15:00,AMEX:UVXY,17.18,17.185,17.06,17.07,30921.0
2025-07-11 19:30:00,AMEX:UVXY,17.06,17.06,16.949,17.02,131557.0
2025-07-11 19:45:00,AMEX:UVXY,17.02,17.02,16.865,16.869,111884.0
2025-07-11 20:00:00,AMEX:UVXY,16.87,16.9,16.855,16.87,60931.0
2025-07-11 20:15:00,AMEX:UVXY,16.865,16.89,16.845,16.86,55808.0
2025-07-11 20:30:00,AMEX:UVXY,16.85,16.93,16.835,16.91,61725.0
2025-07-11 20:45:00,AMEX:UVXY,16.91,16.91,16.84,16.845,41539.0
2025-07-11 21:00:00,AMEX:UVXY,16.85,16.88,16.81,16.84,87782.0
2025-07-11 21:15:00,AMEX:UVXY,16.84,16.85,16.82,16.84,94864.0
2025-07-11 21:30:00,AMEX:UVXY,16.84,16.85,16.795,16.795,119764.0
2025-07-11 21:45:00,AMEX:UVXY,16.795,16.86,16.79,16.84,94769.0
2025-07-11 22:00:00,AMEX:UVXY,16.85,17.03,16.83,16.91,289175.0
2025-07-11 22:15:00,AMEX:UVXY,16.91,16.945,16.89,16.92,75205.0
2025-07-11 22:30:00,AMEX:UVXY,16.915,16.93,16.89,16.93,58512.0
2025-07-11 22:45:00,AMEX:UVXY,16.92,17.035,16.895,17.03,244550.0
2025-07-11 23:00:00,AMEX:UVXY,17.03,17.11,17.01,17.09,31734.0
2025-07-11 23:15:00,AMEX:UVXY,17.1,17.15,17.07,17.07,18380.0
2025-07-11 23:30:00,AMEX:UVXY,17.08,17.14,17.08,17.13,6712.0
2025-07-11 23:45:00,AMEX:UVXY,17.13,17.13,17.1,17.11,308.0
2025-07-12 00:00:00,AMEX:UVXY,17.12,17.13,17.1,17.11,441.0
2025-07-12 00:15:00,AMEX:UVXY,17.11,17.13,17.11,17.13,13871.0
2025-07-12 00:30:00,AMEX:UVXY,17.14,17.16,17.12,17.16,7306.0
2025-07-12 00:45:00,AMEX:UVXY,17.14,17.14,17.14,17.14,151.0
2025-07-12 01:00:00,AMEX:UVXY,17.12,17.12,17.1,17.1,200.0
2025-07-12 01:15:00,AMEX:UVXY,17.11,17.11,17.1,17.1,400.0
