datetime,symbol,open,high,low,close,volume
2025-07-07 19:30:00,AMEX:VIXY,47.2,47.24,47.07,47.24,11132.0
2025-07-07 19:45:00,AMEX:VIXY,47.35,47.53,47.31,47.42,5092.0
2025-07-07 20:00:00,AMEX:VIXY,47.4,47.5,47.26,47.29,3000.0
2025-07-07 20:15:00,AMEX:VIXY,47.27,47.36,47.15,47.36,3217.0
2025-07-07 20:30:00,AMEX:VIXY,47.28,47.44,46.99,47.44,11561.0
2025-07-07 20:45:00,AMEX:VIXY,47.35,47.44,47.29,47.33,3278.0
2025-07-07 21:00:00,AMEX:VIXY,47.3,47.33,47.15,47.33,1416.0
2025-07-07 21:15:00,AMEX:VIXY,47.35,47.78,47.35,47.73,30985.0
2025-07-07 21:30:00,AMEX:VIXY,47.73,47.73,47.17,47.22,9612.0
2025-07-07 21:45:00,AMEX:VIXY,47.2,47.29,47.08,47.08,31237.0
2025-07-07 22:00:00,AMEX:VIXY,47.09,47.27,47.02,47.2,3192.0
2025-07-07 22:15:00,AMEX:VIXY,47.19,47.25,47.17,47.2,2317.0
2025-07-07 22:30:00,AMEX:VIXY,47.21,47.34,47.11,47.3,7179.0
2025-07-07 22:45:00,AMEX:VIXY,47.26,47.35,46.88,46.88,137197.0
2025-07-07 23:00:00,AMEX:VIXY,46.86,46.92,46.86,46.92,4319.0
2025-07-07 23:30:00,AMEX:VIXY,46.94,47.11,46.93,47.11,1264.0
2025-07-08 00:00:00,AMEX:VIXY,47.23,47.23,46.95,47.23,94.0
2025-07-08 01:00:00,AMEX:VIXY,47.1,47.1,47.08,47.08,192.0
2025-07-08 01:15:00,AMEX:VIXY,47.07,47.09,47.07,47.09,192.0
2025-07-08 02:15:00,AMEX:VIXY,46.97,46.97,46.97,46.97,25.0
2025-07-08 02:30:00,AMEX:VIXY,46.93,46.93,46.92,46.92,120.0
2025-07-08 11:00:00,AMEX:VIXY,46.69,46.69,46.11,46.11,151.0
2025-07-08 11:15:00,AMEX:VIXY,46.04,46.06,46.04,46.06,644.0
2025-07-08 12:00:00,AMEX:VIXY,46.07,46.1,46.07,46.1,210.0
2025-07-08 12:30:00,AMEX:VIXY,46.08,46.08,46.08,46.08,105.0
2025-07-08 12:45:00,AMEX:VIXY,46.12,46.12,46.03,46.03,403.0
2025-07-08 13:30:00,AMEX:VIXY,46.11,46.11,46.11,46.11,105.0
