datetime,symbol,open,high,low,close,volume
2025-07-02 01:00:00,AMEX:XLE,85.44,85.44,85.44,85.44,70.0
2025-07-02 02:30:00,AMEX:XLE,85.38,85.46,85.38,85.46,206.0
2025-07-02 02:45:00,AMEX:XLE,85.39,85.47,85.39,85.47,19.0
2025-07-02 11:30:00,AMEX:XLE,85.58,85.59,85.55,85.55,143.0
2025-07-02 11:45:00,AMEX:XLE,85.67,85.67,85.67,85.67,100.0
2025-07-02 12:00:00,AMEX:XLE,85.74,85.87,85.74,85.87,205.0
2025-07-02 12:30:00,AMEX:XLE,85.93,86.0,85.93,86.0,412.0
2025-07-02 13:00:00,AMEX:XLE,86.02,86.02,85.96,85.99,252.0
2025-07-02 13:15:00,AMEX:XLE,85.99,86.19,85.99,86.19,2276.0
2025-07-02 13:30:00,AMEX:XLE,86.19,86.23,86.19,86.23,401.0
2025-07-02 13:45:00,AMEX:XLE,86.17,86.31,86.17,86.28,1677.0
2025-07-02 14:00:00,AMEX:XLE,86.28,86.37,86.23,86.34,9346.0
2025-07-02 14:15:00,AMEX:XLE,86.33,86.4,86.31,86.31,2446.0
2025-07-02 14:30:00,AMEX:XLE,86.29,86.31,86.29,86.31,112.0
2025-07-02 14:45:00,AMEX:XLE,86.3,86.3,86.24,86.24,143.0
2025-07-02 15:00:00,AMEX:XLE,86.22,86.25,86.22,86.24,1720.0
2025-07-02 15:15:00,AMEX:XLE,86.22,86.28,86.22,86.28,401.0
2025-07-02 15:30:00,AMEX:XLE,86.24,86.25,86.22,86.25,482.0
2025-07-02 15:45:00,AMEX:XLE,86.26,86.26,86.26,86.26,5.0
2025-07-02 16:00:00,AMEX:XLE,86.2,86.24,86.17,86.17,132.0
2025-07-02 16:15:00,AMEX:XLE,86.12,86.13,86.1,86.12,755.0
2025-07-02 16:30:00,AMEX:XLE,86.16,86.39,85.44,85.51,390464.0
2025-07-02 16:45:00,AMEX:XLE,85.53,85.63,85.23,85.45,198390.0
2025-07-02 17:00:00,AMEX:XLE,85.43,85.54,85.355,85.42,84362.0
2025-07-02 17:15:00,AMEX:XLE,85.405,85.51,85.355,85.39,123713.0
2025-07-02 17:30:00,AMEX:XLE,85.37,85.455,85.275,85.43,145825.0
2025-07-02 17:45:00,AMEX:XLE,85.435,85.53,85.36,85.5,76160.0
2025-07-02 18:00:00,AMEX:XLE,85.505,85.72,85.495,85.69,49612.0
2025-07-02 18:15:00,AMEX:XLE,85.68,85.88,85.68,85.84,43906.0
2025-07-02 18:30:00,AMEX:XLE,85.85,85.85,85.635,85.815,48592.0
2025-07-02 18:45:00,AMEX:XLE,85.81,86.1,85.8,86.1,76126.0
2025-07-02 19:00:00,AMEX:XLE,86.09,86.11,86.03,86.045,39148.0
2025-07-02 19:15:00,AMEX:XLE,86.045,86.12,86.015,86.035,44084.0
2025-07-02 19:30:00,AMEX:XLE,86.055,86.08,86.015,86.04,32254.0
2025-07-02 19:45:00,AMEX:XLE,86.04,86.155,86.02,86.145,48157.0
2025-07-02 20:00:00,AMEX:XLE,86.14,86.235,86.11,86.235,69922.0
2025-07-02 20:15:00,AMEX:XLE,86.24,86.3,86.195,86.285,20557.0
2025-07-02 20:30:00,AMEX:XLE,86.29,86.39,86.275,86.375,28953.0
2025-07-02 20:45:00,AMEX:XLE,86.361,86.52,86.36,86.51,35786.0
2025-07-02 21:00:00,AMEX:XLE,86.505,86.56,86.46,86.545,29192.0
2025-07-02 21:15:00,AMEX:XLE,86.54,86.69,86.535,86.585,91043.0
2025-07-02 21:30:00,AMEX:XLE,86.58,86.71,86.57,86.69,63193.0
2025-07-02 21:45:00,AMEX:XLE,86.69,86.77,86.685,86.75,39153.0
2025-07-02 22:00:00,AMEX:XLE,86.76,86.92,86.76,86.875,146952.0
2025-07-02 22:15:00,AMEX:XLE,86.875,87.061,86.73,86.77,79185.0
2025-07-02 22:30:00,AMEX:XLE,86.76,86.76,86.595,86.72,84936.0
2025-07-02 22:45:00,AMEX:XLE,86.71,86.94,86.71,86.91,482725.0
2025-07-02 23:00:00,AMEX:XLE,86.89,86.89,86.89,86.89,480.0
2025-07-02 23:15:00,AMEX:XLE,86.89,86.9,86.89,86.9,12.0
