datetime,symbol,open,high,low,close,volume
2025-06-24 20:15:00,AMEX:XLU,81.67,81.73,81.64,81.685,49694.0
2025-06-24 20:30:00,AMEX:XLU,81.69,81.72,81.655,81.7,19579.0
2025-06-24 20:45:00,AMEX:XLU,81.7,81.71,81.605,81.645,17197.0
2025-06-24 21:00:00,AMEX:XLU,81.64,81.67,81.6,81.66,24755.0
2025-06-24 21:15:00,AMEX:XLU,81.66,81.7,81.645,81.68,28397.0
2025-06-24 21:30:00,AMEX:XLU,81.67,81.71,81.645,81.66,42014.0
2025-06-24 21:45:00,AMEX:XLU,81.67,81.67,81.53,81.6,42112.0
2025-06-24 22:00:00,AMEX:XLU,81.59,81.72,81.59,81.69,41896.0
2025-06-24 22:15:00,AMEX:XLU,81.68,81.76,81.64,81.76,47291.0
2025-06-24 22:30:00,AMEX:XLU,81.75,81.79,81.64,81.73,63985.0
2025-06-24 22:45:00,AMEX:XLU,81.71,81.72,81.51,81.56,190423.0
2025-06-24 23:15:00,AMEX:XLU,81.5,81.5,81.5,81.5,10.0
2025-06-24 23:30:00,AMEX:XLU,81.46,81.62,81.46,81.52,14.0
2025-06-25 00:00:00,AMEX:XLU,81.6,81.6,81.6,81.6,22.0
2025-06-25 00:45:00,AMEX:XLU,81.66,81.66,81.66,81.66,1.0
2025-06-25 01:30:00,AMEX:XLU,81.55,81.55,81.55,81.55,2.0
2025-06-25 11:00:00,AMEX:XLU,81.59,81.59,81.57,81.57,10.0
2025-06-25 11:45:00,AMEX:XLU,81.57,81.57,81.57,81.57,3.0
2025-06-25 12:00:00,AMEX:XLU,81.57,81.57,81.57,81.57,2.0
2025-06-25 13:00:00,AMEX:XLU,81.54,81.54,81.52,81.53,105.0
2025-06-25 13:45:00,AMEX:XLU,81.59,81.59,81.59,81.59,1.0
2025-06-25 14:00:00,AMEX:XLU,81.57,81.57,81.57,81.57,20.0
2025-06-25 14:30:00,AMEX:XLU,81.59,81.6,81.59,81.6,31.0
2025-06-25 15:00:00,AMEX:XLU,81.61,81.61,81.61,81.61,20.0
2025-06-25 15:15:00,AMEX:XLU,81.67,81.67,81.67,81.67,5.0
2025-06-25 15:45:00,AMEX:XLU,81.59,81.59,81.59,81.59,1.0
2025-06-25 16:15:00,AMEX:XLU,81.58,81.58,81.49,81.57,749.0
2025-06-25 16:30:00,AMEX:XLU,81.3,81.345,80.78,81.25,373604.0
2025-06-25 16:45:00,AMEX:XLU,81.24,81.27,80.93,80.94,127455.0
2025-06-25 17:00:00,AMEX:XLU,80.95,81.08,80.88,81.08,93591.0
2025-06-25 17:15:00,AMEX:XLU,81.08,81.095,80.87,80.915,36172.0
2025-06-25 17:30:00,AMEX:XLU,80.905,81.0,80.75,80.8,114306.0
2025-06-25 17:45:00,AMEX:XLU,80.78,80.805,80.66,80.68,64215.0
2025-06-25 18:00:00,AMEX:XLU,80.695,80.755,80.55,80.58,49406.0
2025-06-25 18:15:00,AMEX:XLU,80.59,80.59,80.44,80.52,39982.0
2025-06-25 18:30:00,AMEX:XLU,80.52,80.625,80.46,80.6,52306.0
2025-06-25 18:45:00,AMEX:XLU,80.59,80.65,80.48,80.645,64339.0
2025-06-25 19:00:00,AMEX:XLU,80.65,80.76,80.65,80.735,18480.0
2025-06-25 19:15:00,AMEX:XLU,80.735,80.83,80.715,80.74,20203.0
2025-06-25 19:30:00,AMEX:XLU,80.74,80.78,80.71,80.71,30244.0
2025-06-25 19:45:00,AMEX:XLU,80.72,80.75,80.65,80.66,16459.0
2025-06-25 20:00:00,AMEX:XLU,80.675,80.79,80.65,80.75,18386.0
