datetime,symbol,open,high,low,close,volume
2025-07-02 11:15:00,AMEX:XLV,136.68,136.68,136.68,136.68,13.0
2025-07-02 11:30:00,AMEX:XLV,136.68,136.68,136.68,136.68,20.0
2025-07-02 13:15:00,AMEX:XLV,136.54,136.54,136.54,136.54,2.0
2025-07-02 13:45:00,AMEX:XLV,136.54,136.54,136.54,136.54,1.0
2025-07-02 14:00:00,AMEX:XLV,136.56,136.56,136.56,136.56,10.0
2025-07-02 15:00:00,AMEX:XLV,136.54,136.54,136.54,136.54,7.0
2025-07-02 15:15:00,AMEX:XLV,136.37,136.37,136.26,136.26,75.0
2025-07-02 15:30:00,AMEX:XLV,136.44,136.44,136.26,136.38,448.0
2025-07-02 15:45:00,AMEX:XLV,136.27,136.36,136.21,136.36,52.0
2025-07-02 16:00:00,AMEX:XLV,136.24,136.24,136.19,136.19,13.0
2025-07-02 16:15:00,AMEX:XLV,136.25,136.26,136.15,136.15,315.0
2025-07-02 16:30:00,AMEX:XLV,136.025,136.24,135.47,135.76,292658.0
2025-07-02 16:45:00,AMEX:XLV,135.76,136.03,135.59,136.01,161387.0
2025-07-02 17:00:00,AMEX:XLV,136.03,136.29,135.9,136.05,124296.0
2025-07-02 17:15:00,AMEX:XLV,136.05,136.06,135.75,135.78,86745.0
2025-07-02 17:30:00,AMEX:XLV,135.79,135.9,135.64,135.76,84032.0
2025-07-02 17:45:00,AMEX:XLV,135.75,135.78,135.38,135.45,54662.0
2025-07-02 18:00:00,AMEX:XLV,135.44,135.79,135.43,135.72,55231.0
2025-07-02 18:15:00,AMEX:XLV,135.73,135.92,135.68,135.88,59703.0
2025-07-02 18:30:00,AMEX:XLV,135.9,136.14,135.86,136.06,46968.0
2025-07-02 18:45:00,AMEX:XLV,136.05,136.08,135.67,135.735,31393.0
2025-07-02 19:00:00,AMEX:XLV,135.74,135.74,135.56,135.67,31413.0
2025-07-02 19:15:00,AMEX:XLV,135.67,135.69,135.48,135.57,42351.0
2025-07-02 19:30:00,AMEX:XLV,135.55,135.66,135.53,135.58,30667.0
2025-07-02 19:45:00,AMEX:XLV,135.58,135.66,135.53,135.61,51540.0
2025-07-02 20:00:00,AMEX:XLV,135.62,135.62,135.41,135.545,19855.0
2025-07-02 20:15:00,AMEX:XLV,135.55,135.699,135.5,135.68,27753.0
2025-07-02 20:30:00,AMEX:XLV,135.68,135.76,135.64,135.68,17808.0
2025-07-02 20:45:00,AMEX:XLV,135.66,135.665,135.5,135.5,13513.0
2025-07-02 21:00:00,AMEX:XLV,135.5,135.74,135.5,135.7,14998.0
2025-07-02 21:15:00,AMEX:XLV,135.71,135.81,135.685,135.73,15673.0
2025-07-02 21:30:00,AMEX:XLV,135.74,135.76,135.64,135.71,21010.0
2025-07-02 21:45:00,AMEX:XLV,135.72,135.72,135.54,135.605,19175.0
2025-07-02 22:00:00,AMEX:XLV,135.6,135.67,135.57,135.61,41739.0
2025-07-02 22:15:00,AMEX:XLV,135.61,135.65,135.31,135.36,30101.0
2025-07-02 22:30:00,AMEX:XLV,135.35,135.455,135.27,135.32,50057.0
2025-07-02 22:45:00,AMEX:XLV,135.32,135.395,135.24,135.38,136947.0
2025-07-02 23:00:00,AMEX:XLV,135.23,135.23,135.23,135.23,8.0
2025-07-02 23:30:00,AMEX:XLV,135.44,135.44,135.44,135.44,4.0
2025-07-02 23:45:00,AMEX:XLV,135.44,135.44,135.44,135.44,2.0
2025-07-03 00:00:00,AMEX:XLV,135.52,135.52,135.52,135.52,2.0
2025-07-03 00:15:00,AMEX:XLV,135.52,135.52,135.46,135.46,59.0
2025-07-03 00:30:00,AMEX:XLV,135.46,135.46,135.46,135.46,44.0
2025-07-03 01:00:00,AMEX:XLV,135.58,135.58,135.58,135.58,10.0
2025-07-03 01:30:00,AMEX:XLV,135.5,135.5,135.5,135.5,1.0
2025-07-03 01:45:00,AMEX:XLV,135.51,135.51,135.51,135.51,195.0
2025-07-03 02:00:00,AMEX:XLV,135.5,135.5,135.46,135.46,15.0
2025-07-03 02:15:00,AMEX:XLV,135.45,135.45,135.45,135.45,10.0
2025-07-03 11:00:00,AMEX:XLV,135.52,135.59,135.52,135.59,8.0
2025-07-03 11:30:00,AMEX:XLV,135.54,135.7,135.53,135.7,61.0
2025-07-03 12:15:00,AMEX:XLV,135.56,135.56,135.56,135.56,11.0
2025-07-03 12:30:00,AMEX:XLV,135.78,135.78,135.67,135.77,30.0
2025-07-03 13:30:00,AMEX:XLV,135.57,135.57,135.57,135.57,2.0
2025-07-03 14:00:00,AMEX:XLV,135.89,135.89,135.72,135.72,30.0
2025-07-03 14:15:00,AMEX:XLV,135.72,135.72,135.72,135.72,1.0
2025-07-03 14:30:00,AMEX:XLV,135.68,135.68,135.67,135.67,138.0
2025-07-03 14:45:00,AMEX:XLV,135.64,135.64,135.61,135.61,198.0
2025-07-03 15:15:00,AMEX:XLV,135.58,135.58,135.56,135.56,18.0
2025-07-03 15:30:00,AMEX:XLV,135.58,135.81,135.58,135.81,101.0
2025-07-03 16:00:00,AMEX:XLV,135.63,135.63,135.61,135.61,105.0
2025-07-03 16:15:00,AMEX:XLV,135.64,135.65,135.64,135.65,96.0
2025-07-03 16:30:00,AMEX:XLV,135.765,135.88,135.3,135.45,148247.0
2025-07-03 16:45:00,AMEX:XLV,135.41,135.68,135.41,135.5,97820.0
2025-07-03 17:00:00,AMEX:XLV,135.5,135.78,135.44,135.52,96797.0
2025-07-03 17:15:00,AMEX:XLV,135.53,135.53,135.17,135.26,74931.0
2025-07-03 17:30:00,AMEX:XLV,135.25,135.58,135.165,135.58,72279.0
2025-07-03 17:45:00,AMEX:XLV,135.59,135.75,135.569,135.61,41760.0
2025-07-03 18:00:00,AMEX:XLV,135.63,135.7,135.55,135.58,36822.0
2025-07-03 18:15:00,AMEX:XLV,135.57,135.59,135.36,135.42,42934.0
2025-07-03 18:30:00,AMEX:XLV,135.4,135.535,135.38,135.53,47002.0
2025-07-03 18:45:00,AMEX:XLV,135.54,135.65,135.51,135.59,32475.0
2025-07-03 19:00:00,AMEX:XLV,135.58,135.59,135.46,135.5,32745.0
2025-07-03 19:15:00,AMEX:XLV,135.48,135.6,135.44,135.54,28004.0
2025-07-03 19:30:00,AMEX:XLV,135.54,135.77,135.535,135.72,50294.0
2025-07-03 19:45:00,AMEX:XLV,135.71,135.72,135.46,135.51,98666.0
2025-07-03 20:00:00,AMEX:XLV,135.63,135.91,135.59,135.59,1653.0
2025-07-03 20:30:00,AMEX:XLV,135.29,135.29,135.28,135.28,320.0
2025-07-03 22:00:00,AMEX:XLV,135.54,135.54,135.51,135.52,29.0
2025-07-03 22:15:00,AMEX:XLV,135.5,135.5,135.5,135.5,2.0
2025-07-07 11:00:00,AMEX:XLV,135.41,135.41,135.3,135.32,115.0
2025-07-07 11:45:00,AMEX:XLV,135.33,135.33,135.33,135.33,2.0
2025-07-07 12:00:00,AMEX:XLV,135.35,135.35,135.35,135.35,1.0
2025-07-07 12:45:00,AMEX:XLV,135.35,135.4,135.35,135.4,32.0
2025-07-07 13:00:00,AMEX:XLV,135.33,135.39,135.3,135.39,41.0
2025-07-07 13:15:00,AMEX:XLV,135.33,135.4,135.32,135.32,3.0
2025-07-07 14:00:00,AMEX:XLV,135.39,135.39,135.39,135.39,6.0
2025-07-07 14:30:00,AMEX:XLV,135.4,135.47,135.4,135.47,73.0
2025-07-07 14:45:00,AMEX:XLV,135.38,135.48,135.38,135.48,214.0
2025-07-07 15:00:00,AMEX:XLV,135.46,135.46,135.45,135.45,60.0
2025-07-07 15:15:00,AMEX:XLV,135.49,135.54,135.49,135.54,61.0
2025-07-07 15:30:00,AMEX:XLV,135.53,135.53,135.53,135.53,30.0
2025-07-07 15:45:00,AMEX:XLV,135.52,135.52,135.5,135.5,65.0
2025-07-07 16:00:00,AMEX:XLV,135.47,135.47,135.4,135.42,284.0
2025-07-07 16:15:00,AMEX:XLV,135.34,135.42,135.33,135.42,529.0
2025-07-07 16:30:00,AMEX:XLV,135.45,135.45,134.53,134.91,259750.0
2025-07-07 16:45:00,AMEX:XLV,134.89,135.04,134.815,134.99,147890.0
2025-07-07 17:00:00,AMEX:XLV,134.99,135.1,134.88,134.96,156504.0
2025-07-07 17:15:00,AMEX:XLV,134.95,134.99,134.83,134.96,81690.0
2025-07-07 17:30:00,AMEX:XLV,134.97,135.04,134.605,134.63,64746.0
2025-07-07 17:45:00,AMEX:XLV,134.62,134.93,134.6,134.89,68790.0
2025-07-07 18:00:00,AMEX:XLV,134.88,134.93,134.69,134.725,72423.0
2025-07-07 18:15:00,AMEX:XLV,134.72,134.73,134.46,134.53,64671.0
2025-07-07 18:30:00,AMEX:XLV,134.54,134.68,134.49,134.55,59849.0
2025-07-07 18:45:00,AMEX:XLV,134.55,134.57,134.35,134.48,51572.0
2025-07-07 19:00:00,AMEX:XLV,134.52,134.69,134.49,134.52,28095.0
2025-07-07 19:15:00,AMEX:XLV,134.55,134.59,134.11,134.26,153558.0
2025-07-07 19:30:00,AMEX:XLV,134.25,134.35,134.22,134.31,36522.0
2025-07-07 19:45:00,AMEX:XLV,134.34,134.39,134.22,134.24,44163.0
2025-07-07 20:00:00,AMEX:XLV,134.26,134.38,134.07,134.38,40606.0
2025-07-07 20:15:00,AMEX:XLV,134.38,134.6,134.349,134.37,33919.0
2025-07-07 20:30:00,AMEX:XLV,134.355,134.56,134.17,134.21,116719.0
2025-07-07 20:45:00,AMEX:XLV,134.22,134.26,134.145,134.23,35560.0
2025-07-07 21:00:00,AMEX:XLV,134.22,134.29,134.009,134.01,32064.0
2025-07-07 21:15:00,AMEX:XLV,134.035,134.04,133.65,133.68,65287.0
2025-07-07 21:30:00,AMEX:XLV,133.66,134.06,133.66,134.05,51985.0
2025-07-07 21:45:00,AMEX:XLV,134.07,134.27,134.03,134.235,44877.0
2025-07-07 22:00:00,AMEX:XLV,134.24,134.31,134.07,134.125,39834.0
2025-07-07 22:15:00,AMEX:XLV,134.12,134.205,133.97,134.02,29686.0
2025-07-07 22:30:00,AMEX:XLV,134.02,134.12,133.98,134.08,56654.0
2025-07-07 22:45:00,AMEX:XLV,134.08,134.38,133.995,134.37,161012.0
2025-07-07 23:00:00,AMEX:XLV,134.35,134.44,134.35,134.44,2.0
2025-07-07 23:30:00,AMEX:XLV,134.25,134.25,134.25,134.25,5.0
2025-07-08 00:15:00,AMEX:XLV,134.28,134.28,134.28,134.28,7.0
2025-07-08 00:45:00,AMEX:XLV,134.28,134.28,134.17,134.17,434.0
2025-07-08 01:15:00,AMEX:XLV,134.15,134.175,134.15,134.175,8.0
2025-07-08 01:45:00,AMEX:XLV,134.175,134.29,134.175,134.27,100.0
2025-07-08 02:15:00,AMEX:XLV,134.29,134.29,134.29,134.29,1.0
2025-07-08 02:45:00,AMEX:XLV,134.29,134.29,134.29,134.29,4.0
2025-07-08 11:30:00,AMEX:XLV,134.44,134.46,134.44,134.46,20.0
2025-07-08 11:45:00,AMEX:XLV,134.36,134.36,134.34,134.35,88.0
2025-07-08 12:00:00,AMEX:XLV,134.39,134.39,134.39,134.39,30.0
2025-07-08 12:15:00,AMEX:XLV,134.38,134.38,134.38,134.38,55.0
2025-07-08 12:30:00,AMEX:XLV,134.35,134.35,134.35,134.35,8.0
2025-07-08 13:00:00,AMEX:XLV,134.31,134.31,134.31,134.31,1.0
2025-07-08 13:15:00,AMEX:XLV,134.25,134.25,134.25,134.25,2.0
2025-07-08 13:30:00,AMEX:XLV,134.45,134.45,134.45,134.45,9.0
2025-07-08 14:00:00,AMEX:XLV,134.45,134.47,134.45,134.45,181.0
2025-07-08 14:15:00,AMEX:XLV,134.44,134.45,134.39,134.45,284.0
2025-07-08 14:30:00,AMEX:XLV,134.36,134.36,134.36,134.36,10.0
2025-07-08 14:45:00,AMEX:XLV,134.43,134.45,134.43,134.44,75.0
2025-07-08 15:00:00,AMEX:XLV,134.44,134.44,134.35,134.35,108.0
2025-07-08 15:30:00,AMEX:XLV,134.33,134.33,134.33,134.33,4.0
2025-07-08 15:45:00,AMEX:XLV,134.35,134.35,134.34,134.34,174.0
2025-07-08 16:00:00,AMEX:XLV,134.34,134.34,134.34,134.34,4.0
2025-07-08 16:15:00,AMEX:XLV,134.37,134.37,134.3,134.3,183.0
2025-07-08 16:30:00,AMEX:XLV,134.245,135.19,134.03,135.14,172220.0
2025-07-08 16:45:00,AMEX:XLV,135.14,135.525,135.04,135.07,204093.0
2025-07-08 17:00:00,AMEX:XLV,135.08,135.31,134.97,135.25,157738.0
2025-07-08 17:15:00,AMEX:XLV,135.25,135.77,135.24,135.63,182530.0
2025-07-08 17:30:00,AMEX:XLV,135.64,136.1,135.61,135.89,122591.0
2025-07-08 17:45:00,AMEX:XLV,135.89,136.12,135.81,135.96,86700.0
2025-07-08 18:00:00,AMEX:XLV,135.97,136.22,135.92,136.03,86076.0
2025-07-08 18:15:00,AMEX:XLV,136.04,136.16,135.45,135.51,121807.0
2025-07-08 18:30:00,AMEX:XLV,135.54,135.94,135.5,135.91,56729.0
2025-07-08 18:45:00,AMEX:XLV,135.91,136.04,135.82,135.835,42546.0
2025-07-08 19:00:00,AMEX:XLV,135.83,135.86,135.51,135.635,45199.0
2025-07-08 19:15:00,AMEX:XLV,135.64,135.94,135.63,135.9,24166.0
2025-07-08 19:30:00,AMEX:XLV,135.92,135.93,135.67,135.81,112945.0
2025-07-08 19:45:00,AMEX:XLV,135.8,135.8,134.84,135.1,242342.0
2025-07-08 20:00:00,AMEX:XLV,135.11,135.15,134.24,134.69,364838.0
2025-07-08 20:15:00,AMEX:XLV,134.7,135.03,134.62,135.02,76799.0
2025-07-08 20:30:00,AMEX:XLV,135.02,135.13,134.89,134.95,59852.0
2025-07-08 20:45:00,AMEX:XLV,134.96,135.13,134.92,135.04,54164.0
2025-07-08 21:00:00,AMEX:XLV,135.02,135.08,134.82,135.03,61886.0
2025-07-08 21:15:00,AMEX:XLV,135.04,135.29,135.02,135.08,68448.0
2025-07-08 21:30:00,AMEX:XLV,135.08,135.105,134.965,134.98,58113.0
2025-07-08 21:45:00,AMEX:XLV,134.98,135.17,134.98,135.1,66242.0
2025-07-08 22:00:00,AMEX:XLV,135.09,135.25,135.08,135.11,39207.0
2025-07-08 22:15:00,AMEX:XLV,135.085,135.13,134.84,135.02,92179.0
2025-07-08 22:30:00,AMEX:XLV,135.015,135.07,134.97,135.0,42419.0
2025-07-08 22:45:00,AMEX:XLV,135.02,135.19,134.85,134.99,111427.0
2025-07-08 23:00:00,AMEX:XLV,135.01,135.01,135.01,135.01,9.0
2025-07-08 23:15:00,AMEX:XLV,135.01,135.09,134.98,135.09,409.0
2025-07-09 00:15:00,AMEX:XLV,135.0,135.0,135.0,135.0,2.0
2025-07-09 00:30:00,AMEX:XLV,135.08,135.08,135.08,135.08,2.0
2025-07-09 01:15:00,AMEX:XLV,135.14,135.14,135.14,135.14,2.0
2025-07-09 11:00:00,AMEX:XLV,134.9,134.92,134.88,134.91,69.0
2025-07-09 11:15:00,AMEX:XLV,134.73,134.73,134.73,134.73,2.0
2025-07-09 12:15:00,AMEX:XLV,135.0,135.0,134.98,135.0,65.0
2025-07-09 12:30:00,AMEX:XLV,135.05,135.05,135.05,135.05,2.0
2025-07-09 13:00:00,AMEX:XLV,135.0,135.0,135.0,135.0,11.0
2025-07-09 14:00:00,AMEX:XLV,135.02,135.02,135.02,135.02,5.0
2025-07-09 14:30:00,AMEX:XLV,135.01,135.01,135.01,135.01,5.0
2025-07-09 15:00:00,AMEX:XLV,135.01,135.02,135.0,135.02,18.0
2025-07-09 15:45:00,AMEX:XLV,135.18,135.18,135.18,135.18,18.0
2025-07-09 16:00:00,AMEX:XLV,135.16,135.16,135.16,135.16,10.0
2025-07-09 16:15:00,AMEX:XLV,135.07,135.07,135.07,135.07,8.0
2025-07-09 16:30:00,AMEX:XLV,135.245,135.94,134.95,135.27,227005.0
2025-07-09 16:45:00,AMEX:XLV,135.26,135.28,134.96,134.97,205880.0
2025-07-09 17:00:00,AMEX:XLV,134.97,135.24,134.86,134.98,172539.0
2025-07-09 17:15:00,AMEX:XLV,134.99,135.04,134.8,134.8,104756.0
2025-07-09 17:30:00,AMEX:XLV,134.81,134.83,134.49,134.57,76659.0
2025-07-09 17:45:00,AMEX:XLV,134.575,134.75,134.45,134.58,60209.0
2025-07-09 18:00:00,AMEX:XLV,134.57,134.77,134.45,134.5,82824.0
2025-07-09 18:15:00,AMEX:XLV,134.52,134.67,134.42,134.61,56765.0
2025-07-09 18:30:00,AMEX:XLV,134.63,134.74,134.53,134.69,37528.0
2025-07-09 18:45:00,AMEX:XLV,134.68,134.76,134.57,134.75,29198.0
2025-07-09 19:00:00,AMEX:XLV,134.71,134.91,134.69,134.87,48196.0
2025-07-09 19:15:00,AMEX:XLV,134.89,134.94,134.7,134.7,32861.0
2025-07-09 19:30:00,AMEX:XLV,134.7,134.88,134.7,134.85,26701.0
2025-07-09 19:45:00,AMEX:XLV,134.84,134.905,134.765,134.83,21662.0
2025-07-09 20:00:00,AMEX:XLV,134.84,134.98,134.79,134.96,55272.0
2025-07-09 20:15:00,AMEX:XLV,134.96,135.09,134.82,134.84,23887.0
2025-07-09 20:30:00,AMEX:XLV,134.86,134.87,134.59,134.87,27661.0
2025-07-09 20:45:00,AMEX:XLV,134.89,135.1,134.87,134.96,16407.0
2025-07-09 21:00:00,AMEX:XLV,134.95,135.18,134.95,135.1,42895.0
2025-07-09 21:15:00,AMEX:XLV,135.1,135.11,134.93,134.95,66608.0
2025-07-09 21:30:00,AMEX:XLV,134.96,135.099,134.96,135.09,17431.0
2025-07-09 21:45:00,AMEX:XLV,135.08,135.23,135.08,135.2,14964.0
2025-07-09 22:00:00,AMEX:XLV,135.2,135.38,135.14,135.29,24537.0
2025-07-09 22:15:00,AMEX:XLV,135.28,135.495,135.25,135.495,19849.0
2025-07-09 22:30:00,AMEX:XLV,135.5,135.52,135.36,135.4,65697.0
2025-07-09 22:45:00,AMEX:XLV,135.41,135.59,135.36,135.49,119389.0
2025-07-09 23:00:00,AMEX:XLV,135.335,135.54,135.335,135.54,17.0
2025-07-09 23:15:00,AMEX:XLV,135.54,135.63,135.54,135.63,1039.0
2025-07-10 02:00:00,AMEX:XLV,135.52,135.52,135.52,135.52,250.0
2025-07-10 11:00:00,AMEX:XLV,135.38,135.38,135.38,135.38,1.0
2025-07-10 11:45:00,AMEX:XLV,135.35,135.35,135.35,135.35,2.0
2025-07-10 13:45:00,AMEX:XLV,135.45,135.45,135.45,135.45,6.0
2025-07-10 14:00:00,AMEX:XLV,135.45,135.6,135.43,135.43,97.0
2025-07-10 14:30:00,AMEX:XLV,135.52,135.52,135.52,135.52,26.0
2025-07-10 15:00:00,AMEX:XLV,135.44,135.44,135.44,135.44,27.0
2025-07-10 15:30:00,AMEX:XLV,135.33,135.4,135.33,135.4,62.0
2025-07-10 15:45:00,AMEX:XLV,135.32,135.32,135.32,135.32,50.0
2025-07-10 16:00:00,AMEX:XLV,135.27,135.27,135.26,135.26,125.0
2025-07-10 16:15:00,AMEX:XLV,135.22,135.25,135.22,135.24,147.0
2025-07-10 16:30:00,AMEX:XLV,135.42,135.48,135.0,135.36,194150.0
2025-07-10 16:45:00,AMEX:XLV,135.36,135.93,135.345,135.85,203152.0
2025-07-10 17:00:00,AMEX:XLV,135.85,136.58,135.84,136.55,234129.0
2025-07-10 17:15:00,AMEX:XLV,136.57,136.76,136.51,136.7,201741.0
2025-07-10 17:30:00,AMEX:XLV,136.72,137.14,136.68,137.06,100817.0
2025-07-10 17:45:00,AMEX:XLV,137.05,137.11,136.82,137.085,79971.0
2025-07-10 18:00:00,AMEX:XLV,137.07,137.63,137.055,137.53,73646.0
2025-07-10 18:15:00,AMEX:XLV,137.52,137.56,136.81,136.91,99924.0
2025-07-10 18:30:00,AMEX:XLV,136.89,136.96,136.73,136.92,82535.0
2025-07-10 18:45:00,AMEX:XLV,136.92,136.97,136.65,136.66,46208.0
2025-07-10 19:00:00,AMEX:XLV,136.65,136.82,136.56,136.71,49235.0
2025-07-10 19:15:00,AMEX:XLV,136.69,136.77,136.6,136.65,35123.0
2025-07-10 19:30:00,AMEX:XLV,136.65,136.7,136.605,136.63,45899.0
2025-07-10 19:45:00,AMEX:XLV,136.62,136.665,136.47,136.5,36940.0
2025-07-10 20:00:00,AMEX:XLV,136.5,136.75,136.5,136.72,34765.0
2025-07-10 20:15:00,AMEX:XLV,136.71,136.86,136.7,136.83,46107.0
2025-07-10 20:30:00,AMEX:XLV,136.83,136.86,136.65,136.76,41271.0
2025-07-10 20:45:00,AMEX:XLV,136.76,136.97,136.7,136.835,29528.0
2025-07-10 21:00:00,AMEX:XLV,136.85,136.93,136.74,136.76,20301.0
2025-07-10 21:15:00,AMEX:XLV,136.75,136.85,136.74,136.8,33102.0
2025-07-10 21:30:00,AMEX:XLV,136.78,136.805,136.46,136.52,44019.0
2025-07-10 21:45:00,AMEX:XLV,136.535,136.57,136.41,136.56,60150.0
