datetime,symbol,open,high,low,close,volume
2025-07-21 18:30:00,BINANCE:AUCTIONUSDT,11.69,11.71,11.53,11.58,9284.56
2025-07-21 18:45:00,BINANCE:AUCTIONUSDT,11.58,11.62,11.49,11.51,12165.12
2025-07-21 19:00:00,BINANCE:AUCTIONUSDT,11.51,11.57,11.46,11.5,4348.17
2025-07-21 19:15:00,BINANCE:AUCTIONUSDT,11.5,11.5,11.31,11.45,8605.06
2025-07-21 19:30:00,BINANCE:AUCTIONUSDT,11.45,11.52,11.38,11.4,6588.59
2025-07-21 19:45:00,BINANCE:AUCTIONUSDT,11.39,11.41,11.32,11.4,2749.09
2025-07-21 20:00:00,BINANCE:AUCTIONUSDT,11.39,11.47,11.38,11.46,897.92
2025-07-21 20:15:00,BINANCE:AUCTIONUSDT,11.43,11.48,11.42,11.42,1353.33
2025-07-21 20:30:00,BINANCE:AUCTIONUSDT,11.42,11.46,11.39,11.4,2032.12
2025-07-21 20:45:00,BINANCE:AUCTIONUSDT,11.4,11.51,11.4,11.51,2065.48
2025-07-21 21:00:00,BINANCE:AUCTIONUSDT,11.51,11.54,11.49,11.53,1101.45
2025-07-21 21:15:00,BINANCE:AUCTIONUSDT,11.54,11.67,11.54,11.62,4978.95
2025-07-21 21:30:00,BINANCE:AUCTIONUSDT,11.61,11.62,11.5,11.52,5615.39
2025-07-21 21:45:00,BINANCE:AUCTIONUSDT,11.52,11.54,11.45,11.48,3647.33
2025-07-21 22:00:00,BINANCE:AUCTIONUSDT,11.49,11.56,11.47,11.54,1868.93
2025-07-21 22:15:00,BINANCE:AUCTIONUSDT,11.54,11.54,11.39,11.4,9217.73
2025-07-21 22:30:00,BINANCE:AUCTIONUSDT,11.4,11.41,11.34,11.4,1980.43
2025-07-21 22:45:00,BINANCE:AUCTIONUSDT,11.41,11.42,11.37,11.4,1071.93
2025-07-21 23:00:00,BINANCE:AUCTIONUSDT,11.4,11.46,11.36,11.45,3826.56
2025-07-21 23:15:00,BINANCE:AUCTIONUSDT,11.46,11.47,11.43,11.47,1046.15
2025-07-21 23:30:00,BINANCE:AUCTIONUSDT,11.47,11.5,11.43,11.46,1696.74
2025-07-21 23:45:00,BINANCE:AUCTIONUSDT,11.47,11.5,11.44,11.44,1191.01
2025-07-22 00:00:00,BINANCE:AUCTIONUSDT,11.44,11.44,11.37,11.37,1198.33
2025-07-22 00:15:00,BINANCE:AUCTIONUSDT,11.39,11.5,11.39,11.49,3361.4
2025-07-22 00:30:00,BINANCE:AUCTIONUSDT,11.5,11.5,11.45,11.49,736.4
2025-07-22 00:45:00,BINANCE:AUCTIONUSDT,11.5,11.53,11.47,11.52,996.57
2025-07-22 01:00:00,BINANCE:AUCTIONUSDT,11.49,11.52,11.47,11.48,2382.47
2025-07-22 01:15:00,BINANCE:AUCTIONUSDT,11.47,11.51,11.44,11.49,4345.25
2025-07-22 01:30:00,BINANCE:AUCTIONUSDT,11.49,11.51,11.48,11.51,1472.65
2025-07-22 01:45:00,BINANCE:AUCTIONUSDT,11.49,11.49,11.46,11.48,866.89
2025-07-22 02:00:00,BINANCE:AUCTIONUSDT,11.47,11.56,11.45,11.53,4894.43
2025-07-22 02:15:00,BINANCE:AUCTIONUSDT,11.54,11.57,11.51,11.54,2333.96
2025-07-22 02:30:00,BINANCE:AUCTIONUSDT,11.56,11.59,11.55,11.56,1518.52
2025-07-22 02:45:00,BINANCE:AUCTIONUSDT,11.56,11.64,11.53,11.62,8183.21
2025-07-22 03:00:00,BINANCE:AUCTIONUSDT,11.63,11.71,11.59,11.66,12312.72
2025-07-22 03:15:00,BINANCE:AUCTIONUSDT,11.66,11.78,11.65,11.73,7411.83
2025-07-22 03:30:00,BINANCE:AUCTIONUSDT,11.73,11.73,11.55,11.55,3112.9
2025-07-22 03:45:00,BINANCE:AUCTIONUSDT,11.54,11.63,11.45,11.47,5691.94
2025-07-22 04:00:00,BINANCE:AUCTIONUSDT,11.47,11.47,11.34,11.34,12538.26
2025-07-22 04:15:00,BINANCE:AUCTIONUSDT,11.35,11.43,11.22,11.41,16006.73
2025-07-22 04:30:00,BINANCE:AUCTIONUSDT,11.41,11.62,11.4,11.59,6981.57
