datetime,symbol,open,high,low,close,volume
2025-07-21 18:30:00,BINANCE:ENSUSDT,28.46,28.52,28.24,28.33,11743.64
2025-07-21 18:45:00,BINANCE:ENSUSDT,28.32,28.46,28.21,28.24,7807.79
2025-07-21 19:00:00,BINANCE:ENSUSDT,28.25,28.35,27.93,28.02,14758.76
2025-07-21 19:15:00,BINANCE:ENSUSDT,28.03,28.03,27.53,27.81,21325.71
2025-07-21 19:30:00,BINANCE:ENSUSDT,27.82,28.04,27.74,27.82,18006.39
2025-07-21 19:45:00,BINANCE:ENSUSDT,27.82,27.87,27.59,27.78,10062.2
2025-07-21 20:00:00,BINANCE:ENSUSDT,27.77,27.97,27.72,27.88,6901.37
2025-07-21 20:15:00,BINANCE:ENSUSDT,27.87,27.93,27.79,27.79,3115.82
2025-07-21 20:30:00,BINANCE:ENSUSDT,27.79,27.96,27.69,27.72,4041.19
2025-07-21 20:45:00,BINANCE:ENSUSDT,27.71,27.95,27.69,27.9,6396.07
2025-07-21 21:00:00,BINANCE:ENSUSDT,27.91,28.06,27.89,28.04,2064.41
2025-07-21 21:15:00,BINANCE:ENSUSDT,28.05,28.21,28.03,28.11,5827.63
2025-07-21 21:30:00,BINANCE:ENSUSDT,28.11,28.11,27.83,27.86,4391.49
2025-07-21 21:45:00,BINANCE:ENSUSDT,27.85,27.85,27.59,27.65,5302.56
2025-07-21 22:00:00,BINANCE:ENSUSDT,27.64,27.88,27.59,27.85,3551.81
2025-07-21 22:15:00,BINANCE:ENSUSDT,27.85,27.87,27.47,27.51,5094.53
2025-07-21 22:30:00,BINANCE:ENSUSDT,27.51,27.62,27.38,27.55,5895.92
2025-07-21 22:45:00,BINANCE:ENSUSDT,27.56,27.6,27.44,27.52,4797.76
2025-07-21 23:00:00,BINANCE:ENSUSDT,27.51,27.7,27.41,27.66,11095.05
2025-07-21 23:15:00,BINANCE:ENSUSDT,27.66,27.72,27.59,27.67,1787.12
2025-07-21 23:30:00,BINANCE:ENSUSDT,27.68,27.74,27.54,27.66,3804.63
2025-07-21 23:45:00,BINANCE:ENSUSDT,27.66,27.75,27.53,27.55,4350.73
2025-07-22 00:00:00,BINANCE:ENSUSDT,27.54,27.75,27.47,27.62,5863.35
2025-07-22 00:15:00,BINANCE:ENSUSDT,27.62,27.8,27.62,27.79,2303.8
2025-07-22 00:30:00,BINANCE:ENSUSDT,27.79,27.82,27.7,27.81,6007.94
2025-07-22 00:45:00,BINANCE:ENSUSDT,27.81,27.81,27.72,27.73,1045.57
2025-07-22 01:00:00,BINANCE:ENSUSDT,27.72,27.87,27.69,27.87,1876.83
2025-07-22 01:15:00,BINANCE:ENSUSDT,27.88,27.92,27.77,27.92,826.75
2025-07-22 01:30:00,BINANCE:ENSUSDT,27.92,28.04,27.92,28.04,2719.49
2025-07-22 01:45:00,BINANCE:ENSUSDT,28.05,28.06,27.88,27.88,2834.49
2025-07-22 02:00:00,BINANCE:ENSUSDT,27.88,27.88,27.73,27.77,7044.66
2025-07-22 02:15:00,BINANCE:ENSUSDT,27.78,27.9,27.74,27.88,3711.13
2025-07-22 02:30:00,BINANCE:ENSUSDT,27.89,27.98,27.86,27.88,2731.31
2025-07-22 02:45:00,BINANCE:ENSUSDT,27.88,27.89,27.81,27.83,1946.1
2025-07-22 03:00:00,BINANCE:ENSUSDT,27.84,27.85,27.65,27.69,5376.43
2025-07-22 03:15:00,BINANCE:ENSUSDT,27.7,27.91,27.69,27.9,5391.79
2025-07-22 03:30:00,BINANCE:ENSUSDT,27.89,27.89,27.54,27.59,10321.82
2025-07-22 03:45:00,BINANCE:ENSUSDT,27.59,27.77,27.48,27.52,6178.74
2025-07-22 04:00:00,BINANCE:ENSUSDT,27.52,27.57,27.1,27.1,23512.3
2025-07-22 04:15:00,BINANCE:ENSUSDT,27.11,27.31,26.8,27.25,31058.91
2025-07-22 04:30:00,BINANCE:ENSUSDT,27.26,27.57,27.2,27.51,12831.99
2025-07-22 04:45:00,BINANCE:ENSUSDT,27.5,27.82,27.49,27.78,10060.76
