datetime,symbol,open,high,low,close,volume
2025-07-21 18:30:00,BINANCE:XRPUSD,3.632,3.6331,3.6095,3.6248,405039.9
2025-07-21 18:45:00,BINANCE:XRPUSD,3.624,3.63,3.6018,3.6041,131600.7
2025-07-21 19:00:00,BINANCE:XRPUSD,3.6059,3.6219,3.5825,3.5946,307723.7
2025-07-21 19:15:00,BINANCE:XRPUSD,3.5934,3.5981,3.5472,3.5766,342632.7
2025-07-21 19:30:00,BINANCE:XRPUSD,3.577,3.5927,3.569,3.5879,102693.4
2025-07-21 19:45:00,BINANCE:XRPUSD,3.5877,3.5991,3.5718,3.5934,190132.0
2025-07-21 20:00:00,BINANCE:XRPUSD,3.5936,3.6245,3.591,3.6165,318092.2
2025-07-21 20:15:00,BINANCE:XRPUSD,3.6162,3.6176,3.5931,3.5931,526696.5
2025-07-21 20:30:00,BINANCE:XRPUSD,3.5921,3.6101,3.583,3.5864,117590.3
2025-07-21 20:45:00,BINANCE:XRPUSD,3.5832,3.61,3.577,3.6042,75386.2
2025-07-21 21:00:00,BINANCE:XRPUSD,3.6048,3.6166,3.6048,3.6141,102136.8
2025-07-21 21:15:00,BINANCE:XRPUSD,3.6163,3.6205,3.6014,3.6038,105914.8
2025-07-21 21:30:00,BINANCE:XRPUSD,3.5996,3.6028,3.5711,3.5766,70658.2
2025-07-21 21:45:00,BINANCE:XRPUSD,3.5766,3.5789,3.5524,3.5561,182753.5
2025-07-21 22:00:00,BINANCE:XRPUSD,3.5531,3.5818,3.5531,3.5818,135092.7
2025-07-21 22:15:00,BINANCE:XRPUSD,3.584,3.584,3.5491,3.5491,52313.9
2025-07-21 22:30:00,BINANCE:XRPUSD,3.5458,3.5535,3.5302,3.5399,221262.1
2025-07-21 22:45:00,BINANCE:XRPUSD,3.5402,3.5475,3.5293,3.5464,197308.4
2025-07-21 23:00:00,BINANCE:XRPUSD,3.5473,3.5541,3.5357,3.552,68350.3
2025-07-21 23:15:00,BINANCE:XRPUSD,3.5555,3.5567,3.5421,3.5485,51726.6
2025-07-21 23:30:00,BINANCE:XRPUSD,3.5523,3.563,3.5387,3.5454,248330.7
2025-07-21 23:45:00,BINANCE:XRPUSD,3.5453,3.5555,3.5238,3.525,128351.0
2025-07-22 00:00:00,BINANCE:XRPUSD,3.5233,3.5401,3.514,3.5275,105868.3
2025-07-22 00:15:00,BINANCE:XRPUSD,3.5305,3.5445,3.5282,3.5436,40004.3
2025-07-22 00:30:00,BINANCE:XRPUSD,3.5448,3.5573,3.5352,3.5573,32572.4
2025-07-22 00:45:00,BINANCE:XRPUSD,3.5561,3.5561,3.5427,3.5535,30210.5
2025-07-22 01:00:00,BINANCE:XRPUSD,3.5554,3.5623,3.5519,3.5616,34144.5
2025-07-22 01:15:00,BINANCE:XRPUSD,3.5613,3.5657,3.5544,3.5657,22049.4
2025-07-22 01:30:00,BINANCE:XRPUSD,3.567,3.5755,3.567,3.5755,28917.0
2025-07-22 01:45:00,BINANCE:XRPUSD,3.5727,3.5751,3.5658,3.5683,11915.4
2025-07-22 02:00:00,BINANCE:XRPUSD,3.5653,3.5653,3.554,3.5549,24703.3
2025-07-22 02:15:00,BINANCE:XRPUSD,3.5549,3.5549,3.5451,3.5533,49867.1
2025-07-22 02:30:00,BINANCE:XRPUSD,3.5563,3.5609,3.5487,3.5487,15664.3
2025-07-22 02:45:00,BINANCE:XRPUSD,3.5466,3.5624,3.5466,3.5528,77153.1
2025-07-22 03:00:00,BINANCE:XRPUSD,3.5519,3.5593,3.5396,3.5558,87366.9
2025-07-22 03:15:00,BINANCE:XRPUSD,3.556,3.5716,3.556,3.5673,36439.0
2025-07-22 03:30:00,BINANCE:XRPUSD,3.5661,3.5661,3.5349,3.539,58689.5
2025-07-22 03:45:00,BINANCE:XRPUSD,3.5404,3.5547,3.5276,3.5313,52946.9
2025-07-22 04:00:00,BINANCE:XRPUSD,3.5304,3.5327,3.4998,3.5009,485596.8
2025-07-22 04:15:00,BINANCE:XRPUSD,3.4977,3.5217,3.4647,3.5182,1151858.1
2025-07-22 04:30:00,BINANCE:XRPUSD,3.5172,3.5499,3.5146,3.542,119551.8
2025-07-22 04:45:00,BINANCE:XRPUSD,3.5424,3.5625,3.5389,3.5525,82595.9
2025-07-22 05:00:00,BINANCE:XRPUSD,3.5531,3.5599,3.5358,3.5419,42406.8
2025-07-22 05:15:00,BINANCE:XRPUSD,3.5433,3.575,3.5344,3.5622,111239.5
2025-07-22 05:30:00,BINANCE:XRPUSD,3.5632,3.568,3.5399,3.5441,140707.6
2025-07-22 05:45:00,BINANCE:XRPUSD,3.5442,3.5443,3.5109,3.5194,99983.0
2025-07-22 06:00:00,BINANCE:XRPUSD,3.5198,3.5198,3.5049,3.5101,183741.8
2025-07-22 06:15:00,BINANCE:XRPUSD,3.5097,3.5097,3.4869,3.5047,367107.3
2025-07-22 06:30:00,BINANCE:XRPUSD,3.5054,3.5097,3.4767,3.4855,291901.2
2025-07-22 06:45:00,BINANCE:XRPUSD,3.4877,3.5028,3.4791,3.5017,102329.6
2025-07-22 07:00:00,BINANCE:XRPUSD,3.5013,3.5037,3.4871,3.4883,52312.2
2025-07-22 07:15:00,BINANCE:XRPUSD,3.4887,3.4922,3.4653,3.4759,192393.3
2025-07-22 07:30:00,BINANCE:XRPUSD,3.4791,3.4939,3.4667,3.4702,212006.6
2025-07-22 07:45:00,BINANCE:XRPUSD,3.4711,3.4758,3.4244,3.4267,914649.4
2025-07-22 08:00:00,BINANCE:XRPUSD,3.4293,3.4757,3.4293,3.4694,504106.8
2025-07-22 08:15:00,BINANCE:XRPUSD,3.4688,3.4871,3.4675,3.4689,84163.1
2025-07-22 08:30:00,BINANCE:XRPUSD,3.4694,3.4757,3.4556,3.4603,63617.0
2025-07-22 08:45:00,BINANCE:XRPUSD,3.4569,3.4696,3.4472,3.4607,48055.6
2025-07-22 09:00:00,BINANCE:XRPUSD,3.4601,3.4809,3.4525,3.478,162610.0
2025-07-22 09:15:00,BINANCE:XRPUSD,3.4764,3.4829,3.4667,3.4721,106640.0
2025-07-22 09:30:00,BINANCE:XRPUSD,3.4725,3.4824,3.466,3.466,93537.8
2025-07-22 09:45:00,BINANCE:XRPUSD,3.4657,3.4692,3.4588,3.465,121006.8
2025-07-22 10:00:00,BINANCE:XRPUSD,3.4652,3.4895,3.4652,3.4895,167329.8
2025-07-22 10:15:00,BINANCE:XRPUSD,3.4896,3.499,3.4825,3.497,109587.1
2025-07-22 10:30:00,BINANCE:XRPUSD,3.4938,3.4971,3.486,3.4909,84659.4
2025-07-22 10:45:00,BINANCE:XRPUSD,3.4893,3.4905,3.4675,3.4773,138900.1
2025-07-22 11:00:00,BINANCE:XRPUSD,3.4742,3.4742,3.4388,3.4399,296905.4
2025-07-22 11:15:00,BINANCE:XRPUSD,3.4439,3.4524,3.4294,3.4341,460765.8
2025-07-22 11:30:00,BINANCE:XRPUSD,3.4349,3.4562,3.4326,3.456,162575.6
2025-07-22 11:45:00,BINANCE:XRPUSD,3.4557,3.4715,3.4495,3.4693,73159.9
2025-07-22 12:00:00,BINANCE:XRPUSD,3.4699,3.471,3.4415,3.445,127703.9
2025-07-22 12:15:00,BINANCE:XRPUSD,3.4455,3.4572,3.4319,3.4516,160736.6
2025-07-22 12:30:00,BINANCE:XRPUSD,3.4523,3.4771,3.4511,3.4771,82700.9
2025-07-22 12:45:00,BINANCE:XRPUSD,3.4785,3.4814,3.4704,3.4743,171258.7
2025-07-22 13:00:00,BINANCE:XRPUSD,3.474,3.4836,3.4708,3.481,55813.6
2025-07-22 13:15:00,BINANCE:XRPUSD,3.481,3.4831,3.4699,3.4831,66158.6
2025-07-22 13:30:00,BINANCE:XRPUSD,3.4877,3.494,3.484,3.494,112145.5
2025-07-22 13:45:00,BINANCE:XRPUSD,3.4932,3.4999,3.4904,3.4978,184272.6
2025-07-22 14:00:00,BINANCE:XRPUSD,3.4979,3.5031,3.4883,3.4893,824671.3
2025-07-22 14:15:00,BINANCE:XRPUSD,3.4924,3.5018,3.4912,3.5018,85577.6
2025-07-22 14:30:00,BINANCE:XRPUSD,3.5026,3.5094,3.4933,3.5082,44087.1
2025-07-22 14:45:00,BINANCE:XRPUSD,3.5086,3.5238,3.5062,3.5227,94718.0
2025-07-22 15:00:00,BINANCE:XRPUSD,3.5216,3.5337,3.5155,3.522,314906.0
2025-07-22 15:15:00,BINANCE:XRPUSD,3.5205,3.5205,3.5112,3.5134,87493.2
2025-07-22 15:30:00,BINANCE:XRPUSD,3.5126,3.5217,3.4999,3.5217,82784.4
2025-07-22 15:45:00,BINANCE:XRPUSD,3.5232,3.5232,3.5024,3.5133,159589.1
2025-07-22 16:00:00,BINANCE:XRPUSD,3.5162,3.5284,3.5103,3.5284,61139.9
2025-07-22 16:15:00,BINANCE:XRPUSD,3.5282,3.5367,3.5159,3.5223,114777.4
2025-07-22 16:30:00,BINANCE:XRPUSD,3.5224,3.5353,3.5006,3.531,130950.9
2025-07-22 16:45:00,BINANCE:XRPUSD,3.5252,3.5252,3.4732,3.4782,417568.2
2025-07-22 17:00:00,BINANCE:XRPUSD,3.4713,3.4896,3.443,3.4896,501089.4
2025-07-22 17:15:00,BINANCE:XRPUSD,3.491,3.4948,3.4719,3.4936,89118.2
2025-07-22 17:30:00,BINANCE:XRPUSD,3.4912,3.51,3.4901,3.4977,66646.1
2025-07-22 17:45:00,BINANCE:XRPUSD,3.4995,3.5228,3.4891,3.5211,73083.8
2025-07-22 18:00:00,BINANCE:XRPUSD,3.521,3.5256,3.5102,3.5221,54577.2
2025-07-22 18:15:00,BINANCE:XRPUSD,3.5208,3.5286,3.5162,3.5194,42233.8
2025-07-22 18:30:00,BINANCE:XRPUSD,3.5188,3.5241,3.5066,3.5117,45407.3
2025-07-22 18:45:00,BINANCE:XRPUSD,3.5139,3.5175,3.5065,3.5088,18517.4
2025-07-22 19:00:00,BINANCE:XRPUSD,3.5069,3.5214,3.4972,3.5214,52821.5
