datetime,symbol,open,high,low,close,volume
2025-07-21 18:30:00,BINANCE:XRPUSDT,3.6306,3.6329,3.6056,3.6237,4151090.7
2025-07-21 18:45:00,BINANCE:XRPUSDT,3.6237,3.6294,3.6003,3.604,2741876.6
2025-07-21 19:00:00,BINANCE:XRPUSDT,3.604,3.6208,3.5801,3.5928,4988712.4
2025-07-21 19:15:00,BINANCE:XRPUSDT,3.5927,3.5966,3.5419,3.5765,8125383.8
2025-07-21 19:30:00,BINANCE:XRPUSDT,3.5766,3.5921,3.5648,3.5856,3065314.0
2025-07-21 19:45:00,BINANCE:XRPUSDT,3.5857,3.5981,3.568,3.5912,3261091.0
2025-07-21 20:00:00,BINANCE:XRPUSDT,3.5911,3.6239,3.5873,3.6147,3585625.0
2025-07-21 20:15:00,BINANCE:XRPUSDT,3.6147,3.6166,3.5901,3.5909,1750393.2
2025-07-21 20:30:00,BINANCE:XRPUSDT,3.5908,3.6095,3.58,3.5839,1667676.3
2025-07-21 20:45:00,BINANCE:XRPUSDT,3.5838,3.6092,3.5725,3.603,1904012.3
2025-07-21 21:00:00,BINANCE:XRPUSDT,3.6031,3.6161,3.6027,3.613,1773327.2
2025-07-21 21:15:00,BINANCE:XRPUSDT,3.6129,3.62,3.5999,3.6006,2250861.9
2025-07-21 21:30:00,BINANCE:XRPUSDT,3.6006,3.6028,3.5694,3.5754,3341362.5
2025-07-21 21:45:00,BINANCE:XRPUSDT,3.5754,3.5781,3.5492,3.5531,4768702.5
2025-07-21 22:00:00,BINANCE:XRPUSDT,3.5531,3.5806,3.55,3.5799,2626180.0
2025-07-21 22:15:00,BINANCE:XRPUSDT,3.5799,3.5831,3.546,3.5483,2002859.8
2025-07-21 22:30:00,BINANCE:XRPUSDT,3.5483,3.5533,3.529,3.5391,4374944.1
2025-07-21 22:45:00,BINANCE:XRPUSDT,3.5391,3.5476,3.527,3.5465,2222104.4
2025-07-21 23:00:00,BINANCE:XRPUSDT,3.5465,3.5541,3.5337,3.5492,2236962.8
2025-07-21 23:15:00,BINANCE:XRPUSDT,3.5493,3.5544,3.5392,3.5484,2232812.9
2025-07-21 23:30:00,BINANCE:XRPUSDT,3.5484,3.5596,3.5365,3.5443,1909759.6
2025-07-21 23:45:00,BINANCE:XRPUSDT,3.5443,3.5548,3.5214,3.5223,1691286.8
2025-07-22 00:00:00,BINANCE:XRPUSDT,3.5222,3.5397,3.5117,3.5252,3362839.5
2025-07-22 00:15:00,BINANCE:XRPUSDT,3.5251,3.5439,3.5251,3.5419,1313893.2
2025-07-22 00:30:00,BINANCE:XRPUSDT,3.5419,3.5563,3.5319,3.5551,1109559.1
2025-07-22 00:45:00,BINANCE:XRPUSDT,3.555,3.5551,3.542,3.5516,833368.8
2025-07-22 01:00:00,BINANCE:XRPUSDT,3.5516,3.5622,3.5498,3.5615,1471937.9
2025-07-22 01:15:00,BINANCE:XRPUSDT,3.5615,3.5665,3.5522,3.5664,787747.3
2025-07-22 01:30:00,BINANCE:XRPUSDT,3.5665,3.575,3.5665,3.5739,1446062.2
2025-07-22 01:45:00,BINANCE:XRPUSDT,3.5739,3.574,3.5626,3.5658,787538.4
2025-07-22 02:00:00,BINANCE:XRPUSDT,3.5657,3.5673,3.5526,3.5532,1135526.6
2025-07-22 02:15:00,BINANCE:XRPUSDT,3.5531,3.5541,3.5427,3.5518,857505.7
2025-07-22 02:30:00,BINANCE:XRPUSDT,3.5519,3.5598,3.5449,3.5452,679426.7
2025-07-22 02:45:00,BINANCE:XRPUSDT,3.5451,3.5613,3.5445,3.5495,801188.9
2025-07-22 03:00:00,BINANCE:XRPUSDT,3.5494,3.5575,3.5367,3.5549,1674412.1
2025-07-22 03:15:00,BINANCE:XRPUSDT,3.5548,3.5712,3.5542,3.5661,1863266.4
2025-07-22 03:30:00,BINANCE:XRPUSDT,3.5662,3.5662,3.5308,3.5369,2858966.8
2025-07-22 03:45:00,BINANCE:XRPUSDT,3.537,3.5545,3.525,3.5299,1873888.3
2025-07-22 04:00:00,BINANCE:XRPUSDT,3.5299,3.5324,3.496,3.4985,6253693.6
2025-07-22 04:15:00,BINANCE:XRPUSDT,3.4985,3.5201,3.4618,3.5167,10086688.0
2025-07-22 04:30:00,BINANCE:XRPUSDT,3.5167,3.5499,3.5111,3.5396,3883099.4
2025-07-22 04:45:00,BINANCE:XRPUSDT,3.5395,3.5608,3.5344,3.5494,2973614.4
2025-07-22 05:00:00,BINANCE:XRPUSDT,3.5495,3.558,3.5315,3.5409,2594615.2
2025-07-22 05:15:00,BINANCE:XRPUSDT,3.5409,3.5744,3.5312,3.5613,4849437.5
2025-07-22 05:30:00,BINANCE:XRPUSDT,3.5613,3.5692,3.5379,3.5422,2692178.5
2025-07-22 05:45:00,BINANCE:XRPUSDT,3.5422,3.5442,3.5067,3.5162,3704203.4
2025-07-22 06:00:00,BINANCE:XRPUSDT,3.5162,3.5187,3.5004,3.5074,3016114.1
2025-07-22 06:15:00,BINANCE:XRPUSDT,3.5073,3.5087,3.4835,3.502,4421095.3
2025-07-22 06:30:00,BINANCE:XRPUSDT,3.5021,3.5106,3.4732,3.484,4176600.4
2025-07-22 06:45:00,BINANCE:XRPUSDT,3.4839,3.5025,3.4754,3.5007,2909735.6
