datetime,symbol,open,high,low,close,volume
2025-07-08 22:15:00,NASDAQ:AMAT,195.6,195.6,194.96,195.3,11549.0
2025-07-08 22:30:00,NASDAQ:AMAT,195.29,195.55,195.09,195.23,13022.0
2025-07-08 22:45:00,NASDAQ:AMAT,195.22,195.62,194.98,194.98,113144.0
2025-07-08 23:00:00,NASDAQ:AMAT,195.09,195.15,195.04,195.15,412.0
2025-07-08 23:15:00,NASDAQ:AMAT,195.05,195.32,195.04,195.04,766.0
2025-07-08 23:45:00,NASDAQ:AMAT,195.34,195.34,195.12,195.14,24.0
2025-07-09 00:00:00,NASDAQ:AMAT,195.16,195.16,195.05,195.05,6.0
2025-07-09 00:15:00,NASDAQ:AMAT,195.07,195.15,195.06,195.15,22.0
2025-07-09 01:00:00,NASDAQ:AMAT,195.36,195.38,195.36,195.38,148.0
2025-07-09 02:00:00,NASDAQ:AMAT,195.34,195.34,195.34,195.34,41.0
2025-07-09 02:15:00,NASDAQ:AMAT,195.34,195.34,195.19,195.3,114.0
2025-07-09 02:30:00,NASDAQ:AMAT,195.17,195.3,195.17,195.3,90.0
2025-07-09 02:45:00,NASDAQ:AMAT,195.31,195.31,195.31,195.31,20.0
2025-07-09 11:00:00,NASDAQ:AMAT,195.74,195.74,195.28,195.28,40.0
2025-07-09 11:15:00,NASDAQ:AMAT,195.05,195.05,195.05,195.05,5.0
2025-07-09 11:30:00,NASDAQ:AMAT,195.1,195.1,195.1,195.1,2.0
2025-07-09 12:00:00,NASDAQ:AMAT,195.11,195.13,195.11,195.13,4.0
2025-07-09 12:15:00,NASDAQ:AMAT,195.23,195.3,195.23,195.3,17.0
2025-07-09 12:30:00,NASDAQ:AMAT,195.23,195.34,195.22,195.34,70.0
2025-07-09 13:00:00,NASDAQ:AMAT,195.36,195.36,195.24,195.24,51.0
2025-07-09 13:30:00,NASDAQ:AMAT,195.2,195.2,195.2,195.2,9.0
2025-07-09 13:45:00,NASDAQ:AMAT,195.4,195.4,195.4,195.4,1.0
2025-07-09 14:00:00,NASDAQ:AMAT,195.4,195.9,195.4,195.68,638.0
2025-07-09 14:15:00,NASDAQ:AMAT,195.78,195.78,195.73,195.73,42.0
2025-07-09 14:30:00,NASDAQ:AMAT,195.9,195.9,195.76,195.76,17.0
2025-07-09 14:45:00,NASDAQ:AMAT,195.9,196.0,195.9,196.0,288.0
2025-07-09 15:00:00,NASDAQ:AMAT,196.09,196.21,196.09,196.21,41.0
2025-07-09 15:15:00,NASDAQ:AMAT,196.16,196.16,195.99,195.99,156.0
2025-07-09 15:30:00,NASDAQ:AMAT,195.89,195.94,195.79,195.79,51.0
2025-07-09 15:45:00,NASDAQ:AMAT,195.94,195.94,195.7,195.7,41.0
2025-07-09 16:00:00,NASDAQ:AMAT,195.71,195.71,195.64,195.64,150.0
