datetime,symbol,open,high,low,close,volume
2025-07-10 16:45:00,NASDAQ:AMZN,221.25,221.27,220.21,220.56,200215.0
2025-07-10 17:00:00,NASDAQ:AMZN,220.57,220.66,219.7,220.62,136260.0
2025-07-10 17:15:00,NASDAQ:AMZN,220.65,221.085,219.94,220.25,89703.0
2025-07-10 17:30:00,NASDAQ:AMZN,220.29,220.95,220.26,220.64,79969.0
2025-07-10 17:45:00,NASDAQ:AMZN,220.66,221.33,220.62,221.3,114910.0
2025-07-10 18:00:00,NASDAQ:AMZN,221.29,221.57,220.79,220.81,136974.0
2025-07-10 18:15:00,NASDAQ:AMZN,220.82,221.76,220.8,221.63,63521.0
2025-07-10 18:30:00,NASDAQ:AMZN,221.63,221.68,221.22,221.44,54721.0
2025-07-10 18:45:00,NASDAQ:AMZN,221.41,222.12,221.36,222.12,73551.0
2025-07-10 19:00:00,NASDAQ:AMZN,222.1,222.22,221.54,221.96,90163.0
2025-07-10 19:15:00,NASDAQ:AMZN,221.95,222.23,221.77,222.09,48072.0
2025-07-10 19:30:00,NASDAQ:AMZN,222.09,222.11,221.8,222.05,44332.0
2025-07-10 19:45:00,NASDAQ:AMZN,222.05,222.22,221.77,222.03,48812.0
2025-07-10 20:00:00,NASDAQ:AMZN,222.02,222.61,222.02,222.28,65037.0
2025-07-10 20:15:00,NASDAQ:AMZN,222.3,222.45,222.18,222.29,48932.0
2025-07-10 20:30:00,NASDAQ:AMZN,222.3,222.73,222.3,222.57,45144.0
2025-07-10 20:45:00,NASDAQ:AMZN,222.58,222.79,222.36,222.66,55157.0
2025-07-10 21:00:00,NASDAQ:AMZN,222.665,222.77,222.5,222.71,42151.0
2025-07-10 21:15:00,NASDAQ:AMZN,222.71,222.76,222.49,222.6,30352.0
2025-07-10 21:30:00,NASDAQ:AMZN,222.59,222.66,222.44,222.455,30505.0
2025-07-10 21:45:00,NASDAQ:AMZN,222.43,222.51,222.07,222.13,28863.0
2025-07-10 22:00:00,NASDAQ:AMZN,222.13,222.28,222.13,222.205,25994.0
2025-07-10 22:15:00,NASDAQ:AMZN,222.2,222.255,221.93,222.06,57805.0
2025-07-10 22:30:00,NASDAQ:AMZN,222.05,222.45,221.92,222.36,57142.0
2025-07-10 22:45:00,NASDAQ:AMZN,222.35,222.42,221.65,222.3,199212.0
2025-07-10 23:00:00,NASDAQ:AMZN,222.16,222.2,221.9,222.02,1303.0
2025-07-10 23:15:00,NASDAQ:AMZN,222.06,223.47,222.01,223.28,20166.0
2025-07-10 23:30:00,NASDAQ:AMZN,223.24,223.55,223.2,223.37,11805.0
2025-07-10 23:45:00,NASDAQ:AMZN,223.4,223.69,223.25,223.54,10669.0
2025-07-11 00:00:00,NASDAQ:AMZN,223.54,223.9,223.47,223.74,5988.0
2025-07-11 00:15:00,NASDAQ:AMZN,223.68,223.75,223.53,223.55,1912.0
2025-07-11 00:30:00,NASDAQ:AMZN,223.53,223.57,223.44,223.49,1597.0
2025-07-11 00:45:00,NASDAQ:AMZN,223.49,223.58,223.49,223.54,358.0
2025-07-11 01:00:00,NASDAQ:AMZN,223.52,223.9,223.5,223.66,2987.0
2025-07-11 01:15:00,NASDAQ:AMZN,223.65,223.7,223.6,223.69,809.0
2025-07-11 01:30:00,NASDAQ:AMZN,223.61,223.68,223.61,223.65,110.0
2025-07-11 01:45:00,NASDAQ:AMZN,223.62,223.64,223.6,223.62,695.0
2025-07-11 02:00:00,NASDAQ:AMZN,223.64,223.8,223.61,223.8,1386.0
2025-07-11 02:15:00,NASDAQ:AMZN,223.8,223.8,223.65,223.68,739.0
2025-07-11 02:30:00,NASDAQ:AMZN,223.66,223.81,223.66,223.75,1492.0
2025-07-11 02:45:00,NASDAQ:AMZN,223.73,223.79,223.7,223.71,515.0
2025-07-11 11:00:00,NASDAQ:AMZN,223.25,223.38,221.14,221.26,8848.0
2025-07-11 11:15:00,NASDAQ:AMZN,221.33,221.75,221.08,221.7,3808.0
2025-07-11 11:30:00,NASDAQ:AMZN,221.57,221.78,221.34,221.74,1288.0
2025-07-11 11:45:00,NASDAQ:AMZN,221.71,221.85,221.55,221.85,1007.0
2025-07-11 12:00:00,NASDAQ:AMZN,221.89,222.13,221.7,221.8,3311.0
2025-07-11 12:15:00,NASDAQ:AMZN,221.81,222.0,221.79,221.79,651.0
2025-07-11 12:30:00,NASDAQ:AMZN,221.79,222.35,221.72,222.35,713.0
2025-07-11 12:45:00,NASDAQ:AMZN,222.4,222.64,222.0,222.03,794.0
2025-07-11 13:00:00,NASDAQ:AMZN,221.87,222.2,221.76,222.2,815.0
2025-07-11 13:15:00,NASDAQ:AMZN,222.11,222.45,222.11,222.38,797.0
2025-07-11 13:30:00,NASDAQ:AMZN,222.4,222.5,222.31,222.38,698.0
2025-07-11 13:45:00,NASDAQ:AMZN,222.46,222.93,222.46,222.61,2234.0
2025-07-11 14:00:00,NASDAQ:AMZN,222.69,223.02,222.58,222.9,8641.0
2025-07-11 14:15:00,NASDAQ:AMZN,222.89,223.1,222.84,223.1,2473.0
2025-07-11 14:30:00,NASDAQ:AMZN,223.11,223.4,223.04,223.28,10474.0
2025-07-11 14:45:00,NASDAQ:AMZN,223.21,223.86,223.2,223.49,8463.0
2025-07-11 15:00:00,NASDAQ:AMZN,223.55,224.05,223.55,223.93,14910.0
2025-07-11 15:15:00,NASDAQ:AMZN,223.91,223.93,223.01,223.08,18296.0
2025-07-11 15:30:00,NASDAQ:AMZN,223.05,223.4,222.78,223.1,38953.0
2025-07-11 15:45:00,NASDAQ:AMZN,223.13,223.5,223.13,223.34,13851.0
2025-07-11 16:00:00,NASDAQ:AMZN,223.35,223.39,222.9,223.11,13584.0
2025-07-11 16:15:00,NASDAQ:AMZN,223.16,224.17,222.9,223.61,32441.0
2025-07-11 16:30:00,NASDAQ:AMZN,223.45,224.77,222.37,222.59,434418.0
2025-07-11 16:45:00,NASDAQ:AMZN,222.57,224.45,222.54,224.33,305004.0
2025-07-11 17:00:00,NASDAQ:AMZN,224.32,224.67,224.07,224.31,390206.0
2025-07-11 17:15:00,NASDAQ:AMZN,224.295,224.88,224.15,224.35,384229.0
2025-07-11 17:30:00,NASDAQ:AMZN,224.39,224.46,224.23,224.38,123596.0
2025-07-11 17:45:00,NASDAQ:AMZN,224.36,224.85,223.73,224.84,237211.0
2025-07-11 18:00:00,NASDAQ:AMZN,224.84,225.29,224.19,224.28,452639.0
2025-07-11 18:15:00,NASDAQ:AMZN,224.27,224.64,224.22,224.525,145486.0
2025-07-11 18:30:00,NASDAQ:AMZN,224.54,225.48,224.54,225.32,213375.0
2025-07-11 18:45:00,NASDAQ:AMZN,225.325,225.84,225.2,225.74,328166.0
2025-07-11 19:00:00,NASDAQ:AMZN,225.75,225.76,225.11,225.43,203505.0
2025-07-11 19:15:00,NASDAQ:AMZN,225.43,225.5,225.02,225.26,100960.0
2025-07-11 19:30:00,NASDAQ:AMZN,225.28,225.31,224.85,224.91,79285.0
2025-07-11 19:45:00,NASDAQ:AMZN,224.9,225.5,224.88,225.45,80427.0
2025-07-11 20:00:00,NASDAQ:AMZN,225.48,225.54,225.24,225.52,87233.0
2025-07-11 20:15:00,NASDAQ:AMZN,225.55,225.75,225.3,225.58,100518.0
2025-07-11 20:30:00,NASDAQ:AMZN,225.59,225.745,224.95,225.35,93225.0
2025-07-11 20:45:00,NASDAQ:AMZN,225.35,225.895,225.33,225.8,157648.0
2025-07-11 21:00:00,NASDAQ:AMZN,225.79,226.68,225.75,226.61,303085.0
2025-07-11 21:15:00,NASDAQ:AMZN,226.61,226.63,225.96,226.1,105994.0
2025-07-11 21:30:00,NASDAQ:AMZN,226.09,226.19,225.96,226.1,71361.0
