datetime,symbol,open,high,low,close,volume
2025-06-02 23:45:00,NASDAQ:ATXG,0.8415,0.8415,0.8415,0.8415,500.0
2025-06-03 00:00:00,NASDAQ:ATXG,0.849,0.859,0.849,0.859,2287.0
2025-06-03 00:30:00,NASDAQ:ATXG,0.8574,0.8668,0.8574,0.8668,602.0
2025-06-03 01:00:00,NASDAQ:ATXG,0.863,0.863,0.855,0.855,125.0
2025-06-03 01:15:00,NASDAQ:ATXG,0.853,0.8687,0.853,0.8687,245.0
2025-06-03 02:00:00,NASDAQ:ATXG,0.8533,0.8533,0.8533,0.8533,209.0
2025-06-03 02:30:00,NASDAQ:ATXG,0.858,0.859,0.8474,0.859,1099.0
2025-06-03 02:45:00,NASDAQ:ATXG,0.8355,0.8355,0.8351,0.8351,800.0
2025-06-03 11:00:00,NASDAQ:ATXG,0.8666,0.8666,0.8064,0.855,168.0
2025-06-03 11:15:00,NASDAQ:ATXG,0.8447,0.85,0.8221,0.8399,4813.0
2025-06-03 11:30:00,NASDAQ:ATXG,0.8459,0.849,0.825,0.8458,2381.0
2025-06-03 11:45:00,NASDAQ:ATXG,0.8365,0.845,0.8365,0.8368,1171.0
2025-06-03 12:00:00,NASDAQ:ATXG,0.8368,0.86,0.8368,0.84,2691.0
2025-06-03 12:15:00,NASDAQ:ATXG,0.8407,0.875,0.84,0.875,10605.0
2025-06-03 12:30:00,NASDAQ:ATXG,0.8949,0.92,0.8465,0.8466,12196.0
2025-06-03 12:45:00,NASDAQ:ATXG,0.8767,0.8767,0.8477,0.8744,1360.0
2025-06-03 13:00:00,NASDAQ:ATXG,0.8515,0.8869,0.846,0.8869,4565.0
2025-06-03 13:15:00,NASDAQ:ATXG,0.878,0.8925,0.878,0.8925,8804.0
2025-06-03 13:30:00,NASDAQ:ATXG,0.8925,0.8925,0.8711,0.8716,6628.0
2025-06-03 13:45:00,NASDAQ:ATXG,0.8879,0.89,0.8726,0.886,3883.0
2025-06-03 14:00:00,NASDAQ:ATXG,0.8796,0.8796,0.8533,0.8533,4375.0
2025-06-03 14:15:00,NASDAQ:ATXG,0.8533,0.8533,0.8533,0.8533,31.0
2025-06-03 14:45:00,NASDAQ:ATXG,0.871,0.871,0.871,0.871,202.0
