datetime,symbol,open,high,low,close,volume
2025-04-14 20:00:00,NASDAQ:BCDA,1.98,1.98,1.98,1.98,100.0
2025-04-14 21:00:00,NASDAQ:BCDA,2.0,2.0,2.0,2.0,100.0
2025-04-14 21:45:00,NASDAQ:BCDA,1.99,1.99,1.99,1.99,200.0
2025-04-14 22:30:00,NASDAQ:BCDA,2.0,2.01,2.0,2.01,1100.0
2025-04-14 22:45:00,NASDAQ:BCDA,1.98,1.98,1.98,1.98,48.0
2025-04-15 15:30:00,NASDAQ:BCDA,2.19,2.36,1.96,1.96,685.0
2025-04-15 17:00:00,NASDAQ:BCDA,2.01,2.01,2.01,2.01,5.0
2025-04-15 17:45:00,NASDAQ:BCDA,2.01,2.01,2.01,2.01,1.0
2025-04-15 18:00:00,NASDAQ:BCDA,2.01,2.01,2.01,2.01,1000.0
2025-04-15 18:15:00,NASDAQ:BCDA,2.01,2.01,2.01,2.01,4.0
2025-04-15 18:30:00,NASDAQ:BCDA,2.01,2.01,2.01,2.01,516.0
2025-04-15 19:15:00,NASDAQ:BCDA,2.02,2.02,2.02,2.02,10.0
2025-04-15 20:00:00,NASDAQ:BCDA,2.02,2.02,2.02,2.02,10.0
2025-04-15 20:30:00,NASDAQ:BCDA,2.02,2.02,2.02,2.02,983.0
2025-04-15 21:00:00,NASDAQ:BCDA,2.04,2.04,2.04,2.04,11.0
2025-04-15 21:15:00,NASDAQ:BCDA,2.04,2.04,2.04,2.04,10.0
2025-04-15 21:30:00,NASDAQ:BCDA,2.04,2.04,2.04,2.04,100.0
2025-04-15 22:45:00,NASDAQ:BCDA,2.035,2.05,2.035,2.05,463.0
2025-04-16 11:30:00,NASDAQ:BCDA,1.83,1.83,1.74,1.74,186.0
2025-04-16 17:00:00,NASDAQ:BCDA,1.99,2.0,1.93,1.93,234.0
2025-04-16 17:15:00,NASDAQ:BCDA,1.93,1.95,1.93,1.95,300.0
2025-04-16 19:00:00,NASDAQ:BCDA,1.96,1.96,1.96,1.96,33.0
2025-04-16 20:45:00,NASDAQ:BCDA,1.96,1.96,1.95,1.95,504.0
2025-04-16 22:00:00,NASDAQ:BCDA,1.91,1.91,1.91,1.91,500.0
2025-04-16 22:45:00,NASDAQ:BCDA,1.93,1.93,1.93,1.93,44.0
2025-04-17 16:15:00,NASDAQ:BCDA,1.93,1.93,1.93,1.93,2.0
2025-04-17 17:30:00,NASDAQ:BCDA,1.94,1.94,1.94,1.94,10.0
2025-04-17 18:45:00,NASDAQ:BCDA,1.93,1.94,1.93,1.94,200.0
2025-04-17 20:00:00,NASDAQ:BCDA,1.93,1.93,1.93,1.93,94.0
2025-04-17 21:30:00,NASDAQ:BCDA,1.93,1.93,1.93,1.93,100.0
2025-04-17 22:45:00,NASDAQ:BCDA,1.93,1.93,1.92,1.92,120.0
2025-04-21 14:00:00,NASDAQ:BCDA,1.86,1.86,1.86,1.86,2.0
2025-04-21 15:15:00,NASDAQ:BCDA,1.88,1.88,1.88,1.88,1.0
2025-04-21 17:00:00,NASDAQ:BCDA,1.88,1.88,1.88,1.88,77.0
2025-04-21 17:30:00,NASDAQ:BCDA,1.85,1.85,1.85,1.85,350.0
2025-04-21 19:15:00,NASDAQ:BCDA,1.85,1.85,1.8,1.8,3426.0
2025-04-21 20:30:00,NASDAQ:BCDA,1.815,1.815,1.815,1.815,200.0
2025-04-21 20:45:00,NASDAQ:BCDA,1.77,1.77,1.77,1.77,100.0
2025-04-21 21:15:00,NASDAQ:BCDA,1.77,1.77,1.77,1.77,224.0
2025-04-21 21:30:00,NASDAQ:BCDA,1.78,1.78,1.78,1.78,100.0
2025-04-21 22:45:00,NASDAQ:BCDA,1.8,1.8,1.75,1.8,301.0
2025-04-22 11:45:00,NASDAQ:BCDA,1.93,1.93,1.93,1.93,1.0
2025-04-22 13:15:00,NASDAQ:BCDA,1.93,1.93,1.93,1.93,1.0
