datetime,symbol,open,high,low,close,volume
2025-07-08 22:45:00,NASDAQ:BIDU,90.16,90.29,90.135,90.27,35407.0
2025-07-08 23:45:00,NASDAQ:BIDU,90.28,90.35,90.28,90.33,28.0
2025-07-09 00:15:00,NASDAQ:BIDU,90.21,90.21,90.17,90.17,26.0
2025-07-09 00:30:00,NASDAQ:BIDU,90.28,90.4,90.28,90.4,1953.0
2025-07-09 01:00:00,NASDAQ:BIDU,90.41,90.5,90.4,90.5,617.0
2025-07-09 01:15:00,NASDAQ:BIDU,90.5,90.68,90.5,90.68,695.0
2025-07-09 01:30:00,NASDAQ:BIDU,90.7,90.74,90.7,90.74,203.0
2025-07-09 01:45:00,NASDAQ:BIDU,90.72,90.72,90.71,90.72,100.0
2025-07-09 02:15:00,NASDAQ:BIDU,90.75,90.75,90.75,90.75,69.0
2025-07-09 02:30:00,NASDAQ:BIDU,90.66,90.66,90.66,90.66,1.0
2025-07-09 02:45:00,NASDAQ:BIDU,90.66,90.66,90.66,90.66,100.0
2025-07-09 11:00:00,NASDAQ:BIDU,90.03,90.03,89.44,89.55,696.0
2025-07-09 11:15:00,NASDAQ:BIDU,89.51,89.51,89.51,89.51,5.0
2025-07-09 11:30:00,NASDAQ:BIDU,89.36,89.36,89.18,89.2,1158.0
2025-07-09 11:45:00,NASDAQ:BIDU,89.22,89.22,89.18,89.18,323.0
2025-07-09 12:00:00,NASDAQ:BIDU,89.28,89.28,89.28,89.28,5.0
2025-07-09 12:15:00,NASDAQ:BIDU,89.29,89.4,89.29,89.4,6.0
2025-07-09 12:30:00,NASDAQ:BIDU,89.35,89.36,89.35,89.35,417.0
2025-07-09 13:00:00,NASDAQ:BIDU,89.4,89.4,89.4,89.4,200.0
2025-07-09 13:30:00,NASDAQ:BIDU,89.38,89.38,89.37,89.37,103.0
2025-07-09 13:45:00,NASDAQ:BIDU,89.39,89.42,89.31,89.39,271.0
2025-07-09 14:00:00,NASDAQ:BIDU,89.42,89.48,89.4,89.48,546.0
2025-07-09 14:15:00,NASDAQ:BIDU,89.46,89.49,89.46,89.49,91.0
2025-07-09 14:30:00,NASDAQ:BIDU,89.55,89.56,89.5,89.51,1145.0
2025-07-09 14:45:00,NASDAQ:BIDU,89.5,89.58,89.45,89.45,228.0
2025-07-09 15:00:00,NASDAQ:BIDU,89.5,89.5,89.47,89.47,177.0
2025-07-09 15:15:00,NASDAQ:BIDU,89.42,89.42,89.41,89.41,110.0
2025-07-09 15:30:00,NASDAQ:BIDU,89.41,89.41,89.39,89.39,255.0
2025-07-09 15:45:00,NASDAQ:BIDU,89.46,89.51,89.46,89.51,33.0
2025-07-09 16:00:00,NASDAQ:BIDU,89.47,89.65,89.47,89.65,120.0
2025-07-09 16:15:00,NASDAQ:BIDU,89.68,89.68,89.56,89.58,2880.0
2025-07-09 16:30:00,NASDAQ:BIDU,89.57,89.57,88.74,88.96,47322.0
