datetime,symbol,open,high,low,close,volume
2025-07-09 23:45:00,NASDAQ:CRSP,60.12,60.59,60.12,60.59,358.0
2025-07-10 00:00:00,NASDAQ:CRSP,60.4,60.58,60.16,60.58,656.0
2025-07-10 00:15:00,NASDAQ:CRSP,60.48,60.88,60.46,60.88,270.0
2025-07-10 00:30:00,NASDAQ:CRSP,60.76,60.88,60.55,60.67,172.0
2025-07-10 00:45:00,NASDAQ:CRSP,60.66,60.71,60.65,60.65,250.0
2025-07-10 01:00:00,NASDAQ:CRSP,60.59,60.65,60.55,60.65,58.0
2025-07-10 01:15:00,NASDAQ:CRSP,60.65,60.72,60.63,60.72,189.0
2025-07-10 01:30:00,NASDAQ:CRSP,60.66,60.88,60.65,60.88,158.0
2025-07-10 01:45:00,NASDAQ:CRSP,60.9,61.0,60.89,61.0,1383.0
2025-07-10 02:00:00,NASDAQ:CRSP,60.96,61.76,60.96,61.12,595.0
2025-07-10 02:15:00,NASDAQ:CRSP,61.12,61.49,61.12,61.49,126.0
2025-07-10 02:30:00,NASDAQ:CRSP,61.65,61.8,61.59,61.8,136.0
2025-07-10 02:45:00,NASDAQ:CRSP,61.83,61.83,61.5,61.56,238.0
2025-07-10 11:00:00,NASDAQ:CRSP,62.25,62.25,61.75,62.09,2140.0
2025-07-10 11:15:00,NASDAQ:CRSP,62.09,62.5,62.08,62.25,593.0
2025-07-10 11:30:00,NASDAQ:CRSP,62.65,62.65,62.3,62.48,663.0
2025-07-10 11:45:00,NASDAQ:CRSP,62.4,62.49,62.27,62.47,326.0
2025-07-10 12:00:00,NASDAQ:CRSP,62.47,62.5,62.32,62.46,400.0
2025-07-10 12:15:00,NASDAQ:CRSP,62.46,62.63,62.46,62.59,255.0
2025-07-10 12:30:00,NASDAQ:CRSP,62.5,62.59,62.42,62.55,104.0
2025-07-10 12:45:00,NASDAQ:CRSP,62.56,62.65,62.56,62.65,46.0
2025-07-10 13:00:00,NASDAQ:CRSP,62.66,62.78,62.66,62.76,234.0
2025-07-10 13:15:00,NASDAQ:CRSP,62.76,62.98,62.62,62.74,849.0
2025-07-10 13:30:00,NASDAQ:CRSP,62.76,62.97,62.74,62.74,275.0
2025-07-10 13:45:00,NASDAQ:CRSP,62.85,62.88,62.65,62.65,5559.0
2025-07-10 14:00:00,NASDAQ:CRSP,62.83,63.0,62.6,62.84,5254.0
2025-07-10 14:15:00,NASDAQ:CRSP,62.99,63.29,62.99,63.2,733.0
2025-07-10 14:30:00,NASDAQ:CRSP,63.29,63.58,63.16,63.3,1797.0
2025-07-10 14:45:00,NASDAQ:CRSP,63.34,63.48,63.12,63.3,222.0
2025-07-10 15:00:00,NASDAQ:CRSP,63.3,63.44,63.17,63.22,597.0
2025-07-10 15:15:00,NASDAQ:CRSP,63.22,63.29,62.97,63.0,1370.0
2025-07-10 15:30:00,NASDAQ:CRSP,63.06,63.06,62.71,62.71,950.0
2025-07-10 15:45:00,NASDAQ:CRSP,62.71,62.75,62.61,62.7,1564.0
2025-07-10 16:00:00,NASDAQ:CRSP,62.69,62.73,62.3,62.36,2832.0
2025-07-10 16:15:00,NASDAQ:CRSP,62.37,62.84,62.0,62.0,2874.0
2025-07-10 16:30:00,NASDAQ:CRSP,62.0,62.0,59.87,60.955,61594.0
2025-07-10 16:45:00,NASDAQ:CRSP,61.06,61.29,60.47,60.71,19108.0
2025-07-10 17:00:00,NASDAQ:CRSP,60.81,60.9,59.98,60.45,26213.0
2025-07-10 17:15:00,NASDAQ:CRSP,60.44,60.55,59.8,59.9,22930.0
2025-07-10 17:30:00,NASDAQ:CRSP,59.915,60.64,59.85,60.49,21538.0
2025-07-10 17:45:00,NASDAQ:CRSP,60.44,60.73,60.01,60.66,14928.0
2025-07-10 18:00:00,NASDAQ:CRSP,60.74,61.16,60.46,60.46,16324.0
2025-07-10 18:15:00,NASDAQ:CRSP,60.52,60.56,59.9,60.37,16936.0
2025-07-10 18:30:00,NASDAQ:CRSP,60.28,60.4,59.71,60.0,11142.0
2025-07-10 18:45:00,NASDAQ:CRSP,60.01,60.01,59.52,59.8,8893.0
2025-07-10 19:00:00,NASDAQ:CRSP,59.82,59.83,59.22,59.29,28843.0
2025-07-10 19:15:00,NASDAQ:CRSP,59.25,59.39,58.93,58.98,14983.0
2025-07-10 19:30:00,NASDAQ:CRSP,58.99,59.22,58.93,59.15,12946.0
2025-07-10 19:45:00,NASDAQ:CRSP,59.15,59.19,58.4,58.59,22348.0
2025-07-10 20:00:00,NASDAQ:CRSP,58.6,58.95,58.6,58.78,6683.0
2025-07-10 20:15:00,NASDAQ:CRSP,58.745,59.15,58.74,58.95,13862.0
2025-07-10 20:30:00,NASDAQ:CRSP,58.95,59.05,58.66,58.93,15820.0
2025-07-10 20:45:00,NASDAQ:CRSP,58.93,58.94,58.44,58.49,8710.0
2025-07-10 21:00:00,NASDAQ:CRSP,58.47,58.67,58.0,58.19,23583.0
2025-07-10 21:15:00,NASDAQ:CRSP,58.145,58.35,57.93,58.35,10946.0
2025-07-10 21:30:00,NASDAQ:CRSP,58.35,58.6,58.16,58.55,8818.0
2025-07-10 21:45:00,NASDAQ:CRSP,58.56,58.77,58.52,58.76,10315.0
2025-07-10 22:00:00,NASDAQ:CRSP,58.67,59.0,58.66,58.9,8563.0
2025-07-10 22:15:00,NASDAQ:CRSP,58.87,59.06,58.53,58.55,12997.0
2025-07-10 22:30:00,NASDAQ:CRSP,58.51,58.75,58.11,58.7,26138.0
2025-07-10 22:45:00,NASDAQ:CRSP,58.73,59.1,58.63,59.0,41827.0
2025-07-10 23:00:00,NASDAQ:CRSP,59.08,59.09,58.95,58.95,199.0
2025-07-10 23:30:00,NASDAQ:CRSP,58.91,59.0,58.7,59.0,809.0
2025-07-10 23:45:00,NASDAQ:CRSP,58.8,59.0,58.8,58.81,122.0
2025-07-11 00:00:00,NASDAQ:CRSP,58.82,59.0,58.74,58.74,128.0
2025-07-11 00:15:00,NASDAQ:CRSP,58.74,58.98,58.74,58.97,81.0
2025-07-11 00:30:00,NASDAQ:CRSP,58.8,58.8,58.75,58.75,148.0
2025-07-11 00:45:00,NASDAQ:CRSP,58.95,59.0,58.95,59.0,343.0
2025-07-11 01:00:00,NASDAQ:CRSP,58.94,59.15,58.94,59.0,78.0
2025-07-11 01:15:00,NASDAQ:CRSP,59.0,59.07,58.87,59.07,10.0
2025-07-11 01:30:00,NASDAQ:CRSP,59.07,59.07,59.06,59.06,5.0
2025-07-11 01:45:00,NASDAQ:CRSP,59.1,59.18,58.86,58.86,424.0
2025-07-11 02:00:00,NASDAQ:CRSP,59.11,59.11,59.1,59.11,34.0
2025-07-11 02:45:00,NASDAQ:CRSP,59.15,59.15,59.15,59.15,100.0
2025-07-11 11:00:00,NASDAQ:CRSP,58.84,59.01,58.82,58.88,236.0
2025-07-11 11:15:00,NASDAQ:CRSP,58.89,58.95,58.8,58.8,233.0
2025-07-11 11:30:00,NASDAQ:CRSP,58.86,58.86,58.59,58.79,209.0
2025-07-11 11:45:00,NASDAQ:CRSP,58.6,58.84,58.6,58.84,27.0
2025-07-11 12:00:00,NASDAQ:CRSP,58.66,58.66,58.59,58.6,143.0
2025-07-11 12:15:00,NASDAQ:CRSP,58.6,58.6,58.17,58.18,275.0
2025-07-11 12:30:00,NASDAQ:CRSP,58.34,58.34,58.07,58.07,51.0
2025-07-11 12:45:00,NASDAQ:CRSP,58.16,58.16,58.0,58.01,694.0
2025-07-11 13:00:00,NASDAQ:CRSP,58.04,58.05,55.4,57.75,4077.0
2025-07-11 13:15:00,NASDAQ:CRSP,57.29,57.8,57.29,57.8,212.0
2025-07-11 13:30:00,NASDAQ:CRSP,57.64,58.45,57.64,58.02,598.0
2025-07-11 13:45:00,NASDAQ:CRSP,57.67,58.13,57.53,58.09,424.0
2025-07-11 14:00:00,NASDAQ:CRSP,58.23,58.23,57.6,57.95,2760.0
2025-07-11 14:15:00,NASDAQ:CRSP,57.95,57.95,57.75,57.8,199.0
2025-07-11 14:30:00,NASDAQ:CRSP,57.85,57.85,57.5,57.5,177.0
2025-07-11 14:45:00,NASDAQ:CRSP,57.58,57.75,57.5,57.75,25.0
2025-07-11 15:00:00,NASDAQ:CRSP,57.78,57.78,57.44,57.76,401.0
2025-07-11 15:15:00,NASDAQ:CRSP,57.42,58.23,57.42,58.0,3093.0
2025-07-11 15:30:00,NASDAQ:CRSP,58.0,58.16,57.98,57.98,18.0
2025-07-11 15:45:00,NASDAQ:CRSP,58.0,58.18,57.96,58.18,334.0
2025-07-11 16:00:00,NASDAQ:CRSP,58.19,58.24,58.15,58.15,34.0
2025-07-11 16:15:00,NASDAQ:CRSP,58.23,59.29,58.13,58.38,202.0
2025-07-11 16:30:00,NASDAQ:CRSP,58.85,59.44,58.13,58.56,16541.0
2025-07-11 16:45:00,NASDAQ:CRSP,58.51,59.0,58.22,58.77,11419.0
2025-07-11 17:00:00,NASDAQ:CRSP,58.81,59.01,58.64,58.9,8275.0
2025-07-11 17:15:00,NASDAQ:CRSP,58.92,59.05,58.53,58.58,10542.0
2025-07-11 17:30:00,NASDAQ:CRSP,58.63,58.63,57.42,57.65,24385.0
2025-07-11 17:45:00,NASDAQ:CRSP,57.64,57.79,57.23,57.74,17969.0
2025-07-11 18:00:00,NASDAQ:CRSP,57.76,57.96,57.53,57.96,8155.0
2025-07-11 18:15:00,NASDAQ:CRSP,57.96,57.97,57.495,57.59,6799.0
2025-07-11 18:30:00,NASDAQ:CRSP,57.595,57.71,57.32,57.71,4032.0
2025-07-11 18:45:00,NASDAQ:CRSP,57.665,57.75,57.33,57.41,5323.0
2025-07-11 19:00:00,NASDAQ:CRSP,57.42,57.43,57.07,57.11,5202.0
2025-07-11 19:15:00,NASDAQ:CRSP,57.14,57.28,56.94,57.22,9865.0
2025-07-11 19:30:00,NASDAQ:CRSP,57.2,57.5,57.16,57.37,4221.0
2025-07-11 19:45:00,NASDAQ:CRSP,57.42,57.5,57.3,57.32,1740.0
2025-07-11 20:00:00,NASDAQ:CRSP,57.33,57.49,57.26,57.4,3240.0
2025-07-11 20:15:00,NASDAQ:CRSP,57.38,57.39,57.11,57.24,4305.0
2025-07-11 20:30:00,NASDAQ:CRSP,57.27,57.29,56.69,56.8,9566.0
2025-07-11 20:45:00,NASDAQ:CRSP,56.81,56.84,56.47,56.51,8348.0
2025-07-11 21:00:00,NASDAQ:CRSP,56.55,56.67,56.19,56.21,8667.0
2025-07-11 21:15:00,NASDAQ:CRSP,56.23,56.82,56.16,56.61,8212.0
2025-07-11 21:30:00,NASDAQ:CRSP,56.53,56.82,56.465,56.73,5049.0
2025-07-11 21:45:00,NASDAQ:CRSP,56.74,56.77,56.33,56.37,4492.0
2025-07-11 22:00:00,NASDAQ:CRSP,56.37,56.59,56.09,56.59,8515.0
2025-07-11 22:15:00,NASDAQ:CRSP,56.6,56.82,56.56,56.61,9563.0
2025-07-11 22:30:00,NASDAQ:CRSP,56.58,56.71,55.89,56.0,20648.0
2025-07-11 22:45:00,NASDAQ:CRSP,56.0,56.84,55.95,56.82,25809.0
2025-07-11 23:00:00,NASDAQ:CRSP,56.79,56.79,56.77,56.78,26.0
2025-07-11 23:15:00,NASDAQ:CRSP,56.42,56.78,56.32,56.78,88.0
2025-07-11 23:30:00,NASDAQ:CRSP,56.52,56.76,56.52,56.76,4.0
2025-07-11 23:45:00,NASDAQ:CRSP,56.51,56.51,56.5,56.5,305.0
2025-07-12 00:00:00,NASDAQ:CRSP,56.49,56.5,56.4,56.4,44.0
2025-07-12 00:15:00,NASDAQ:CRSP,56.31,56.35,56.24,56.3,302.0
2025-07-12 00:30:00,NASDAQ:CRSP,56.39,56.4,56.29,56.4,179.0
2025-07-12 00:45:00,NASDAQ:CRSP,56.4,56.4,56.31,56.31,21.0
2025-07-12 01:00:00,NASDAQ:CRSP,56.49,56.5,56.33,56.5,17.0
2025-07-12 01:15:00,NASDAQ:CRSP,56.49,56.5,56.31,56.31,58.0
2025-07-12 01:45:00,NASDAQ:CRSP,56.31,56.35,56.31,56.31,53.0
2025-07-12 02:00:00,NASDAQ:CRSP,56.35,56.4,56.35,56.4,41.0
2025-07-12 02:15:00,NASDAQ:CRSP,56.5,56.5,56.5,56.5,86.0
2025-07-14 11:00:00,NASDAQ:CRSP,57.0,57.65,56.67,56.71,1270.0
2025-07-14 11:15:00,NASDAQ:CRSP,56.71,56.71,56.2,56.26,1896.0
2025-07-14 11:30:00,NASDAQ:CRSP,56.4,56.4,56.0,56.0,169.0
2025-07-14 11:45:00,NASDAQ:CRSP,55.96,56.5,55.91,56.5,1499.0
2025-07-14 12:00:00,NASDAQ:CRSP,56.5,56.69,56.31,56.31,725.0
2025-07-14 12:15:00,NASDAQ:CRSP,56.31,56.38,56.31,56.37,179.0
2025-07-14 12:30:00,NASDAQ:CRSP,56.37,56.4,56.29,56.29,58.0
2025-07-14 12:45:00,NASDAQ:CRSP,56.35,56.43,56.26,56.28,220.0
2025-07-14 13:00:00,NASDAQ:CRSP,56.28,56.3,56.25,56.25,612.0
2025-07-14 13:15:00,NASDAQ:CRSP,56.28,56.37,56.21,56.27,430.0
2025-07-14 13:30:00,NASDAQ:CRSP,56.25,56.25,56.22,56.22,98.0
2025-07-14 13:45:00,NASDAQ:CRSP,56.22,56.22,56.1,56.1,79.0
2025-07-14 14:00:00,NASDAQ:CRSP,56.1,56.3,56.1,56.17,611.0
2025-07-14 14:15:00,NASDAQ:CRSP,56.17,56.19,55.85,55.85,483.0
2025-07-14 14:30:00,NASDAQ:CRSP,55.8,55.91,55.66,55.8,452.0
2025-07-14 14:45:00,NASDAQ:CRSP,55.81,56.0,55.79,55.99,136.0
2025-07-14 15:00:00,NASDAQ:CRSP,55.99,56.13,55.96,55.96,253.0
2025-07-14 15:15:00,NASDAQ:CRSP,55.96,56.14,55.96,56.14,394.0
2025-07-14 15:30:00,NASDAQ:CRSP,56.24,56.24,56.09,56.1,42.0
2025-07-14 15:45:00,NASDAQ:CRSP,56.09,56.09,56.0,56.03,132.0
2025-07-14 16:00:00,NASDAQ:CRSP,55.98,56.0,55.9,55.9,106.0
2025-07-14 16:15:00,NASDAQ:CRSP,55.9,55.96,55.73,55.89,381.0
2025-07-14 16:30:00,NASDAQ:CRSP,55.87,56.57,55.44,55.64,22809.0
2025-07-14 16:45:00,NASDAQ:CRSP,55.7,55.75,55.36,55.49,14398.0
2025-07-14 17:00:00,NASDAQ:CRSP,55.41,55.78,55.33,55.46,10951.0
2025-07-14 17:15:00,NASDAQ:CRSP,55.5,55.73,55.25,55.38,12971.0
2025-07-14 17:30:00,NASDAQ:CRSP,55.35,55.89,54.95,55.75,32426.0
2025-07-14 17:45:00,NASDAQ:CRSP,55.77,55.85,55.6,55.67,3317.0
2025-07-14 18:00:00,NASDAQ:CRSP,55.64,56.32,55.63,56.18,9650.0
2025-07-14 18:15:00,NASDAQ:CRSP,56.21,56.53,56.01,56.48,5495.0
2025-07-14 18:30:00,NASDAQ:CRSP,56.47,56.59,56.2,56.27,3702.0
2025-07-14 18:45:00,NASDAQ:CRSP,56.26,56.38,56.08,56.18,4230.0
2025-07-14 19:00:00,NASDAQ:CRSP,56.22,56.46,56.1,56.22,3108.0
2025-07-14 19:15:00,NASDAQ:CRSP,56.2,56.29,56.0,56.03,2300.0
2025-07-14 19:30:00,NASDAQ:CRSP,56.06,56.3,56.04,56.29,1719.0
2025-07-14 19:45:00,NASDAQ:CRSP,56.25,56.42,56.195,56.195,1327.0
2025-07-14 20:00:00,NASDAQ:CRSP,56.16,56.48,55.96,56.14,4621.0
2025-07-14 20:15:00,NASDAQ:CRSP,56.17,56.26,55.83,56.0,2909.0
2025-07-14 20:30:00,NASDAQ:CRSP,55.99,56.04,55.85,55.85,2370.0
2025-07-14 20:45:00,NASDAQ:CRSP,55.865,56.02,55.77,55.82,1493.0
2025-07-14 21:00:00,NASDAQ:CRSP,55.79,55.99,55.79,55.8,1295.0
2025-07-14 21:15:00,NASDAQ:CRSP,55.73,55.76,55.55,55.68,1748.0
2025-07-14 21:30:00,NASDAQ:CRSP,55.68,55.78,55.6,55.62,2757.0
2025-07-14 21:45:00,NASDAQ:CRSP,55.6,55.67,55.49,55.62,2956.0
2025-07-14 22:00:00,NASDAQ:CRSP,55.64,55.95,55.64,55.9,7208.0
2025-07-14 22:15:00,NASDAQ:CRSP,55.92,55.92,55.72,55.85,3733.0
2025-07-14 22:30:00,NASDAQ:CRSP,55.86,55.94,55.8,55.86,4487.0
2025-07-14 22:45:00,NASDAQ:CRSP,55.84,56.44,55.84,56.42,18646.0
2025-07-14 23:00:00,NASDAQ:CRSP,56.42,56.42,56.41,56.41,25.0
2025-07-14 23:15:00,NASDAQ:CRSP,56.4,56.4,56.4,56.4,10.0
2025-07-14 23:30:00,NASDAQ:CRSP,56.39,56.39,56.27,56.27,89.0
2025-07-14 23:45:00,NASDAQ:CRSP,56.34,56.39,56.22,56.22,93.0
2025-07-15 00:00:00,NASDAQ:CRSP,56.22,56.4,56.2,56.4,892.0
2025-07-15 00:15:00,NASDAQ:CRSP,56.4,56.4,56.21,56.21,37.0
2025-07-15 00:30:00,NASDAQ:CRSP,56.39,56.39,56.01,56.01,364.0
2025-07-15 00:45:00,NASDAQ:CRSP,56.36,56.36,56.01,56.36,17.0
2025-07-15 01:00:00,NASDAQ:CRSP,56.06,56.06,55.98,56.0,549.0
2025-07-15 01:15:00,NASDAQ:CRSP,56.0,56.04,56.0,56.04,22.0
2025-07-15 01:45:00,NASDAQ:CRSP,56.38,56.38,56.38,56.38,14.0
2025-07-15 02:15:00,NASDAQ:CRSP,56.38,56.38,56.38,56.38,22.0
2025-07-15 02:45:00,NASDAQ:CRSP,56.37,56.4,56.37,56.4,275.0
2025-07-15 11:00:00,NASDAQ:CRSP,56.5,56.7,56.0,56.47,209.0
2025-07-15 11:15:00,NASDAQ:CRSP,56.67,56.67,56.67,56.67,30.0
2025-07-15 11:30:00,NASDAQ:CRSP,56.8,56.8,56.67,56.67,21.0
2025-07-15 11:45:00,NASDAQ:CRSP,56.7,56.79,56.67,56.69,174.0
2025-07-15 12:00:00,NASDAQ:CRSP,56.78,56.78,56.6,56.78,20.0
2025-07-15 12:15:00,NASDAQ:CRSP,56.74,56.78,56.65,56.67,865.0
2025-07-15 12:30:00,NASDAQ:CRSP,56.7,56.8,56.65,56.8,318.0
2025-07-15 12:45:00,NASDAQ:CRSP,56.88,56.94,56.82,56.91,316.0
2025-07-15 13:00:00,NASDAQ:CRSP,56.89,56.89,56.89,56.89,10.0
2025-07-15 13:15:00,NASDAQ:CRSP,57.32,57.32,57.05,57.05,80.0
2025-07-15 13:30:00,NASDAQ:CRSP,57.23,57.29,57.08,57.08,279.0
2025-07-15 13:45:00,NASDAQ:CRSP,57.25,57.25,56.97,57.0,424.0
2025-07-15 14:00:00,NASDAQ:CRSP,56.96,57.27,56.96,57.27,16.0
2025-07-15 14:15:00,NASDAQ:CRSP,57.27,57.27,57.07,57.07,231.0
2025-07-15 14:30:00,NASDAQ:CRSP,57.11,57.21,57.07,57.07,66.0
2025-07-15 14:45:00,NASDAQ:CRSP,57.26,57.26,57.01,57.01,835.0
2025-07-15 15:00:00,NASDAQ:CRSP,57.18,57.29,57.01,57.02,1756.0
