datetime,symbol,open,high,low,close,volume
2025-07-08 20:00:00,NASDAQ:CYN,12.0,12.03,11.9,11.9,1071.0
2025-07-08 20:15:00,NASDAQ:CYN,11.99,11.99,11.86,11.86,1409.0
2025-07-08 20:30:00,NASDAQ:CYN,11.86,11.86,11.66,11.67,20660.0
2025-07-08 20:45:00,NASDAQ:CYN,11.69,11.79,11.545,11.65,4236.0
2025-07-08 21:00:00,NASDAQ:CYN,11.66,11.7,11.5,11.575,6851.0
2025-07-08 21:15:00,NASDAQ:CYN,11.55,11.62,11.41,11.45,3948.0
2025-07-08 21:30:00,NASDAQ:CYN,11.43,11.5,11.36,11.43,7727.0
2025-07-08 21:45:00,NASDAQ:CYN,11.45,11.48,11.4,11.45,2583.0
2025-07-08 22:00:00,NASDAQ:CYN,11.44,11.44,11.38,11.4,1570.0
2025-07-08 22:15:00,NASDAQ:CYN,11.41,11.41,11.25,11.285,12341.0
2025-07-08 22:30:00,NASDAQ:CYN,11.27,11.27,10.825,10.9,20635.0
2025-07-08 22:45:00,NASDAQ:CYN,10.89,11.15,10.89,11.09,9544.0
2025-07-08 23:00:00,NASDAQ:CYN,11.07,11.07,10.92,10.92,521.0
2025-07-08 23:15:00,NASDAQ:CYN,11.0,11.2,10.92,11.2,2587.0
2025-07-08 23:45:00,NASDAQ:CYN,11.1,11.11,11.01,11.06,94.0
2025-07-09 00:00:00,NASDAQ:CYN,11.08,11.08,11.05,11.05,156.0
2025-07-09 00:15:00,NASDAQ:CYN,11.02,11.02,10.93,10.99,1606.0
2025-07-09 00:30:00,NASDAQ:CYN,10.99,11.0,10.84,11.0,1912.0
2025-07-09 00:45:00,NASDAQ:CYN,10.98,10.99,10.98,10.98,24.0
2025-07-09 01:00:00,NASDAQ:CYN,10.98,11.06,10.95,11.05,522.0
2025-07-09 01:15:00,NASDAQ:CYN,11.06,11.1,11.01,11.1,1003.0
2025-07-09 01:30:00,NASDAQ:CYN,11.03,11.04,11.0,11.04,628.0
2025-07-09 01:45:00,NASDAQ:CYN,11.05,11.08,11.05,11.07,122.0
2025-07-09 02:15:00,NASDAQ:CYN,11.06,11.1,11.06,11.09,77.0
2025-07-09 02:30:00,NASDAQ:CYN,11.09,11.09,11.09,11.09,53.0
2025-07-09 02:45:00,NASDAQ:CYN,11.09,11.1,11.09,11.1,1216.0
2025-07-09 11:00:00,NASDAQ:CYN,11.44,11.44,11.13,11.29,173.0
2025-07-09 11:15:00,NASDAQ:CYN,11.3,11.3,11.2,11.3,835.0
2025-07-09 11:30:00,NASDAQ:CYN,11.29,11.29,11.15,11.15,12.0
2025-07-09 11:45:00,NASDAQ:CYN,11.29,11.3,11.29,11.3,61.0
2025-07-09 12:00:00,NASDAQ:CYN,11.3,11.31,11.21,11.31,39.0
2025-07-09 12:15:00,NASDAQ:CYN,11.22,11.23,11.13,11.21,843.0
2025-07-09 12:30:00,NASDAQ:CYN,11.14,11.3,11.14,11.3,229.0
2025-07-09 12:45:00,NASDAQ:CYN,11.32,11.32,11.32,11.32,3.0
2025-07-09 13:00:00,NASDAQ:CYN,11.43,11.43,11.21,11.32,804.0
2025-07-09 13:15:00,NASDAQ:CYN,11.3,11.3,11.3,11.3,59.0
2025-07-09 13:30:00,NASDAQ:CYN,11.2,11.21,11.2,11.2,79.0
2025-07-09 13:45:00,NASDAQ:CYN,11.2,11.2,11.12,11.12,256.0
