datetime,symbol,open,high,low,close,volume
2025-06-17 21:15:00,NASDAQ:EBAY,77.28,77.28,77.125,77.18,4194.0
2025-06-17 21:30:00,NASDAQ:EBAY,77.17,77.25,77.13,77.19,6165.0
2025-06-17 21:45:00,NASDAQ:EBAY,77.2,77.28,77.17,77.26,5002.0
2025-06-17 22:00:00,NASDAQ:EBAY,77.25,77.25,77.12,77.21,13456.0
2025-06-17 22:15:00,NASDAQ:EBAY,77.18,77.32,77.16,77.31,8414.0
2025-06-17 22:30:00,NASDAQ:EBAY,77.32,77.39,77.26,77.29,12035.0
2025-06-17 22:45:00,NASDAQ:EBAY,77.295,77.44,77.24,77.39,58609.0
2025-06-18 11:00:00,NASDAQ:EBAY,77.36,78.0,77.36,78.0,121.0
2025-06-18 15:00:00,NASDAQ:EBAY,77.22,77.22,77.22,77.22,25.0
2025-06-18 16:15:00,NASDAQ:EBAY,77.47,77.47,77.47,77.47,4.0
2025-06-18 16:30:00,NASDAQ:EBAY,77.25,78.14,77.2,77.62,15647.0
2025-06-18 16:45:00,NASDAQ:EBAY,77.62,77.86,77.62,77.7,6634.0
2025-06-18 17:00:00,NASDAQ:EBAY,77.68,78.02,77.66,77.79,10154.0
2025-06-18 17:15:00,NASDAQ:EBAY,77.79,78.24,77.73,78.12,12074.0
2025-06-18 17:30:00,NASDAQ:EBAY,78.12,78.16,77.79,77.84,14610.0
2025-06-18 17:45:00,NASDAQ:EBAY,77.85,77.87,77.53,77.53,8674.0
2025-06-18 18:00:00,NASDAQ:EBAY,77.53,77.63,77.38,77.41,9062.0
2025-06-18 18:15:00,NASDAQ:EBAY,77.42,77.435,77.2,77.245,6917.0
2025-06-18 18:30:00,NASDAQ:EBAY,77.235,77.33,76.96,77.06,11990.0
2025-06-18 18:45:00,NASDAQ:EBAY,77.03,77.08,76.9,76.94,13977.0
2025-06-18 19:00:00,NASDAQ:EBAY,76.91,77.44,76.87,77.355,11678.0
2025-06-18 19:15:00,NASDAQ:EBAY,77.33,77.505,77.25,77.505,5188.0
2025-06-18 19:30:00,NASDAQ:EBAY,77.48,77.56,77.43,77.52,10700.0
2025-06-18 19:45:00,NASDAQ:EBAY,77.53,77.61,77.49,77.5,7895.0
