datetime,symbol,open,high,low,close,volume
2025-06-23 18:45:00,NASDAQ:GCTK,6.29,6.29,6.2,6.2,62.0
2025-06-23 19:00:00,NASDAQ:GCTK,6.26,6.445,6.26,6.435,417.0
2025-06-23 19:15:00,NASDAQ:GCTK,6.38,6.38,6.345,6.345,206.0
2025-06-23 19:45:00,NASDAQ:GCTK,6.15,6.15,6.15,6.15,113.0
2025-06-23 20:00:00,NASDAQ:GCTK,6.16,6.16,6.12,6.12,211.0
2025-06-23 20:45:00,NASDAQ:GCTK,6.11,6.11,6.08,6.08,200.0
2025-06-23 21:00:00,NASDAQ:GCTK,6.05,6.05,6.01,6.01,124.0
2025-06-23 22:15:00,NASDAQ:GCTK,6.18,6.18,6.18,6.18,100.0
2025-06-24 00:45:00,NASDAQ:GCTK,6.3,6.3,6.3,6.3,3.0
2025-06-24 01:45:00,NASDAQ:GCTK,6.04,6.04,6.02,6.04,436.0
2025-06-24 11:15:00,NASDAQ:GCTK,6.46,6.46,6.46,6.46,3.0
2025-06-24 12:00:00,NASDAQ:GCTK,6.18,6.24,6.18,6.24,130.0
2025-06-24 12:30:00,NASDAQ:GCTK,6.25,6.25,6.24,6.24,278.0
2025-06-24 15:00:00,NASDAQ:GCTK,6.45,6.5,6.45,6.5,567.0
2025-06-24 15:30:00,NASDAQ:GCTK,6.81,6.81,6.74,6.74,2.0
2025-06-24 16:30:00,NASDAQ:GCTK,6.25,6.25,6.07,6.07,219.0
2025-06-24 17:45:00,NASDAQ:GCTK,6.15,6.15,6.15,6.15,215.0
2025-06-24 18:15:00,NASDAQ:GCTK,6.15,6.15,6.15,6.15,8.0
2025-06-24 18:30:00,NASDAQ:GCTK,6.15,6.15,6.15,6.15,10.0
2025-06-24 18:45:00,NASDAQ:GCTK,6.215,6.29,6.215,6.29,40.0
2025-06-24 19:00:00,NASDAQ:GCTK,6.3,6.4,6.3,6.4,332.0
2025-06-24 19:15:00,NASDAQ:GCTK,6.39,6.39,6.39,6.39,155.0
2025-06-24 19:30:00,NASDAQ:GCTK,6.25,6.25,6.2,6.2,526.0
2025-06-24 20:00:00,NASDAQ:GCTK,6.2,6.2,6.2,6.2,400.0
2025-06-24 22:45:00,NASDAQ:GCTK,6.2,6.2,6.2,6.2,100.0
