datetime,symbol,open,high,low,close,volume
2025-07-10 16:30:00,NASDAQ:INTC,23.63,23.92,23.49,23.715,537433.0
2025-07-10 16:45:00,NASDAQ:INTC,23.715,23.86,23.505,23.585,234950.0
2025-07-10 17:00:00,NASDAQ:INTC,23.59,23.73,23.55,23.715,157684.0
2025-07-10 17:15:00,NASDAQ:INTC,23.72,23.79,23.61,23.765,175961.0
2025-07-10 17:30:00,NASDAQ:INTC,23.77,23.89,23.74,23.825,258244.0
2025-07-10 17:45:00,NASDAQ:INTC,23.83,23.85,23.71,23.75,147963.0
2025-07-10 18:00:00,NASDAQ:INTC,23.745,23.83,23.74,23.79,130702.0
2025-07-10 18:15:00,NASDAQ:INTC,23.79,23.89,23.775,23.82,169481.0
2025-07-10 18:30:00,NASDAQ:INTC,23.82,23.85,23.76,23.81,113495.0
2025-07-10 18:45:00,NASDAQ:INTC,23.82,23.825,23.74,23.755,111595.0
2025-07-10 19:00:00,NASDAQ:INTC,23.75,23.76,23.66,23.68,63637.0
2025-07-10 19:15:00,NASDAQ:INTC,23.68,23.72,23.64,23.715,52400.0
2025-07-10 19:30:00,NASDAQ:INTC,23.72,23.75,23.7,23.73,51045.0
2025-07-10 19:45:00,NASDAQ:INTC,23.73,23.75,23.69,23.69,49158.0
2025-07-10 20:00:00,NASDAQ:INTC,23.685,23.7,23.66,23.67,38381.0
2025-07-10 20:15:00,NASDAQ:INTC,23.68,23.75,23.66,23.74,44748.0
2025-07-10 20:30:00,NASDAQ:INTC,23.74,23.81,23.74,23.79,80690.0
2025-07-10 20:45:00,NASDAQ:INTC,23.795,23.84,23.79,23.81,81759.0
2025-07-10 21:00:00,NASDAQ:INTC,23.815,23.93,23.81,23.9,164562.0
2025-07-10 21:15:00,NASDAQ:INTC,23.89,23.925,23.865,23.92,66699.0
2025-07-10 21:30:00,NASDAQ:INTC,23.92,24.035,23.895,23.955,362998.0
2025-07-10 21:45:00,NASDAQ:INTC,23.955,23.955,23.85,23.885,82352.0
2025-07-10 22:00:00,NASDAQ:INTC,23.88,23.9,23.84,23.885,123103.0
2025-07-10 22:15:00,NASDAQ:INTC,23.885,23.91,23.77,23.775,87000.0
2025-07-10 22:30:00,NASDAQ:INTC,23.78,23.83,23.765,23.82,160546.0
2025-07-10 22:45:00,NASDAQ:INTC,23.815,23.87,23.78,23.81,689501.0
2025-07-10 23:00:00,NASDAQ:INTC,23.82,23.82,23.77,23.78,4966.0
2025-07-10 23:15:00,NASDAQ:INTC,23.78,23.82,23.78,23.8,2793.0
2025-07-10 23:30:00,NASDAQ:INTC,23.8,23.82,23.78,23.82,492.0
2025-07-10 23:45:00,NASDAQ:INTC,23.81,23.82,23.79,23.79,3204.0
2025-07-11 00:00:00,NASDAQ:INTC,23.8,23.82,23.8,23.82,824.0
2025-07-11 00:15:00,NASDAQ:INTC,23.82,23.82,23.76,23.76,10502.0
2025-07-11 00:30:00,NASDAQ:INTC,23.78,23.8,23.77,23.77,1276.0
2025-07-11 00:45:00,NASDAQ:INTC,23.77,23.78,23.77,23.78,312.0
2025-07-11 01:00:00,NASDAQ:INTC,23.76,23.79,23.76,23.77,1150.0
2025-07-11 01:15:00,NASDAQ:INTC,23.78,23.81,23.77,23.8,5816.0
2025-07-11 01:30:00,NASDAQ:INTC,23.81,23.81,23.8,23.8,569.0
2025-07-11 01:45:00,NASDAQ:INTC,23.79,23.81,23.79,23.8,920.0
2025-07-11 02:00:00,NASDAQ:INTC,23.81,23.81,23.8,23.8,408.0
2025-07-11 02:15:00,NASDAQ:INTC,23.8,23.8,23.8,23.8,84.0
2025-07-11 02:45:00,NASDAQ:INTC,23.8,23.8,23.8,23.8,2.0
2025-07-11 11:00:00,NASDAQ:INTC,23.7,23.7,23.59,23.62,12582.0
2025-07-11 11:15:00,NASDAQ:INTC,23.62,23.64,23.55,23.63,7416.0
2025-07-11 11:30:00,NASDAQ:INTC,23.62,23.62,23.59,23.61,3511.0
2025-07-11 11:45:00,NASDAQ:INTC,23.61,23.64,23.61,23.64,3295.0
2025-07-11 12:00:00,NASDAQ:INTC,23.63,23.66,23.63,23.66,3158.0
2025-07-11 12:15:00,NASDAQ:INTC,23.66,23.69,23.64,23.65,3462.0
2025-07-11 12:30:00,NASDAQ:INTC,23.65,23.68,23.64,23.66,5977.0
2025-07-11 12:45:00,NASDAQ:INTC,23.66,23.66,23.6,23.62,6518.0
2025-07-11 13:00:00,NASDAQ:INTC,23.62,23.63,23.6,23.63,5559.0
2025-07-11 13:15:00,NASDAQ:INTC,23.63,23.64,23.6,23.61,5584.0
2025-07-11 13:30:00,NASDAQ:INTC,23.63,23.63,23.59,23.595,5789.0
2025-07-11 13:45:00,NASDAQ:INTC,23.59,23.62,23.59,23.6,3742.0
2025-07-11 14:00:00,NASDAQ:INTC,23.61,23.64,23.6,23.63,7669.0
2025-07-11 14:15:00,NASDAQ:INTC,23.64,23.65,23.63,23.64,2827.0
2025-07-11 14:30:00,NASDAQ:INTC,23.64,23.65,23.61,23.63,2373.0
2025-07-11 14:45:00,NASDAQ:INTC,23.63,23.66,23.59,23.63,8672.0
2025-07-11 15:00:00,NASDAQ:INTC,23.62,23.65,23.62,23.64,4727.0
2025-07-11 15:15:00,NASDAQ:INTC,23.64,23.64,23.6,23.61,3158.0
2025-07-11 15:30:00,NASDAQ:INTC,23.62,23.66,23.61,23.62,5632.0
2025-07-11 15:45:00,NASDAQ:INTC,23.63,23.65,23.63,23.65,2034.0
2025-07-11 16:00:00,NASDAQ:INTC,23.65,23.66,23.62,23.63,5016.0
2025-07-11 16:15:00,NASDAQ:INTC,23.63,23.63,23.56,23.56,10626.0
2025-07-11 16:30:00,NASDAQ:INTC,23.57,23.625,23.165,23.23,388394.0
2025-07-11 16:45:00,NASDAQ:INTC,23.23,23.365,23.175,23.265,227820.0
2025-07-11 17:00:00,NASDAQ:INTC,23.27,23.325,23.23,23.32,225023.0
2025-07-11 17:15:00,NASDAQ:INTC,23.31,23.47,23.275,23.44,136020.0
2025-07-11 17:30:00,NASDAQ:INTC,23.44,23.44,23.33,23.355,124146.0
2025-07-11 17:45:00,NASDAQ:INTC,23.35,23.375,23.245,23.325,127121.0
2025-07-11 18:00:00,NASDAQ:INTC,23.33,23.34,23.29,23.32,85620.0
2025-07-11 18:15:00,NASDAQ:INTC,23.31,23.33,23.275,23.295,71474.0
2025-07-11 18:30:00,NASDAQ:INTC,23.3,23.46,23.3,23.43,115523.0
2025-07-11 18:45:00,NASDAQ:INTC,23.43,23.47,23.41,23.455,66143.0
2025-07-11 19:00:00,NASDAQ:INTC,23.455,23.5,23.415,23.47,80563.0
2025-07-11 19:15:00,NASDAQ:INTC,23.47,23.475,23.345,23.355,174544.0
2025-07-11 19:30:00,NASDAQ:INTC,23.355,23.4,23.35,23.39,37734.0
2025-07-11 19:45:00,NASDAQ:INTC,23.39,23.49,23.375,23.485,59350.0
2025-07-11 20:00:00,NASDAQ:INTC,23.485,23.51,23.45,23.505,45750.0
2025-07-11 20:15:00,NASDAQ:INTC,23.51,23.57,23.51,23.53,85877.0
2025-07-11 20:30:00,NASDAQ:INTC,23.525,23.54,23.48,23.53,59348.0
2025-07-11 20:45:00,NASDAQ:INTC,23.525,23.53,23.485,23.525,38529.0
2025-07-11 21:00:00,NASDAQ:INTC,23.52,23.55,23.49,23.52,49370.0
2025-07-11 21:15:00,NASDAQ:INTC,23.515,23.56,23.515,23.55,57484.0
2025-07-11 21:30:00,NASDAQ:INTC,23.54,23.635,23.54,23.635,64754.0
2025-07-11 21:45:00,NASDAQ:INTC,23.63,23.66,23.59,23.595,74772.0
2025-07-11 22:00:00,NASDAQ:INTC,23.59,23.59,23.5,23.575,117190.0
2025-07-11 22:15:00,NASDAQ:INTC,23.575,23.59,23.48,23.495,150047.0
2025-07-11 22:30:00,NASDAQ:INTC,23.49,23.53,23.465,23.485,122731.0
2025-07-11 22:45:00,NASDAQ:INTC,23.485,23.51,23.41,23.42,522704.0
2025-07-11 23:00:00,NASDAQ:INTC,23.44,23.44,23.4,23.41,4992.0
2025-07-11 23:15:00,NASDAQ:INTC,23.4,23.44,23.4,23.44,8006.0
2025-07-11 23:30:00,NASDAQ:INTC,23.46,23.48,23.42,23.46,452.0
2025-07-11 23:45:00,NASDAQ:INTC,23.45,23.46,23.43,23.44,603.0
2025-07-12 00:00:00,NASDAQ:INTC,23.43,23.44,23.42,23.43,407.0
2025-07-12 00:15:00,NASDAQ:INTC,23.44,23.44,23.41,23.41,567.0
2025-07-12 00:30:00,NASDAQ:INTC,23.41,23.43,23.41,23.43,436.0
2025-07-12 00:45:00,NASDAQ:INTC,23.43,23.43,23.43,23.43,224.0
2025-07-12 01:00:00,NASDAQ:INTC,23.44,23.44,23.41,23.43,92.0
2025-07-12 01:15:00,NASDAQ:INTC,23.42,23.42,23.41,23.41,19.0
2025-07-12 01:30:00,NASDAQ:INTC,23.41,23.42,23.41,23.42,385.0
2025-07-12 01:45:00,NASDAQ:INTC,23.41,23.43,23.41,23.43,5574.0
2025-07-12 02:00:00,NASDAQ:INTC,23.42,23.42,23.41,23.42,449.0
2025-07-12 02:30:00,NASDAQ:INTC,23.41,23.42,23.41,23.42,1235.0
2025-07-12 02:45:00,NASDAQ:INTC,23.41,23.42,23.41,23.41,3993.0
2025-07-14 11:00:00,NASDAQ:INTC,23.34,23.37,23.23,23.26,13538.0
2025-07-14 11:15:00,NASDAQ:INTC,23.25,23.29,23.25,23.29,4411.0
2025-07-14 11:30:00,NASDAQ:INTC,23.28,23.28,23.27,23.27,3304.0
2025-07-14 11:45:00,NASDAQ:INTC,23.27,23.32,23.27,23.31,6322.0
2025-07-14 12:00:00,NASDAQ:INTC,23.3,23.32,23.3,23.3,6054.0
2025-07-14 12:15:00,NASDAQ:INTC,23.31,23.31,23.3,23.3,1786.0
2025-07-14 12:30:00,NASDAQ:INTC,23.3,23.32,23.29,23.31,1804.0
2025-07-14 12:45:00,NASDAQ:INTC,23.32,23.32,23.29,23.29,757.0
2025-07-14 13:00:00,NASDAQ:INTC,23.3,23.3,23.26,23.27,2257.0
2025-07-14 13:15:00,NASDAQ:INTC,23.28,23.31,23.27,23.29,5583.0
2025-07-14 13:30:00,NASDAQ:INTC,23.29,23.29,23.23,23.26,8457.0
2025-07-14 13:45:00,NASDAQ:INTC,23.26,23.29,23.24,23.26,3383.0
2025-07-14 14:00:00,NASDAQ:INTC,23.28,23.29,23.24,23.29,9087.0
2025-07-14 14:15:00,NASDAQ:INTC,23.28,23.28,23.24,23.24,4137.0
2025-07-14 14:30:00,NASDAQ:INTC,23.25,23.27,23.24,23.26,2987.0
2025-07-14 14:45:00,NASDAQ:INTC,23.25,23.26,23.24,23.26,1677.0
2025-07-14 15:00:00,NASDAQ:INTC,23.25,23.37,23.24,23.36,19085.0
2025-07-14 15:15:00,NASDAQ:INTC,23.37,23.37,23.33,23.35,1327.0
2025-07-14 15:30:00,NASDAQ:INTC,23.34,23.34,23.28,23.32,5103.0
2025-07-14 15:45:00,NASDAQ:INTC,23.32,23.33,23.28,23.29,5302.0
2025-07-14 16:00:00,NASDAQ:INTC,23.29,23.29,23.25,23.28,5139.0
2025-07-14 16:15:00,NASDAQ:INTC,23.28,23.3,23.23,23.28,9150.0
2025-07-14 16:30:00,NASDAQ:INTC,23.26,23.28,22.97,23.0,495989.0
2025-07-14 16:45:00,NASDAQ:INTC,22.995,23.14,22.95,22.96,274253.0
2025-07-14 17:00:00,NASDAQ:INTC,22.96,23.055,22.88,23.04,219124.0
2025-07-14 17:15:00,NASDAQ:INTC,23.035,23.14,23.015,23.045,152238.0
2025-07-14 17:30:00,NASDAQ:INTC,23.04,23.165,23.035,23.15,144986.0
2025-07-14 17:45:00,NASDAQ:INTC,23.15,23.16,23.085,23.12,59141.0
2025-07-14 18:00:00,NASDAQ:INTC,23.12,23.185,23.11,23.16,89050.0
2025-07-14 18:15:00,NASDAQ:INTC,23.15,23.15,23.085,23.145,95033.0
2025-07-14 18:30:00,NASDAQ:INTC,23.14,23.175,23.115,23.125,70387.0
2025-07-14 18:45:00,NASDAQ:INTC,23.13,23.175,23.09,23.16,69644.0
2025-07-14 19:00:00,NASDAQ:INTC,23.15,23.185,23.13,23.145,58931.0
2025-07-14 19:15:00,NASDAQ:INTC,23.14,23.145,23.08,23.135,78914.0
2025-07-14 19:30:00,NASDAQ:INTC,23.135,23.15,23.11,23.135,63557.0
2025-07-14 19:45:00,NASDAQ:INTC,23.13,23.175,23.12,23.15,55636.0
2025-07-14 20:00:00,NASDAQ:INTC,23.155,23.175,23.13,23.17,59502.0
2025-07-14 20:15:00,NASDAQ:INTC,23.17,23.17,23.11,23.155,37232.0
2025-07-14 20:30:00,NASDAQ:INTC,23.155,23.275,23.15,23.245,109136.0
2025-07-14 20:45:00,NASDAQ:INTC,23.25,23.32,23.24,23.3,103917.0
2025-07-14 21:00:00,NASDAQ:INTC,23.3,23.35,23.28,23.34,70698.0
2025-07-14 21:15:00,NASDAQ:INTC,23.34,23.36,23.32,23.33,37852.0
2025-07-14 21:30:00,NASDAQ:INTC,23.32,23.4,23.32,23.355,148716.0
2025-07-14 21:45:00,NASDAQ:INTC,23.355,23.385,23.32,23.34,82437.0
2025-07-14 22:00:00,NASDAQ:INTC,23.345,23.37,23.26,23.29,92906.0
2025-07-14 22:15:00,NASDAQ:INTC,23.29,23.335,23.27,23.295,100052.0
2025-07-14 22:30:00,NASDAQ:INTC,23.29,23.29,23.225,23.28,96994.0
2025-07-14 22:45:00,NASDAQ:INTC,23.27,23.335,23.25,23.31,271334.0
2025-07-14 23:00:00,NASDAQ:INTC,23.32,23.35,23.32,23.34,4530.0
2025-07-14 23:15:00,NASDAQ:INTC,23.33,23.35,23.33,23.35,256.0
2025-07-14 23:30:00,NASDAQ:INTC,23.34,23.35,23.33,23.33,2001.0
2025-07-14 23:45:00,NASDAQ:INTC,23.34,23.34,23.33,23.33,670.0
2025-07-15 00:00:00,NASDAQ:INTC,23.34,23.36,23.33,23.34,1500.0
2025-07-15 00:15:00,NASDAQ:INTC,23.34,23.35,23.33,23.35,1035.0
2025-07-15 00:30:00,NASDAQ:INTC,23.33,23.35,23.33,23.33,849.0
2025-07-15 00:45:00,NASDAQ:INTC,23.33,23.34,23.31,23.34,536.0
2025-07-15 01:00:00,NASDAQ:INTC,23.31,23.33,23.31,23.31,1983.0
2025-07-15 01:15:00,NASDAQ:INTC,23.31,23.32,23.31,23.31,764.0
2025-07-15 01:30:00,NASDAQ:INTC,23.3,23.31,23.29,23.3,939.0
2025-07-15 01:45:00,NASDAQ:INTC,23.3,23.3,23.27,23.27,27.0
2025-07-15 02:00:00,NASDAQ:INTC,23.29,23.29,23.29,23.29,200.0
2025-07-15 02:15:00,NASDAQ:INTC,23.29,23.29,23.27,23.29,372.0
2025-07-15 02:30:00,NASDAQ:INTC,23.3,23.3,23.29,23.3,377.0
2025-07-15 02:45:00,NASDAQ:INTC,23.3,23.3,23.29,23.3,99.0
2025-07-15 11:00:00,NASDAQ:INTC,23.42,23.49,23.32,23.48,16081.0
2025-07-15 11:15:00,NASDAQ:INTC,23.49,23.51,23.45,23.49,8180.0
2025-07-15 11:30:00,NASDAQ:INTC,23.49,23.51,23.48,23.48,8955.0
2025-07-15 11:45:00,NASDAQ:INTC,23.48,23.49,23.47,23.48,7787.0
2025-07-15 12:00:00,NASDAQ:INTC,23.49,23.49,23.48,23.49,3165.0
2025-07-15 12:15:00,NASDAQ:INTC,23.48,23.5,23.48,23.49,7522.0
2025-07-15 12:30:00,NASDAQ:INTC,23.5,23.51,23.49,23.5,5149.0
2025-07-15 12:45:00,NASDAQ:INTC,23.49,23.51,23.48,23.5,4833.0
2025-07-15 13:00:00,NASDAQ:INTC,23.5,23.53,23.49,23.52,7110.0
2025-07-15 13:15:00,NASDAQ:INTC,23.52,23.61,23.52,23.58,7999.0
2025-07-15 13:30:00,NASDAQ:INTC,23.58,23.58,23.55,23.56,10731.0
2025-07-15 13:45:00,NASDAQ:INTC,23.56,23.56,23.54,23.56,3464.0
2025-07-15 14:00:00,NASDAQ:INTC,23.55,23.57,23.54,23.55,35550.0
2025-07-15 14:15:00,NASDAQ:INTC,23.55,23.55,23.53,23.55,3884.0
2025-07-15 14:30:00,NASDAQ:INTC,23.55,23.56,23.54,23.54,2333.0
2025-07-15 14:45:00,NASDAQ:INTC,23.53,23.53,23.51,23.53,5744.0
2025-07-15 15:00:00,NASDAQ:INTC,23.52,23.53,23.5,23.51,6524.0
2025-07-15 15:15:00,NASDAQ:INTC,23.51,23.52,23.5,23.51,4348.0
2025-07-15 15:30:00,NASDAQ:INTC,23.53,23.56,23.48,23.48,30028.0
2025-07-15 15:45:00,NASDAQ:INTC,23.49,23.56,23.49,23.55,24392.0
2025-07-15 16:00:00,NASDAQ:INTC,23.55,23.59,23.54,23.58,128999.0
2025-07-15 16:15:00,NASDAQ:INTC,23.57,23.61,23.54,23.59,24325.0
2025-07-15 16:30:00,NASDAQ:INTC,23.59,23.78,23.52,23.535,433263.0
2025-07-15 16:45:00,NASDAQ:INTC,23.54,23.615,23.445,23.455,292053.0
2025-07-15 17:00:00,NASDAQ:INTC,23.455,23.56,23.34,23.56,188064.0
2025-07-15 17:15:00,NASDAQ:INTC,23.56,23.59,23.455,23.47,90846.0
2025-07-15 17:30:00,NASDAQ:INTC,23.47,23.48,23.37,23.415,152600.0
2025-07-15 17:45:00,NASDAQ:INTC,23.41,23.48,23.35,23.37,93856.0
2025-07-15 18:00:00,NASDAQ:INTC,23.37,23.43,23.335,23.34,98544.0
2025-07-15 18:15:00,NASDAQ:INTC,23.335,23.43,23.335,23.415,120572.0
2025-07-15 18:30:00,NASDAQ:INTC,23.41,23.46,23.355,23.4,144022.0
2025-07-15 18:45:00,NASDAQ:INTC,23.41,23.44,23.37,23.415,84102.0
2025-07-15 19:00:00,NASDAQ:INTC,23.415,23.415,23.32,23.37,142774.0
2025-07-15 19:15:00,NASDAQ:INTC,23.37,23.38,23.3,23.32,85491.0
2025-07-15 19:30:00,NASDAQ:INTC,23.315,23.315,23.23,23.29,95514.0
2025-07-15 19:45:00,NASDAQ:INTC,23.28,23.3,23.2,23.225,111635.0
2025-07-15 20:00:00,NASDAQ:INTC,23.23,23.27,23.16,23.165,122041.0
2025-07-15 20:15:00,NASDAQ:INTC,23.165,23.225,23.12,23.225,74393.0
2025-07-15 20:30:00,NASDAQ:INTC,23.23,23.275,23.22,23.23,63544.0
2025-07-15 20:45:00,NASDAQ:INTC,23.24,23.29,23.225,23.285,55904.0
2025-07-15 21:00:00,NASDAQ:INTC,23.29,23.33,23.26,23.285,105284.0
2025-07-15 21:15:00,NASDAQ:INTC,23.29,23.31,23.205,23.23,116778.0
2025-07-15 21:30:00,NASDAQ:INTC,23.23,23.235,23.135,23.14,186240.0
2025-07-15 21:45:00,NASDAQ:INTC,23.145,23.16,23.05,23.05,224719.0
2025-07-15 22:00:00,NASDAQ:INTC,23.05,23.145,23.03,23.085,152327.0
2025-07-15 22:15:00,NASDAQ:INTC,23.085,23.09,23.015,23.025,169028.0
2025-07-15 22:30:00,NASDAQ:INTC,23.03,23.03,22.97,22.995,222671.0
2025-07-15 22:45:00,NASDAQ:INTC,22.995,23.005,22.9,22.91,679422.0
2025-07-15 23:00:00,NASDAQ:INTC,22.91,22.96,22.88,22.88,28494.0
2025-07-15 23:15:00,NASDAQ:INTC,22.89,22.92,22.86,22.92,4948.0
2025-07-15 23:30:00,NASDAQ:INTC,22.91,22.92,22.87,22.88,4330.0
2025-07-15 23:45:00,NASDAQ:INTC,22.87,22.88,22.835,22.835,5942.0
2025-07-16 00:00:00,NASDAQ:INTC,22.835,22.86,22.81,22.84,1178.0
2025-07-16 00:15:00,NASDAQ:INTC,22.85,22.85,22.82,22.84,1692.0
2025-07-16 00:30:00,NASDAQ:INTC,22.83,22.85,22.83,22.85,535.0
2025-07-16 00:45:00,NASDAQ:INTC,22.85,22.89,22.84,22.89,2007.0
2025-07-16 01:00:00,NASDAQ:INTC,22.89,22.91,22.87,22.9,3411.0
2025-07-16 01:15:00,NASDAQ:INTC,22.89,22.92,22.88,22.92,1676.0
2025-07-16 01:30:00,NASDAQ:INTC,22.9,22.92,22.86,22.87,2135.0
2025-07-16 01:45:00,NASDAQ:INTC,22.88,22.9,22.87,22.9,707.0
2025-07-16 02:00:00,NASDAQ:INTC,22.88,22.88,22.88,22.88,53.0
2025-07-16 02:15:00,NASDAQ:INTC,22.89,22.9,22.87,22.9,1121.0
2025-07-16 02:30:00,NASDAQ:INTC,22.9,22.91,22.9,22.9,1516.0
2025-07-16 02:45:00,NASDAQ:INTC,22.89,22.91,22.89,22.9,544.0
2025-07-16 11:00:00,NASDAQ:INTC,22.86,22.93,22.85,22.88,8205.0
2025-07-16 11:15:00,NASDAQ:INTC,22.88,22.9,22.86,22.87,10354.0
2025-07-16 11:30:00,NASDAQ:INTC,22.87,22.88,22.84,22.88,3229.0
2025-07-16 11:45:00,NASDAQ:INTC,22.88,22.88,22.82,22.83,6387.0
2025-07-16 12:00:00,NASDAQ:INTC,22.83,22.83,22.75,22.75,8125.0
2025-07-16 12:15:00,NASDAQ:INTC,22.74,22.77,22.72,22.72,13580.0
2025-07-16 12:30:00,NASDAQ:INTC,22.73,22.74,22.73,22.74,4478.0
2025-07-16 12:45:00,NASDAQ:INTC,22.73,22.77,22.73,22.76,4694.0
2025-07-16 13:00:00,NASDAQ:INTC,22.76,22.79,22.75,22.79,1808.0
2025-07-16 13:15:00,NASDAQ:INTC,22.79,22.79,22.77,22.78,3655.0
2025-07-16 13:30:00,NASDAQ:INTC,22.78,22.82,22.77,22.8,9031.0
2025-07-16 13:45:00,NASDAQ:INTC,22.8,22.85,22.8,22.85,3060.0
2025-07-16 14:00:00,NASDAQ:INTC,22.85,22.86,22.76,22.76,13614.0
2025-07-16 14:15:00,NASDAQ:INTC,22.77,22.85,22.77,22.8,6486.0
2025-07-16 14:30:00,NASDAQ:INTC,22.8,22.8,22.79,22.79,5401.0
