datetime,symbol,open,high,low,close,volume
2025-07-08 21:30:00,NASDAQ:JD,32.77,32.79,32.745,32.745,11387.0
2025-07-08 21:45:00,NASDAQ:JD,32.74,32.745,32.7,32.715,14956.0
2025-07-08 22:00:00,NASDAQ:JD,32.71,32.71,32.65,32.665,19660.0
2025-07-08 22:15:00,NASDAQ:JD,32.67,32.7,32.66,32.695,17741.0
2025-07-08 22:30:00,NASDAQ:JD,32.695,32.7,32.65,32.655,32236.0
2025-07-08 22:45:00,NASDAQ:JD,32.66,32.715,32.645,32.715,114133.0
2025-07-08 23:15:00,NASDAQ:JD,32.75,32.75,32.75,32.75,1.0
2025-07-08 23:30:00,NASDAQ:JD,32.75,32.75,32.74,32.74,461.0
2025-07-08 23:45:00,NASDAQ:JD,32.78,32.79,32.77,32.77,263.0
2025-07-09 00:00:00,NASDAQ:JD,32.8,32.8,32.7,32.7,483.0
2025-07-09 01:30:00,NASDAQ:JD,32.85,32.85,32.85,32.85,32.0
2025-07-09 01:45:00,NASDAQ:JD,32.84,32.84,32.84,32.84,91.0
2025-07-09 02:45:00,NASDAQ:JD,32.76,32.76,32.76,32.76,9.0
2025-07-09 11:00:00,NASDAQ:JD,32.14,32.14,31.94,32.05,4442.0
2025-07-09 11:15:00,NASDAQ:JD,32.05,32.05,32.03,32.03,104.0
2025-07-09 11:30:00,NASDAQ:JD,32.03,32.03,31.97,31.97,527.0
2025-07-09 11:45:00,NASDAQ:JD,32.03,32.05,32.03,32.05,8.0
2025-07-09 12:00:00,NASDAQ:JD,32.03,32.04,32.03,32.04,125.0
2025-07-09 12:15:00,NASDAQ:JD,32.05,32.1,32.05,32.08,565.0
2025-07-09 12:30:00,NASDAQ:JD,32.12,32.12,32.12,32.12,500.0
2025-07-09 12:45:00,NASDAQ:JD,32.13,32.13,32.12,32.12,406.0
2025-07-09 13:00:00,NASDAQ:JD,32.12,32.12,32.11,32.11,26.0
2025-07-09 13:15:00,NASDAQ:JD,32.08,32.12,32.08,32.12,103.0
2025-07-09 13:30:00,NASDAQ:JD,32.1,32.1,32.09,32.1,178.0
2025-07-09 13:45:00,NASDAQ:JD,32.1,32.1,32.08,32.08,722.0
2025-07-09 14:00:00,NASDAQ:JD,32.1,32.12,32.1,32.12,495.0
2025-07-09 14:15:00,NASDAQ:JD,32.12,32.15,32.12,32.14,729.0
2025-07-09 14:30:00,NASDAQ:JD,32.14,32.18,32.13,32.165,7631.0
2025-07-09 14:45:00,NASDAQ:JD,32.16,32.17,32.16,32.17,1303.0
2025-07-09 15:00:00,NASDAQ:JD,32.14,32.14,32.13,32.13,69.0
2025-07-09 15:15:00,NASDAQ:JD,32.15,32.18,32.15,32.17,363.0
2025-07-09 15:30:00,NASDAQ:JD,32.16,32.18,32.15,32.15,660.0
2025-07-09 15:45:00,NASDAQ:JD,32.15,32.16,32.13,32.16,1772.0
2025-07-09 16:00:00,NASDAQ:JD,32.15,32.15,32.13,32.13,854.0
2025-07-09 16:15:00,NASDAQ:JD,32.14,32.32,32.07,32.07,22189.0
2025-07-09 16:30:00,NASDAQ:JD,32.06,32.06,31.55,31.62,283761.0
2025-07-09 16:45:00,NASDAQ:JD,31.62,31.68,31.535,31.59,98215.0
2025-07-09 17:00:00,NASDAQ:JD,31.6,31.63,31.53,31.58,69769.0
2025-07-09 17:15:00,NASDAQ:JD,31.58,31.64,31.58,31.635,51298.0
2025-07-09 17:30:00,NASDAQ:JD,31.63,31.63,31.525,31.565,103448.0
2025-07-09 17:45:00,NASDAQ:JD,31.55,31.555,31.445,31.485,99218.0
2025-07-09 18:00:00,NASDAQ:JD,31.48,31.5,31.44,31.45,43591.0
2025-07-09 18:15:00,NASDAQ:JD,31.445,31.475,31.4,31.455,71883.0
2025-07-09 18:30:00,NASDAQ:JD,31.455,31.52,31.44,31.515,58096.0
2025-07-09 18:45:00,NASDAQ:JD,31.52,31.565,31.505,31.555,22870.0
2025-07-09 19:00:00,NASDAQ:JD,31.56,31.575,31.525,31.54,18481.0
2025-07-09 19:15:00,NASDAQ:JD,31.545,31.6,31.545,31.555,18194.0
2025-07-09 19:30:00,NASDAQ:JD,31.555,31.555,31.525,31.54,17779.0
2025-07-09 19:45:00,NASDAQ:JD,31.535,31.585,31.535,31.55,16973.0
2025-07-09 20:00:00,NASDAQ:JD,31.555,31.57,31.54,31.555,7977.0
2025-07-09 20:15:00,NASDAQ:JD,31.55,31.575,31.54,31.575,20571.0
2025-07-09 20:30:00,NASDAQ:JD,31.58,31.585,31.53,31.57,31187.0
2025-07-09 20:45:00,NASDAQ:JD,31.565,31.595,31.56,31.57,14448.0
2025-07-09 21:00:00,NASDAQ:JD,31.57,31.59,31.56,31.57,16580.0
2025-07-09 21:15:00,NASDAQ:JD,31.565,31.595,31.545,31.58,20233.0
2025-07-09 21:30:00,NASDAQ:JD,31.58,31.61,31.565,31.61,17576.0
2025-07-09 21:45:00,NASDAQ:JD,31.605,31.62,31.59,31.62,24392.0
2025-07-09 22:00:00,NASDAQ:JD,31.62,31.675,31.62,31.665,12897.0
2025-07-09 22:15:00,NASDAQ:JD,31.66,31.71,31.64,31.705,56827.0
2025-07-09 22:30:00,NASDAQ:JD,31.705,31.705,31.61,31.61,51870.0
2025-07-09 22:45:00,NASDAQ:JD,31.61,31.63,31.585,31.595,156622.0
2025-07-09 23:00:00,NASDAQ:JD,31.69,31.74,31.61,31.61,1190.0
2025-07-09 23:15:00,NASDAQ:JD,31.66,31.66,31.66,31.66,67.0
2025-07-09 23:30:00,NASDAQ:JD,31.66,31.67,31.65,31.67,94.0
2025-07-09 23:45:00,NASDAQ:JD,31.63,31.67,31.63,31.66,495.0
2025-07-10 00:00:00,NASDAQ:JD,31.63,31.69,31.63,31.67,130.0
2025-07-10 00:15:00,NASDAQ:JD,31.68,31.68,31.68,31.68,16.0
2025-07-10 00:30:00,NASDAQ:JD,31.68,31.68,31.68,31.68,31.0
2025-07-10 00:45:00,NASDAQ:JD,31.68,31.68,31.65,31.65,223.0
2025-07-10 01:15:00,NASDAQ:JD,31.66,31.66,31.66,31.66,60.0
2025-07-10 01:30:00,NASDAQ:JD,31.65,31.69,31.65,31.69,29.0
2025-07-10 01:45:00,NASDAQ:JD,31.69,31.71,31.69,31.71,111.0
2025-07-10 02:15:00,NASDAQ:JD,31.73,31.73,31.73,31.73,17.0
2025-07-10 02:30:00,NASDAQ:JD,31.72,31.72,31.7,31.7,2040.0
2025-07-10 02:45:00,NASDAQ:JD,31.7,31.71,31.7,31.71,205.0
2025-07-10 11:00:00,NASDAQ:JD,31.7,31.7,31.53,31.56,1178.0
