datetime,symbol,open,high,low,close,volume
2025-06-12 17:00:00,NASDAQ:LMFA,1.81,1.81,1.81,1.81,6557.0
2025-06-12 17:15:00,NASDAQ:LMFA,1.78,1.78,1.75,1.76,478.0
2025-06-12 17:30:00,NASDAQ:LMFA,1.76,1.76,1.7,1.72,666.0
2025-06-12 18:00:00,NASDAQ:LMFA,1.72,1.72,1.72,1.72,57.0
2025-06-12 19:30:00,NASDAQ:LMFA,1.75,1.75,1.69,1.69,369.0
2025-06-12 19:45:00,NASDAQ:LMFA,1.705,1.71,1.705,1.71,153.0
2025-06-12 22:00:00,NASDAQ:LMFA,1.73,1.73,1.73,1.73,100.0
2025-06-12 22:30:00,NASDAQ:LMFA,1.72,1.72,1.72,1.72,100.0
2025-06-12 22:45:00,NASDAQ:LMFA,1.7,1.7,1.68,1.68,466.0
2025-06-13 00:00:00,NASDAQ:LMFA,1.68,1.68,1.68,1.68,20.0
2025-06-13 16:45:00,NASDAQ:LMFA,1.68,1.68,1.68,1.68,105.0
2025-06-13 17:00:00,NASDAQ:LMFA,1.67,1.67,1.67,1.67,1.0
2025-06-13 17:30:00,NASDAQ:LMFA,1.67,1.67,1.67,1.67,118.0
2025-06-13 18:15:00,NASDAQ:LMFA,1.68,1.68,1.68,1.68,100.0
2025-06-13 19:00:00,NASDAQ:LMFA,1.67,1.67,1.67,1.67,25.0
2025-06-13 22:30:00,NASDAQ:LMFA,1.66,1.66,1.64,1.64,2709.0
2025-06-13 22:45:00,NASDAQ:LMFA,1.65,1.65,1.65,1.65,10.0
2025-06-16 17:45:00,NASDAQ:LMFA,1.67,1.72,1.67,1.72,2245.0
2025-06-16 18:15:00,NASDAQ:LMFA,1.73,1.73,1.73,1.73,100.0
2025-06-16 19:45:00,NASDAQ:LMFA,1.725,1.725,1.725,1.725,100.0
2025-06-16 20:30:00,NASDAQ:LMFA,1.74,1.74,1.74,1.74,2100.0
2025-06-16 22:00:00,NASDAQ:LMFA,1.76,1.76,1.76,1.76,100.0
2025-06-16 22:15:00,NASDAQ:LMFA,1.72,1.72,1.72,1.72,500.0
2025-06-16 22:30:00,NASDAQ:LMFA,1.75,1.75,1.75,1.75,5000.0
2025-06-16 22:45:00,NASDAQ:LMFA,1.76,1.77,1.76,1.77,1116.0
2025-06-17 20:00:00,NASDAQ:LMFA,1.76,1.76,1.76,1.76,2.0
2025-06-17 21:15:00,NASDAQ:LMFA,1.73,1.73,1.73,1.73,100.0
2025-06-17 22:30:00,NASDAQ:LMFA,1.72,1.72,1.71,1.71,1100.0
