datetime,symbol,open,high,low,close,volume
2025-07-10 17:00:00,NASDAQ:MARA,18.04,18.225,18.0,18.16,199741.0
2025-07-10 17:15:00,NASDAQ:MARA,18.17,18.295,17.97,18.035,182105.0
2025-07-10 17:30:00,NASDAQ:MARA,18.04,18.17,18.01,18.14,107218.0
2025-07-10 17:45:00,NASDAQ:MARA,18.14,18.395,18.13,18.34,205646.0
2025-07-10 18:00:00,NASDAQ:MARA,18.345,18.46,18.345,18.39,137301.0
2025-07-10 18:15:00,NASDAQ:MARA,18.4,18.555,18.365,18.47,150894.0
2025-07-10 18:30:00,NASDAQ:MARA,18.465,18.555,18.43,18.53,78072.0
2025-07-10 18:45:00,NASDAQ:MARA,18.54,18.55,18.415,18.45,71480.0
2025-07-10 19:00:00,NASDAQ:MARA,18.46,18.63,18.46,18.575,147593.0
2025-07-10 19:15:00,NASDAQ:MARA,18.58,18.8,18.58,18.735,191671.0
2025-07-10 19:30:00,NASDAQ:MARA,18.74,18.83,18.705,18.82,191461.0
2025-07-10 19:45:00,NASDAQ:MARA,18.81,18.81,18.7,18.775,72812.0
2025-07-10 20:00:00,NASDAQ:MARA,18.775,18.975,18.77,18.955,180446.0
2025-07-10 20:15:00,NASDAQ:MARA,18.955,19.09,18.94,19.02,328942.0
2025-07-10 20:30:00,NASDAQ:MARA,19.025,19.155,18.99,19.13,153266.0
2025-07-10 20:45:00,NASDAQ:MARA,19.135,19.19,19.07,19.165,89918.0
2025-07-10 21:00:00,NASDAQ:MARA,19.16,19.17,18.975,19.02,168342.0
2025-07-10 21:15:00,NASDAQ:MARA,19.03,19.09,18.96,18.98,81888.0
2025-07-10 21:30:00,NASDAQ:MARA,18.975,18.985,18.85,18.895,101166.0
2025-07-10 21:45:00,NASDAQ:MARA,18.89,18.97,18.815,18.92,108539.0
2025-07-10 22:00:00,NASDAQ:MARA,18.915,19.045,18.9,19.025,72985.0
2025-07-10 22:15:00,NASDAQ:MARA,19.025,19.085,18.945,18.955,144961.0
2025-07-10 22:30:00,NASDAQ:MARA,18.95,18.985,18.9,18.93,219668.0
2025-07-10 22:45:00,NASDAQ:MARA,18.93,19.01,18.83,18.99,338914.0
2025-07-10 23:00:00,NASDAQ:MARA,18.99,19.03,18.97,19.03,7872.0
2025-07-10 23:15:00,NASDAQ:MARA,19.03,19.04,18.96,19.01,6802.0
2025-07-10 23:30:00,NASDAQ:MARA,19.01,19.05,19.01,19.05,5815.0
2025-07-10 23:45:00,NASDAQ:MARA,19.04,19.05,19.01,19.01,5559.0
2025-07-11 00:00:00,NASDAQ:MARA,19.01,19.05,19.0,19.04,928.0
2025-07-11 00:15:00,NASDAQ:MARA,19.04,19.49,19.04,19.44,70865.0
2025-07-11 00:30:00,NASDAQ:MARA,19.42,19.51,19.42,19.49,56638.0
2025-07-11 00:45:00,NASDAQ:MARA,19.48,19.55,19.41,19.43,19579.0
2025-07-11 01:00:00,NASDAQ:MARA,19.44,19.55,19.43,19.5,15883.0
2025-07-11 01:15:00,NASDAQ:MARA,19.51,19.51,19.45,19.46,9552.0
2025-07-11 01:30:00,NASDAQ:MARA,19.45,19.47,19.43,19.44,3389.0
2025-07-11 01:45:00,NASDAQ:MARA,19.44,19.44,19.42,19.42,2595.0
2025-07-11 02:00:00,NASDAQ:MARA,19.42,19.43,19.41,19.43,389.0
2025-07-11 02:15:00,NASDAQ:MARA,19.44,19.44,19.42,19.43,1635.0
2025-07-11 02:30:00,NASDAQ:MARA,19.42,19.42,19.41,19.41,4221.0
2025-07-11 02:45:00,NASDAQ:MARA,19.41,19.49,19.41,19.49,4167.0
2025-07-11 11:00:00,NASDAQ:MARA,19.67,19.88,19.56,19.56,40528.0
2025-07-11 11:15:00,NASDAQ:MARA,19.56,19.71,19.51,19.68,19409.0
2025-07-11 11:30:00,NASDAQ:MARA,19.67,19.71,19.61,19.68,21129.0
2025-07-11 11:45:00,NASDAQ:MARA,19.68,19.79,19.67,19.79,17899.0
2025-07-11 12:00:00,NASDAQ:MARA,19.78,19.84,19.77,19.81,16435.0
2025-07-11 12:15:00,NASDAQ:MARA,19.8,19.83,19.77,19.78,17413.0
2025-07-11 12:30:00,NASDAQ:MARA,19.78,19.89,19.78,19.86,17700.0
2025-07-11 12:45:00,NASDAQ:MARA,19.85,19.89,19.74,19.74,9572.0
2025-07-11 13:00:00,NASDAQ:MARA,19.74,19.8,19.67,19.67,22048.0
2025-07-11 13:15:00,NASDAQ:MARA,19.67,19.72,19.61,19.71,21555.0
2025-07-11 13:30:00,NASDAQ:MARA,19.7,19.71,19.53,19.62,33639.0
2025-07-11 13:45:00,NASDAQ:MARA,19.63,19.7,19.62,19.66,9484.0
2025-07-11 14:00:00,NASDAQ:MARA,19.67,19.68,19.56,19.6,32361.0
2025-07-11 14:15:00,NASDAQ:MARA,19.62,19.64,19.55,19.64,15692.0
2025-07-11 14:30:00,NASDAQ:MARA,19.63,19.68,19.61,19.65,14542.0
2025-07-11 14:45:00,NASDAQ:MARA,19.65,19.68,19.56,19.66,7680.0
2025-07-11 15:00:00,NASDAQ:MARA,19.65,19.78,19.62,19.77,26319.0
2025-07-11 15:15:00,NASDAQ:MARA,19.77,19.78,19.54,19.62,54892.0
2025-07-11 15:30:00,NASDAQ:MARA,19.62,19.74,19.599,19.71,25858.0
2025-07-11 15:45:00,NASDAQ:MARA,19.71,19.76,19.7,19.73,18945.0
2025-07-11 16:00:00,NASDAQ:MARA,19.73,19.75,19.63,19.67,22423.0
2025-07-11 16:15:00,NASDAQ:MARA,19.7,19.74,19.5,19.51,22891.0
2025-07-11 16:30:00,NASDAQ:MARA,19.49,19.725,19.275,19.38,827289.0
2025-07-11 16:45:00,NASDAQ:MARA,19.375,19.49,19.2,19.455,336313.0
2025-07-11 17:00:00,NASDAQ:MARA,19.45,19.675,19.415,19.65,323343.0
2025-07-11 17:15:00,NASDAQ:MARA,19.645,19.77,19.605,19.66,217839.0
2025-07-11 17:30:00,NASDAQ:MARA,19.655,19.74,19.45,19.47,215920.0
2025-07-11 17:45:00,NASDAQ:MARA,19.46,19.605,19.365,19.42,231289.0
2025-07-11 18:00:00,NASDAQ:MARA,19.43,19.645,19.41,19.56,189717.0
2025-07-11 18:15:00,NASDAQ:MARA,19.56,19.765,19.555,19.64,222328.0
