datetime,symbol,open,high,low,close,volume
2025-07-09 23:15:00,NASDAQ:MRNA,32.79,32.83,32.78,32.79,139.0
2025-07-09 23:30:00,NASDAQ:MRNA,32.78,32.81,32.78,32.81,66.0
2025-07-09 23:45:00,NASDAQ:MRNA,32.79,32.83,32.79,32.83,7.0
2025-07-10 00:00:00,NASDAQ:MRNA,32.84,32.84,32.82,32.84,75.0
2025-07-10 00:15:00,NASDAQ:MRNA,32.84,32.87,32.81,32.87,56.0
2025-07-10 00:30:00,NASDAQ:MRNA,32.87,32.87,32.87,32.87,11.0
2025-07-10 00:45:00,NASDAQ:MRNA,32.85,32.85,32.85,32.85,205.0
2025-07-10 01:00:00,NASDAQ:MRNA,32.81,32.81,32.81,32.81,320.0
2025-07-10 01:30:00,NASDAQ:MRNA,32.85,32.85,32.85,32.85,1.0
2025-07-10 01:45:00,NASDAQ:MRNA,32.85,32.85,32.85,32.85,4.0
2025-07-10 02:00:00,NASDAQ:MRNA,32.84,32.86,32.84,32.86,233.0
2025-07-10 02:15:00,NASDAQ:MRNA,32.84,32.88,32.84,32.88,106.0
2025-07-10 02:30:00,NASDAQ:MRNA,32.88,32.88,32.87,32.87,22.0
2025-07-10 02:45:00,NASDAQ:MRNA,32.87,32.88,32.86,32.88,241.0
2025-07-10 11:00:00,NASDAQ:MRNA,32.78,32.86,32.51,32.75,1270.0
2025-07-10 11:15:00,NASDAQ:MRNA,32.7,32.7,32.7,32.7,30.0
2025-07-10 11:30:00,NASDAQ:MRNA,32.75,32.75,32.72,32.72,83.0
2025-07-10 11:45:00,NASDAQ:MRNA,32.75,32.75,32.75,32.75,2.0
2025-07-10 12:00:00,NASDAQ:MRNA,32.76,32.81,32.75,32.79,304.0
2025-07-10 12:15:00,NASDAQ:MRNA,32.81,32.81,32.78,32.79,258.0
2025-07-10 12:30:00,NASDAQ:MRNA,32.8,32.8,32.72,32.76,135.0
2025-07-10 12:45:00,NASDAQ:MRNA,32.76,32.81,32.72,32.81,794.0
2025-07-10 13:00:00,NASDAQ:MRNA,32.8,32.82,32.78,32.8,148.0
2025-07-10 13:15:00,NASDAQ:MRNA,32.84,32.85,32.81,32.81,1085.0
2025-07-10 13:30:00,NASDAQ:MRNA,32.85,32.89,32.8,32.88,920.0
2025-07-10 13:45:00,NASDAQ:MRNA,32.89,32.99,32.89,32.98,666.0
2025-07-10 14:00:00,NASDAQ:MRNA,32.93,32.97,32.6,32.82,19810.0
2025-07-10 14:15:00,NASDAQ:MRNA,32.89,32.89,32.82,32.82,1388.0
2025-07-10 14:30:00,NASDAQ:MRNA,32.83,32.89,32.83,32.88,337.0
2025-07-10 14:45:00,NASDAQ:MRNA,32.89,32.89,32.84,32.85,753.0
2025-07-10 15:00:00,NASDAQ:MRNA,32.88,33.16,32.88,33.16,2143.0
2025-07-10 15:15:00,NASDAQ:MRNA,33.13,33.5,33.11,33.45,5911.0
2025-07-10 15:30:00,NASDAQ:MRNA,33.49,33.5,33.24,33.43,2941.0
2025-07-10 15:45:00,NASDAQ:MRNA,33.43,33.46,33.3,33.46,1335.0
2025-07-10 16:00:00,NASDAQ:MRNA,33.49,33.71,33.42,33.71,2577.0
2025-07-10 16:15:00,NASDAQ:MRNA,33.74,33.96,33.47,33.5,6864.0
2025-07-10 16:30:00,NASDAQ:MRNA,33.47,34.17,33.08,33.3,139314.0
2025-07-10 16:45:00,NASDAQ:MRNA,33.33,33.47,33.0,33.41,38633.0
2025-07-10 17:00:00,NASDAQ:MRNA,33.42,34.05,33.42,33.55,208065.0
2025-07-10 17:15:00,NASDAQ:MRNA,33.54,33.71,33.33,33.53,53681.0
2025-07-10 17:30:00,NASDAQ:MRNA,33.54,33.69,33.45,33.54,28520.0
2025-07-10 17:45:00,NASDAQ:MRNA,33.535,33.535,33.105,33.35,27492.0
2025-07-10 18:00:00,NASDAQ:MRNA,33.37,34.05,33.36,33.91,63080.0
2025-07-10 18:15:00,NASDAQ:MRNA,33.91,34.13,33.81,34.12,35787.0
2025-07-10 18:30:00,NASDAQ:MRNA,34.08,34.08,33.93,34.0,24652.0
2025-07-10 18:45:00,NASDAQ:MRNA,33.98,34.09,33.53,33.6,19500.0
