datetime,symbol,open,high,low,close,volume
2025-07-02 19:30:00,NASDAQ:OKTA,97.97,98.2,97.97,98.16,5356.0
2025-07-02 19:45:00,NASDAQ:OKTA,98.17,98.23,98.03,98.09,2419.0
2025-07-02 20:00:00,NASDAQ:OKTA,98.075,98.075,97.89,97.94,2044.0
2025-07-02 20:15:00,NASDAQ:OKTA,97.92,97.92,97.6,97.7,5262.0
2025-07-02 20:30:00,NASDAQ:OKTA,97.7,97.75,97.3,97.48,7586.0
2025-07-02 20:45:00,NASDAQ:OKTA,97.52,97.57,97.4,97.45,3640.0
2025-07-02 21:00:00,NASDAQ:OKTA,97.43,97.505,97.39,97.48,3265.0
2025-07-02 21:15:00,NASDAQ:OKTA,97.51,97.56,97.33,97.54,5608.0
2025-07-02 21:30:00,NASDAQ:OKTA,97.53,97.56,97.4,97.54,8700.0
2025-07-02 21:45:00,NASDAQ:OKTA,97.55,97.66,97.52,97.62,4985.0
2025-07-02 22:00:00,NASDAQ:OKTA,97.63,98.05,97.62,98.03,18038.0
2025-07-02 22:15:00,NASDAQ:OKTA,98.03,98.14,97.95,98.1,13266.0
2025-07-02 22:30:00,NASDAQ:OKTA,98.13,98.21,97.83,97.89,13632.0
2025-07-02 22:45:00,NASDAQ:OKTA,97.89,98.22,97.83,98.11,24307.0
2025-07-02 23:00:00,NASDAQ:OKTA,98.1,98.1,98.1,98.1,3.0
2025-07-02 23:15:00,NASDAQ:OKTA,98.02,98.02,98.02,98.02,5.0
2025-07-02 23:30:00,NASDAQ:OKTA,98.09,98.09,98.09,98.09,2.0
2025-07-02 23:45:00,NASDAQ:OKTA,98.08,98.1,98.01,98.01,90.0
2025-07-03 00:30:00,NASDAQ:OKTA,98.02,98.02,98.02,98.02,1.0
2025-07-03 00:45:00,NASDAQ:OKTA,98.01,98.01,98.01,98.01,2.0
2025-07-03 02:00:00,NASDAQ:OKTA,98.24,98.28,98.24,98.28,22.0
2025-07-03 11:00:00,NASDAQ:OKTA,98.14,98.16,98.14,98.16,10.0
2025-07-03 11:30:00,NASDAQ:OKTA,98.3,98.32,98.3,98.32,106.0
2025-07-03 11:45:00,NASDAQ:OKTA,98.31,98.32,98.31,98.32,116.0
2025-07-03 12:45:00,NASDAQ:OKTA,98.42,98.42,98.42,98.42,81.0
2025-07-03 13:15:00,NASDAQ:OKTA,98.35,98.35,98.35,98.35,1.0
2025-07-03 14:00:00,NASDAQ:OKTA,98.39,98.43,98.32,98.32,32.0
2025-07-03 15:00:00,NASDAQ:OKTA,98.32,98.41,98.31,98.31,101.0
2025-07-03 15:15:00,NASDAQ:OKTA,98.26,98.26,98.25,98.26,188.0
2025-07-03 15:30:00,NASDAQ:OKTA,98.41,98.45,98.41,98.45,555.0
2025-07-03 16:00:00,NASDAQ:OKTA,98.46,98.46,98.45,98.45,35.0
2025-07-03 16:15:00,NASDAQ:OKTA,98.5,98.5,98.41,98.5,106.0
2025-07-03 16:30:00,NASDAQ:OKTA,98.66,99.28,98.4,98.82,25693.0
2025-07-03 16:45:00,NASDAQ:OKTA,98.81,99.54,98.71,99.28,17248.0
2025-07-03 17:00:00,NASDAQ:OKTA,99.31,99.77,99.28,99.52,17237.0
2025-07-03 17:15:00,NASDAQ:OKTA,99.52,99.6,99.28,99.6,7996.0
2025-07-03 17:30:00,NASDAQ:OKTA,99.52,99.61,99.05,99.18,8948.0
2025-07-03 17:45:00,NASDAQ:OKTA,99.15,99.37,99.06,99.305,8402.0
2025-07-03 18:00:00,NASDAQ:OKTA,99.29,99.47,99.27,99.34,6965.0
2025-07-03 18:15:00,NASDAQ:OKTA,99.395,99.48,99.2,99.34,10612.0
2025-07-03 18:30:00,NASDAQ:OKTA,99.34,99.51,99.26,99.37,9585.0
2025-07-03 18:45:00,NASDAQ:OKTA,99.335,99.37,98.97,99.0,9445.0
2025-07-03 19:00:00,NASDAQ:OKTA,99.01,99.09,98.83,99.09,9132.0
2025-07-03 19:15:00,NASDAQ:OKTA,99.06,99.1,98.85,98.97,13555.0
2025-07-03 19:30:00,NASDAQ:OKTA,98.95,98.95,98.7,98.84,7390.0
2025-07-03 19:45:00,NASDAQ:OKTA,98.8,99.14,98.65,99.14,31449.0
2025-07-03 20:00:00,NASDAQ:OKTA,99.1,99.2,99.1,99.2,11.0
2025-07-03 21:00:00,NASDAQ:OKTA,99.195,99.21,99.195,99.21,223.0
2025-07-03 21:15:00,NASDAQ:OKTA,99.25,99.25,99.15,99.15,132.0
2025-07-03 21:30:00,NASDAQ:OKTA,99.11,99.11,99.11,99.11,250.0
2025-07-03 22:00:00,NASDAQ:OKTA,99.12,99.12,99.12,99.12,50.0
2025-07-03 22:30:00,NASDAQ:OKTA,99.11,99.11,99.1,99.11,201.0
2025-07-03 22:45:00,NASDAQ:OKTA,99.1,99.11,99.1,99.11,101.0
2025-07-03 23:00:00,NASDAQ:OKTA,99.11,99.11,99.1,99.1,3.0
2025-07-03 23:30:00,NASDAQ:OKTA,99.1,99.1,99.1,99.1,142.0
2025-07-03 23:45:00,NASDAQ:OKTA,99.01,99.01,99.0,99.0,75.0
2025-07-07 11:00:00,NASDAQ:OKTA,99.1,99.1,98.08,98.1,348.0
2025-07-07 11:15:00,NASDAQ:OKTA,98.34,98.34,98.34,98.34,25.0
2025-07-07 11:30:00,NASDAQ:OKTA,98.15,98.16,98.11,98.11,120.0
2025-07-07 11:45:00,NASDAQ:OKTA,98.11,98.26,98.1,98.26,9.0
2025-07-07 12:00:00,NASDAQ:OKTA,98.12,98.12,98.12,98.12,5.0
2025-07-07 12:45:00,NASDAQ:OKTA,98.31,98.31,98.3,98.3,35.0
