datetime,symbol,open,high,low,close,volume
2025-06-26 14:15:00,NASDAQ:PSNY,1.1,1.1,1.1,1.1,333.0
2025-06-26 14:30:00,NASDAQ:PSNY,1.08,1.08,1.08,1.08,1.0
2025-06-26 14:45:00,NASDAQ:PSNY,1.09,1.09,1.08,1.08,499.0
2025-06-26 15:15:00,NASDAQ:PSNY,1.08,1.08,1.07,1.07,5542.0
2025-06-26 15:45:00,NASDAQ:PSNY,1.08,1.09,1.08,1.09,2819.0
2025-06-26 16:30:00,NASDAQ:PSNY,1.1,1.105,1.085,1.1,32563.0
2025-06-26 16:45:00,NASDAQ:PSNY,1.105,1.12,1.1,1.11,33439.0
2025-06-26 17:00:00,NASDAQ:PSNY,1.105,1.11,1.1,1.11,11513.0
2025-06-26 17:15:00,NASDAQ:PSNY,1.115,1.12,1.11,1.12,17257.0
2025-06-26 17:30:00,NASDAQ:PSNY,1.12,1.12,1.12,1.12,9123.0
2025-06-26 17:45:00,NASDAQ:PSNY,1.11,1.11,1.11,1.11,100.0
2025-06-26 18:00:00,NASDAQ:PSNY,1.11,1.11,1.1,1.1,25749.0
2025-06-26 18:15:00,NASDAQ:PSNY,1.1,1.105,1.1,1.1,4923.0
2025-06-26 18:30:00,NASDAQ:PSNY,1.105,1.105,1.105,1.105,655.0
2025-06-26 18:45:00,NASDAQ:PSNY,1.1,1.1,1.09,1.09,24177.0
2025-06-26 19:00:00,NASDAQ:PSNY,1.095,1.095,1.095,1.095,607.0
2025-06-26 19:15:00,NASDAQ:PSNY,1.09,1.095,1.09,1.095,800.0
2025-06-26 19:30:00,NASDAQ:PSNY,1.095,1.1,1.095,1.1,3733.0
2025-06-26 19:45:00,NASDAQ:PSNY,1.09,1.09,1.09,1.09,800.0
2025-06-26 20:15:00,NASDAQ:PSNY,1.095,1.095,1.095,1.095,326.0
2025-06-26 20:30:00,NASDAQ:PSNY,1.095,1.095,1.095,1.095,1300.0
2025-06-26 21:00:00,NASDAQ:PSNY,1.09,1.095,1.09,1.095,537.0
2025-06-26 21:15:00,NASDAQ:PSNY,1.095,1.095,1.095,1.095,349.0
2025-06-26 21:30:00,NASDAQ:PSNY,1.095,1.095,1.095,1.095,512.0
2025-06-26 21:45:00,NASDAQ:PSNY,1.1,1.1,1.095,1.095,951.0
2025-06-26 22:00:00,NASDAQ:PSNY,1.095,1.095,1.095,1.095,1012.0
2025-06-26 22:15:00,NASDAQ:PSNY,1.095,1.095,1.095,1.095,611.0
2025-06-26 22:30:00,NASDAQ:PSNY,1.095,1.095,1.09,1.09,700.0
2025-06-26 22:45:00,NASDAQ:PSNY,1.09,1.1,1.09,1.095,43162.0
2025-06-26 23:30:00,NASDAQ:PSNY,1.09,1.09,1.09,1.09,400.0
2025-06-27 11:00:00,NASDAQ:PSNY,1.08,1.12,1.08,1.12,731.0
2025-06-27 14:00:00,NASDAQ:PSNY,1.1,1.1,1.1,1.1,5.0
2025-06-27 14:45:00,NASDAQ:PSNY,1.1,1.1,1.1,1.1,28.0
2025-06-27 15:00:00,NASDAQ:PSNY,1.09,1.09,1.09,1.09,1.0
2025-06-27 15:30:00,NASDAQ:PSNY,1.1,1.1,1.09,1.09,9.0
2025-06-27 16:00:00,NASDAQ:PSNY,1.08,1.08,1.08,1.08,1.0
2025-06-27 16:15:00,NASDAQ:PSNY,1.1,1.1,1.08,1.08,39.0
2025-06-27 16:30:00,NASDAQ:PSNY,1.08,1.09,1.075,1.09,37265.0
2025-06-27 16:45:00,NASDAQ:PSNY,1.09,1.09,1.085,1.085,9991.0
2025-06-27 17:00:00,NASDAQ:PSNY,1.085,1.095,1.085,1.095,18277.0
2025-06-27 17:15:00,NASDAQ:PSNY,1.095,1.095,1.09,1.09,4300.0
2025-06-27 17:30:00,NASDAQ:PSNY,1.095,1.095,1.095,1.095,2307.0
2025-06-27 17:45:00,NASDAQ:PSNY,1.1,1.105,1.1,1.105,17300.0
2025-06-27 18:00:00,NASDAQ:PSNY,1.105,1.12,1.105,1.115,55104.0
2025-06-27 18:15:00,NASDAQ:PSNY,1.115,1.185,1.115,1.18,456834.0
2025-06-27 18:30:00,NASDAQ:PSNY,1.17,1.175,1.165,1.165,45760.0
2025-06-27 18:45:00,NASDAQ:PSNY,1.165,1.17,1.165,1.165,7800.0
2025-06-27 19:00:00,NASDAQ:PSNY,1.17,1.17,1.16,1.16,888.0
2025-06-27 19:15:00,NASDAQ:PSNY,1.165,1.17,1.165,1.17,2700.0
2025-06-27 19:30:00,NASDAQ:PSNY,1.165,1.18,1.165,1.18,12362.0
2025-06-27 19:45:00,NASDAQ:PSNY,1.17,1.17,1.155,1.155,18333.0
2025-06-27 20:00:00,NASDAQ:PSNY,1.155,1.155,1.155,1.155,1500.0
2025-06-27 20:15:00,NASDAQ:PSNY,1.15,1.155,1.15,1.155,368.0
2025-06-27 20:30:00,NASDAQ:PSNY,1.155,1.155,1.15,1.155,1141.0
2025-06-27 20:45:00,NASDAQ:PSNY,1.15,1.15,1.14,1.145,11075.0
2025-06-27 21:00:00,NASDAQ:PSNY,1.145,1.145,1.145,1.145,35.0
2025-06-27 21:15:00,NASDAQ:PSNY,1.145,1.145,1.14,1.14,742.0
2025-06-27 21:30:00,NASDAQ:PSNY,1.14,1.145,1.125,1.125,17351.0
2025-06-27 21:45:00,NASDAQ:PSNY,1.125,1.125,1.12,1.12,20079.0
2025-06-27 22:00:00,NASDAQ:PSNY,1.125,1.125,1.125,1.125,1590.0
2025-06-27 22:15:00,NASDAQ:PSNY,1.125,1.125,1.12,1.12,2544.0
2025-06-27 22:30:00,NASDAQ:PSNY,1.12,1.125,1.12,1.125,8574.0
2025-06-27 22:45:00,NASDAQ:PSNY,1.125,1.13,1.11,1.125,82620.0
