datetime,symbol,open,high,low,close,volume
2025-07-10 01:15:00,NASDAQ:QCOM,159.28,159.5,159.27,159.5,88.0
2025-07-10 01:30:00,NASDAQ:QCOM,159.42,159.65,159.41,159.41,63.0
2025-07-10 02:30:00,NASDAQ:QCOM,159.12,159.12,159.11,159.11,49.0
2025-07-10 02:45:00,NASDAQ:QCOM,159.1,159.1,159.01,159.01,33.0
2025-07-10 11:00:00,NASDAQ:QCOM,159.1,159.2,159.07,159.16,272.0
2025-07-10 11:15:00,NASDAQ:QCOM,159.19,159.32,159.18,159.32,83.0
2025-07-10 11:30:00,NASDAQ:QCOM,159.3,159.3,159.06,159.17,108.0
2025-07-10 11:45:00,NASDAQ:QCOM,159.12,159.44,159.11,159.33,364.0
2025-07-10 12:00:00,NASDAQ:QCOM,159.45,159.51,159.4,159.4,68.0
2025-07-10 12:15:00,NASDAQ:QCOM,159.41,159.41,159.0,159.07,246.0
2025-07-10 12:30:00,NASDAQ:QCOM,159.04,159.04,158.87,158.87,32.0
2025-07-10 12:45:00,NASDAQ:QCOM,158.93,158.93,158.89,158.89,2.0
2025-07-10 13:00:00,NASDAQ:QCOM,159.08,159.19,159.04,159.04,16.0
2025-07-10 13:15:00,NASDAQ:QCOM,159.09,159.09,159.05,159.05,6.0
2025-07-10 13:30:00,NASDAQ:QCOM,159.15,159.34,159.1,159.28,138.0
2025-07-10 13:45:00,NASDAQ:QCOM,159.28,159.28,159.17,159.17,61.0
2025-07-10 14:00:00,NASDAQ:QCOM,159.24,159.35,159.11,159.25,340.0
2025-07-10 14:15:00,NASDAQ:QCOM,159.27,159.57,159.09,159.19,85.0
2025-07-10 14:30:00,NASDAQ:QCOM,159.19,159.37,159.18,159.37,139.0
2025-07-10 14:45:00,NASDAQ:QCOM,159.4,159.41,159.36,159.38,34.0
2025-07-10 15:00:00,NASDAQ:QCOM,159.29,159.29,159.15,159.15,288.0
2025-07-10 15:15:00,NASDAQ:QCOM,159.05,159.05,158.77,158.9,513.0
2025-07-10 15:30:00,NASDAQ:QCOM,159.36,159.47,158.99,159.0,378.0
2025-07-10 15:45:00,NASDAQ:QCOM,158.97,159.38,158.92,159.38,183.0
2025-07-10 16:00:00,NASDAQ:QCOM,159.37,159.47,159.03,159.12,637.0
2025-07-10 16:15:00,NASDAQ:QCOM,159.34,159.34,158.34,158.7,1312.0
2025-07-10 16:30:00,NASDAQ:QCOM,158.62,159.07,157.85,158.58,43177.0
