datetime,symbol,open,high,low,close,volume
2025-07-09 21:45:00,NASDAQ:SBUX,95.02,95.03,94.86,94.98,18297.0
2025-07-09 22:00:00,NASDAQ:SBUX,94.99,95.08,94.8,94.86,14735.0
2025-07-09 22:15:00,NASDAQ:SBUX,94.86,94.95,94.765,94.95,15188.0
2025-07-09 22:30:00,NASDAQ:SBUX,94.945,95.0,94.83,94.93,34832.0
2025-07-09 22:45:00,NASDAQ:SBUX,94.94,95.35,94.91,95.23,81304.0
2025-07-09 23:00:00,NASDAQ:SBUX,95.18,95.24,95.18,95.24,8.0
2025-07-09 23:15:00,NASDAQ:SBUX,95.27,95.27,95.15,95.15,278.0
2025-07-09 23:30:00,NASDAQ:SBUX,95.14,95.14,95.02,95.02,154.0
2025-07-09 23:45:00,NASDAQ:SBUX,95.11,95.22,95.11,95.22,99.0
2025-07-10 00:00:00,NASDAQ:SBUX,95.21,95.21,95.21,95.21,30.0
2025-07-10 00:15:00,NASDAQ:SBUX,95.16,95.22,95.16,95.22,1231.0
2025-07-10 00:30:00,NASDAQ:SBUX,95.23,95.28,95.23,95.28,44.0
2025-07-10 00:45:00,NASDAQ:SBUX,95.26,95.27,95.26,95.26,66.0
2025-07-10 01:00:00,NASDAQ:SBUX,95.26,95.26,95.26,95.26,1.0
2025-07-10 01:15:00,NASDAQ:SBUX,95.27,95.35,95.25,95.27,991.0
2025-07-10 01:30:00,NASDAQ:SBUX,95.21,95.22,95.21,95.22,67.0
2025-07-10 01:45:00,NASDAQ:SBUX,95.22,95.22,95.1,95.1,183.0
2025-07-10 02:00:00,NASDAQ:SBUX,95.03,95.07,95.03,95.06,122.0
2025-07-10 02:15:00,NASDAQ:SBUX,95.07,95.07,95.07,95.07,1241.0
2025-07-10 02:30:00,NASDAQ:SBUX,95.03,95.03,95.03,95.03,40.0
2025-07-10 02:45:00,NASDAQ:SBUX,95.11,95.11,95.11,95.11,495.0
2025-07-10 11:00:00,NASDAQ:SBUX,95.01,95.04,94.85,95.03,145.0
2025-07-10 11:15:00,NASDAQ:SBUX,95.03,95.04,95.0,95.03,33.0
2025-07-10 11:30:00,NASDAQ:SBUX,95.03,95.03,94.93,95.02,28.0
2025-07-10 11:45:00,NASDAQ:SBUX,95.02,95.03,94.95,95.03,247.0
2025-07-10 12:00:00,NASDAQ:SBUX,95.03,95.03,94.99,94.99,10.0
2025-07-10 12:15:00,NASDAQ:SBUX,94.99,94.99,94.87,94.88,86.0
2025-07-10 12:30:00,NASDAQ:SBUX,94.9,94.92,94.8,94.86,80.0
2025-07-10 12:45:00,NASDAQ:SBUX,94.86,94.87,94.86,94.87,9.0
2025-07-10 13:00:00,NASDAQ:SBUX,94.87,94.96,94.87,94.96,83.0
2025-07-10 13:15:00,NASDAQ:SBUX,94.96,94.96,94.86,94.94,22.0
2025-07-10 13:30:00,NASDAQ:SBUX,94.86,94.96,94.81,94.81,128.0
2025-07-10 13:45:00,NASDAQ:SBUX,94.83,94.93,94.81,94.81,35.0
2025-07-10 14:00:00,NASDAQ:SBUX,94.84,95.0,94.8,94.98,765.0
2025-07-10 14:15:00,NASDAQ:SBUX,94.9,95.0,94.9,94.98,794.0
2025-07-10 14:30:00,NASDAQ:SBUX,94.9,95.05,94.9,95.01,42.0
2025-07-10 14:45:00,NASDAQ:SBUX,95.13,95.19,95.13,95.13,140.0
2025-07-10 15:00:00,NASDAQ:SBUX,95.13,95.19,95.09,95.19,9.0
2025-07-10 15:15:00,NASDAQ:SBUX,95.06,95.19,95.0,95.19,39.0
2025-07-10 15:30:00,NASDAQ:SBUX,95.14,95.14,94.99,95.01,159.0
2025-07-10 15:45:00,NASDAQ:SBUX,95.2,95.2,95.0,95.09,12.0
2025-07-10 16:00:00,NASDAQ:SBUX,95.08,95.08,94.95,94.95,194.0
2025-07-10 16:15:00,NASDAQ:SBUX,94.98,95.2,94.91,94.91,140.0
2025-07-10 16:30:00,NASDAQ:SBUX,95.045,95.045,93.58,93.93,41963.0
2025-07-10 16:45:00,NASDAQ:SBUX,93.94,94.84,93.79,94.76,36169.0
2025-07-10 17:00:00,NASDAQ:SBUX,94.76,95.67,94.74,95.6,36452.0
2025-07-10 17:15:00,NASDAQ:SBUX,95.65,95.73,95.3,95.49,16823.0
2025-07-10 17:30:00,NASDAQ:SBUX,95.49,95.57,95.29,95.44,17465.0
2025-07-10 17:45:00,NASDAQ:SBUX,95.43,95.48,94.99,95.09,18572.0
2025-07-10 18:00:00,NASDAQ:SBUX,95.12,95.22,94.99,95.02,15335.0
2025-07-10 18:15:00,NASDAQ:SBUX,95.06,95.14,94.93,95.12,13805.0
2025-07-10 18:30:00,NASDAQ:SBUX,95.12,95.35,95.06,95.23,13969.0
2025-07-10 18:45:00,NASDAQ:SBUX,95.23,95.25,94.86,95.18,23005.0
2025-07-10 19:00:00,NASDAQ:SBUX,95.17,95.26,95.05,95.08,15068.0
2025-07-10 19:15:00,NASDAQ:SBUX,95.06,95.08,94.79,94.9,10249.0
