datetime,symbol,open,high,low,close,volume
2025-06-06 22:30:00,NASDAQ:SPTN,18.37,18.41,18.35,18.395,879.0
2025-06-06 22:45:00,NASDAQ:SPTN,18.41,18.495,18.41,18.435,3568.0
2025-06-09 14:00:00,NASDAQ:SPTN,18.75,18.75,18.75,18.75,25.0
2025-06-09 16:30:00,NASDAQ:SPTN,18.43,18.5,18.4,18.5,951.0
2025-06-09 16:45:00,NASDAQ:SPTN,18.53,18.53,18.48,18.51,400.0
2025-06-09 17:00:00,NASDAQ:SPTN,18.63,18.64,18.61,18.62,234.0
2025-06-09 17:15:00,NASDAQ:SPTN,18.62,18.63,18.58,18.58,652.0
2025-06-09 17:30:00,NASDAQ:SPTN,18.59,18.59,18.49,18.52,1525.0
2025-06-09 17:45:00,NASDAQ:SPTN,18.51,18.51,18.44,18.46,486.0
2025-06-09 18:00:00,NASDAQ:SPTN,18.49,18.5,18.45,18.5,1242.0
2025-06-09 18:15:00,NASDAQ:SPTN,18.525,18.53,18.52,18.52,212.0
2025-06-09 18:30:00,NASDAQ:SPTN,18.52,18.58,18.52,18.58,1017.0
2025-06-09 18:45:00,NASDAQ:SPTN,18.59,18.59,18.57,18.59,657.0
2025-06-09 19:00:00,NASDAQ:SPTN,18.58,18.62,18.57,18.62,433.0
2025-06-09 19:15:00,NASDAQ:SPTN,18.62,18.66,18.6,18.63,1278.0
2025-06-09 19:30:00,NASDAQ:SPTN,18.61,18.62,18.61,18.62,324.0
2025-06-09 19:45:00,NASDAQ:SPTN,18.63,18.63,18.6,18.6,1086.0
2025-06-09 20:00:00,NASDAQ:SPTN,18.59,18.62,18.56,18.59,985.0
2025-06-09 20:15:00,NASDAQ:SPTN,18.58,18.58,18.57,18.58,292.0
2025-06-09 20:30:00,NASDAQ:SPTN,18.6,18.63,18.56,18.56,574.0
2025-06-09 20:45:00,NASDAQ:SPTN,18.565,18.59,18.565,18.59,289.0
2025-06-09 21:00:00,NASDAQ:SPTN,18.58,18.58,18.55,18.58,685.0
2025-06-09 21:15:00,NASDAQ:SPTN,18.59,18.61,18.59,18.61,169.0
2025-06-09 21:30:00,NASDAQ:SPTN,18.62,18.62,18.58,18.58,589.0
2025-06-09 21:45:00,NASDAQ:SPTN,18.58,18.62,18.58,18.62,733.0
2025-06-09 22:00:00,NASDAQ:SPTN,18.63,18.63,18.62,18.625,680.0
2025-06-09 22:15:00,NASDAQ:SPTN,18.61,18.62,18.59,18.62,748.0
2025-06-09 22:30:00,NASDAQ:SPTN,18.63,18.69,18.62,18.67,1683.0
2025-06-09 22:45:00,NASDAQ:SPTN,18.68,18.78,18.68,18.725,7683.0
2025-06-09 23:00:00,NASDAQ:SPTN,18.73,18.73,18.64,18.64,60.0
2025-06-10 12:15:00,NASDAQ:SPTN,18.21,18.21,18.21,18.21,1.0
2025-06-10 16:30:00,NASDAQ:SPTN,18.8,19.1,18.78,19.1,2023.0
2025-06-10 16:45:00,NASDAQ:SPTN,19.08,19.27,19.08,19.2,1074.0
2025-06-10 17:00:00,NASDAQ:SPTN,19.17,19.17,18.85,18.85,580.0
2025-06-10 17:15:00,NASDAQ:SPTN,18.92,19.02,18.92,19.02,328.0
2025-06-10 17:30:00,NASDAQ:SPTN,19.04,19.04,19.01,19.04,309.0
2025-06-10 17:45:00,NASDAQ:SPTN,18.99,19.1,18.99,19.1,510.0
2025-06-10 18:00:00,NASDAQ:SPTN,19.08,19.14,19.08,19.11,741.0
2025-06-10 18:15:00,NASDAQ:SPTN,19.1,19.19,19.1,19.19,1154.0
2025-06-10 18:30:00,NASDAQ:SPTN,19.17,19.18,19.09,19.1,614.0
2025-06-10 18:45:00,NASDAQ:SPTN,19.08,19.08,19.05,19.05,433.0
2025-06-10 19:00:00,NASDAQ:SPTN,19.04,19.14,19.04,19.13,595.0
2025-06-10 19:15:00,NASDAQ:SPTN,19.1,19.13,19.08,19.09,855.0
2025-06-10 19:30:00,NASDAQ:SPTN,19.07,19.07,18.88,18.88,824.0
2025-06-10 19:45:00,NASDAQ:SPTN,18.9,18.91,18.85,18.85,351.0
2025-06-10 20:00:00,NASDAQ:SPTN,18.84,18.87,18.825,18.85,433.0
2025-06-10 20:15:00,NASDAQ:SPTN,18.89,18.89,18.86,18.86,273.0
2025-06-10 20:30:00,NASDAQ:SPTN,18.85,18.85,18.8,18.83,786.0
2025-06-10 20:45:00,NASDAQ:SPTN,18.81,18.81,18.745,18.77,656.0
2025-06-10 21:00:00,NASDAQ:SPTN,18.77,18.78,18.76,18.77,225.0
2025-06-10 21:15:00,NASDAQ:SPTN,18.76,18.76,18.71,18.73,1081.0
2025-06-10 21:30:00,NASDAQ:SPTN,18.71,18.73,18.71,18.725,261.0
2025-06-10 21:45:00,NASDAQ:SPTN,18.71,18.75,18.71,18.71,548.0
2025-06-10 22:00:00,NASDAQ:SPTN,18.71,18.78,18.69,18.78,770.0
2025-06-10 22:15:00,NASDAQ:SPTN,18.77,18.77,18.73,18.735,539.0
2025-06-10 22:30:00,NASDAQ:SPTN,18.74,18.78,18.74,18.77,945.0
2025-06-10 22:45:00,NASDAQ:SPTN,18.76,18.76,18.7,18.74,2804.0
2025-06-11 16:30:00,NASDAQ:SPTN,18.74,18.79,18.57,18.57,350.0
2025-06-11 16:45:00,NASDAQ:SPTN,18.56,18.56,18.4,18.43,2173.0
2025-06-11 17:00:00,NASDAQ:SPTN,18.47,18.47,18.4,18.43,805.0
2025-06-11 17:15:00,NASDAQ:SPTN,18.47,18.6,18.47,18.53,563.0
2025-06-11 17:30:00,NASDAQ:SPTN,18.5,18.5,18.43,18.43,137.0
2025-06-11 17:45:00,NASDAQ:SPTN,18.43,18.51,18.41,18.45,673.0
2025-06-11 18:00:00,NASDAQ:SPTN,18.45,18.49,18.44,18.44,475.0
2025-06-11 18:15:00,NASDAQ:SPTN,18.435,18.49,18.435,18.46,429.0
2025-06-11 18:30:00,NASDAQ:SPTN,18.46,18.46,18.4,18.45,745.0
2025-06-11 18:45:00,NASDAQ:SPTN,18.41,18.42,18.39,18.39,32.0
2025-06-11 19:00:00,NASDAQ:SPTN,18.4,18.4,18.31,18.38,364.0
2025-06-11 19:15:00,NASDAQ:SPTN,18.36,18.36,18.28,18.28,580.0
2025-06-11 19:30:00,NASDAQ:SPTN,18.29,18.33,18.24,18.33,1556.0
2025-06-11 19:45:00,NASDAQ:SPTN,18.32,18.34,18.29,18.29,257.0
2025-06-11 20:00:00,NASDAQ:SPTN,18.29,18.29,18.26,18.26,865.0
2025-06-11 20:15:00,NASDAQ:SPTN,18.26,18.26,18.19,18.195,833.0
2025-06-11 20:30:00,NASDAQ:SPTN,18.21,18.3,18.21,18.29,338.0
2025-06-11 20:45:00,NASDAQ:SPTN,18.28,18.31,18.27,18.27,666.0
2025-06-11 21:00:00,NASDAQ:SPTN,18.27,18.27,18.17,18.17,1687.0
2025-06-11 21:15:00,NASDAQ:SPTN,18.16,18.22,18.135,18.2,440.0
2025-06-11 21:30:00,NASDAQ:SPTN,18.22,18.22,18.17,18.17,464.0
2025-06-11 21:45:00,NASDAQ:SPTN,18.17,18.18,18.12,18.12,450.0
2025-06-11 22:00:00,NASDAQ:SPTN,18.12,18.145,18.1,18.14,825.0
2025-06-11 22:15:00,NASDAQ:SPTN,18.15,18.15,18.1,18.1,514.0
2025-06-11 22:30:00,NASDAQ:SPTN,18.1,18.15,18.1,18.14,1102.0
2025-06-11 22:45:00,NASDAQ:SPTN,18.14,18.16,18.05,18.075,2941.0
2025-06-12 14:00:00,NASDAQ:SPTN,18.25,18.25,18.09,18.09,22.0
2025-06-12 14:45:00,NASDAQ:SPTN,18.08,18.08,18.08,18.08,100.0
2025-06-12 15:00:00,NASDAQ:SPTN,18.18,18.18,18.18,18.18,5.0
2025-06-12 16:15:00,NASDAQ:SPTN,18.19,18.19,18.1,18.1,6.0
2025-06-12 16:30:00,NASDAQ:SPTN,18.06,18.06,17.85,17.87,1632.0
2025-06-12 16:45:00,NASDAQ:SPTN,17.86,17.99,17.84,17.92,196.0
2025-06-12 17:00:00,NASDAQ:SPTN,17.92,17.92,17.83,17.87,228.0
2025-06-12 17:15:00,NASDAQ:SPTN,17.9,17.95,17.89,17.89,583.0
2025-06-12 17:30:00,NASDAQ:SPTN,17.94,18.03,17.94,18.01,346.0
2025-06-12 17:45:00,NASDAQ:SPTN,18.01,18.025,18.0,18.0,241.0
2025-06-12 18:00:00,NASDAQ:SPTN,18.0,18.0,17.92,17.93,506.0
2025-06-12 18:15:00,NASDAQ:SPTN,17.95,17.96,17.89,17.92,747.0
2025-06-12 18:30:00,NASDAQ:SPTN,17.94,17.95,17.87,17.88,363.0
2025-06-12 18:45:00,NASDAQ:SPTN,17.89,17.96,17.89,17.96,472.0
2025-06-12 19:00:00,NASDAQ:SPTN,17.97,17.97,17.9,17.95,276.0
2025-06-12 19:15:00,NASDAQ:SPTN,17.95,17.99,17.93,17.96,679.0
2025-06-12 19:30:00,NASDAQ:SPTN,17.95,17.99,17.95,17.98,816.0
