datetime,symbol,open,high,low,close,volume
2025-06-18 19:15:00,NASDAQ:SWKS,7.2,7.2,7.13,7.13,2024.0
2025-06-18 19:30:00,NASDAQ:SWKS,7.13,7.18,7.13,7.17,816.0
2025-06-18 19:45:00,NASDAQ:SWKS,7.17,7.2,7.15,7.17,3734.0
2025-06-18 20:00:00,NASDAQ:SWKS,7.16,7.18,7.15,7.18,1143.0
2025-06-18 20:15:00,NASDAQ:SWKS,7.16,7.17,7.065,7.07,1161.0
2025-06-18 20:30:00,NASDAQ:SWKS,7.07,7.07,7.01,7.06,1223.0
2025-06-18 20:45:00,NASDAQ:SWKS,7.07,7.11,7.07,7.095,1031.0
2025-06-18 21:00:00,NASDAQ:SWKS,7.1,7.175,7.07,7.16,10730.0
2025-06-18 21:15:00,NASDAQ:SWKS,7.18,7.205,7.16,7.205,1351.0
2025-06-18 21:30:00,NASDAQ:SWKS,7.2,7.23,7.17,7.17,7687.0
2025-06-18 21:45:00,NASDAQ:SWKS,7.165,7.165,7.07,7.075,2257.0
2025-06-18 22:00:00,NASDAQ:SWKS,7.065,7.14,7.06,7.135,3549.0
2025-06-18 22:15:00,NASDAQ:SWKS,7.13,7.155,7.09,7.09,3884.0
2025-06-18 22:30:00,NASDAQ:SWKS,7.09,7.13,7.09,7.11,3886.0
2025-06-18 22:45:00,NASDAQ:SWKS,7.11,7.11,7.08,7.08,6183.0
2025-06-19 02:30:00,NASDAQ:SWKS,7.1,7.1,7.1,7.1,1.0
2025-06-19 02:45:00,NASDAQ:SWKS,7.08,7.08,7.08,7.08,20.0
2025-06-20 11:00:00,NASDAQ:SWKS,7.13,7.22,7.13,7.18,118.0
2025-06-20 11:30:00,NASDAQ:SWKS,7.13,7.13,7.13,7.13,55.0
2025-06-20 12:45:00,NASDAQ:SWKS,7.21,7.21,7.21,7.21,2.0
2025-06-20 13:15:00,NASDAQ:SWKS,7.21,7.22,7.13,7.13,330.0
2025-06-20 13:45:00,NASDAQ:SWKS,7.22,7.22,7.22,7.22,51.0
2025-06-20 14:00:00,NASDAQ:SWKS,7.19,7.22,7.13,7.13,490.0
2025-06-20 14:30:00,NASDAQ:SWKS,7.13,7.13,7.13,7.13,50.0
2025-06-20 16:00:00,NASDAQ:SWKS,7.2,7.2,7.2,7.2,25.0
2025-06-20 16:15:00,NASDAQ:SWKS,7.17,7.17,7.17,7.17,300.0
2025-06-20 16:30:00,NASDAQ:SWKS,7.23,7.255,7.0,7.0,3198.0
2025-06-20 16:45:00,NASDAQ:SWKS,6.995,6.995,6.87,6.93,10992.0
2025-06-20 17:00:00,NASDAQ:SWKS,6.92,6.94,6.86,6.86,4880.0
2025-06-20 17:15:00,NASDAQ:SWKS,6.865,6.92,6.82,6.88,10061.0
2025-06-20 17:30:00,NASDAQ:SWKS,6.89,6.925,6.855,6.91,5570.0
2025-06-20 17:45:00,NASDAQ:SWKS,6.9,6.92,6.88,6.91,2564.0
2025-06-20 18:00:00,NASDAQ:SWKS,6.9,6.91,6.88,6.9,4330.0
2025-06-20 18:15:00,NASDAQ:SWKS,6.9,6.945,6.89,6.94,2541.0
2025-06-20 18:30:00,NASDAQ:SWKS,6.94,6.99,6.935,6.95,2428.0
2025-06-20 18:45:00,NASDAQ:SWKS,6.94,6.945,6.905,6.905,4561.0
2025-06-20 19:00:00,NASDAQ:SWKS,6.905,6.93,6.9,6.925,4901.0
2025-06-20 19:15:00,NASDAQ:SWKS,6.925,7.01,6.925,6.98,3017.0
2025-06-20 19:30:00,NASDAQ:SWKS,6.99,7.01,6.97,6.97,2668.0
2025-06-20 19:45:00,NASDAQ:SWKS,6.975,6.99,6.965,6.97,2475.0
2025-06-20 20:00:00,NASDAQ:SWKS,6.97,6.985,6.95,6.98,1174.0
2025-06-20 20:15:00,NASDAQ:SWKS,6.985,6.995,6.96,6.965,1448.0
2025-06-20 20:30:00,NASDAQ:SWKS,6.97,7.0,6.97,6.99,2228.0
2025-06-20 20:45:00,NASDAQ:SWKS,6.98,7.045,6.98,7.01,4850.0
2025-06-20 21:00:00,NASDAQ:SWKS,7.005,7.04,7.0,7.04,1206.0
2025-06-20 21:15:00,NASDAQ:SWKS,7.04,7.05,7.03,7.035,1038.0
2025-06-20 21:30:00,NASDAQ:SWKS,7.04,7.06,7.035,7.05,2455.0
2025-06-20 21:45:00,NASDAQ:SWKS,7.05,7.05,7.01,7.01,1000.0
2025-06-20 22:00:00,NASDAQ:SWKS,7.005,7.02,7.0,7.02,1355.0
2025-06-20 22:15:00,NASDAQ:SWKS,7.03,7.045,7.01,7.01,1598.0
2025-06-20 22:30:00,NASDAQ:SWKS,7.01,7.03,6.99,6.99,5792.0
2025-06-20 22:45:00,NASDAQ:SWKS,6.98,7.075,6.98,7.07,10452.0
2025-06-23 11:00:00,NASDAQ:SWKS,6.94,6.94,6.94,6.94,57.0
2025-06-23 16:00:00,NASDAQ:SWKS,6.97,6.97,6.97,6.97,50.0
2025-06-23 16:15:00,NASDAQ:SWKS,6.94,6.94,6.91,6.91,254.0
2025-06-23 16:30:00,NASDAQ:SWKS,6.875,6.93,6.8,6.895,17151.0
2025-06-23 16:45:00,NASDAQ:SWKS,6.9,6.91,6.71,6.71,14832.0
2025-06-23 17:00:00,NASDAQ:SWKS,6.7,6.73,6.56,6.57,7765.0
2025-06-23 17:15:00,NASDAQ:SWKS,6.57,6.66,6.47,6.49,22851.0
2025-06-23 17:30:00,NASDAQ:SWKS,6.5,6.53,6.45,6.505,12499.0
2025-06-23 17:45:00,NASDAQ:SWKS,6.495,6.5,6.46,6.47,2985.0
2025-06-23 18:00:00,NASDAQ:SWKS,6.48,6.52,6.465,6.47,2016.0
2025-06-23 18:15:00,NASDAQ:SWKS,6.48,6.5,6.42,6.47,2004.0
2025-06-23 18:30:00,NASDAQ:SWKS,6.48,6.5,6.46,6.49,1407.0
2025-06-23 18:45:00,NASDAQ:SWKS,6.49,6.52,6.45,6.5,4409.0
2025-06-23 19:00:00,NASDAQ:SWKS,6.51,6.52,6.435,6.52,5549.0
2025-06-23 19:15:00,NASDAQ:SWKS,6.525,6.525,6.45,6.45,7989.0
2025-06-23 19:30:00,NASDAQ:SWKS,6.42,6.47,6.35,6.47,6338.0
2025-06-23 19:45:00,NASDAQ:SWKS,6.47,6.49,6.46,6.47,2885.0
2025-06-23 20:00:00,NASDAQ:SWKS,6.47,6.55,6.47,6.53,1646.0
2025-06-23 20:15:00,NASDAQ:SWKS,6.53,6.57,6.52,6.57,5036.0
2025-06-23 20:30:00,NASDAQ:SWKS,6.57,6.6,6.565,6.565,2681.0
2025-06-23 20:45:00,NASDAQ:SWKS,6.57,6.6,6.57,6.595,1648.0
2025-06-23 21:00:00,NASDAQ:SWKS,6.595,6.635,6.59,6.6,7098.0
2025-06-23 21:15:00,NASDAQ:SWKS,6.605,6.62,6.595,6.615,3322.0
2025-06-23 21:30:00,NASDAQ:SWKS,6.62,6.62,6.565,6.59,1798.0
2025-06-23 21:45:00,NASDAQ:SWKS,6.59,6.605,6.585,6.595,2276.0
2025-06-23 22:00:00,NASDAQ:SWKS,6.6,6.66,6.6,6.64,5580.0
2025-06-23 22:15:00,NASDAQ:SWKS,6.64,6.705,6.64,6.705,3820.0
2025-06-23 22:30:00,NASDAQ:SWKS,6.73,6.73,6.685,6.685,40796.0
2025-06-23 22:45:00,NASDAQ:SWKS,6.69,6.695,6.625,6.635,10557.0
2025-06-23 23:15:00,NASDAQ:SWKS,6.8,6.8,6.8,6.8,436.0
2025-06-23 23:30:00,NASDAQ:SWKS,6.82,6.95,6.82,6.95,24.0
2025-06-24 02:15:00,NASDAQ:SWKS,6.79,6.79,6.79,6.79,4.0
2025-06-24 11:15:00,NASDAQ:SWKS,6.97,6.97,6.97,6.97,187.0
2025-06-24 12:00:00,NASDAQ:SWKS,6.96,6.96,6.96,6.96,95.0
2025-06-24 12:30:00,NASDAQ:SWKS,6.95,6.95,6.95,6.95,4.0
2025-06-24 14:00:00,NASDAQ:SWKS,6.93,6.93,6.71,6.72,3676.0
2025-06-24 15:00:00,NASDAQ:SWKS,6.75,6.75,6.75,6.75,4.0
2025-06-24 15:15:00,NASDAQ:SWKS,6.72,6.72,6.72,6.72,185.0
