datetime,symbol,open,high,low,close,volume
2025-06-20 18:15:00,NASDAQ:TCOM,56.01,56.13,55.98,56.02,13714.0
2025-06-20 18:30:00,NASDAQ:TCOM,56.02,56.12,55.96,56.09,8594.0
2025-06-20 18:45:00,NASDAQ:TCOM,56.09,56.1,55.97,56.01,7248.0
2025-06-20 19:00:00,NASDAQ:TCOM,56.01,56.065,56.0,56.015,6764.0
2025-06-20 19:15:00,NASDAQ:TCOM,56.01,56.03,55.95,56.0,10363.0
2025-06-20 19:30:00,NASDAQ:TCOM,55.99,56.06,55.98,56.05,6706.0
2025-06-20 19:45:00,NASDAQ:TCOM,56.04,56.05,56.03,56.05,5417.0
2025-06-20 20:00:00,NASDAQ:TCOM,56.04,56.13,56.04,56.105,13202.0
2025-06-20 20:15:00,NASDAQ:TCOM,56.11,56.11,55.895,55.91,11496.0
2025-06-20 20:30:00,NASDAQ:TCOM,55.91,56.01,55.89,56.0,6435.0
2025-06-20 20:45:00,NASDAQ:TCOM,55.995,56.005,55.87,55.89,5992.0
2025-06-20 21:00:00,NASDAQ:TCOM,55.89,56.0,55.89,55.99,7843.0
2025-06-20 21:15:00,NASDAQ:TCOM,55.995,56.1,55.995,56.095,7013.0
2025-06-20 21:30:00,NASDAQ:TCOM,56.09,56.12,56.07,56.12,4386.0
2025-06-20 21:45:00,NASDAQ:TCOM,56.13,56.15,55.955,55.995,9943.0
2025-06-20 22:00:00,NASDAQ:TCOM,55.99,56.03,55.98,55.99,14901.0
2025-06-20 22:15:00,NASDAQ:TCOM,55.99,56.07,55.98,56.02,8049.0
2025-06-20 22:30:00,NASDAQ:TCOM,56.03,56.03,55.83,55.84,12103.0
2025-06-20 22:45:00,NASDAQ:TCOM,55.84,55.89,55.7,55.88,41222.0
2025-06-20 23:15:00,NASDAQ:TCOM,55.85,55.85,55.85,55.85,100.0
2025-06-20 23:30:00,NASDAQ:TCOM,55.86,55.88,55.86,55.88,105.0
2025-06-21 01:00:00,NASDAQ:TCOM,55.93,55.93,55.93,55.93,1.0
2025-06-21 02:00:00,NASDAQ:TCOM,55.93,55.93,55.93,55.93,20.0
2025-06-23 11:00:00,NASDAQ:TCOM,56.69,56.78,56.69,56.78,115.0
2025-06-23 11:15:00,NASDAQ:TCOM,56.79,56.79,56.72,56.72,80.0
2025-06-23 12:00:00,NASDAQ:TCOM,56.67,56.67,56.49,56.49,472.0
2025-06-23 12:30:00,NASDAQ:TCOM,56.54,56.54,56.54,56.54,20.0
2025-06-23 12:45:00,NASDAQ:TCOM,56.46,56.46,56.42,56.42,29.0
2025-06-23 14:00:00,NASDAQ:TCOM,56.5,56.5,56.17,56.17,1055.0
2025-06-23 15:00:00,NASDAQ:TCOM,56.44,56.44,56.33,56.33,104.0
2025-06-23 15:45:00,NASDAQ:TCOM,56.14,56.14,56.14,56.14,1.0
2025-06-23 16:15:00,NASDAQ:TCOM,56.31,56.31,56.12,56.31,982.0
2025-06-23 16:30:00,NASDAQ:TCOM,56.3,56.32,55.83,56.29,16749.0
2025-06-23 16:45:00,NASDAQ:TCOM,56.3,56.72,56.3,56.6,16486.0
2025-06-23 17:00:00,NASDAQ:TCOM,56.63,56.98,56.63,56.9,16838.0
2025-06-23 17:15:00,NASDAQ:TCOM,56.88,56.93,56.75,56.86,9179.0
2025-06-23 17:30:00,NASDAQ:TCOM,56.86,56.98,56.8,56.98,7515.0
2025-06-23 17:45:00,NASDAQ:TCOM,56.99,56.995,56.87,56.87,8922.0
2025-06-23 18:00:00,NASDAQ:TCOM,56.87,57.06,56.83,57.05,10865.0
2025-06-23 18:15:00,NASDAQ:TCOM,57.06,57.13,57.04,57.08,11197.0
2025-06-23 18:30:00,NASDAQ:TCOM,57.07,57.11,56.975,57.01,7158.0
2025-06-23 18:45:00,NASDAQ:TCOM,57.0,57.02,56.91,56.96,6204.0
2025-06-23 19:00:00,NASDAQ:TCOM,56.95,57.03,56.95,57.0,6296.0
2025-06-23 19:15:00,NASDAQ:TCOM,57.01,57.045,56.8,56.84,9476.0
2025-06-23 19:30:00,NASDAQ:TCOM,56.84,57.05,56.71,57.04,9509.0
2025-06-23 19:45:00,NASDAQ:TCOM,57.04,57.1,56.96,57.03,5036.0
2025-06-23 20:00:00,NASDAQ:TCOM,57.01,57.23,57.01,57.19,7308.0
2025-06-23 20:15:00,NASDAQ:TCOM,57.19,57.39,57.19,57.34,3865.0
2025-06-23 20:30:00,NASDAQ:TCOM,57.335,57.49,57.33,57.49,7810.0
2025-06-23 20:45:00,NASDAQ:TCOM,57.49,57.6,57.47,57.6,15769.0
2025-06-23 21:00:00,NASDAQ:TCOM,57.61,57.64,57.52,57.57,26622.0
2025-06-23 21:15:00,NASDAQ:TCOM,57.56,57.56,57.4,57.4,16335.0
2025-06-23 21:30:00,NASDAQ:TCOM,57.4,57.485,57.4,57.44,21263.0
2025-06-23 21:45:00,NASDAQ:TCOM,57.42,57.53,57.41,57.51,16596.0
2025-06-23 22:00:00,NASDAQ:TCOM,57.51,57.655,57.51,57.65,19259.0
2025-06-23 22:15:00,NASDAQ:TCOM,57.65,57.66,57.59,57.61,18413.0
2025-06-23 22:30:00,NASDAQ:TCOM,57.61,57.625,57.49,57.515,14255.0
2025-06-23 22:45:00,NASDAQ:TCOM,57.51,57.65,57.51,57.61,46895.0
2025-06-23 23:45:00,NASDAQ:TCOM,57.62,57.64,57.62,57.64,121.0
2025-06-24 00:15:00,NASDAQ:TCOM,57.55,57.55,57.55,57.55,13.0
2025-06-24 00:30:00,NASDAQ:TCOM,57.61,57.62,57.61,57.62,234.0
2025-06-24 01:00:00,NASDAQ:TCOM,57.6,57.6,57.6,57.6,15.0
2025-06-24 02:00:00,NASDAQ:TCOM,57.77,57.77,57.77,57.77,180.0
2025-06-24 11:00:00,NASDAQ:TCOM,58.0,58.09,57.98,57.98,101.0
2025-06-24 11:30:00,NASDAQ:TCOM,57.88,57.93,57.88,57.93,85.0
