datetime,symbol,open,high,low,close,volume
2025-05-02 20:00:00,NASDAQ:WW,0.5661,0.5712,0.562,0.562,9946.0
2025-05-02 20:15:00,NASDAQ:WW,0.56,0.5624,0.56,0.5601,14476.0
2025-05-02 20:30:00,NASDAQ:WW,0.56,0.5603,0.5455,0.5455,17103.0
2025-05-02 20:45:00,NASDAQ:WW,0.545,0.5778,0.5419,0.5714,20408.0
2025-05-02 21:00:00,NASDAQ:WW,0.5708,0.5758,0.5637,0.5637,3108.0
2025-05-02 21:15:00,NASDAQ:WW,0.5672,0.6,0.5672,0.5932,21883.0
2025-05-02 21:30:00,NASDAQ:WW,0.5951,0.5956,0.5923,0.5925,16521.0
2025-05-02 21:45:00,NASDAQ:WW,0.5929,0.593,0.5866,0.5921,9261.0
2025-05-02 22:00:00,NASDAQ:WW,0.593,0.6281,0.593,0.628,20564.0
2025-05-02 22:15:00,NASDAQ:WW,0.6287,0.6287,0.606,0.6085,14325.0
2025-05-02 22:30:00,NASDAQ:WW,0.6145,0.6194,0.6003,0.6003,21837.0
2025-05-02 22:45:00,NASDAQ:WW,0.6006,0.6007,0.5675,0.5829,52793.0
2025-05-02 23:00:00,NASDAQ:WW,0.58,0.59,0.5778,0.59,9850.0
2025-05-02 23:30:00,NASDAQ:WW,0.59,0.59,0.59,0.59,774.0
2025-05-03 00:00:00,NASDAQ:WW,0.5915,0.5915,0.59,0.59,2958.0
2025-05-03 00:30:00,NASDAQ:WW,0.58,0.58,0.58,0.58,1000.0
2025-05-03 00:45:00,NASDAQ:WW,0.5776,0.5898,0.5775,0.5898,3189.0
2025-05-03 01:00:00,NASDAQ:WW,0.579,0.579,0.5761,0.5761,3400.0
2025-05-03 01:15:00,NASDAQ:WW,0.5775,0.58,0.5775,0.58,580.0
2025-05-03 01:30:00,NASDAQ:WW,0.58,0.58,0.58,0.58,440.0
2025-05-03 02:00:00,NASDAQ:WW,0.5801,0.5801,0.575,0.575,5576.0
2025-05-03 02:30:00,NASDAQ:WW,0.5725,0.573,0.5725,0.5726,1049.0
2025-05-05 11:00:00,NASDAQ:WW,0.5798,0.58,0.5502,0.561,8005.0
2025-05-05 11:15:00,NASDAQ:WW,0.5698,0.5798,0.5613,0.5613,2223.0
2025-05-05 11:30:00,NASDAQ:WW,0.5615,0.5615,0.5613,0.5613,791.0
2025-05-05 11:45:00,NASDAQ:WW,0.5613,0.5678,0.5598,0.56,1478.0
2025-05-05 12:00:00,NASDAQ:WW,0.5678,0.5678,0.55,0.5601,4480.0
2025-05-05 12:15:00,NASDAQ:WW,0.5598,0.5598,0.5594,0.5595,1015.0
2025-05-05 12:30:00,NASDAQ:WW,0.551,0.5598,0.55,0.55,3201.0
2025-05-05 12:45:00,NASDAQ:WW,0.5503,0.5503,0.5477,0.55,4477.0
2025-05-05 13:00:00,NASDAQ:WW,0.55,0.55,0.5477,0.5477,11717.0
2025-05-05 13:15:00,NASDAQ:WW,0.5477,0.5477,0.525,0.535,4407.0
2025-05-05 13:30:00,NASDAQ:WW,0.5493,0.55,0.5474,0.5496,5649.0
2025-05-05 13:45:00,NASDAQ:WW,0.5496,0.5496,0.5495,0.5495,597.0
2025-05-05 14:00:00,NASDAQ:WW,0.5486,0.5772,0.5486,0.5675,14718.0
2025-05-05 14:15:00,NASDAQ:WW,0.5701,0.599,0.5701,0.599,8230.0
2025-05-05 14:30:00,NASDAQ:WW,0.5952,0.5999,0.5925,0.597,5652.0
2025-05-05 14:45:00,NASDAQ:WW,0.596,0.596,0.576,0.58,4265.0
2025-05-05 15:00:00,NASDAQ:WW,0.5797,0.582,0.5701,0.582,15229.0
2025-05-05 15:15:00,NASDAQ:WW,0.5943,0.5943,0.5799,0.5825,5321.0
2025-05-05 15:30:00,NASDAQ:WW,0.584,0.584,0.5725,0.5725,900.0
2025-05-05 15:45:00,NASDAQ:WW,0.5796,0.5796,0.575,0.576,258.0
2025-05-05 16:00:00,NASDAQ:WW,0.5762,0.578,0.5762,0.5777,383.0
2025-05-05 16:15:00,NASDAQ:WW,0.5899,0.594,0.5899,0.5938,3076.0
2025-05-05 16:30:00,NASDAQ:WW,0.5938,0.681,0.574,0.656,196896.0
2025-05-05 16:45:00,NASDAQ:WW,0.6564,0.68,0.608,0.6604,145670.0
2025-05-05 17:00:00,NASDAQ:WW,0.6647,0.7181,0.6647,0.7066,348676.0
2025-05-05 17:15:00,NASDAQ:WW,0.7113,0.73,0.7001,0.721,303422.0
2025-05-05 17:30:00,NASDAQ:WW,0.7175,0.7175,0.6833,0.7047,113828.0
2025-05-05 17:45:00,NASDAQ:WW,0.7036,0.7103,0.6901,0.7103,72076.0
2025-05-05 18:00:00,NASDAQ:WW,0.714,0.714,0.6567,0.6696,31809.0
2025-05-05 18:15:00,NASDAQ:WW,0.6679,0.6907,0.658,0.6907,88053.0
2025-05-05 18:30:00,NASDAQ:WW,0.6947,0.7057,0.6915,0.6915,35681.0
2025-05-05 18:45:00,NASDAQ:WW,0.6859,0.6945,0.6831,0.69,6553.0
2025-05-05 19:00:00,NASDAQ:WW,0.6938,0.72,0.6909,0.7014,100445.0
2025-05-05 19:15:00,NASDAQ:WW,0.7119,0.7213,0.7081,0.7213,36537.0
2025-05-05 19:30:00,NASDAQ:WW,0.722,0.7359,0.7122,0.733,76886.0
2025-05-05 19:45:00,NASDAQ:WW,0.727,0.7977,0.7234,0.7954,256347.0
2025-05-05 20:00:00,NASDAQ:WW,0.7958,0.8225,0.7643,0.8055,304218.0
2025-05-05 20:15:00,NASDAQ:WW,0.8063,0.8146,0.7536,0.775,213002.0
2025-05-05 20:30:00,NASDAQ:WW,0.7768,0.7812,0.751,0.7752,91591.0
