datetime,symbol,open,high,low,close,volume
2025-06-25 22:00:00,NASDAQ:ZM,76.86,76.9,76.83,76.86,4907.0
2025-06-25 22:15:00,NASDAQ:ZM,76.85,76.9,76.8,76.87,8689.0
2025-06-25 22:30:00,NASDAQ:ZM,76.86,76.86,76.7,76.755,4348.0
2025-06-25 22:45:00,NASDAQ:ZM,76.75,76.77,76.54,76.615,39588.0
2025-06-25 23:00:00,NASDAQ:ZM,76.61,76.78,76.61,76.78,113.0
2025-06-25 23:30:00,NASDAQ:ZM,76.59,76.71,76.59,76.63,17.0
2025-06-26 02:00:00,NASDAQ:ZM,76.59,76.59,76.59,76.59,3.0
2025-06-26 13:00:00,NASDAQ:ZM,77.15,77.23,77.15,77.23,12.0
2025-06-26 13:15:00,NASDAQ:ZM,77.31,77.31,77.31,77.31,12.0
2025-06-26 14:00:00,NASDAQ:ZM,77.21,77.25,76.7,76.8,125.0
2025-06-26 14:15:00,NASDAQ:ZM,76.82,76.82,76.78,76.78,180.0
2025-06-26 14:45:00,NASDAQ:ZM,76.86,76.86,76.86,76.86,1.0
2025-06-26 15:15:00,NASDAQ:ZM,77.11,77.11,77.11,77.11,1.0
2025-06-26 15:30:00,NASDAQ:ZM,77.0,77.0,76.95,76.95,15.0
2025-06-26 15:45:00,NASDAQ:ZM,76.85,76.85,76.64,76.64,28.0
2025-06-26 16:00:00,NASDAQ:ZM,77.05,77.05,77.05,77.05,24.0
2025-06-26 16:15:00,NASDAQ:ZM,76.96,77.07,76.95,77.0,274.0
2025-06-26 16:30:00,NASDAQ:ZM,76.95,77.2,76.4,76.56,10261.0
2025-06-26 16:45:00,NASDAQ:ZM,76.59,76.81,76.46,76.67,7574.0
2025-06-26 17:00:00,NASDAQ:ZM,76.71,77.22,76.705,77.08,60826.0
2025-06-26 17:15:00,NASDAQ:ZM,77.1,77.235,76.9,77.01,37996.0
2025-06-26 17:30:00,NASDAQ:ZM,77.01,77.32,76.97,77.18,32021.0
2025-06-26 17:45:00,NASDAQ:ZM,77.24,77.35,77.11,77.14,13548.0
2025-06-26 18:00:00,NASDAQ:ZM,77.14,77.68,77.13,77.5,23844.0
2025-06-26 18:15:00,NASDAQ:ZM,77.47,77.6,77.43,77.43,8029.0
2025-06-26 18:30:00,NASDAQ:ZM,77.4,77.51,77.3,77.3,6862.0
2025-06-26 18:45:00,NASDAQ:ZM,77.3,77.47,77.3,77.47,5740.0
2025-06-26 19:00:00,NASDAQ:ZM,77.46,77.63,77.45,77.58,5659.0
2025-06-26 19:15:00,NASDAQ:ZM,77.57,77.57,77.21,77.21,6974.0
2025-06-26 19:30:00,NASDAQ:ZM,77.2,77.23,77.1,77.18,6960.0
2025-06-26 19:45:00,NASDAQ:ZM,77.14,77.22,76.96,76.96,7079.0
2025-06-26 20:00:00,NASDAQ:ZM,76.98,77.2,76.98,77.2,3699.0
2025-06-26 20:15:00,NASDAQ:ZM,77.19,77.35,77.19,77.35,3302.0
2025-06-26 20:30:00,NASDAQ:ZM,77.35,77.43,77.29,77.29,4283.0
2025-06-26 20:45:00,NASDAQ:ZM,77.285,77.29,77.09,77.16,2322.0
2025-06-26 21:00:00,NASDAQ:ZM,77.16,77.25,77.12,77.23,1907.0
2025-06-26 21:15:00,NASDAQ:ZM,77.24,77.33,77.2,77.3,5072.0
2025-06-26 21:30:00,NASDAQ:ZM,77.3,77.3,77.15,77.15,6133.0
2025-06-26 21:45:00,NASDAQ:ZM,77.17,77.23,77.14,77.21,3616.0
2025-06-26 22:00:00,NASDAQ:ZM,77.22,77.27,77.16,77.25,3966.0
2025-06-26 22:15:00,NASDAQ:ZM,77.23,77.36,77.22,77.33,5448.0
2025-06-26 22:30:00,NASDAQ:ZM,77.32,77.37,77.15,77.175,11606.0
2025-06-26 22:45:00,NASDAQ:ZM,77.175,77.2,76.8,76.94,36752.0
2025-06-27 01:45:00,NASDAQ:ZM,77.0,77.0,76.95,76.95,122.0
2025-06-27 02:00:00,NASDAQ:ZM,77.01,77.01,77.01,77.01,1.0
2025-06-27 11:30:00,NASDAQ:ZM,76.94,76.94,76.94,76.94,5.0
2025-06-27 13:00:00,NASDAQ:ZM,77.0,77.0,77.0,77.0,10.0
2025-06-27 13:45:00,NASDAQ:ZM,76.94,76.94,76.94,76.94,1.0
2025-06-27 14:00:00,NASDAQ:ZM,76.94,77.3,76.93,76.95,118.0
2025-06-27 14:30:00,NASDAQ:ZM,77.5,77.5,77.5,77.5,20.0
2025-06-27 14:45:00,NASDAQ:ZM,77.2,77.2,77.06,77.06,13.0
2025-06-27 15:00:00,NASDAQ:ZM,77.05,77.05,77.04,77.05,123.0
2025-06-27 15:15:00,NASDAQ:ZM,77.15,77.15,77.15,77.15,1.0
2025-06-27 16:15:00,NASDAQ:ZM,77.06,77.1,76.75,76.75,515.0
2025-06-27 16:30:00,NASDAQ:ZM,76.85,77.1,76.6,77.015,8286.0
2025-06-27 16:45:00,NASDAQ:ZM,76.95,77.01,76.77,77.0,3870.0
2025-06-27 17:00:00,NASDAQ:ZM,77.01,77.42,77.01,77.42,8350.0
2025-06-27 17:15:00,NASDAQ:ZM,77.45,77.58,77.42,77.54,7961.0
2025-06-27 17:30:00,NASDAQ:ZM,77.53,77.61,77.42,77.6,4691.0
2025-06-27 17:45:00,NASDAQ:ZM,77.61,77.84,77.57,77.775,3703.0
2025-06-27 18:00:00,NASDAQ:ZM,77.79,77.85,77.72,77.83,5021.0
2025-06-27 18:15:00,NASDAQ:ZM,77.81,77.81,77.75,77.78,2533.0
2025-06-27 18:30:00,NASDAQ:ZM,77.79,77.93,77.79,77.86,3335.0
2025-06-27 18:45:00,NASDAQ:ZM,77.85,77.9,77.82,77.855,2756.0
2025-06-27 19:00:00,NASDAQ:ZM,77.84,77.88,77.77,77.83,1806.0
2025-06-27 19:15:00,NASDAQ:ZM,77.85,77.97,77.8,77.94,2322.0
2025-06-27 19:30:00,NASDAQ:ZM,77.93,77.97,77.9,77.93,2311.0
2025-06-27 19:45:00,NASDAQ:ZM,77.93,77.99,77.93,77.94,2358.0
2025-06-27 20:00:00,NASDAQ:ZM,77.94,78.14,77.93,78.09,4344.0
2025-06-27 20:15:00,NASDAQ:ZM,78.1,78.1,77.98,77.99,2021.0
2025-06-27 20:30:00,NASDAQ:ZM,77.995,78.08,77.92,77.96,3547.0
2025-06-27 20:45:00,NASDAQ:ZM,77.93,77.94,77.68,77.77,2252.0
2025-06-27 21:00:00,NASDAQ:ZM,77.8,77.93,77.8,77.87,4912.0
2025-06-27 21:15:00,NASDAQ:ZM,77.87,77.93,77.79,77.84,4541.0
2025-06-27 21:30:00,NASDAQ:ZM,77.82,77.9,77.72,77.76,5256.0
2025-06-27 21:45:00,NASDAQ:ZM,77.79,77.86,77.59,77.6,3466.0
2025-06-27 22:00:00,NASDAQ:ZM,77.59,78.06,77.59,78.05,6847.0
2025-06-27 22:15:00,NASDAQ:ZM,78.05,78.19,78.01,78.14,15602.0
2025-06-27 22:30:00,NASDAQ:ZM,78.16,78.19,77.99,78.13,12478.0
2025-06-27 22:45:00,NASDAQ:ZM,78.12,78.44,78.12,78.36,28539.0
2025-06-27 23:00:00,NASDAQ:ZM,78.36,78.36,78.12,78.28,22.0
2025-06-27 23:15:00,NASDAQ:ZM,78.28,78.28,78.28,78.28,1.0
2025-06-28 00:00:00,NASDAQ:ZM,78.1,78.1,78.1,78.1,1.0
2025-06-28 00:15:00,NASDAQ:ZM,78.0,78.0,77.9,77.92,69.0
2025-06-28 02:00:00,NASDAQ:ZM,78.02,78.02,78.01,78.01,7.0
2025-06-30 11:00:00,NASDAQ:ZM,79.0,79.0,78.34,78.51,41.0
2025-06-30 11:15:00,NASDAQ:ZM,78.99,78.99,78.99,78.99,24.0
2025-06-30 11:45:00,NASDAQ:ZM,78.67,78.67,78.67,78.67,10.0
2025-06-30 12:15:00,NASDAQ:ZM,78.61,78.61,78.61,78.61,4.0
2025-06-30 12:30:00,NASDAQ:ZM,78.95,79.02,78.95,79.02,16.0
2025-06-30 13:00:00,NASDAQ:ZM,78.94,78.94,78.94,78.94,10.0
2025-06-30 13:15:00,NASDAQ:ZM,78.94,78.94,78.94,78.94,10.0
2025-06-30 13:30:00,NASDAQ:ZM,78.94,78.94,78.94,78.94,2.0
2025-06-30 14:00:00,NASDAQ:ZM,78.78,78.99,78.55,78.76,373.0
2025-06-30 14:15:00,NASDAQ:ZM,78.76,78.76,78.76,78.76,4.0
2025-06-30 14:45:00,NASDAQ:ZM,78.83,78.83,78.83,78.83,5.0
2025-06-30 15:15:00,NASDAQ:ZM,78.87,78.88,78.87,78.88,108.0
2025-06-30 15:30:00,NASDAQ:ZM,78.75,78.75,78.71,78.71,80.0
2025-06-30 15:45:00,NASDAQ:ZM,78.7,78.7,78.7,78.7,11.0
2025-06-30 16:00:00,NASDAQ:ZM,78.66,78.66,78.66,78.66,4.0
2025-06-30 16:15:00,NASDAQ:ZM,78.52,78.63,78.4,78.52,428.0
2025-06-30 16:30:00,NASDAQ:ZM,78.485,78.485,77.49,77.95,19259.0
2025-06-30 16:45:00,NASDAQ:ZM,77.94,78.01,77.8,77.92,5854.0
2025-06-30 17:00:00,NASDAQ:ZM,77.92,77.96,77.61,77.77,7202.0
2025-06-30 17:15:00,NASDAQ:ZM,77.78,77.88,77.73,77.77,4637.0
2025-06-30 17:30:00,NASDAQ:ZM,77.74,77.77,77.55,77.68,4170.0
2025-06-30 17:45:00,NASDAQ:ZM,77.7,77.78,77.63,77.65,4050.0
2025-06-30 18:00:00,NASDAQ:ZM,77.64,77.91,77.62,77.81,4360.0
2025-06-30 18:15:00,NASDAQ:ZM,77.81,77.83,77.6,77.69,5304.0
2025-06-30 18:30:00,NASDAQ:ZM,77.68,77.76,77.63,77.69,4049.0
2025-06-30 18:45:00,NASDAQ:ZM,77.7,77.715,77.545,77.545,2945.0
2025-06-30 19:00:00,NASDAQ:ZM,77.55,77.59,77.44,77.44,3912.0
2025-06-30 19:15:00,NASDAQ:ZM,77.4,77.48,77.26,77.44,4732.0
2025-06-30 19:30:00,NASDAQ:ZM,77.46,77.48,77.37,77.39,3434.0
2025-06-30 19:45:00,NASDAQ:ZM,77.38,77.42,77.27,77.42,4308.0
2025-06-30 20:00:00,NASDAQ:ZM,77.42,77.425,77.31,77.32,3452.0
2025-06-30 20:15:00,NASDAQ:ZM,77.31,77.67,77.31,77.67,3841.0
2025-06-30 20:30:00,NASDAQ:ZM,77.66,77.66,77.59,77.625,2966.0
2025-06-30 20:45:00,NASDAQ:ZM,77.63,77.92,77.61,77.81,10305.0
2025-06-30 21:00:00,NASDAQ:ZM,77.81,78.01,77.78,77.82,10359.0
2025-06-30 21:15:00,NASDAQ:ZM,77.81,77.83,77.69,77.69,5589.0
2025-06-30 21:30:00,NASDAQ:ZM,77.7,77.7,77.59,77.62,2448.0
2025-06-30 21:45:00,NASDAQ:ZM,77.64,77.75,77.57,77.7,4265.0
2025-06-30 22:00:00,NASDAQ:ZM,77.72,77.8,77.64,77.76,6926.0
2025-06-30 22:15:00,NASDAQ:ZM,77.76,77.945,77.76,77.91,9553.0
2025-06-30 22:30:00,NASDAQ:ZM,77.905,78.0,77.86,77.95,12330.0
2025-06-30 22:45:00,NASDAQ:ZM,77.96,78.11,77.88,77.97,67466.0
2025-06-30 23:00:00,NASDAQ:ZM,78.06,78.1,78.03,78.04,1140.0
2025-07-01 00:30:00,NASDAQ:ZM,77.86,77.86,77.86,77.86,9.0
2025-07-01 11:00:00,NASDAQ:ZM,78.0,78.33,78.0,78.33,7.0
2025-07-01 11:30:00,NASDAQ:ZM,78.06,78.06,78.04,78.04,30.0
2025-07-01 12:45:00,NASDAQ:ZM,77.99,77.99,77.99,77.99,3.0
2025-07-01 13:00:00,NASDAQ:ZM,77.99,77.99,77.97,77.97,21.0
2025-07-01 13:15:00,NASDAQ:ZM,77.97,77.97,77.97,77.97,22.0
2025-07-01 13:30:00,NASDAQ:ZM,77.97,77.97,77.97,77.97,7.0
2025-07-01 15:00:00,NASDAQ:ZM,77.98,77.98,77.98,77.98,3.0
2025-07-01 15:15:00,NASDAQ:ZM,78.15,78.15,78.15,78.15,8.0
2025-07-01 15:30:00,NASDAQ:ZM,77.75,77.75,77.59,77.59,4.0
2025-07-01 15:45:00,NASDAQ:ZM,77.62,77.62,77.59,77.59,12.0
2025-07-01 16:00:00,NASDAQ:ZM,77.58,77.58,77.58,77.58,1.0
2025-07-01 16:15:00,NASDAQ:ZM,77.57,77.79,77.57,77.79,1416.0
2025-07-01 16:30:00,NASDAQ:ZM,77.725,77.96,77.25,77.54,13138.0
2025-07-01 16:45:00,NASDAQ:ZM,77.5,77.76,77.37,77.59,10756.0
2025-07-01 17:00:00,NASDAQ:ZM,77.58,77.76,77.53,77.73,13089.0
2025-07-01 17:15:00,NASDAQ:ZM,77.725,77.79,77.45,77.77,22389.0
2025-07-01 17:30:00,NASDAQ:ZM,77.77,77.98,77.75,77.87,7876.0
2025-07-01 17:45:00,NASDAQ:ZM,77.86,77.96,77.71,77.77,9847.0
2025-07-01 18:00:00,NASDAQ:ZM,77.74,77.74,76.92,76.92,9853.0
2025-07-01 18:15:00,NASDAQ:ZM,76.95,77.44,76.92,77.44,8678.0
2025-07-01 18:30:00,NASDAQ:ZM,77.42,77.5,77.29,77.33,5997.0
2025-07-01 18:45:00,NASDAQ:ZM,77.32,77.53,77.24,77.49,7736.0
2025-07-01 19:00:00,NASDAQ:ZM,77.5,77.85,77.5,77.85,7307.0
2025-07-01 19:15:00,NASDAQ:ZM,77.86,78.0,77.73,77.73,8242.0
2025-07-01 19:30:00,NASDAQ:ZM,77.68,78.0,77.68,78.0,11247.0
2025-07-01 19:45:00,NASDAQ:ZM,78.0,78.08,77.65,77.66,10014.0
2025-07-01 20:00:00,NASDAQ:ZM,77.69,77.72,77.53,77.55,4211.0
2025-07-01 20:15:00,NASDAQ:ZM,77.57,78.0,77.56,77.99,6455.0
2025-07-01 20:30:00,NASDAQ:ZM,78.01,78.17,77.83,77.86,10217.0
2025-07-01 20:45:00,NASDAQ:ZM,77.84,77.84,77.72,77.83,4951.0
2025-07-01 21:00:00,NASDAQ:ZM,77.87,77.91,77.81,77.83,3861.0
2025-07-01 21:15:00,NASDAQ:ZM,77.84,77.84,77.72,77.75,3267.0
2025-07-01 21:30:00,NASDAQ:ZM,77.76,77.82,77.75,77.82,4082.0
2025-07-01 21:45:00,NASDAQ:ZM,77.84,77.89,77.74,77.74,6483.0
2025-07-01 22:00:00,NASDAQ:ZM,77.73,77.73,77.53,77.66,7543.0
2025-07-01 22:15:00,NASDAQ:ZM,77.66,77.69,77.6,77.62,6313.0
2025-07-01 22:30:00,NASDAQ:ZM,77.63,77.64,77.41,77.5,10810.0
2025-07-01 22:45:00,NASDAQ:ZM,77.55,77.715,77.52,77.54,32684.0
2025-07-01 23:00:00,NASDAQ:ZM,77.57,77.57,77.56,77.56,20.0
2025-07-01 23:30:00,NASDAQ:ZM,77.54,77.54,77.54,77.54,1.0
2025-07-01 23:45:00,NASDAQ:ZM,77.57,77.57,77.57,77.57,1.0
2025-07-02 01:00:00,NASDAQ:ZM,77.6,77.6,77.55,77.55,50.0
2025-07-02 01:15:00,NASDAQ:ZM,77.55,77.55,77.55,77.55,35.0
2025-07-02 11:00:00,NASDAQ:ZM,77.57,77.57,77.57,77.57,2.0
2025-07-02 12:15:00,NASDAQ:ZM,78.06,78.06,78.06,78.06,13.0
2025-07-02 14:00:00,NASDAQ:ZM,77.75,77.75,77.75,77.75,2.0
2025-07-02 14:30:00,NASDAQ:ZM,77.65,77.65,77.65,77.65,3.0
2025-07-02 14:45:00,NASDAQ:ZM,77.57,77.57,77.57,77.57,3.0
2025-07-02 15:15:00,NASDAQ:ZM,77.52,77.52,77.52,77.52,2.0
2025-07-02 15:45:00,NASDAQ:ZM,77.51,77.51,77.51,77.51,3.0
2025-07-02 16:00:00,NASDAQ:ZM,77.46,77.46,77.46,77.46,1.0
2025-07-02 16:15:00,NASDAQ:ZM,77.43,77.43,77.1,77.1,163.0
2025-07-02 16:30:00,NASDAQ:ZM,77.05,77.56,76.72,76.925,14667.0
2025-07-02 16:45:00,NASDAQ:ZM,77.0,77.4,76.9,77.275,10124.0
2025-07-02 17:00:00,NASDAQ:ZM,77.28,77.34,77.13,77.21,13674.0
2025-07-02 17:15:00,NASDAQ:ZM,77.215,77.27,77.045,77.18,14739.0
2025-07-02 17:30:00,NASDAQ:ZM,77.15,77.49,77.13,77.35,11620.0
2025-07-02 17:45:00,NASDAQ:ZM,77.32,77.34,77.02,77.165,5550.0
2025-07-02 18:00:00,NASDAQ:ZM,77.18,77.37,77.16,77.19,8955.0
2025-07-02 18:15:00,NASDAQ:ZM,77.21,77.25,77.06,77.07,8600.0
2025-07-02 18:30:00,NASDAQ:ZM,77.11,77.18,77.09,77.18,5548.0
2025-07-02 18:45:00,NASDAQ:ZM,77.17,77.21,77.11,77.15,5160.0
2025-07-02 19:00:00,NASDAQ:ZM,77.155,77.24,77.02,77.045,4320.0
2025-07-02 19:15:00,NASDAQ:ZM,77.04,77.09,76.99,77.04,5461.0
2025-07-02 19:30:00,NASDAQ:ZM,77.04,77.26,77.04,77.13,4697.0
2025-07-02 19:45:00,NASDAQ:ZM,77.16,77.21,77.09,77.19,4157.0
2025-07-02 20:00:00,NASDAQ:ZM,77.18,77.18,76.92,76.97,2718.0
2025-07-02 20:15:00,NASDAQ:ZM,76.95,77.01,76.89,76.91,8097.0
2025-07-02 20:30:00,NASDAQ:ZM,76.95,76.95,76.8,76.82,8512.0
2025-07-02 20:45:00,NASDAQ:ZM,76.8,76.82,76.71,76.73,2655.0
2025-07-02 21:00:00,NASDAQ:ZM,76.71,76.875,76.69,76.875,4988.0
2025-07-02 21:15:00,NASDAQ:ZM,76.9,76.9,76.74,76.8,3619.0
2025-07-02 21:30:00,NASDAQ:ZM,76.8,76.96,76.74,76.96,4305.0
2025-07-02 21:45:00,NASDAQ:ZM,76.97,77.05,76.94,77.02,5174.0
2025-07-02 22:00:00,NASDAQ:ZM,77.05,77.205,77.03,77.17,6484.0
2025-07-02 22:15:00,NASDAQ:ZM,77.18,77.31,77.18,77.21,4730.0
