datetime,symbol,open,high,low,close,volume
2025-07-17 07:30:00,NYMEX:CL1!,66.73,66.77,66.73,66.75,99.0
2025-07-17 07:45:00,NYMEX:CL1!,66.76,66.77,66.71,66.73,45.0
2025-07-17 08:00:00,NYMEX:CL1!,66.72,66.73,66.71,66.73,83.0
2025-07-17 08:15:00,NYMEX:CL1!,66.73,66.74,66.7,66.72,119.0
2025-07-17 08:30:00,NYMEX:CL1!,66.73,66.75,66.7,66.72,165.0
2025-07-17 08:45:00,NYMEX:CL1!,66.71,66.74,66.69,66.74,130.0
2025-07-17 09:00:00,NYMEX:CL1!,66.74,66.75,66.59,66.61,378.0
2025-07-17 09:15:00,NYMEX:CL1!,66.6,66.62,66.54,66.56,242.0
2025-07-17 09:30:00,NYMEX:CL1!,66.55,66.55,66.46,66.49,413.0
2025-07-17 09:45:00,NYMEX:CL1!,66.49,66.57,66.47,66.48,212.0
2025-07-17 10:00:00,NYMEX:CL1!,66.5,66.51,66.37,66.39,446.0
2025-07-17 10:15:00,NYMEX:CL1!,66.4,66.55,66.37,66.41,560.0
2025-07-17 10:30:00,NYMEX:CL1!,66.42,66.43,66.31,66.34,398.0
2025-07-17 10:45:00,NYMEX:CL1!,66.35,66.5,66.33,66.34,467.0
2025-07-17 11:00:00,NYMEX:CL1!,66.36,66.49,66.34,66.45,398.0
2025-07-17 11:15:00,NYMEX:CL1!,66.45,66.52,66.29,66.32,703.0
2025-07-17 11:30:00,NYMEX:CL1!,66.33,66.7,66.33,66.69,866.0
2025-07-17 11:45:00,NYMEX:CL1!,66.69,66.71,66.5,66.51,665.0
2025-07-17 12:00:00,NYMEX:CL1!,66.51,66.53,66.3,66.4,663.0
2025-07-17 12:15:00,NYMEX:CL1!,66.4,66.64,66.37,66.62,586.0
2025-07-17 12:30:00,NYMEX:CL1!,66.65,66.66,66.39,66.44,362.0
2025-07-17 12:45:00,NYMEX:CL1!,66.44,66.58,66.42,66.55,195.0
2025-07-17 13:00:00,NYMEX:CL1!,66.54,66.79,66.54,66.79,892.0
2025-07-17 13:15:00,NYMEX:CL1!,66.79,66.82,66.65,66.66,670.0
2025-07-17 13:30:00,NYMEX:CL1!,66.66,66.8,66.62,66.73,492.0
2025-07-17 13:45:00,NYMEX:CL1!,66.71,66.84,66.68,66.73,405.0
2025-07-17 14:00:00,NYMEX:CL1!,66.73,66.79,66.63,66.64,417.0
2025-07-17 14:15:00,NYMEX:CL1!,66.66,66.75,66.62,66.65,453.0
2025-07-17 14:30:00,NYMEX:CL1!,66.65,66.71,66.57,66.65,577.0
2025-07-17 14:45:00,NYMEX:CL1!,66.65,66.84,66.65,66.8,744.0
2025-07-17 15:00:00,NYMEX:CL1!,66.81,67.2,66.81,67.12,3025.0
2025-07-17 15:15:00,NYMEX:CL1!,67.12,67.13,66.98,67.03,1029.0
2025-07-17 15:30:00,NYMEX:CL1!,67.06,67.14,67.0,67.06,1214.0
2025-07-17 15:45:00,NYMEX:CL1!,67.05,67.1,66.71,66.74,1676.0
2025-07-17 16:00:00,NYMEX:CL1!,66.74,66.85,66.4,66.73,2837.0
2025-07-17 16:15:00,NYMEX:CL1!,66.73,66.87,66.54,66.61,1453.0
2025-07-17 16:30:00,NYMEX:CL1!,66.61,66.73,66.45,66.6,1512.0
2025-07-17 16:45:00,NYMEX:CL1!,66.59,66.66,66.52,66.6,1162.0
2025-07-17 17:00:00,NYMEX:CL1!,66.6,66.67,66.46,66.58,1150.0
2025-07-17 17:15:00,NYMEX:CL1!,66.6,66.84,66.48,66.48,1986.0
2025-07-17 17:30:00,NYMEX:CL1!,66.48,66.75,66.41,66.69,1987.0
2025-07-17 17:45:00,NYMEX:CL1!,66.69,67.01,66.64,66.99,2022.0
2025-07-17 18:00:00,NYMEX:CL1!,67.0,67.17,66.95,67.05,3191.0
2025-07-17 18:15:00,NYMEX:CL1!,67.05,67.3,67.03,67.21,2956.0
2025-07-17 18:30:00,NYMEX:CL1!,67.21,67.25,67.01,67.13,2293.0
2025-07-17 18:45:00,NYMEX:CL1!,67.12,67.17,67.01,67.14,1214.0
