datetime,symbol,open,high,low,close,volume
2025-07-10 02:30:00,NYSE:AI,27.44,27.45,27.41,27.41,747.0
2025-07-10 02:45:00,NYSE:AI,27.42,27.42,27.4,27.4,400.0
2025-07-10 11:00:00,NYSE:AI,27.59,27.59,27.29,27.49,1760.0
2025-07-10 11:15:00,NYSE:AI,27.49,27.57,27.48,27.57,259.0
2025-07-10 11:30:00,NYSE:AI,27.56,27.57,27.51,27.57,137.0
2025-07-10 11:45:00,NYSE:AI,27.51,27.55,27.5,27.52,491.0
2025-07-10 12:00:00,NYSE:AI,27.51,27.51,27.5,27.5,74.0
2025-07-10 12:15:00,NYSE:AI,27.45,27.45,27.44,27.45,55.0
2025-07-10 12:30:00,NYSE:AI,27.45,27.48,27.42,27.42,182.0
2025-07-10 12:45:00,NYSE:AI,27.47,27.47,27.47,27.47,145.0
2025-07-10 13:00:00,NYSE:AI,27.42,27.48,27.41,27.47,421.0
2025-07-10 13:15:00,NYSE:AI,27.47,27.47,27.47,27.47,158.0
2025-07-10 13:30:00,NYSE:AI,27.48,27.51,27.48,27.49,357.0
2025-07-10 13:45:00,NYSE:AI,27.5,27.51,27.49,27.51,112.0
2025-07-10 14:00:00,NYSE:AI,27.5,27.51,27.49,27.51,2343.0
2025-07-10 14:15:00,NYSE:AI,27.51,27.58,27.5,27.58,193.0
2025-07-10 14:30:00,NYSE:AI,27.57,27.59,27.57,27.57,326.0
2025-07-10 14:45:00,NYSE:AI,27.57,27.61,27.53,27.56,2280.0
2025-07-10 15:00:00,NYSE:AI,27.54,27.54,27.49,27.5,498.0
2025-07-10 15:15:00,NYSE:AI,27.54,27.55,27.48,27.48,945.0
2025-07-10 15:30:00,NYSE:AI,27.49,27.5,27.44,27.45,1191.0
2025-07-10 15:45:00,NYSE:AI,27.49,27.59,27.49,27.59,827.0
2025-07-10 16:00:00,NYSE:AI,27.56,27.7,27.56,27.59,2795.0
2025-07-10 16:15:00,NYSE:AI,27.59,27.72,27.59,27.69,4288.0
2025-07-10 16:30:00,NYSE:AI,27.68,27.78,26.91,27.06,62839.0
2025-07-10 16:45:00,NYSE:AI,27.08,27.12,26.75,26.86,33544.0
2025-07-10 17:00:00,NYSE:AI,26.86,26.89,26.46,26.76,61668.0
2025-07-10 17:15:00,NYSE:AI,26.76,27.02,26.75,26.86,30371.0
2025-07-10 17:30:00,NYSE:AI,26.865,26.96,26.79,26.94,19025.0
2025-07-10 17:45:00,NYSE:AI,26.93,27.07,26.84,27.05,13081.0
2025-07-10 18:00:00,NYSE:AI,27.05,27.14,26.89,26.9,17821.0
2025-07-10 18:15:00,NYSE:AI,26.9,26.94,26.78,26.86,10792.0
2025-07-10 18:30:00,NYSE:AI,26.87,27.03,26.87,27.01,12013.0
2025-07-10 18:45:00,NYSE:AI,27.01,27.065,26.96,27.04,12016.0
2025-07-10 19:00:00,NYSE:AI,27.05,27.15,26.98,27.03,9517.0
2025-07-10 19:15:00,NYSE:AI,27.04,27.13,27.0,27.105,8821.0
2025-07-10 19:30:00,NYSE:AI,27.11,27.12,26.975,27.04,5918.0
2025-07-10 19:45:00,NYSE:AI,27.02,27.045,26.97,26.975,4122.0
2025-07-10 20:00:00,NYSE:AI,26.975,27.14,26.975,27.135,5923.0
2025-07-10 20:15:00,NYSE:AI,27.13,27.2,27.13,27.17,17624.0
2025-07-10 20:30:00,NYSE:AI,27.18,27.26,27.175,27.215,12880.0
2025-07-10 20:45:00,NYSE:AI,27.21,27.23,27.105,27.11,12100.0
2025-07-10 21:00:00,NYSE:AI,27.1,27.1,27.015,27.025,4574.0
2025-07-10 21:15:00,NYSE:AI,27.03,27.07,26.99,27.065,8467.0
2025-07-10 21:30:00,NYSE:AI,27.08,27.105,27.07,27.08,3544.0
2025-07-10 21:45:00,NYSE:AI,27.08,27.11,27.07,27.095,4943.0
2025-07-10 22:00:00,NYSE:AI,27.095,27.1,27.02,27.04,5040.0
2025-07-10 22:15:00,NYSE:AI,27.03,27.07,26.965,26.99,8581.0
2025-07-10 22:30:00,NYSE:AI,27.02,27.055,26.99,27.01,7509.0
2025-07-10 22:45:00,NYSE:AI,27.005,27.005,26.74,26.81,88073.0
2025-07-10 23:00:00,NYSE:AI,26.8,26.84,26.8,26.84,285.0
2025-07-10 23:15:00,NYSE:AI,26.81,26.81,26.79,26.8,451.0
2025-07-10 23:30:00,NYSE:AI,26.85,26.85,26.82,26.82,403.0
2025-07-10 23:45:00,NYSE:AI,26.82,26.84,26.82,26.84,30.0
2025-07-11 00:00:00,NYSE:AI,26.82,26.84,26.82,26.84,73.0
2025-07-11 00:15:00,NYSE:AI,26.82,26.82,26.82,26.82,15.0
2025-07-11 00:30:00,NYSE:AI,26.83,26.84,26.81,26.81,142.0
2025-07-11 00:45:00,NYSE:AI,26.85,26.85,26.84,26.85,758.0
2025-07-11 01:00:00,NYSE:AI,26.85,26.85,26.84,26.85,325.0
2025-07-11 01:15:00,NYSE:AI,26.9,26.9,26.9,26.9,3.0
2025-07-11 01:30:00,NYSE:AI,26.9,26.9,26.88,26.88,289.0
2025-07-11 02:00:00,NYSE:AI,26.86,26.91,26.85,26.91,191.0
2025-07-11 02:15:00,NYSE:AI,26.9,26.9,26.86,26.86,13.0
2025-07-11 02:30:00,NYSE:AI,26.86,26.9,26.86,26.86,250.0
2025-07-11 11:00:00,NYSE:AI,26.75,26.75,26.6,26.61,713.0
2025-07-11 11:15:00,NYSE:AI,26.61,26.62,26.55,26.55,266.0
2025-07-11 11:30:00,NYSE:AI,26.58,26.58,26.5,26.58,1079.0
2025-07-11 11:45:00,NYSE:AI,26.56,26.69,26.56,26.61,709.0
2025-07-11 12:00:00,NYSE:AI,26.69,26.69,26.6,26.62,428.0
