datetime,symbol,open,high,low,close,volume
2025-07-09 17:30:00,NYSE:BAC,47.04,47.04,46.84,46.86,133054.0
2025-07-09 17:45:00,NYSE:BAC,46.855,46.925,46.765,46.78,193090.0
2025-07-09 18:00:00,NYSE:BAC,46.785,46.96,46.76,46.79,164400.0
2025-07-09 18:15:00,NYSE:BAC,46.78,46.87,46.71,46.85,171319.0
2025-07-09 18:30:00,NYSE:BAC,46.85,46.9,46.825,46.835,123168.0
2025-07-09 18:45:00,NYSE:BAC,46.835,46.89,46.815,46.88,69893.0
2025-07-09 19:00:00,NYSE:BAC,46.88,46.9,46.76,46.8,87346.0
2025-07-09 19:15:00,NYSE:BAC,46.8,46.84,46.755,46.795,109853.0
2025-07-09 19:30:00,NYSE:BAC,46.795,46.8,46.71,46.755,70951.0
2025-07-09 19:45:00,NYSE:BAC,46.755,46.77,46.735,46.755,53066.0
2025-07-09 20:00:00,NYSE:BAC,46.755,46.85,46.73,46.85,78067.0
2025-07-09 20:15:00,NYSE:BAC,46.85,47.03,46.845,47.0,118671.0
2025-07-09 20:30:00,NYSE:BAC,47.0,47.02,46.915,46.985,95905.0
2025-07-09 20:45:00,NYSE:BAC,46.985,47.05,46.97,47.01,101577.0
2025-07-09 21:00:00,NYSE:BAC,47.015,47.055,46.995,47.035,69901.0
2025-07-09 21:15:00,NYSE:BAC,47.03,47.04,46.905,46.93,65813.0
2025-07-09 21:30:00,NYSE:BAC,46.925,46.935,46.79,46.835,88379.0
2025-07-09 21:45:00,NYSE:BAC,46.835,46.94,46.83,46.93,63563.0
2025-07-09 22:00:00,NYSE:BAC,46.93,46.94,46.845,46.85,59599.0
2025-07-09 22:15:00,NYSE:BAC,46.855,46.875,46.805,46.84,77454.0
2025-07-09 22:30:00,NYSE:BAC,46.84,46.85,46.79,46.845,189915.0
2025-07-09 22:45:00,NYSE:BAC,46.84,46.91,46.795,46.83,649705.0
2025-07-09 23:00:00,NYSE:BAC,46.84,46.84,46.79,46.81,585.0
2025-07-09 23:15:00,NYSE:BAC,46.83,46.84,46.81,46.82,131.0
2025-07-09 23:30:00,NYSE:BAC,46.82,46.83,46.82,46.82,23.0
2025-07-09 23:45:00,NYSE:BAC,46.84,46.84,46.82,46.82,139.0
2025-07-10 00:00:00,NYSE:BAC,46.84,46.84,46.84,46.84,54.0
2025-07-10 00:15:00,NYSE:BAC,46.83,46.83,46.83,46.83,5.0
2025-07-10 00:30:00,NYSE:BAC,46.83,46.83,46.83,46.83,66.0
2025-07-10 00:45:00,NYSE:BAC,46.84,46.84,46.82,46.84,520.0
2025-07-10 01:00:00,NYSE:BAC,46.82,46.84,46.82,46.82,3.0
2025-07-10 01:15:00,NYSE:BAC,46.84,46.84,46.83,46.84,16.0
2025-07-10 01:30:00,NYSE:BAC,46.84,46.84,46.82,46.84,19.0
2025-07-10 01:45:00,NYSE:BAC,46.84,46.84,46.84,46.84,12.0
2025-07-10 02:45:00,NYSE:BAC,46.83,46.83,46.83,46.83,3.0
2025-07-10 11:00:00,NYSE:BAC,46.63,46.82,46.63,46.77,189.0
2025-07-10 11:15:00,NYSE:BAC,46.76,46.79,46.76,46.76,555.0
2025-07-10 11:30:00,NYSE:BAC,46.75,46.78,46.75,46.78,944.0
2025-07-10 11:45:00,NYSE:BAC,46.78,46.78,46.75,46.77,910.0
2025-07-10 12:00:00,NYSE:BAC,46.79,46.79,46.78,46.78,85.0
2025-07-10 12:15:00,NYSE:BAC,46.75,46.77,46.74,46.77,443.0
2025-07-10 12:30:00,NYSE:BAC,46.75,46.77,46.75,46.76,196.0
2025-07-10 12:45:00,NYSE:BAC,46.76,46.8,46.76,46.8,177.0
2025-07-10 13:00:00,NYSE:BAC,46.8,46.8,46.78,46.78,4.0
2025-07-10 13:15:00,NYSE:BAC,46.78,46.78,46.78,46.78,7.0
2025-07-10 13:30:00,NYSE:BAC,46.78,46.8,46.77,46.77,252.0
