datetime,symbol,open,high,low,close,volume
2025-06-13 20:30:00,NYSE:BBWI,25.7,25.73,25.66,25.67,5117.0
2025-06-13 20:45:00,NYSE:BBWI,25.68,25.72,25.64,25.66,6664.0
2025-06-13 21:00:00,NYSE:BBWI,25.65,25.67,25.46,25.46,23328.0
2025-06-13 21:15:00,NYSE:BBWI,25.45,25.47,25.35,25.35,11677.0
2025-06-13 21:30:00,NYSE:BBWI,25.355,25.37,25.29,25.33,13139.0
2025-06-13 21:45:00,NYSE:BBWI,25.34,25.42,25.32,25.375,9192.0
2025-06-13 22:00:00,NYSE:BBWI,25.38,25.39,25.29,25.33,12082.0
2025-06-13 22:15:00,NYSE:BBWI,25.33,25.33,25.18,25.19,17869.0
2025-06-13 22:30:00,NYSE:BBWI,25.19,25.25,24.975,24.99,37052.0
2025-06-13 22:45:00,NYSE:BBWI,24.99,25.21,24.95,25.21,71641.0
2025-06-14 00:00:00,NYSE:BBWI,25.25,25.25,25.25,25.25,102.0
2025-06-14 00:15:00,NYSE:BBWI,25.37,25.37,25.37,25.37,15.0
2025-06-14 01:00:00,NYSE:BBWI,25.31,25.31,25.3,25.3,199.0
2025-06-14 02:45:00,NYSE:BBWI,25.4,25.4,25.4,25.4,10.0
2025-06-16 11:00:00,NYSE:BBWI,25.68,25.72,25.68,25.72,50.0
2025-06-16 11:45:00,NYSE:BBWI,25.6,25.6,25.6,25.6,3.0
2025-06-16 12:45:00,NYSE:BBWI,25.59,25.59,25.59,25.59,1.0
2025-06-16 13:00:00,NYSE:BBWI,25.59,25.59,25.59,25.59,3.0
2025-06-16 13:45:00,NYSE:BBWI,25.6,25.6,25.6,25.6,1.0
2025-06-16 14:00:00,NYSE:BBWI,25.57,25.57,25.49,25.5,764.0
2025-06-16 15:15:00,NYSE:BBWI,25.6,25.6,25.51,25.51,382.0
2025-06-16 16:15:00,NYSE:BBWI,25.72,25.72,25.5,25.5,357.0
2025-06-16 16:30:00,NYSE:BBWI,25.48,25.78,25.47,25.77,16702.0
2025-06-16 16:45:00,NYSE:BBWI,25.79,26.0,25.71,25.93,10621.0
2025-06-16 17:00:00,NYSE:BBWI,25.93,26.035,25.87,26.01,8838.0
2025-06-16 17:15:00,NYSE:BBWI,26.01,26.12,25.97,26.06,8641.0
2025-06-16 17:30:00,NYSE:BBWI,26.07,26.19,26.07,26.19,11743.0
2025-06-16 17:45:00,NYSE:BBWI,26.19,26.21,26.14,26.16,9097.0
2025-06-16 18:00:00,NYSE:BBWI,26.16,26.2,25.9,25.94,20232.0
2025-06-16 18:15:00,NYSE:BBWI,25.95,25.96,25.77,25.845,18703.0
2025-06-16 18:30:00,NYSE:BBWI,25.85,25.89,25.805,25.81,12027.0
2025-06-16 18:45:00,NYSE:BBWI,25.8,25.83,25.75,25.77,10095.0
2025-06-16 19:00:00,NYSE:BBWI,25.78,25.83,25.75,25.82,9292.0
2025-06-16 19:15:00,NYSE:BBWI,25.81,25.93,25.8,25.92,6372.0
2025-06-16 19:30:00,NYSE:BBWI,25.93,25.95,25.9,25.93,7685.0
2025-06-16 19:45:00,NYSE:BBWI,25.93,26.01,25.92,25.93,15467.0
2025-06-16 20:00:00,NYSE:BBWI,25.93,25.98,25.89,25.91,5899.0
2025-06-16 20:15:00,NYSE:BBWI,25.9,25.96,25.89,25.95,12071.0
2025-06-16 20:30:00,NYSE:BBWI,25.945,25.97,25.83,25.84,18426.0
2025-06-16 20:45:00,NYSE:BBWI,25.83,25.86,25.76,25.76,8868.0
2025-06-16 21:00:00,NYSE:BBWI,25.76,25.77,25.69,25.72,6545.0
2025-06-16 21:15:00,NYSE:BBWI,25.725,25.725,25.65,25.66,7932.0
2025-06-16 21:30:00,NYSE:BBWI,25.65,25.665,25.63,25.65,5880.0
2025-06-16 21:45:00,NYSE:BBWI,25.65,25.67,25.63,25.66,8495.0
2025-06-16 22:00:00,NYSE:BBWI,25.66,25.72,25.655,25.71,9563.0
2025-06-16 22:15:00,NYSE:BBWI,25.72,25.83,25.72,25.73,16872.0
2025-06-16 22:30:00,NYSE:BBWI,25.73,25.83,25.72,25.81,17571.0
2025-06-16 22:45:00,NYSE:BBWI,25.8,25.86,25.735,25.82,82270.0
2025-06-17 11:00:00,NYSE:BBWI,25.63,25.67,25.6,25.67,330.0
2025-06-17 11:15:00,NYSE:BBWI,25.83,25.84,25.83,25.83,149.0
2025-06-17 11:45:00,NYSE:BBWI,25.73,25.73,25.73,25.73,5.0
2025-06-17 13:15:00,NYSE:BBWI,25.75,25.75,25.73,25.73,35.0
2025-06-17 14:00:00,NYSE:BBWI,25.7,25.7,25.7,25.7,100.0
2025-06-17 16:00:00,NYSE:BBWI,25.63,25.63,25.6,25.6,205.0
2025-06-17 16:30:00,NYSE:BBWI,25.56,26.05,25.55,26.05,10934.0
2025-06-17 16:45:00,NYSE:BBWI,26.08,26.57,26.08,26.5,38288.0
2025-06-17 17:00:00,NYSE:BBWI,26.51,26.81,26.46,26.77,25928.0
2025-06-17 17:15:00,NYSE:BBWI,26.78,26.93,26.715,26.91,14969.0
