datetime,symbol,open,high,low,close,volume
2025-06-20 11:45:00,NYSE:BBY,67.65,67.65,67.65,67.65,1.0
2025-06-20 12:00:00,NYSE:BBY,67.66,67.67,67.43,67.65,6.0
2025-06-20 12:45:00,NYSE:BBY,67.86,67.89,67.86,67.89,120.0
2025-06-20 13:00:00,NYSE:BBY,67.29,67.29,67.29,67.29,5.0
2025-06-20 14:00:00,NYSE:BBY,67.98,67.98,67.43,67.43,110.0
2025-06-20 14:15:00,NYSE:BBY,67.96,67.96,67.96,67.96,48.0
2025-06-20 14:30:00,NYSE:BBY,67.91,67.92,67.91,67.92,194.0
2025-06-20 14:45:00,NYSE:BBY,67.9,67.99,67.9,67.99,61.0
2025-06-20 15:15:00,NYSE:BBY,68.16,68.16,68.145,68.145,27.0
2025-06-20 15:30:00,NYSE:BBY,68.27,68.32,68.27,68.32,597.0
2025-06-20 16:30:00,NYSE:BBY,68.08,68.28,67.58,67.75,14833.0
2025-06-20 16:45:00,NYSE:BBY,67.82,67.96,67.52,67.85,11643.0
2025-06-20 17:00:00,NYSE:BBY,67.85,67.85,67.45,67.67,8568.0
2025-06-20 17:15:00,NYSE:BBY,67.64,67.75,67.46,67.58,9503.0
2025-06-20 17:30:00,NYSE:BBY,67.56,67.62,67.3,67.36,9599.0
2025-06-20 17:45:00,NYSE:BBY,67.31,67.47,67.19,67.425,6557.0
2025-06-20 18:00:00,NYSE:BBY,67.39,67.39,67.15,67.32,7256.0
2025-06-20 18:15:00,NYSE:BBY,67.34,67.51,67.29,67.31,5345.0
2025-06-20 18:30:00,NYSE:BBY,67.32,67.43,67.3,67.39,4976.0
2025-06-20 18:45:00,NYSE:BBY,67.37,67.37,67.15,67.18,3790.0
2025-06-20 19:00:00,NYSE:BBY,67.18,67.265,67.03,67.15,10930.0
2025-06-20 19:15:00,NYSE:BBY,67.12,67.19,67.01,67.17,6697.0
2025-06-20 19:30:00,NYSE:BBY,67.19,67.25,67.14,67.18,3472.0
2025-06-20 19:45:00,NYSE:BBY,67.2,67.27,67.12,67.18,5919.0
2025-06-20 20:00:00,NYSE:BBY,67.21,67.3,67.08,67.15,7493.0
2025-06-20 20:15:00,NYSE:BBY,67.17,67.21,66.97,66.98,7312.0
2025-06-20 20:30:00,NYSE:BBY,66.97,67.12,66.92,67.09,7006.0
2025-06-20 20:45:00,NYSE:BBY,67.1,67.19,67.07,67.185,4895.0
2025-06-20 21:00:00,NYSE:BBY,67.19,67.25,67.16,67.18,5858.0
2025-06-20 21:15:00,NYSE:BBY,67.18,67.33,67.16,67.29,4538.0
2025-06-20 21:30:00,NYSE:BBY,67.26,67.32,67.2,67.27,4970.0
2025-06-20 21:45:00,NYSE:BBY,67.27,67.34,67.16,67.19,5421.0
2025-06-20 22:00:00,NYSE:BBY,67.19,67.27,67.13,67.145,8004.0
2025-06-20 22:15:00,NYSE:BBY,67.16,67.34,67.14,67.34,11026.0
2025-06-20 22:30:00,NYSE:BBY,67.33,67.41,67.28,67.31,9863.0
2025-06-20 22:45:00,NYSE:BBY,67.32,67.66,67.27,67.54,37297.0
2025-06-20 23:00:00,NYSE:BBY,67.54,67.62,67.54,67.62,63.0
2025-06-21 00:00:00,NYSE:BBY,67.58,67.58,67.58,67.58,3.0
2025-06-21 00:30:00,NYSE:BBY,67.58,67.58,67.58,67.58,2.0
2025-06-21 01:15:00,NYSE:BBY,67.58,67.58,67.58,67.58,25.0
2025-06-21 01:45:00,NYSE:BBY,67.74,67.74,67.74,67.74,1.0
2025-06-21 02:15:00,NYSE:BBY,67.74,67.75,67.74,67.75,6.0
2025-06-21 02:45:00,NYSE:BBY,67.75,67.75,67.75,67.75,4.0
2025-06-23 11:00:00,NYSE:BBY,67.35,67.5,67.35,67.5,102.0
2025-06-23 12:15:00,NYSE:BBY,67.8,67.8,67.8,67.8,55.0
2025-06-23 12:30:00,NYSE:BBY,67.5,67.5,67.5,67.5,10.0
2025-06-23 13:45:00,NYSE:BBY,67.75,67.75,67.75,67.75,12.0
2025-06-23 14:00:00,NYSE:BBY,67.47,67.47,67.47,67.47,3.0
2025-06-23 14:45:00,NYSE:BBY,67.3,67.3,67.3,67.3,11.0
2025-06-23 15:00:00,NYSE:BBY,67.26,67.26,67.26,67.26,2.0
2025-06-23 16:15:00,NYSE:BBY,67.2,67.2,66.89,66.96,504.0
2025-06-23 16:30:00,NYSE:BBY,66.88,66.88,65.6,65.73,11860.0
2025-06-23 16:45:00,NYSE:BBY,65.75,66.21,65.73,66.2,9841.0
2025-06-23 17:00:00,NYSE:BBY,66.18,66.32,65.91,66.32,13976.0
2025-06-23 17:15:00,NYSE:BBY,66.32,66.33,65.94,66.11,9637.0
2025-06-23 17:30:00,NYSE:BBY,66.13,66.21,65.97,65.99,15980.0
2025-06-23 17:45:00,NYSE:BBY,66.02,66.07,65.47,65.47,12799.0
2025-06-23 18:00:00,NYSE:BBY,65.5,65.61,65.45,65.59,6136.0
2025-06-23 18:15:00,NYSE:BBY,65.6,65.79,65.51,65.58,10170.0
2025-06-23 18:30:00,NYSE:BBY,65.62,65.65,65.29,65.35,21143.0
2025-06-23 18:45:00,NYSE:BBY,65.34,65.35,65.16,65.24,13113.0
2025-06-23 19:00:00,NYSE:BBY,65.21,65.26,65.13,65.16,7069.0
2025-06-23 19:15:00,NYSE:BBY,65.17,65.28,65.0,65.04,11346.0
2025-06-23 19:30:00,NYSE:BBY,65.03,65.09,64.72,64.94,10409.0
2025-06-23 19:45:00,NYSE:BBY,65.01,65.07,64.65,64.68,12489.0
2025-06-23 20:00:00,NYSE:BBY,64.67,64.98,64.66,64.98,8194.0
2025-06-23 20:15:00,NYSE:BBY,65.02,65.3,65.01,65.3,5949.0
2025-06-23 20:30:00,NYSE:BBY,65.33,65.56,65.33,65.52,8778.0
2025-06-23 20:45:00,NYSE:BBY,65.53,65.72,65.48,65.65,5968.0
2025-06-23 21:00:00,NYSE:BBY,65.68,65.76,65.63,65.69,7640.0
2025-06-23 21:15:00,NYSE:BBY,65.69,65.77,65.65,65.71,5452.0
2025-06-23 21:30:00,NYSE:BBY,65.71,65.86,65.71,65.85,5440.0
2025-06-23 21:45:00,NYSE:BBY,65.84,65.94,65.77,65.94,6012.0
2025-06-23 22:00:00,NYSE:BBY,66.0,66.23,66.0,66.18,7156.0
2025-06-23 22:15:00,NYSE:BBY,66.17,66.4,66.13,66.38,11843.0
2025-06-23 22:30:00,NYSE:BBY,66.39,66.47,66.33,66.38,10720.0
2025-06-23 22:45:00,NYSE:BBY,66.36,66.475,66.26,66.395,51791.0
2025-06-23 23:00:00,NYSE:BBY,66.03,66.03,66.03,66.03,1.0
2025-06-24 00:30:00,NYSE:BBY,66.39,66.39,66.39,66.39,5.0
2025-06-24 01:00:00,NYSE:BBY,66.44,66.49,66.44,66.48,109.0
2025-06-24 01:15:00,NYSE:BBY,66.49,66.49,66.49,66.49,726.0
2025-06-24 01:45:00,NYSE:BBY,66.65,66.66,66.65,66.66,4.0
2025-06-24 02:00:00,NYSE:BBY,66.48,66.48,66.47,66.47,139.0
2025-06-24 02:45:00,NYSE:BBY,66.37,66.37,66.37,66.37,7.0
2025-06-24 11:00:00,NYSE:BBY,66.8,66.8,66.8,66.8,3.0
2025-06-24 11:30:00,NYSE:BBY,66.8,66.8,66.78,66.78,33.0
2025-06-24 12:30:00,NYSE:BBY,67.0,67.02,67.0,67.02,46.0
2025-06-24 12:45:00,NYSE:BBY,67.02,67.02,66.71,66.71,12.0
2025-06-24 13:15:00,NYSE:BBY,67.0,67.0,67.0,67.0,26.0
2025-06-24 14:00:00,NYSE:BBY,67.02,67.02,66.88,66.88,276.0
2025-06-24 15:45:00,NYSE:BBY,67.04,67.04,67.04,67.04,10.0
