datetime,symbol,open,high,low,close,volume
2025-07-08 16:00:00,NYSE:CCJ,75.42,75.42,75.13,75.13,141.0
2025-07-08 16:15:00,NYSE:CCJ,75.15,75.15,74.52,74.9,644.0
2025-07-08 16:30:00,NYSE:CCJ,74.85,74.85,73.3,73.47,48684.0
2025-07-08 16:45:00,NYSE:CCJ,73.47,73.725,73.04,73.725,27074.0
2025-07-08 17:00:00,NYSE:CCJ,73.69,73.81,73.25,73.25,14354.0
2025-07-08 17:15:00,NYSE:CCJ,73.23,73.23,71.99,72.1,42389.0
2025-07-08 17:30:00,NYSE:CCJ,72.14,72.14,71.6,71.87,22478.0
2025-07-08 17:45:00,NYSE:CCJ,71.86,71.95,71.22,71.44,34018.0
2025-07-08 18:00:00,NYSE:CCJ,71.425,71.45,70.81,70.86,30379.0
2025-07-08 18:15:00,NYSE:CCJ,70.83,71.22,70.77,71.01,19390.0
2025-07-08 18:30:00,NYSE:CCJ,71.0,71.14,70.96,70.97,9867.0
2025-07-08 18:45:00,NYSE:CCJ,70.99,71.28,70.95,71.03,17052.0
2025-07-08 19:00:00,NYSE:CCJ,71.05,71.1,70.4,70.64,22341.0
2025-07-08 19:15:00,NYSE:CCJ,70.64,71.16,70.57,71.04,23069.0
2025-07-08 19:30:00,NYSE:CCJ,71.04,71.45,70.64,71.29,20120.0
2025-07-08 19:45:00,NYSE:CCJ,71.28,72.08,71.28,72.08,16497.0
2025-07-08 20:00:00,NYSE:CCJ,72.08,72.25,71.95,72.21,16675.0
2025-07-08 20:15:00,NYSE:CCJ,72.2,72.26,71.97,72.24,13328.0
2025-07-08 20:30:00,NYSE:CCJ,72.24,72.36,71.93,72.32,18022.0
2025-07-08 20:45:00,NYSE:CCJ,72.32,72.32,72.1,72.27,6136.0
2025-07-08 21:00:00,NYSE:CCJ,72.25,72.52,72.23,72.44,12265.0
2025-07-08 21:15:00,NYSE:CCJ,72.43,72.43,71.93,72.25,33539.0
2025-07-08 21:30:00,NYSE:CCJ,72.22,72.76,72.2,72.68,9563.0
2025-07-08 21:45:00,NYSE:CCJ,72.65,72.81,72.47,72.51,10128.0
2025-07-08 22:00:00,NYSE:CCJ,72.45,72.45,72.13,72.27,17442.0
2025-07-08 22:15:00,NYSE:CCJ,72.28,72.32,72.14,72.15,40425.0
2025-07-08 22:30:00,NYSE:CCJ,72.16,72.22,72.04,72.11,21817.0
2025-07-08 22:45:00,NYSE:CCJ,72.1,72.14,71.915,71.93,73082.0
2025-07-08 23:15:00,NYSE:CCJ,71.91,71.99,71.91,71.99,99.0
2025-07-08 23:30:00,NYSE:CCJ,71.99,71.99,71.99,71.99,4.0
2025-07-08 23:45:00,NYSE:CCJ,71.99,71.99,71.99,71.99,53.0
2025-07-09 00:00:00,NYSE:CCJ,72.0,72.0,72.0,72.0,37.0
2025-07-09 00:30:00,NYSE:CCJ,72.12,72.12,72.04,72.04,7.0
2025-07-09 00:45:00,NYSE:CCJ,72.04,72.04,72.04,72.04,6.0
2025-07-09 01:00:00,NYSE:CCJ,72.0,72.02,72.0,72.0,23.0
2025-07-09 01:15:00,NYSE:CCJ,72.02,72.02,72.0,72.0,12.0
2025-07-09 01:30:00,NYSE:CCJ,72.0,72.0,72.0,72.0,90.0
2025-07-09 01:45:00,NYSE:CCJ,72.0,72.0,72.0,72.0,12.0
2025-07-09 02:45:00,NYSE:CCJ,72.03,72.03,72.03,72.03,5.0
2025-07-09 11:00:00,NYSE:CCJ,72.04,72.16,71.94,72.16,1002.0
2025-07-09 11:15:00,NYSE:CCJ,71.94,71.94,71.94,71.94,1.0
2025-07-09 11:30:00,NYSE:CCJ,71.94,71.96,71.94,71.96,15.0
2025-07-09 11:45:00,NYSE:CCJ,71.74,71.74,71.74,71.74,10.0
2025-07-09 12:15:00,NYSE:CCJ,71.95,71.95,71.95,71.95,10.0
2025-07-09 12:30:00,NYSE:CCJ,71.82,71.82,71.81,71.81,31.0
2025-07-09 12:45:00,NYSE:CCJ,71.95,71.95,71.8,71.92,54.0
2025-07-09 13:00:00,NYSE:CCJ,71.91,71.91,71.91,71.91,10.0
2025-07-09 13:15:00,NYSE:CCJ,71.91,71.91,71.88,71.88,11.0
2025-07-09 13:30:00,NYSE:CCJ,71.88,71.93,71.75,71.75,24.0
2025-07-09 13:45:00,NYSE:CCJ,71.91,71.91,71.91,71.91,1.0
2025-07-09 14:00:00,NYSE:CCJ,71.93,71.94,71.9,71.91,286.0
2025-07-09 14:15:00,NYSE:CCJ,71.91,71.91,71.89,71.89,112.0
2025-07-09 14:30:00,NYSE:CCJ,71.9,71.93,71.77,71.77,66.0
2025-07-09 14:45:00,NYSE:CCJ,71.89,71.95,71.89,71.95,55.0
2025-07-09 15:00:00,NYSE:CCJ,72.0,72.0,71.99,72.0,33.0
2025-07-09 15:15:00,NYSE:CCJ,72.0,72.01,71.84,71.84,268.0
2025-07-09 15:30:00,NYSE:CCJ,71.91,71.99,71.88,71.98,112.0
2025-07-09 15:45:00,NYSE:CCJ,72.0,72.0,71.99,71.99,10.0
2025-07-09 16:00:00,NYSE:CCJ,71.9,71.94,71.87,71.87,13.0
2025-07-09 16:15:00,NYSE:CCJ,71.83,71.94,71.75,71.91,99.0
2025-07-09 16:30:00,NYSE:CCJ,71.94,72.08,70.72,71.3,26622.0
2025-07-09 16:45:00,NYSE:CCJ,71.35,71.79,71.3,71.435,22472.0
2025-07-09 17:00:00,NYSE:CCJ,71.41,71.71,71.295,71.395,22725.0
2025-07-09 17:15:00,NYSE:CCJ,71.41,71.59,70.94,70.96,22666.0
2025-07-09 17:30:00,NYSE:CCJ,70.93,71.64,70.87,71.64,16787.0
2025-07-09 17:45:00,NYSE:CCJ,71.67,71.94,71.38,71.92,6930.0
2025-07-09 18:00:00,NYSE:CCJ,71.94,72.09,71.69,71.69,13981.0
2025-07-09 18:15:00,NYSE:CCJ,71.65,71.72,71.53,71.7,11049.0
2025-07-09 18:30:00,NYSE:CCJ,71.7,71.91,71.7,71.88,9999.0
2025-07-09 18:45:00,NYSE:CCJ,71.895,72.29,71.88,72.24,18220.0
2025-07-09 19:00:00,NYSE:CCJ,72.22,72.235,71.925,71.98,25175.0
2025-07-09 19:15:00,NYSE:CCJ,71.96,72.25,71.93,72.22,7197.0
2025-07-09 19:30:00,NYSE:CCJ,72.23,72.46,72.135,72.39,38999.0
2025-07-09 19:45:00,NYSE:CCJ,72.39,72.48,72.125,72.125,17038.0
2025-07-09 20:00:00,NYSE:CCJ,72.13,72.19,72.02,72.03,6841.0
2025-07-09 20:15:00,NYSE:CCJ,72.03,72.1,71.98,72.1,6873.0
2025-07-09 20:30:00,NYSE:CCJ,72.11,72.11,72.02,72.03,4889.0
2025-07-09 20:45:00,NYSE:CCJ,72.03,72.04,71.77,71.83,7756.0
2025-07-09 21:00:00,NYSE:CCJ,71.79,71.98,71.68,71.9,15461.0
2025-07-09 21:15:00,NYSE:CCJ,71.89,72.06,71.845,71.93,6974.0
2025-07-09 21:30:00,NYSE:CCJ,71.92,71.94,71.84,71.94,8089.0
2025-07-09 21:45:00,NYSE:CCJ,71.93,71.96,71.74,71.84,11893.0
2025-07-09 22:00:00,NYSE:CCJ,71.84,71.84,71.67,71.75,8361.0
2025-07-09 22:15:00,NYSE:CCJ,71.75,71.95,71.67,71.8,13573.0
2025-07-09 22:30:00,NYSE:CCJ,71.79,71.83,71.64,71.7,18622.0
2025-07-09 22:45:00,NYSE:CCJ,71.69,71.73,71.55,71.56,59347.0
2025-07-09 23:00:00,NYSE:CCJ,71.55,71.55,71.55,71.55,8.0
2025-07-09 23:15:00,NYSE:CCJ,71.57,71.94,71.56,71.92,51.0
2025-07-09 23:30:00,NYSE:CCJ,71.7,71.7,71.69,71.69,44.0
2025-07-09 23:45:00,NYSE:CCJ,71.56,71.56,71.56,71.56,5.0
2025-07-10 00:15:00,NYSE:CCJ,71.7,71.7,71.61,71.61,32.0
2025-07-10 00:30:00,NYSE:CCJ,71.69,71.69,71.69,71.69,1.0
2025-07-10 00:45:00,NYSE:CCJ,71.61,71.61,71.49,71.49,149.0
2025-07-10 01:45:00,NYSE:CCJ,71.7,71.7,71.65,71.65,12.0
2025-07-10 02:00:00,NYSE:CCJ,71.7,71.7,71.7,71.7,56.0
2025-07-10 11:00:00,NYSE:CCJ,72.0,72.0,71.62,71.62,92.0
2025-07-10 11:15:00,NYSE:CCJ,71.95,71.95,71.95,71.95,10.0
2025-07-10 11:30:00,NYSE:CCJ,71.9,71.95,71.9,71.95,2.0
2025-07-10 12:15:00,NYSE:CCJ,71.87,71.87,71.87,71.87,3.0
2025-07-10 12:45:00,NYSE:CCJ,71.72,71.72,71.72,71.72,5.0
2025-07-10 13:00:00,NYSE:CCJ,71.87,71.87,71.85,71.85,2.0
2025-07-10 13:30:00,NYSE:CCJ,71.99,72.09,71.99,72.04,636.0
