datetime,symbol,open,high,low,close,volume
2025-06-23 22:30:00,NYSE:CLX,122.35,122.48,122.33,122.34,6494.0
2025-06-23 22:45:00,NYSE:CLX,122.36,122.45,122.23,122.27,13354.0
2025-06-23 23:15:00,NYSE:CLX,122.25,122.25,122.25,122.25,8.0
2025-06-23 23:30:00,NYSE:CLX,122.3,122.3,122.3,122.3,4.0
2025-06-24 00:00:00,NYSE:CLX,122.3,122.3,122.3,122.3,1.0
2025-06-24 01:00:00,NYSE:CLX,122.5,122.52,122.5,122.52,10.0
2025-06-24 01:15:00,NYSE:CLX,122.53,122.7,122.53,122.7,3.0
2025-06-24 01:30:00,NYSE:CLX,122.67,122.68,122.67,122.68,7.0
2025-06-24 02:00:00,NYSE:CLX,122.75,122.79,122.5,122.5,5.0
2025-06-24 11:00:00,NYSE:CLX,123.0,123.0,123.0,123.0,3.0
2025-06-24 13:30:00,NYSE:CLX,122.9,122.9,122.9,122.9,8.0
2025-06-24 13:45:00,NYSE:CLX,122.9,122.9,122.9,122.9,1.0
2025-06-24 14:00:00,NYSE:CLX,122.36,122.5,122.36,122.5,12.0
2025-06-24 14:30:00,NYSE:CLX,122.6,122.6,122.5,122.5,193.0
2025-06-24 14:45:00,NYSE:CLX,122.5,122.5,122.5,122.5,1.0
2025-06-24 15:15:00,NYSE:CLX,122.5,122.78,122.5,122.78,230.0
2025-06-24 15:30:00,NYSE:CLX,122.78,122.78,122.78,122.78,25.0
2025-06-24 16:15:00,NYSE:CLX,122.63,122.63,122.63,122.63,1.0
2025-06-24 16:30:00,NYSE:CLX,122.3,122.75,121.89,122.13,2781.0
2025-06-24 16:45:00,NYSE:CLX,122.135,122.39,121.28,121.52,2699.0
2025-06-24 17:00:00,NYSE:CLX,121.41,121.77,121.25,121.645,2093.0
2025-06-24 17:15:00,NYSE:CLX,121.665,122.02,121.59,121.73,3330.0
2025-06-24 17:30:00,NYSE:CLX,121.69,121.9,121.63,121.9,1584.0
2025-06-24 17:45:00,NYSE:CLX,121.9,122.03,121.76,121.82,2276.0
2025-06-24 18:00:00,NYSE:CLX,121.77,121.85,121.58,121.71,1297.0
2025-06-24 18:15:00,NYSE:CLX,121.71,121.71,121.42,121.49,2150.0
2025-06-24 18:30:00,NYSE:CLX,121.51,121.62,121.37,121.37,1119.0
2025-06-24 18:45:00,NYSE:CLX,121.35,121.56,121.32,121.56,1678.0
2025-06-24 19:00:00,NYSE:CLX,121.57,121.75,121.46,121.75,8350.0
