datetime,symbol,open,high,low,close,volume
2025-07-10 11:45:00,NYSE:CNC,32.82,32.82,32.82,32.82,2.0
2025-07-10 12:00:00,NYSE:CNC,32.79,32.79,32.79,32.79,100.0
2025-07-10 12:15:00,NYSE:CNC,32.91,32.91,32.91,32.91,1.0
2025-07-10 12:30:00,NYSE:CNC,32.91,32.91,32.91,32.91,9.0
2025-07-10 12:45:00,NYSE:CNC,32.82,32.85,32.82,32.85,366.0
2025-07-10 13:15:00,NYSE:CNC,32.85,32.89,32.83,32.83,297.0
2025-07-10 13:30:00,NYSE:CNC,32.88,32.88,32.88,32.88,13.0
2025-07-10 13:45:00,NYSE:CNC,32.81,32.81,32.81,32.81,31.0
2025-07-10 14:00:00,NYSE:CNC,32.88,32.91,32.8,32.8,6576.0
2025-07-10 14:15:00,NYSE:CNC,32.78,32.88,32.78,32.88,2113.0
2025-07-10 14:30:00,NYSE:CNC,32.83,32.89,32.83,32.84,581.0
2025-07-10 14:45:00,NYSE:CNC,32.86,32.88,32.78,32.78,5365.0
2025-07-10 15:00:00,NYSE:CNC,32.8,32.85,32.77,32.81,2312.0
2025-07-10 15:15:00,NYSE:CNC,32.82,32.85,32.69,32.77,1611.0
2025-07-10 15:30:00,NYSE:CNC,32.78,32.81,32.72,32.75,516.0
2025-07-10 15:45:00,NYSE:CNC,32.75,32.8,32.66,32.66,9648.0
2025-07-10 16:00:00,NYSE:CNC,32.65,32.66,32.56,32.58,11001.0
2025-07-10 16:15:00,NYSE:CNC,32.58,32.68,32.35,32.35,10612.0
2025-07-10 16:30:00,NYSE:CNC,32.33,32.76,32.21,32.65,101383.0
2025-07-10 16:45:00,NYSE:CNC,32.64,32.71,32.55,32.59,68520.0
2025-07-10 17:00:00,NYSE:CNC,32.6,33.0,32.59,33.0,96130.0
2025-07-10 17:15:00,NYSE:CNC,33.0,33.19,33.0,33.1,114053.0
2025-07-10 17:30:00,NYSE:CNC,33.09,33.4,33.045,33.305,86078.0
2025-07-10 17:45:00,NYSE:CNC,33.3,33.34,33.235,33.29,39434.0
2025-07-10 18:00:00,NYSE:CNC,33.27,33.405,33.24,33.37,48992.0
2025-07-10 18:15:00,NYSE:CNC,33.39,33.39,33.08,33.11,51343.0
2025-07-10 18:30:00,NYSE:CNC,33.11,33.19,32.96,32.97,54274.0
2025-07-10 18:45:00,NYSE:CNC,32.96,32.99,32.86,32.88,37322.0
2025-07-10 19:00:00,NYSE:CNC,32.86,32.96,32.8,32.95,17777.0
2025-07-10 19:15:00,NYSE:CNC,32.945,32.965,32.87,32.96,14026.0
2025-07-10 19:30:00,NYSE:CNC,32.96,33.03,32.93,32.955,14428.0
2025-07-10 19:45:00,NYSE:CNC,32.96,32.97,32.88,32.93,15530.0
