datetime,symbol,open,high,low,close,volume
2025-07-01 16:45:00,NYSE:CVS,69.16,69.35,69.02,69.12,16444.0
2025-07-01 17:00:00,NYSE:CVS,69.1,69.35,69.08,69.24,9209.0
2025-07-01 17:15:00,NYSE:CVS,69.25,69.76,69.21,69.605,15669.0
2025-07-01 17:30:00,NYSE:CVS,69.61,69.98,69.6,69.83,16505.0
2025-07-01 17:45:00,NYSE:CVS,69.82,70.07,69.8,69.92,45615.0
2025-07-01 18:00:00,NYSE:CVS,69.92,70.11,69.7,70.08,28246.0
2025-07-01 18:15:00,NYSE:CVS,70.06,70.22,69.77,70.03,25256.0
2025-07-01 18:30:00,NYSE:CVS,70.025,70.06,69.59,69.65,20364.0
2025-07-01 18:45:00,NYSE:CVS,69.65,69.73,69.39,69.44,30196.0
2025-07-01 19:00:00,NYSE:CVS,69.44,69.67,69.43,69.44,15617.0
2025-07-01 19:15:00,NYSE:CVS,69.45,69.49,69.24,69.33,20261.0
2025-07-01 19:30:00,NYSE:CVS,69.33,69.615,69.33,69.6,12255.0
2025-07-01 19:45:00,NYSE:CVS,69.6,69.6,69.31,69.37,6385.0
2025-07-01 20:00:00,NYSE:CVS,69.37,69.385,69.15,69.205,13685.0
2025-07-01 20:15:00,NYSE:CVS,69.205,69.58,69.19,69.56,13959.0
2025-07-01 20:30:00,NYSE:CVS,69.54,69.575,69.37,69.38,7043.0
2025-07-01 20:45:00,NYSE:CVS,69.39,69.47,69.31,69.46,9885.0
2025-07-01 21:00:00,NYSE:CVS,69.445,69.56,69.39,69.53,10003.0
2025-07-01 21:15:00,NYSE:CVS,69.54,69.61,69.48,69.54,15218.0
2025-07-01 21:30:00,NYSE:CVS,69.55,69.59,69.49,69.54,11775.0
2025-07-01 21:45:00,NYSE:CVS,69.53,69.79,69.53,69.79,18138.0
2025-07-01 22:00:00,NYSE:CVS,69.79,69.79,69.5,69.58,19025.0
2025-07-01 22:15:00,NYSE:CVS,69.6,69.64,69.55,69.63,18811.0
2025-07-01 22:30:00,NYSE:CVS,69.64,69.65,69.49,69.515,25858.0
2025-07-01 22:45:00,NYSE:CVS,69.52,69.58,69.39,69.575,54378.0
2025-07-01 23:15:00,NYSE:CVS,69.57,69.58,69.57,69.58,13.0
2025-07-01 23:30:00,NYSE:CVS,69.32,69.41,67.61,68.09,7917.0
2025-07-01 23:45:00,NYSE:CVS,68.4,69.3,68.4,68.87,5049.0
2025-07-02 00:00:00,NYSE:CVS,69.4,69.58,69.39,69.39,317.0
2025-07-02 00:30:00,NYSE:CVS,69.21,69.21,69.21,69.21,10.0
2025-07-02 01:30:00,NYSE:CVS,69.5,69.51,69.5,69.5,606.0
2025-07-02 11:00:00,NYSE:CVS,69.46,69.54,69.46,69.5,7.0
2025-07-02 11:30:00,NYSE:CVS,69.7,69.75,69.7,69.75,89.0
2025-07-02 11:45:00,NYSE:CVS,69.75,69.75,69.65,69.74,46.0
2025-07-02 12:00:00,NYSE:CVS,69.75,69.8,69.75,69.8,17.0
2025-07-02 12:30:00,NYSE:CVS,70.0,70.08,70.0,70.08,71.0
2025-07-02 12:45:00,NYSE:CVS,69.8,69.8,69.8,69.8,10.0
2025-07-02 13:00:00,NYSE:CVS,69.81,69.96,69.81,69.96,79.0
2025-07-02 13:15:00,NYSE:CVS,69.9,69.9,69.9,69.9,76.0
2025-07-02 13:45:00,NYSE:CVS,69.7,69.74,69.7,69.74,33.0
2025-07-02 14:00:00,NYSE:CVS,69.54,69.54,69.54,69.54,4.0
2025-07-02 14:45:00,NYSE:CVS,69.5,69.5,69.5,69.5,1199.0
2025-07-02 15:00:00,NYSE:CVS,69.49,69.5,69.36,69.49,1406.0
2025-07-02 15:15:00,NYSE:CVS,69.37,69.37,69.35,69.35,1200.0
2025-07-02 15:30:00,NYSE:CVS,69.15,69.15,68.9,68.9,653.0
2025-07-02 15:45:00,NYSE:CVS,68.86,69.21,68.86,69.21,247.0
2025-07-02 16:00:00,NYSE:CVS,69.5,69.5,69.31,69.43,3062.0
2025-07-02 16:15:00,NYSE:CVS,69.38,69.5,68.78,68.78,4037.0
2025-07-02 16:30:00,NYSE:CVS,68.92,69.11,67.78,68.355,55588.0
2025-07-02 16:45:00,NYSE:CVS,68.4,68.62,68.18,68.36,41840.0
2025-07-02 17:00:00,NYSE:CVS,68.34,68.5,67.94,68.19,33377.0
2025-07-02 17:15:00,NYSE:CVS,68.2,68.2,67.49,67.51,48522.0
2025-07-02 17:30:00,NYSE:CVS,67.51,68.23,67.51,68.09,55747.0
2025-07-02 17:45:00,NYSE:CVS,68.08,68.09,67.78,67.87,26893.0
2025-07-02 18:00:00,NYSE:CVS,67.9,67.96,67.51,67.69,42200.0
2025-07-02 18:15:00,NYSE:CVS,67.7,68.03,67.68,67.95,28729.0
2025-07-02 18:30:00,NYSE:CVS,67.96,68.205,67.83,67.83,22892.0
2025-07-02 18:45:00,NYSE:CVS,67.84,67.91,67.69,67.76,25077.0
2025-07-02 19:00:00,NYSE:CVS,67.74,67.84,67.62,67.77,14123.0
2025-07-02 19:15:00,NYSE:CVS,67.77,67.89,67.65,67.78,16027.0
2025-07-02 19:30:00,NYSE:CVS,67.8,67.97,67.77,67.86,13396.0
2025-07-02 19:45:00,NYSE:CVS,67.88,67.91,67.775,67.8,11317.0
2025-07-02 20:00:00,NYSE:CVS,67.795,67.81,67.62,67.75,15280.0
2025-07-02 20:15:00,NYSE:CVS,67.76,67.88,67.695,67.88,13278.0
2025-07-02 20:30:00,NYSE:CVS,67.9,67.955,67.77,67.775,29694.0
2025-07-02 20:45:00,NYSE:CVS,67.775,67.82,67.72,67.72,13893.0
2025-07-02 21:00:00,NYSE:CVS,67.73,67.8,67.695,67.71,25876.0
2025-07-02 21:15:00,NYSE:CVS,67.7,67.77,67.64,67.68,22566.0
2025-07-02 21:30:00,NYSE:CVS,67.68,67.7,67.525,67.6,27184.0
2025-07-02 21:45:00,NYSE:CVS,67.6,67.605,67.3,67.32,33494.0
2025-07-02 22:00:00,NYSE:CVS,67.33,67.36,67.18,67.245,63955.0
2025-07-02 22:15:00,NYSE:CVS,67.25,67.27,67.09,67.14,48430.0
2025-07-02 22:30:00,NYSE:CVS,67.13,67.15,66.63,66.68,102178.0
2025-07-02 22:45:00,NYSE:CVS,66.69,66.78,66.545,66.6,191723.0
2025-07-02 23:00:00,NYSE:CVS,66.65,66.7,66.65,66.7,434.0
2025-07-02 23:15:00,NYSE:CVS,66.68,66.68,66.65,66.65,5.0
2025-07-02 23:30:00,NYSE:CVS,66.7,66.7,66.7,66.7,18.0
2025-07-02 23:45:00,NYSE:CVS,66.69,66.7,66.69,66.7,416.0
2025-07-03 00:00:00,NYSE:CVS,66.67,66.69,66.67,66.69,31.0
2025-07-03 00:15:00,NYSE:CVS,66.65,66.65,66.65,66.65,25.0
2025-07-03 00:30:00,NYSE:CVS,66.65,66.65,66.65,66.65,190.0
2025-07-03 00:45:00,NYSE:CVS,66.69,66.69,66.69,66.69,1.0
2025-07-03 01:30:00,NYSE:CVS,66.7,66.7,66.7,66.7,65.0
2025-07-03 01:45:00,NYSE:CVS,66.7,66.7,66.7,66.7,10.0
2025-07-03 02:00:00,NYSE:CVS,66.69,66.7,66.69,66.7,22.0
2025-07-03 02:15:00,NYSE:CVS,66.7,66.7,66.7,66.7,53.0
2025-07-03 02:30:00,NYSE:CVS,66.7,66.7,66.66,66.69,46.0
2025-07-03 11:00:00,NYSE:CVS,66.75,66.75,66.75,66.75,5.0
2025-07-03 11:30:00,NYSE:CVS,67.1,67.1,67.1,67.1,10.0
2025-07-03 11:45:00,NYSE:CVS,66.74,66.74,66.74,66.74,12.0
2025-07-03 12:15:00,NYSE:CVS,66.96,66.96,66.96,66.96,5.0
2025-07-03 14:00:00,NYSE:CVS,66.87,66.88,66.87,66.88,799.0
2025-07-03 14:30:00,NYSE:CVS,66.9,66.91,66.9,66.91,2.0
2025-07-03 15:00:00,NYSE:CVS,66.82,66.82,66.82,66.82,1.0
2025-07-03 15:30:00,NYSE:CVS,66.99,67.0,66.99,67.0,103.0
2025-07-03 15:45:00,NYSE:CVS,67.07,67.07,67.07,67.07,9.0
2025-07-03 16:00:00,NYSE:CVS,66.82,66.82,66.81,66.81,13.0
2025-07-03 16:15:00,NYSE:CVS,66.83,66.83,66.74,66.74,28.0
2025-07-03 16:30:00,NYSE:CVS,66.95,67.38,66.65,67.29,24003.0
2025-07-03 16:45:00,NYSE:CVS,67.27,67.62,67.27,67.44,30776.0
2025-07-03 17:00:00,NYSE:CVS,67.45,67.59,67.23,67.29,13936.0
2025-07-03 17:15:00,NYSE:CVS,67.27,67.43,67.17,67.21,13456.0
2025-07-03 17:30:00,NYSE:CVS,67.2,67.33,67.18,67.27,10000.0
2025-07-03 17:45:00,NYSE:CVS,67.28,67.58,67.28,67.475,12337.0
2025-07-03 18:00:00,NYSE:CVS,67.48,67.65,67.45,67.63,30431.0
2025-07-03 18:15:00,NYSE:CVS,67.63,67.65,67.49,67.53,11772.0
2025-07-03 18:30:00,NYSE:CVS,67.52,67.64,67.52,67.59,18417.0
2025-07-03 18:45:00,NYSE:CVS,67.59,67.645,67.48,67.55,13104.0
2025-07-03 19:00:00,NYSE:CVS,67.555,67.59,67.48,67.59,7137.0
2025-07-03 19:15:00,NYSE:CVS,67.58,67.63,67.49,67.63,11727.0
2025-07-03 19:30:00,NYSE:CVS,67.62,67.76,67.62,67.7,14581.0
2025-07-03 19:45:00,NYSE:CVS,67.71,67.74,67.45,67.48,38329.0
2025-07-03 20:00:00,NYSE:CVS,67.43,67.43,67.14,67.14,54.0
2025-07-03 20:15:00,NYSE:CVS,67.22,67.22,67.22,67.22,2.0
2025-07-03 20:30:00,NYSE:CVS,67.22,67.22,67.22,67.22,1.0
2025-07-03 20:45:00,NYSE:CVS,67.26,67.26,67.26,67.26,6.0
2025-07-03 22:00:00,NYSE:CVS,67.26,67.26,67.26,67.26,2.0
2025-07-03 22:15:00,NYSE:CVS,67.26,67.26,67.26,67.26,1.0
2025-07-03 22:45:00,NYSE:CVS,67.47,67.47,67.26,67.26,16.0
2025-07-07 11:00:00,NYSE:CVS,67.5,67.5,67.3,67.3,17.0
2025-07-07 11:30:00,NYSE:CVS,67.3,67.3,67.3,67.3,38.0
2025-07-07 12:15:00,NYSE:CVS,66.89,66.89,66.89,66.89,9.0
2025-07-07 13:30:00,NYSE:CVS,67.36,67.36,67.36,67.36,1.0
2025-07-07 14:00:00,NYSE:CVS,67.41,67.41,67.25,67.25,26.0
2025-07-07 14:15:00,NYSE:CVS,67.43,67.43,67.43,67.43,1.0
2025-07-07 14:45:00,NYSE:CVS,67.41,67.41,67.41,67.41,200.0
2025-07-07 15:00:00,NYSE:CVS,67.25,67.25,67.25,67.25,1.0
2025-07-07 15:30:00,NYSE:CVS,67.32,67.39,67.32,67.39,16.0
2025-07-07 15:45:00,NYSE:CVS,67.19,67.39,67.12,67.39,322.0
2025-07-07 16:30:00,NYSE:CVS,67.35,67.42,66.7,66.87,23330.0
2025-07-07 16:45:00,NYSE:CVS,66.83,66.91,66.54,66.54,19658.0
2025-07-07 17:00:00,NYSE:CVS,66.56,66.66,66.31,66.58,19472.0
2025-07-07 17:15:00,NYSE:CVS,66.55,66.77,66.52,66.66,15706.0
2025-07-07 17:30:00,NYSE:CVS,66.7,66.86,66.67,66.75,16037.0
2025-07-07 17:45:00,NYSE:CVS,66.77,66.99,66.735,66.98,16256.0
2025-07-07 18:00:00,NYSE:CVS,66.99,66.99,66.81,66.91,12235.0
2025-07-07 18:15:00,NYSE:CVS,66.92,66.96,66.72,66.72,16427.0
2025-07-07 18:30:00,NYSE:CVS,66.72,66.78,66.66,66.69,16595.0
2025-07-07 18:45:00,NYSE:CVS,66.69,66.69,66.52,66.6,10492.0
2025-07-07 19:00:00,NYSE:CVS,66.59,66.69,66.59,66.65,8220.0
2025-07-07 19:15:00,NYSE:CVS,66.67,66.72,66.36,66.47,43630.0
2025-07-07 19:30:00,NYSE:CVS,66.48,66.585,66.37,66.4,35449.0
2025-07-07 19:45:00,NYSE:CVS,66.39,66.44,66.27,66.27,25205.0
2025-07-07 20:00:00,NYSE:CVS,66.29,66.5,65.955,66.43,33160.0
2025-07-07 20:15:00,NYSE:CVS,66.43,66.58,66.4,66.46,14020.0
2025-07-07 20:30:00,NYSE:CVS,66.47,66.52,66.34,66.34,6047.0
2025-07-07 20:45:00,NYSE:CVS,66.35,66.41,66.32,66.36,13832.0
2025-07-07 21:00:00,NYSE:CVS,66.36,66.41,66.24,66.25,8422.0
2025-07-07 21:15:00,NYSE:CVS,66.25,66.255,66.025,66.06,17130.0
2025-07-07 21:30:00,NYSE:CVS,66.07,66.35,66.055,66.335,15666.0
2025-07-07 21:45:00,NYSE:CVS,66.335,66.41,66.23,66.375,11214.0
2025-07-07 22:00:00,NYSE:CVS,66.37,66.43,66.325,66.41,13740.0
2025-07-07 22:15:00,NYSE:CVS,66.4,66.52,66.28,66.305,23417.0
2025-07-07 22:30:00,NYSE:CVS,66.31,66.44,66.28,66.37,25847.0
2025-07-07 22:45:00,NYSE:CVS,66.37,66.68,66.25,66.68,63609.0
2025-07-07 23:45:00,NYSE:CVS,66.21,66.21,66.21,66.21,1.0
2025-07-08 00:30:00,NYSE:CVS,66.26,66.26,66.26,66.26,1.0
2025-07-08 11:45:00,NYSE:CVS,66.68,66.68,66.68,66.68,1.0
2025-07-08 12:00:00,NYSE:CVS,66.68,66.68,66.68,66.68,5.0
2025-07-08 12:30:00,NYSE:CVS,66.68,66.68,66.68,66.68,5.0
2025-07-08 13:00:00,NYSE:CVS,66.65,66.65,66.65,66.65,1.0
