datetime,symbol,open,high,low,close,volume
2025-06-24 17:15:00,NYSE:D,56.3,56.33,56.19,56.28,12559.0
2025-06-24 17:30:00,NYSE:D,56.29,56.29,56.165,56.25,7490.0
2025-06-24 17:45:00,NYSE:D,56.24,56.3,56.19,56.2,11015.0
2025-06-24 18:00:00,NYSE:D,56.2,56.24,56.1,56.17,23080.0
2025-06-24 18:15:00,NYSE:D,56.18,56.18,56.01,56.02,9946.0
2025-06-24 18:30:00,NYSE:D,56.01,56.02,55.9,55.9,11555.0
2025-06-24 18:45:00,NYSE:D,55.9,55.91,55.83,55.85,5097.0
2025-06-24 19:00:00,NYSE:D,55.85,55.91,55.83,55.91,4403.0
2025-06-24 19:15:00,NYSE:D,55.91,56.0,55.83,55.99,5752.0
2025-06-24 19:30:00,NYSE:D,56.0,56.01,55.97,55.99,3196.0
2025-06-24 19:45:00,NYSE:D,55.99,56.04,55.97,56.02,5896.0
2025-06-24 20:00:00,NYSE:D,55.99,56.01,55.93,55.98,7719.0
2025-06-24 20:15:00,NYSE:D,55.98,56.0,55.94,55.97,4223.0
2025-06-24 20:30:00,NYSE:D,55.98,56.0,55.955,56.0,4133.0
2025-06-24 20:45:00,NYSE:D,56.01,56.01,55.945,55.955,3658.0
2025-06-24 21:00:00,NYSE:D,55.945,56.03,55.94,56.03,4821.0
2025-06-24 21:15:00,NYSE:D,56.02,56.07,56.01,56.04,4583.0
2025-06-24 21:30:00,NYSE:D,56.05,56.07,56.04,56.045,3487.0
2025-06-24 21:45:00,NYSE:D,56.045,56.045,55.98,56.03,6935.0
2025-06-24 22:00:00,NYSE:D,56.035,56.11,56.035,56.1,6691.0
2025-06-24 22:15:00,NYSE:D,56.1,56.18,56.06,56.18,15021.0
2025-06-24 22:30:00,NYSE:D,56.17,56.19,56.07,56.14,14089.0
2025-06-24 22:45:00,NYSE:D,56.13,56.14,55.95,55.99,51712.0
2025-06-24 23:00:00,NYSE:D,55.99,55.99,55.99,55.99,14.0
2025-06-24 23:45:00,NYSE:D,55.86,55.86,55.86,55.86,13.0
2025-06-25 00:45:00,NYSE:D,55.91,55.91,55.91,55.91,19.0
2025-06-25 12:00:00,NYSE:D,55.99,55.99,55.98,55.98,9.0
2025-06-25 12:45:00,NYSE:D,56.42,56.42,56.42,56.42,1.0
2025-06-25 13:30:00,NYSE:D,56.0,56.0,56.0,56.0,10.0
2025-06-25 13:45:00,NYSE:D,55.97,55.97,55.97,55.97,2.0
2025-06-25 14:00:00,NYSE:D,55.79,55.79,55.75,55.75,72.0
2025-06-25 15:15:00,NYSE:D,55.8,55.8,55.8,55.8,10.0
2025-06-25 15:30:00,NYSE:D,55.8,55.8,55.8,55.8,40.0
