datetime,symbol,open,high,low,close,volume
2025-06-25 20:00:00,NYSE:FDX,224.45,224.62,223.28,223.9,10720.0
2025-06-25 20:15:00,NYSE:FDX,223.86,223.86,221.35,222.05,24516.0
2025-06-25 20:30:00,NYSE:FDX,222.05,222.18,220.35,221.14,19971.0
2025-06-25 20:45:00,NYSE:FDX,221.21,222.02,219.65,219.78,34389.0
2025-06-25 21:00:00,NYSE:FDX,219.85,220.93,219.68,220.72,26486.0
2025-06-25 21:15:00,NYSE:FDX,220.71,220.75,220.0,220.48,20046.0
2025-06-25 21:30:00,NYSE:FDX,220.51,221.61,220.42,221.415,11660.0
2025-06-25 21:45:00,NYSE:FDX,221.41,221.64,220.89,221.04,11457.0
2025-06-25 22:00:00,NYSE:FDX,221.14,221.95,221.1,221.8,12995.0
2025-06-25 22:15:00,NYSE:FDX,221.84,222.42,221.33,221.61,14229.0
2025-06-25 22:30:00,NYSE:FDX,221.78,221.86,221.1,221.4,14785.0
2025-06-25 22:45:00,NYSE:FDX,221.41,222.23,221.34,221.97,46343.0
2025-06-25 23:00:00,NYSE:FDX,221.76,221.93,221.76,221.9,153.0
2025-06-25 23:15:00,NYSE:FDX,221.89,221.89,221.61,221.61,83.0
2025-06-25 23:30:00,NYSE:FDX,221.54,221.89,221.51,221.51,7.0
2025-06-25 23:45:00,NYSE:FDX,221.6,221.6,221.51,221.51,14.0
2025-06-26 00:00:00,NYSE:FDX,221.55,221.55,221.55,221.55,10.0
2025-06-26 00:45:00,NYSE:FDX,221.84,221.84,221.84,221.84,1.0
2025-06-26 01:00:00,NYSE:FDX,221.84,222.0,221.66,222.0,262.0
2025-06-26 01:30:00,NYSE:FDX,221.85,221.85,221.85,221.85,5.0
2025-06-26 02:00:00,NYSE:FDX,221.99,221.99,221.99,221.99,2.0
2025-06-26 02:15:00,NYSE:FDX,222.02,222.02,222.01,222.01,205.0
2025-06-26 02:30:00,NYSE:FDX,222.01,222.01,222.0,222.0,531.0
2025-06-26 11:00:00,NYSE:FDX,222.05,222.05,222.0,222.05,21.0
2025-06-26 11:30:00,NYSE:FDX,222.1,222.1,222.1,222.1,1.0
2025-06-26 12:00:00,NYSE:FDX,222.1,222.29,222.1,222.29,126.0
2025-06-26 12:30:00,NYSE:FDX,222.27,222.29,222.02,222.29,3.0
2025-06-26 12:45:00,NYSE:FDX,222.0,222.0,221.9,221.9,17.0
2025-06-26 13:00:00,NYSE:FDX,221.8,221.8,221.35,221.35,49.0
2025-06-26 13:15:00,NYSE:FDX,221.33,221.33,221.33,221.33,2.0
2025-06-26 13:30:00,NYSE:FDX,221.38,221.38,221.38,221.38,2.0
2025-06-26 14:00:00,NYSE:FDX,221.73,222.25,221.73,221.75,66.0
2025-06-26 14:15:00,NYSE:FDX,222.02,222.04,222.0,222.0,365.0
2025-06-26 14:45:00,NYSE:FDX,222.24,222.44,222.24,222.44,46.0
2025-06-26 15:00:00,NYSE:FDX,222.38,222.38,222.35,222.35,5.0
2025-06-26 15:30:00,NYSE:FDX,222.48,222.5,222.42,222.5,4.0
2025-06-26 15:45:00,NYSE:FDX,222.65,222.74,222.65,222.65,34.0
2025-06-26 16:00:00,NYSE:FDX,222.5,222.65,222.5,222.5,112.0
2025-06-26 16:15:00,NYSE:FDX,222.65,223.41,222.65,223.41,264.0
2025-06-26 16:30:00,NYSE:FDX,223.99,226.3,223.625,224.78,46136.0
2025-06-26 16:45:00,NYSE:FDX,224.85,225.16,224.355,224.54,12498.0
2025-06-26 17:00:00,NYSE:FDX,224.78,225.27,223.36,225.05,20216.0
2025-06-26 17:15:00,NYSE:FDX,225.1,225.17,224.31,224.47,14240.0
2025-06-26 17:30:00,NYSE:FDX,224.56,224.72,224.02,224.17,14014.0
2025-06-26 17:45:00,NYSE:FDX,224.2,224.23,222.66,222.9,21962.0
2025-06-26 18:00:00,NYSE:FDX,223.04,223.73,222.72,223.06,11251.0
2025-06-26 18:15:00,NYSE:FDX,222.86,222.86,220.97,221.21,15389.0
2025-06-26 18:30:00,NYSE:FDX,221.19,221.45,220.5,220.86,15016.0
2025-06-26 18:45:00,NYSE:FDX,220.91,221.32,220.55,220.62,10297.0
2025-06-26 19:00:00,NYSE:FDX,220.68,220.86,219.84,220.05,20203.0
2025-06-26 19:15:00,NYSE:FDX,220.08,220.3,219.98,220.23,14465.0
2025-06-26 19:30:00,NYSE:FDX,220.15,220.91,220.13,220.85,18331.0
