datetime,symbol,open,high,low,close,volume
2025-06-09 21:15:00,NYSE:FL,24.07,24.075,24.05,24.05,6205.0
2025-06-09 21:30:00,NYSE:FL,24.055,24.055,24.04,24.05,9719.0
2025-06-09 21:45:00,NYSE:FL,24.045,24.075,24.045,24.075,6517.0
2025-06-09 22:00:00,NYSE:FL,24.07,24.075,24.06,24.06,2969.0
2025-06-09 22:15:00,NYSE:FL,24.06,24.06,24.055,24.06,4263.0
2025-06-09 22:30:00,NYSE:FL,24.06,24.065,24.04,24.045,11836.0
2025-06-09 22:45:00,NYSE:FL,24.04,24.07,24.03,24.06,38131.0
2025-06-10 16:30:00,NYSE:FL,24.04,24.14,24.04,24.13,31618.0
2025-06-10 16:45:00,NYSE:FL,24.13,24.14,24.11,24.11,23204.0
2025-06-10 17:00:00,NYSE:FL,24.12,24.125,24.11,24.11,11957.0
2025-06-10 17:15:00,NYSE:FL,24.11,24.11,24.065,24.065,23042.0
2025-06-10 17:30:00,NYSE:FL,24.07,24.085,24.06,24.07,9766.0
2025-06-10 17:45:00,NYSE:FL,24.075,24.085,24.07,24.08,9251.0
2025-06-10 18:00:00,NYSE:FL,24.08,24.08,24.07,24.08,625.0
2025-06-10 18:15:00,NYSE:FL,24.08,24.09,24.07,24.09,5880.0
2025-06-10 18:30:00,NYSE:FL,24.09,24.1,24.07,24.075,11880.0
2025-06-10 18:45:00,NYSE:FL,24.075,24.08,24.07,24.075,2521.0
2025-06-10 19:00:00,NYSE:FL,24.08,24.09,24.08,24.085,17819.0
2025-06-10 19:15:00,NYSE:FL,24.09,24.09,24.085,24.085,4675.0
2025-06-10 19:30:00,NYSE:FL,24.09,24.1,24.08,24.085,5160.0
2025-06-10 19:45:00,NYSE:FL,24.09,24.1,24.09,24.095,1756.0
2025-06-10 20:00:00,NYSE:FL,24.095,24.1,24.09,24.095,741.0
2025-06-10 20:15:00,NYSE:FL,24.1,24.1,24.085,24.09,3516.0
2025-06-10 20:30:00,NYSE:FL,24.08,24.085,24.08,24.08,4713.0
