datetime,symbol,open,high,low,close,volume
2025-07-10 17:00:00,NYSE:GME,23.24,23.26,23.05,23.13,32508.0
2025-07-10 17:15:00,NYSE:GME,23.13,23.175,23.015,23.13,30064.0
2025-07-10 17:30:00,NYSE:GME,23.13,23.17,23.11,23.17,12053.0
2025-07-10 17:45:00,NYSE:GME,23.17,23.245,23.115,23.125,17431.0
2025-07-10 18:00:00,NYSE:GME,23.12,23.185,23.115,23.17,7836.0
2025-07-10 18:15:00,NYSE:GME,23.17,23.22,23.165,23.215,6434.0
2025-07-10 18:30:00,NYSE:GME,23.22,23.26,23.17,23.245,4309.0
2025-07-10 18:45:00,NYSE:GME,23.24,23.24,23.085,23.11,45639.0
2025-07-10 19:00:00,NYSE:GME,23.115,23.13,23.04,23.05,14043.0
2025-07-10 19:15:00,NYSE:GME,23.04,23.17,23.04,23.16,17165.0
2025-07-10 19:30:00,NYSE:GME,23.16,23.19,23.14,23.18,9189.0
2025-07-10 19:45:00,NYSE:GME,23.185,23.2,23.155,23.17,6809.0
2025-07-10 20:00:00,NYSE:GME,23.17,23.275,23.135,23.24,18908.0
2025-07-10 20:15:00,NYSE:GME,23.24,23.24,23.165,23.17,10760.0
2025-07-10 20:30:00,NYSE:GME,23.17,23.27,23.17,23.21,41299.0
2025-07-10 20:45:00,NYSE:GME,23.22,23.22,23.18,23.185,4896.0
2025-07-10 21:00:00,NYSE:GME,23.18,23.22,23.165,23.17,19649.0
2025-07-10 21:15:00,NYSE:GME,23.17,23.24,23.16,23.22,49536.0
2025-07-10 21:30:00,NYSE:GME,23.22,23.23,23.16,23.18,8113.0
2025-07-10 21:45:00,NYSE:GME,23.19,23.24,23.19,23.21,11359.0
2025-07-10 22:00:00,NYSE:GME,23.21,23.22,23.19,23.21,19547.0
2025-07-10 22:15:00,NYSE:GME,23.22,23.24,23.2,23.21,26499.0
2025-07-10 22:30:00,NYSE:GME,23.2,23.22,23.14,23.14,20399.0
2025-07-10 22:45:00,NYSE:GME,23.135,23.14,23.03,23.095,49104.0
2025-07-10 23:00:00,NYSE:GME,23.09,23.13,23.08,23.11,1209.0
2025-07-10 23:15:00,NYSE:GME,23.1,23.1,23.09,23.09,355.0
2025-07-10 23:30:00,NYSE:GME,23.09,23.1,23.09,23.1,374.0
2025-07-10 23:45:00,NYSE:GME,23.09,23.12,23.09,23.12,191.0
2025-07-11 00:00:00,NYSE:GME,23.11,23.11,23.11,23.11,16.0
2025-07-11 00:15:00,NYSE:GME,23.12,23.19,23.12,23.18,579.0
2025-07-11 00:30:00,NYSE:GME,23.19,23.2,23.11,23.11,9381.0
2025-07-11 00:45:00,NYSE:GME,23.17,23.4,23.16,23.31,12973.0
2025-07-11 01:00:00,NYSE:GME,23.3,23.34,23.27,23.27,1650.0
2025-07-11 01:15:00,NYSE:GME,23.27,23.3,23.26,23.29,521.0
2025-07-11 01:30:00,NYSE:GME,23.26,23.29,23.26,23.27,800.0
2025-07-11 01:45:00,NYSE:GME,23.26,23.26,23.26,23.26,766.0
2025-07-11 02:00:00,NYSE:GME,23.27,23.27,23.25,23.25,453.0
2025-07-11 02:15:00,NYSE:GME,23.29,23.29,23.24,23.24,342.0
2025-07-11 02:30:00,NYSE:GME,23.24,23.24,23.23,23.23,379.0
2025-07-11 02:45:00,NYSE:GME,23.23,23.25,23.23,23.23,975.0
2025-07-11 11:00:00,NYSE:GME,23.26,23.31,23.12,23.13,2839.0
2025-07-11 11:15:00,NYSE:GME,23.16,23.2,23.16,23.2,150.0
2025-07-11 11:30:00,NYSE:GME,23.18,23.19,23.14,23.16,269.0
2025-07-11 11:45:00,NYSE:GME,23.17,23.19,23.17,23.17,438.0
2025-07-11 12:00:00,NYSE:GME,23.16,23.16,23.14,23.16,992.0
2025-07-11 12:15:00,NYSE:GME,23.18,23.18,23.18,23.18,211.0
2025-07-11 12:30:00,NYSE:GME,23.18,23.19,23.15,23.19,520.0
2025-07-11 12:45:00,NYSE:GME,23.18,23.2,23.08,23.12,1419.0
2025-07-11 13:00:00,NYSE:GME,23.15,23.19,23.14,23.18,671.0
2025-07-11 13:15:00,NYSE:GME,23.18,23.18,23.16,23.17,181.0
2025-07-11 13:30:00,NYSE:GME,23.18,23.19,23.16,23.17,140.0
2025-07-11 13:45:00,NYSE:GME,23.17,23.17,23.12,23.16,553.0
2025-07-11 14:00:00,NYSE:GME,23.18,23.23,23.16,23.22,1021.0
2025-07-11 14:15:00,NYSE:GME,23.21,23.22,23.19,23.19,381.0
2025-07-11 14:30:00,NYSE:GME,23.22,23.22,23.17,23.17,575.0
2025-07-11 14:45:00,NYSE:GME,23.15,23.22,23.15,23.19,1239.0
2025-07-11 15:00:00,NYSE:GME,23.17,23.17,23.14,23.14,172.0
2025-07-11 15:15:00,NYSE:GME,23.17,23.25,23.17,23.24,3515.0
2025-07-11 15:30:00,NYSE:GME,23.25,23.26,23.25,23.26,395.0
2025-07-11 15:45:00,NYSE:GME,23.26,23.26,23.21,23.25,1594.0
2025-07-11 16:00:00,NYSE:GME,23.26,23.28,23.25,23.25,1074.0
2025-07-11 16:15:00,NYSE:GME,23.23,23.25,23.18,23.2,621.0
2025-07-11 16:30:00,NYSE:GME,23.2,23.5,23.2,23.44,95738.0
2025-07-11 16:45:00,NYSE:GME,23.43,23.75,23.41,23.73,125336.0
2025-07-11 17:00:00,NYSE:GME,23.74,23.86,23.7,23.81,120041.0
2025-07-11 17:15:00,NYSE:GME,23.82,24.04,23.8,23.86,120542.0
2025-07-11 17:30:00,NYSE:GME,23.87,23.89,23.59,23.6,78341.0
2025-07-11 17:45:00,NYSE:GME,23.595,23.76,23.56,23.76,35229.0
2025-07-11 18:00:00,NYSE:GME,23.75,23.99,23.74,23.86,93941.0
2025-07-11 18:15:00,NYSE:GME,23.86,23.95,23.72,23.73,25829.0
2025-07-11 18:30:00,NYSE:GME,23.73,23.76,23.7,23.71,14319.0
2025-07-11 18:45:00,NYSE:GME,23.71,23.72,23.61,23.615,37962.0
2025-07-11 19:00:00,NYSE:GME,23.62,23.655,23.5,23.55,30131.0
2025-07-11 19:15:00,NYSE:GME,23.555,23.56,23.49,23.555,30171.0
2025-07-11 19:30:00,NYSE:GME,23.55,23.61,23.54,23.55,18135.0
2025-07-11 19:45:00,NYSE:GME,23.54,23.57,23.48,23.49,15447.0
2025-07-11 20:00:00,NYSE:GME,23.49,23.55,23.43,23.52,40712.0
2025-07-11 20:15:00,NYSE:GME,23.505,23.545,23.46,23.52,18299.0
2025-07-11 20:30:00,NYSE:GME,23.53,23.53,23.47,23.51,8897.0
2025-07-11 20:45:00,NYSE:GME,23.5,23.57,23.465,23.545,14595.0
2025-07-11 21:00:00,NYSE:GME,23.54,23.56,23.5,23.54,15289.0
2025-07-11 21:15:00,NYSE:GME,23.54,23.7,23.52,23.65,19722.0
2025-07-11 21:30:00,NYSE:GME,23.65,23.73,23.64,23.73,17032.0
2025-07-11 21:45:00,NYSE:GME,23.735,23.735,23.62,23.62,12212.0
2025-07-11 22:00:00,NYSE:GME,23.62,23.62,23.43,23.51,15955.0
2025-07-11 22:15:00,NYSE:GME,23.52,23.52,23.46,23.485,49208.0
2025-07-11 22:30:00,NYSE:GME,23.48,23.5,23.405,23.405,16730.0
2025-07-11 22:45:00,NYSE:GME,23.405,23.47,23.34,23.36,110894.0
2025-07-11 23:00:00,NYSE:GME,23.37,23.38,23.33,23.35,6103.0
2025-07-11 23:15:00,NYSE:GME,23.33,23.34,23.33,23.34,104.0
2025-07-11 23:30:00,NYSE:GME,23.33,23.33,23.33,23.33,1566.0
2025-07-11 23:45:00,NYSE:GME,23.34,23.375,23.33,23.37,6365.0
2025-07-12 00:00:00,NYSE:GME,23.37,23.38,23.33,23.33,2594.0
2025-07-12 00:15:00,NYSE:GME,23.33,23.33,23.32,23.33,2838.0
2025-07-12 00:30:00,NYSE:GME,23.33,23.34,23.32,23.32,2194.0
2025-07-12 00:45:00,NYSE:GME,23.32,23.32,23.32,23.32,108.0
2025-07-12 01:00:00,NYSE:GME,23.32,23.32,23.3,23.32,1234.0
2025-07-12 01:15:00,NYSE:GME,23.32,23.32,23.3,23.3,179.0
2025-07-12 01:30:00,NYSE:GME,23.33,23.33,23.3,23.3,757.0
2025-07-12 01:45:00,NYSE:GME,23.35,23.43,23.35,23.43,712.0
2025-07-12 02:00:00,NYSE:GME,23.43,23.43,23.43,23.43,10.0
2025-07-12 02:15:00,NYSE:GME,23.43,23.43,23.42,23.42,116.0
2025-07-12 02:30:00,NYSE:GME,23.39,23.39,23.38,23.38,136.0
2025-07-12 02:45:00,NYSE:GME,23.38,23.39,23.38,23.39,100.0
2025-07-14 11:00:00,NYSE:GME,23.47,23.57,23.47,23.54,4353.0
2025-07-14 11:15:00,NYSE:GME,23.54,23.64,23.52,23.64,895.0
2025-07-14 11:30:00,NYSE:GME,23.65,23.65,23.63,23.63,202.0
2025-07-14 11:45:00,NYSE:GME,23.63,23.63,23.62,23.63,303.0
2025-07-14 12:00:00,NYSE:GME,23.62,23.63,23.61,23.63,642.0
2025-07-14 12:15:00,NYSE:GME,23.64,23.66,23.62,23.62,318.0
2025-07-14 12:30:00,NYSE:GME,23.61,23.63,23.61,23.62,720.0
2025-07-14 12:45:00,NYSE:GME,23.63,23.69,23.63,23.68,232.0
2025-07-14 13:00:00,NYSE:GME,23.68,23.68,23.64,23.68,1152.0
2025-07-14 13:15:00,NYSE:GME,23.65,23.68,23.65,23.68,334.0
2025-07-14 13:30:00,NYSE:GME,23.67,23.67,23.64,23.65,1971.0
2025-07-14 13:45:00,NYSE:GME,23.65,23.66,23.62,23.62,1627.0
2025-07-14 14:00:00,NYSE:GME,23.6,23.66,23.55,23.55,4967.0
2025-07-14 14:15:00,NYSE:GME,23.58,23.59,23.58,23.59,553.0
2025-07-14 14:30:00,NYSE:GME,23.59,23.59,23.58,23.59,322.0
2025-07-14 14:45:00,NYSE:GME,23.59,23.66,23.58,23.66,1109.0
2025-07-14 15:00:00,NYSE:GME,23.66,23.68,23.65,23.65,327.0
2025-07-14 15:15:00,NYSE:GME,23.66,23.66,23.63,23.64,3015.0
2025-07-14 15:30:00,NYSE:GME,23.64,23.64,23.57,23.6,14051.0
2025-07-14 15:45:00,NYSE:GME,23.62,23.62,23.57,23.57,1596.0
2025-07-14 16:00:00,NYSE:GME,23.57,23.58,23.51,23.55,2004.0
2025-07-14 16:15:00,NYSE:GME,23.53,23.56,23.51,23.52,4296.0
2025-07-14 16:30:00,NYSE:GME,23.51,23.8,23.39,23.66,72246.0
2025-07-14 16:45:00,NYSE:GME,23.67,23.75,23.62,23.68,52862.0
2025-07-14 17:00:00,NYSE:GME,23.69,23.77,23.57,23.63,52614.0
2025-07-14 17:15:00,NYSE:GME,23.63,23.765,23.57,23.62,30271.0
2025-07-14 17:30:00,NYSE:GME,23.65,23.77,23.65,23.74,23243.0
2025-07-14 17:45:00,NYSE:GME,23.75,23.84,23.72,23.78,75271.0
2025-07-14 18:00:00,NYSE:GME,23.78,23.78,23.7,23.7,45772.0
2025-07-14 18:15:00,NYSE:GME,23.7,23.7,23.46,23.535,68972.0
2025-07-14 18:30:00,NYSE:GME,23.53,23.57,23.47,23.49,23476.0
2025-07-14 18:45:00,NYSE:GME,23.48,23.54,23.46,23.54,4319.0
2025-07-14 19:00:00,NYSE:GME,23.54,23.62,23.53,23.61,46508.0
2025-07-14 19:15:00,NYSE:GME,23.61,23.61,23.58,23.6,26644.0
2025-07-14 19:30:00,NYSE:GME,23.6,23.605,23.525,23.54,42239.0
2025-07-14 19:45:00,NYSE:GME,23.53,23.57,23.485,23.57,18835.0
2025-07-14 20:00:00,NYSE:GME,23.55,23.595,23.48,23.5,12267.0
2025-07-14 20:15:00,NYSE:GME,23.505,23.51,23.45,23.49,10425.0
2025-07-14 20:30:00,NYSE:GME,23.5,23.57,23.5,23.52,5237.0
2025-07-14 20:45:00,NYSE:GME,23.53,23.57,23.52,23.56,4063.0
2025-07-14 21:00:00,NYSE:GME,23.55,23.605,23.55,23.56,16155.0
2025-07-14 21:15:00,NYSE:GME,23.57,23.63,23.56,23.63,19510.0
2025-07-14 21:30:00,NYSE:GME,23.625,23.645,23.6,23.62,9398.0
2025-07-14 21:45:00,NYSE:GME,23.62,23.66,23.61,23.61,13834.0
2025-07-14 22:00:00,NYSE:GME,23.6,23.66,23.6,23.63,9800.0
2025-07-14 22:15:00,NYSE:GME,23.63,23.73,23.625,23.7,68865.0
2025-07-14 22:30:00,NYSE:GME,23.7,23.73,23.655,23.67,15537.0
2025-07-14 22:45:00,NYSE:GME,23.675,23.735,23.585,23.69,66723.0
