datetime,symbol,open,high,low,close,volume
2025-07-07 23:45:00,NYSE:GS,709.84,710.0,709.4,709.4,17.0
2025-07-08 00:15:00,NYSE:GS,709.3,709.3,709.3,709.3,1.0
2025-07-08 00:30:00,NYSE:GS,709.31,709.31,709.31,709.31,4.0
2025-07-08 00:45:00,NYSE:GS,709.88,710.0,709.88,709.98,9.0
2025-07-08 01:00:00,NYSE:GS,709.5,709.5,709.12,709.12,48.0
2025-07-08 01:15:00,NYSE:GS,709.12,709.12,707.02,708.02,163.0
2025-07-08 01:30:00,NYSE:GS,708.0,709.8,708.0,709.8,3.0
2025-07-08 02:00:00,NYSE:GS,708.01,709.0,708.01,709.0,10.0
2025-07-08 02:15:00,NYSE:GS,709.55,710.18,709.55,710.18,12.0
2025-07-08 02:30:00,NYSE:GS,710.22,710.48,710.22,710.48,30.0
2025-07-08 02:45:00,NYSE:GS,710.0,710.0,710.0,710.0,3.0
2025-07-08 11:00:00,NYSE:GS,708.61,708.61,708.52,708.6,30.0
2025-07-08 11:15:00,NYSE:GS,708.5,708.5,708.01,708.01,51.0
2025-07-08 11:30:00,NYSE:GS,706.62,706.62,706.54,706.54,18.0
2025-07-08 11:45:00,NYSE:GS,707.02,707.02,707.02,707.02,6.0
2025-07-08 12:00:00,NYSE:GS,707.07,707.36,706.95,707.36,12.0
2025-07-08 12:15:00,NYSE:GS,707.32,707.32,707.32,707.32,8.0
2025-07-08 12:45:00,NYSE:GS,707.03,707.03,706.99,706.99,2.0
2025-07-08 13:30:00,NYSE:GS,706.89,707.02,706.89,707.02,29.0
2025-07-08 13:45:00,NYSE:GS,707.88,708.0,707.88,707.9,33.0
2025-07-08 14:00:00,NYSE:GS,707.51,708.73,707.51,708.03,103.0
2025-07-08 14:15:00,NYSE:GS,708.66,708.71,708.66,708.66,28.0
2025-07-08 14:30:00,NYSE:GS,708.52,710.03,708.47,710.03,245.0
2025-07-08 14:45:00,NYSE:GS,710.03,710.39,709.95,709.95,144.0
2025-07-08 15:00:00,NYSE:GS,709.56,709.88,706.53,706.53,1386.0
2025-07-08 15:15:00,NYSE:GS,707.01,707.49,706.51,707.2,199.0
2025-07-08 15:30:00,NYSE:GS,706.65,706.65,705.29,705.88,520.0
2025-07-08 15:45:00,NYSE:GS,706.2,707.0,705.65,707.0,215.0
2025-07-08 16:00:00,NYSE:GS,706.98,707.01,706.51,706.63,176.0
2025-07-08 16:15:00,NYSE:GS,706.52,707.75,706.1,707.75,441.0
2025-07-08 16:30:00,NYSE:GS,708.47,711.0,701.26,703.66,52379.0
2025-07-08 16:45:00,NYSE:GS,703.31,707.77,703.31,705.26,20478.0
2025-07-08 17:00:00,NYSE:GS,705.58,706.29,699.4,700.62,38012.0
2025-07-08 17:15:00,NYSE:GS,700.75,703.01,697.61,701.0,21193.0
2025-07-08 17:30:00,NYSE:GS,701.01,702.9,697.0,697.0,19692.0
2025-07-08 17:45:00,NYSE:GS,697.27,697.27,693.77,695.305,15939.0
2025-07-08 18:00:00,NYSE:GS,695.3,699.075,694.5,697.9,11233.0
2025-07-08 18:15:00,NYSE:GS,698.0,700.23,697.76,699.72,9267.0
2025-07-08 18:30:00,NYSE:GS,699.76,701.0,699.33,700.45,8522.0
2025-07-08 18:45:00,NYSE:GS,700.5,701.61,700.32,701.21,7713.0
2025-07-08 19:00:00,NYSE:GS,701.275,701.5,698.62,699.25,7882.0
2025-07-08 19:15:00,NYSE:GS,699.05,700.82,698.79,700.35,3759.0
2025-07-08 19:30:00,NYSE:GS,700.37,700.88,697.05,698.3,7093.0
2025-07-08 19:45:00,NYSE:GS,698.3,700.04,698.3,699.58,4797.0
2025-07-08 20:00:00,NYSE:GS,699.66,700.09,698.8,699.92,9234.0
2025-07-08 20:15:00,NYSE:GS,699.92,699.92,697.52,698.86,3571.0
2025-07-08 20:30:00,NYSE:GS,698.95,699.46,698.42,698.68,9834.0
2025-07-08 20:45:00,NYSE:GS,698.87,700.24,698.42,699.36,3057.0
2025-07-08 21:00:00,NYSE:GS,699.29,699.89,698.25,698.41,5906.0
2025-07-08 21:15:00,NYSE:GS,698.48,698.485,696.29,697.17,6057.0
2025-07-08 21:30:00,NYSE:GS,697.26,698.07,696.75,697.81,3571.0
2025-07-08 21:45:00,NYSE:GS,697.77,698.13,696.94,697.99,3743.0
2025-07-08 22:00:00,NYSE:GS,698.18,698.94,697.83,698.0,4616.0
2025-07-08 22:15:00,NYSE:GS,698.0,698.66,697.39,697.88,4820.0
2025-07-08 22:30:00,NYSE:GS,697.91,698.31,697.37,697.37,7564.0
2025-07-08 22:45:00,NYSE:GS,697.64,697.64,695.41,697.06,22303.0
2025-07-08 23:00:00,NYSE:GS,697.05,697.47,695.64,697.01,2625.0
2025-07-08 23:15:00,NYSE:GS,697.18,697.4,697.0,697.4,67.0
2025-07-08 23:30:00,NYSE:GS,697.1,697.3,697.1,697.3,13.0
2025-07-08 23:45:00,NYSE:GS,697.2,697.2,697.2,697.2,5.0
2025-07-09 00:00:00,NYSE:GS,697.12,697.2,697.0,697.2,28.0
2025-07-09 00:15:00,NYSE:GS,697.0,697.01,696.5,696.5,405.0
2025-07-09 00:30:00,NYSE:GS,696.99,696.99,696.5,696.99,37.0
2025-07-09 00:45:00,NYSE:GS,697.0,697.0,696.74,697.0,105.0
2025-07-09 01:00:00,NYSE:GS,697.27,697.27,697.27,697.27,1.0
2025-07-09 01:15:00,NYSE:GS,697.13,697.13,697.13,697.13,6.0
2025-07-09 01:30:00,NYSE:GS,697.21,697.27,697.2,697.27,105.0
2025-07-09 01:45:00,NYSE:GS,697.27,697.27,697.0,697.0,19.0
2025-07-09 02:00:00,NYSE:GS,697.17,697.31,697.01,697.01,150.0
2025-07-09 02:15:00,NYSE:GS,697.0,697.01,697.0,697.0,84.0
2025-07-09 02:30:00,NYSE:GS,697.21,697.21,697.0,697.0,17.0
2025-07-09 11:30:00,NYSE:GS,697.44,697.44,697.44,697.44,10.0
2025-07-09 11:45:00,NYSE:GS,697.65,698.0,697.65,698.0,18.0
2025-07-09 12:00:00,NYSE:GS,697.86,698.5,697.62,698.5,48.0
2025-07-09 12:45:00,NYSE:GS,698.5,698.6,698.5,698.51,7.0
2025-07-09 14:00:00,NYSE:GS,698.61,699.81,697.85,698.6,266.0
2025-07-09 14:15:00,NYSE:GS,699.79,700.9,699.71,700.9,236.0
2025-07-09 14:30:00,NYSE:GS,700.9,700.95,700.28,700.3,26.0
2025-07-09 14:45:00,NYSE:GS,701.0,701.12,700.99,700.99,142.0
2025-07-09 15:00:00,NYSE:GS,700.57,700.57,698.0,699.08,295.0
2025-07-09 15:15:00,NYSE:GS,699.2,699.91,698.71,698.98,246.0
2025-07-09 15:30:00,NYSE:GS,698.98,699.76,698.98,699.63,235.0
2025-07-09 15:45:00,NYSE:GS,699.04,701.4,699.0,700.9,1023.0
2025-07-09 16:00:00,NYSE:GS,700.9,701.24,700.02,701.1,62.0
2025-07-09 16:15:00,NYSE:GS,701.34,703.23,701.0,703.23,398.0
2025-07-09 16:30:00,NYSE:GS,703.23,703.23,698.0,700.1,17841.0
2025-07-09 16:45:00,NYSE:GS,700.38,701.5,700.0,700.0,13449.0
2025-07-09 17:00:00,NYSE:GS,699.92,700.43,698.01,698.88,7766.0
2025-07-09 17:15:00,NYSE:GS,698.93,700.13,697.35,697.35,8885.0
2025-07-09 17:30:00,NYSE:GS,697.33,697.585,694.84,694.88,12552.0
2025-07-09 17:45:00,NYSE:GS,694.75,697.14,694.75,696.39,10014.0
