datetime,symbol,open,high,low,close,volume
2025-06-27 16:30:00,NYSE:HPE,18.44,18.55,18.37,18.53,51662.0
2025-06-27 16:45:00,NYSE:HPE,18.535,18.535,18.435,18.49,54035.0
2025-06-27 17:00:00,NYSE:HPE,18.5,18.545,18.495,18.51,19295.0
2025-06-27 17:15:00,NYSE:HPE,18.52,18.54,18.485,18.52,11717.0
2025-06-27 17:30:00,NYSE:HPE,18.51,18.57,18.5,18.57,45339.0
2025-06-27 17:45:00,NYSE:HPE,18.56,18.575,18.535,18.55,26317.0
2025-06-27 18:00:00,NYSE:HPE,18.54,18.565,18.53,18.53,9859.0
2025-06-27 18:15:00,NYSE:HPE,18.53,18.555,18.53,18.545,9472.0
2025-06-27 18:30:00,NYSE:HPE,18.54,18.55,18.5,18.53,17269.0
2025-06-27 18:45:00,NYSE:HPE,18.53,18.535,18.49,18.51,10760.0
2025-06-27 19:00:00,NYSE:HPE,18.515,18.54,18.51,18.54,5790.0
2025-06-27 19:15:00,NYSE:HPE,18.535,18.56,18.53,18.55,5314.0
2025-06-27 19:30:00,NYSE:HPE,18.555,18.565,18.525,18.53,7808.0
2025-06-27 19:45:00,NYSE:HPE,18.53,18.53,18.505,18.52,4916.0
2025-06-27 20:00:00,NYSE:HPE,18.515,18.515,18.5,18.505,15071.0
2025-06-27 20:15:00,NYSE:HPE,18.505,18.52,18.49,18.51,10462.0
2025-06-27 20:30:00,NYSE:HPE,18.51,18.52,18.435,18.455,25209.0
2025-06-27 20:45:00,NYSE:HPE,18.45,18.46,18.375,18.415,47295.0
2025-06-27 21:00:00,NYSE:HPE,18.41,18.43,18.375,18.38,23175.0
2025-06-27 21:15:00,NYSE:HPE,18.39,18.39,18.31,18.32,33651.0
2025-06-27 21:30:00,NYSE:HPE,18.32,18.335,18.275,18.3,56979.0
2025-06-27 21:45:00,NYSE:HPE,18.31,18.33,18.275,18.3,17688.0
2025-06-27 22:00:00,NYSE:HPE,18.29,18.35,18.29,18.35,19499.0
2025-06-27 22:15:00,NYSE:HPE,18.35,18.355,18.33,18.335,23411.0
2025-06-27 22:30:00,NYSE:HPE,18.335,18.415,18.335,18.415,58793.0
2025-06-27 22:45:00,NYSE:HPE,18.42,18.46,18.395,18.41,217112.0
2025-06-27 23:00:00,NYSE:HPE,18.4,18.4,18.4,18.4,40.0
2025-06-27 23:30:00,NYSE:HPE,18.35,18.35,18.35,18.35,19.0
2025-06-28 01:30:00,NYSE:HPE,18.42,18.42,18.42,18.42,1.0
2025-06-30 11:00:00,NYSE:HPE,18.65,19.0,18.65,19.0,3513.0
2025-06-30 11:15:00,NYSE:HPE,19.0,19.13,19.0,19.13,1741.0
2025-06-30 11:30:00,NYSE:HPE,19.12,19.13,19.09,19.09,519.0
2025-06-30 11:45:00,NYSE:HPE,19.13,19.14,19.13,19.14,56.0
2025-06-30 12:00:00,NYSE:HPE,19.13,19.38,19.08,19.38,1861.0
2025-06-30 12:15:00,NYSE:HPE,19.44,19.58,19.44,19.58,2321.0
2025-06-30 12:30:00,NYSE:HPE,19.58,19.6,19.58,19.6,996.0
2025-06-30 12:45:00,NYSE:HPE,19.6,19.6,19.39,19.51,1513.0
