datetime,symbol,open,high,low,close,volume
2025-06-25 17:00:00,NYSE:HPQ,24.48,24.495,24.39,24.39,30839.0
2025-06-25 17:15:00,NYSE:HPQ,24.395,24.405,24.315,24.32,25004.0
2025-06-25 17:30:00,NYSE:HPQ,24.33,24.41,24.31,24.405,34468.0
2025-06-25 17:45:00,NYSE:HPQ,24.41,24.48,24.38,24.475,33168.0
2025-06-25 18:00:00,NYSE:HPQ,24.47,24.48,24.375,24.38,24187.0
2025-06-25 18:15:00,NYSE:HPQ,24.38,24.405,24.365,24.39,18369.0
2025-06-25 18:30:00,NYSE:HPQ,24.38,24.41,24.34,24.39,16421.0
2025-06-25 18:45:00,NYSE:HPQ,24.38,24.4,24.36,24.38,14970.0
2025-06-25 19:00:00,NYSE:HPQ,24.385,24.45,24.385,24.445,16004.0
2025-06-25 19:15:00,NYSE:HPQ,24.45,24.45,24.39,24.4,16156.0
2025-06-25 19:30:00,NYSE:HPQ,24.41,24.42,24.39,24.395,16053.0
2025-06-25 19:45:00,NYSE:HPQ,24.4,24.425,24.385,24.4,12698.0
2025-06-25 20:00:00,NYSE:HPQ,24.395,24.405,24.31,24.34,14886.0
2025-06-25 20:15:00,NYSE:HPQ,24.35,24.385,24.335,24.37,20618.0
2025-06-25 20:30:00,NYSE:HPQ,24.36,24.38,24.34,24.37,12969.0
2025-06-25 20:45:00,NYSE:HPQ,24.375,24.41,24.37,24.38,14030.0
2025-06-25 21:00:00,NYSE:HPQ,24.38,24.395,24.35,24.37,17441.0
2025-06-25 21:15:00,NYSE:HPQ,24.375,24.39,24.35,24.36,29913.0
2025-06-25 21:30:00,NYSE:HPQ,24.36,24.365,24.34,24.365,24053.0
2025-06-25 21:45:00,NYSE:HPQ,24.365,24.445,24.36,24.445,14429.0
2025-06-25 22:00:00,NYSE:HPQ,24.45,24.495,24.45,24.48,21824.0
2025-06-25 22:15:00,NYSE:HPQ,24.485,24.51,24.47,24.475,21065.0
2025-06-25 22:30:00,NYSE:HPQ,24.475,24.48,24.435,24.46,40028.0
2025-06-25 22:45:00,NYSE:HPQ,24.46,24.54,24.425,24.525,124234.0
