datetime,symbol,open,high,low,close,volume
2025-06-30 17:15:00,NYSE:LOW,222.21,222.5,222.04,222.19,13180.0
2025-06-30 17:30:00,NYSE:LOW,222.21,222.29,219.75,220.52,15201.0
2025-06-30 17:45:00,NYSE:LOW,220.41,221.14,220.37,220.9,6040.0
2025-06-30 18:00:00,NYSE:LOW,220.93,221.15,220.5,220.83,4512.0
2025-06-30 18:15:00,NYSE:LOW,220.84,220.93,220.6,220.67,4169.0
2025-06-30 18:30:00,NYSE:LOW,220.72,221.18,220.72,220.82,4894.0
2025-06-30 18:45:00,NYSE:LOW,220.835,220.9,220.21,220.22,3466.0
2025-06-30 19:00:00,NYSE:LOW,220.3,220.67,220.21,220.31,2002.0
2025-06-30 19:15:00,NYSE:LOW,220.41,220.52,220.18,220.25,3708.0
2025-06-30 19:30:00,NYSE:LOW,220.19,220.45,220.01,220.27,6437.0
2025-06-30 19:45:00,NYSE:LOW,220.23,220.39,220.12,220.12,4638.0
2025-06-30 20:00:00,NYSE:LOW,220.2,220.82,220.2,220.66,4248.0
2025-06-30 20:15:00,NYSE:LOW,220.6,221.055,220.55,220.98,2694.0
2025-06-30 20:30:00,NYSE:LOW,221.01,221.29,220.78,221.17,3906.0
2025-06-30 20:45:00,NYSE:LOW,221.18,221.19,220.5,220.89,4523.0
2025-06-30 21:00:00,NYSE:LOW,220.91,221.1,220.9,221.06,2803.0
2025-06-30 21:15:00,NYSE:LOW,221.1,221.29,220.98,221.24,2367.0
2025-06-30 21:30:00,NYSE:LOW,221.16,221.31,220.93,221.3,2158.0
2025-06-30 21:45:00,NYSE:LOW,221.33,221.55,221.21,221.55,4411.0
2025-06-30 22:00:00,NYSE:LOW,221.59,222.04,221.59,221.92,4505.0
2025-06-30 22:15:00,NYSE:LOW,221.86,222.09,221.71,221.85,5951.0
2025-06-30 22:30:00,NYSE:LOW,221.78,222.04,221.71,221.82,7589.0
2025-06-30 22:45:00,NYSE:LOW,221.82,222.05,221.62,221.795,37170.0
2025-06-30 23:00:00,NYSE:LOW,221.8,221.8,221.72,221.72,4.0
2025-06-30 23:15:00,NYSE:LOW,221.7,221.7,221.7,221.7,1.0
2025-06-30 23:30:00,NYSE:LOW,221.7,221.7,221.7,221.7,2.0
2025-07-01 00:00:00,NYSE:LOW,221.85,221.85,221.8,221.8,2.0
2025-07-01 00:15:00,NYSE:LOW,221.85,221.85,221.85,221.85,2.0
2025-07-01 00:45:00,NYSE:LOW,221.52,221.52,221.52,221.52,1.0
2025-07-01 01:45:00,NYSE:LOW,221.52,221.52,221.52,221.52,9.0
2025-07-01 02:00:00,NYSE:LOW,221.75,221.75,221.75,221.75,5.0
2025-07-01 02:30:00,NYSE:LOW,221.6,221.6,221.6,221.6,10.0
2025-07-01 02:45:00,NYSE:LOW,221.5,221.5,221.5,221.5,1.0
2025-07-01 11:00:00,NYSE:LOW,222.0,222.0,220.87,222.0,4.0
2025-07-01 13:00:00,NYSE:LOW,222.0,222.0,221.87,221.87,11.0
2025-07-01 13:30:00,NYSE:LOW,221.87,221.87,221.87,221.87,1.0
2025-07-01 14:00:00,NYSE:LOW,221.01,221.6,221.01,221.5,63.0
2025-07-01 14:45:00,NYSE:LOW,221.05,221.05,221.05,221.05,12.0
2025-07-01 15:30:00,NYSE:LOW,221.12,221.12,220.7,220.7,649.0
2025-07-01 15:45:00,NYSE:LOW,220.44,220.98,220.44,220.98,151.0
2025-07-01 16:00:00,NYSE:LOW,220.98,221.0,220.98,221.0,5.0
2025-07-01 16:15:00,NYSE:LOW,220.85,220.85,219.8,219.8,217.0
2025-07-01 16:30:00,NYSE:LOW,219.78,222.66,219.14,222.05,16616.0
2025-07-01 16:45:00,NYSE:LOW,222.36,223.04,222.01,222.87,13212.0
2025-07-01 17:00:00,NYSE:LOW,222.75,224.2,222.72,224.06,14853.0
2025-07-01 17:15:00,NYSE:LOW,224.15,226.16,224.15,226.16,19544.0
2025-07-01 17:30:00,NYSE:LOW,226.16,227.45,226.16,227.17,12632.0
2025-07-01 17:45:00,NYSE:LOW,227.3,228.0,227.11,227.67,20042.0
2025-07-01 18:00:00,NYSE:LOW,227.67,229.79,227.64,229.79,16144.0
2025-07-01 18:15:00,NYSE:LOW,229.73,231.19,229.49,230.73,18700.0
2025-07-01 18:30:00,NYSE:LOW,230.78,231.5,230.35,230.93,9826.0
2025-07-01 18:45:00,NYSE:LOW,231.03,231.58,231.03,231.26,3192.0
2025-07-01 19:00:00,NYSE:LOW,231.27,232.14,230.75,231.99,16481.0
2025-07-01 19:15:00,NYSE:LOW,231.99,232.03,231.2,231.22,8461.0
2025-07-01 19:30:00,NYSE:LOW,231.19,231.25,229.69,229.69,8165.0
2025-07-01 19:45:00,NYSE:LOW,229.48,229.93,228.63,228.76,7687.0
2025-07-01 20:00:00,NYSE:LOW,228.66,228.78,227.91,228.37,8469.0
2025-07-01 20:15:00,NYSE:LOW,228.315,229.26,228.315,229.17,8729.0
2025-07-01 20:30:00,NYSE:LOW,229.23,229.38,228.8,229.23,9330.0
2025-07-01 20:45:00,NYSE:LOW,229.23,229.49,228.89,229.49,3583.0
2025-07-01 21:00:00,NYSE:LOW,229.42,229.43,228.83,228.97,9412.0
2025-07-01 21:15:00,NYSE:LOW,229.04,229.2,228.79,229.09,5963.0
2025-07-01 21:30:00,NYSE:LOW,229.15,229.31,228.96,229.18,13690.0
2025-07-01 21:45:00,NYSE:LOW,229.13,229.35,229.04,229.21,7117.0
2025-07-01 22:00:00,NYSE:LOW,229.21,229.21,228.59,228.82,9770.0
2025-07-01 22:15:00,NYSE:LOW,228.88,229.04,228.69,228.99,10167.0
2025-07-01 22:30:00,NYSE:LOW,229.04,229.09,228.64,228.81,12564.0
2025-07-01 22:45:00,NYSE:LOW,228.82,229.13,228.18,228.63,67719.0
2025-07-01 23:00:00,NYSE:LOW,228.64,228.7,228.64,228.7,3.0
2025-07-01 23:15:00,NYSE:LOW,228.91,228.91,228.91,228.91,27.0
2025-07-01 23:45:00,NYSE:LOW,228.65,228.65,228.65,228.65,1.0
2025-07-02 00:15:00,NYSE:LOW,228.85,228.85,228.85,228.85,1.0
2025-07-02 00:30:00,NYSE:LOW,228.66,228.66,228.66,228.66,30.0
2025-07-02 00:45:00,NYSE:LOW,228.65,228.83,228.65,228.83,12.0
2025-07-02 01:00:00,NYSE:LOW,228.86,228.86,228.86,228.86,3.0
2025-07-02 01:45:00,NYSE:LOW,228.65,228.65,228.64,228.64,6.0
