datetime,symbol,open,high,low,close,volume
2025-07-08 14:00:00,NYSE:MCD,293.69,293.69,293.31,293.31,67.0
2025-07-08 14:15:00,NYSE:MCD,293.46,293.76,293.46,293.76,48.0
2025-07-08 14:30:00,NYSE:MCD,293.75,293.75,293.51,293.51,29.0
2025-07-08 14:45:00,NYSE:MCD,293.53,293.53,293.12,293.19,125.0
2025-07-08 15:00:00,NYSE:MCD,293.03,293.35,292.77,293.2,135.0
2025-07-08 15:15:00,NYSE:MCD,293.25,293.66,293.25,293.66,9.0
2025-07-08 15:30:00,NYSE:MCD,293.28,293.3,293.28,293.3,2.0
2025-07-08 15:45:00,NYSE:MCD,293.56,293.56,293.12,293.27,35.0
2025-07-08 16:00:00,NYSE:MCD,293.42,293.42,293.05,293.08,27.0
2025-07-08 16:15:00,NYSE:MCD,293.27,293.48,293.0,293.48,56.0
2025-07-08 16:30:00,NYSE:MCD,293.47,293.47,290.63,291.71,15335.0
2025-07-08 16:45:00,NYSE:MCD,291.74,291.96,290.97,291.05,9253.0
2025-07-08 17:00:00,NYSE:MCD,291.09,291.48,290.26,291.38,9947.0
2025-07-08 17:15:00,NYSE:MCD,291.38,292.07,291.19,291.52,5328.0
2025-07-08 17:30:00,NYSE:MCD,291.59,292.25,291.36,291.55,6226.0
2025-07-08 17:45:00,NYSE:MCD,291.59,292.0,291.25,291.73,3798.0
2025-07-08 18:00:00,NYSE:MCD,291.7,291.73,291.33,291.66,4126.0
2025-07-08 18:15:00,NYSE:MCD,291.71,292.3,291.36,291.38,6419.0
2025-07-08 18:30:00,NYSE:MCD,291.45,292.21,291.17,292.205,6821.0
2025-07-08 18:45:00,NYSE:MCD,292.15,292.61,292.12,292.18,4520.0
2025-07-08 19:00:00,NYSE:MCD,292.08,292.08,291.12,291.63,3826.0
2025-07-08 19:15:00,NYSE:MCD,291.61,292.05,291.61,291.77,8302.0
2025-07-08 19:30:00,NYSE:MCD,291.77,292.07,291.19,291.19,5667.0
2025-07-08 19:45:00,NYSE:MCD,291.19,291.33,290.55,290.59,6827.0
2025-07-08 20:00:00,NYSE:MCD,290.59,290.92,290.33,290.71,8994.0
2025-07-08 20:15:00,NYSE:MCD,290.78,291.07,290.52,290.69,8609.0
2025-07-08 20:30:00,NYSE:MCD,290.78,290.98,290.53,290.69,4057.0
2025-07-08 20:45:00,NYSE:MCD,290.71,291.09,290.5,291.01,2849.0
2025-07-08 21:00:00,NYSE:MCD,291.01,291.43,290.84,291.36,3758.0
2025-07-08 21:15:00,NYSE:MCD,291.32,291.75,291.32,291.35,4915.0
2025-07-08 21:30:00,NYSE:MCD,291.32,291.98,291.2,291.83,9467.0
2025-07-08 21:45:00,NYSE:MCD,291.83,292.16,291.44,291.48,9338.0
2025-07-08 22:00:00,NYSE:MCD,291.5,291.99,291.42,291.95,7609.0
2025-07-08 22:15:00,NYSE:MCD,291.96,292.635,291.96,292.5,8717.0
2025-07-08 22:30:00,NYSE:MCD,292.5,292.5,291.95,292.13,11779.0
2025-07-08 22:45:00,NYSE:MCD,292.06,292.34,291.57,291.69,28218.0
2025-07-08 23:15:00,NYSE:MCD,291.84,291.84,291.84,291.84,1.0
2025-07-09 00:00:00,NYSE:MCD,291.84,291.84,291.84,291.84,1.0
2025-07-09 00:45:00,NYSE:MCD,291.71,291.71,291.66,291.69,91.0
2025-07-09 01:00:00,NYSE:MCD,291.69,291.69,291.69,291.69,5.0
2025-07-09 02:30:00,NYSE:MCD,291.66,291.9,291.66,291.9,12.0
2025-07-09 11:00:00,NYSE:MCD,292.0,292.32,292.0,292.32,3.0
2025-07-09 11:15:00,NYSE:MCD,291.95,292.31,291.95,292.31,6.0
2025-07-09 11:30:00,NYSE:MCD,292.0,292.15,292.0,292.15,45.0
2025-07-09 11:45:00,NYSE:MCD,292.2,292.2,292.2,292.2,2.0
2025-07-09 12:00:00,NYSE:MCD,292.29,292.32,292.29,292.32,2.0
2025-07-09 12:15:00,NYSE:MCD,292.49,292.71,292.49,292.71,8.0
2025-07-09 12:30:00,NYSE:MCD,292.67,292.67,292.67,292.67,7.0
2025-07-09 12:45:00,NYSE:MCD,292.67,292.67,292.55,292.67,5.0
2025-07-09 13:00:00,NYSE:MCD,292.66,292.75,292.66,292.66,15.0
2025-07-09 13:15:00,NYSE:MCD,292.75,292.75,292.75,292.75,1.0
2025-07-09 13:30:00,NYSE:MCD,292.72,292.72,292.72,292.72,3.0
2025-07-09 13:45:00,NYSE:MCD,292.73,292.75,292.28,292.4,102.0
2025-07-09 14:00:00,NYSE:MCD,292.67,292.7,292.55,292.7,145.0
2025-07-09 14:15:00,NYSE:MCD,292.46,292.53,292.46,292.53,3.0
