datetime,symbol,open,high,low,close,volume
2025-06-30 22:45:00,NYSE:MMM,151.98,152.46,151.97,152.11,24380.0
2025-06-30 23:45:00,NYSE:MMM,151.57,151.57,151.56,151.56,81.0
2025-07-01 00:15:00,NYSE:MMM,151.56,151.56,151.56,151.56,4.0
2025-07-01 00:45:00,NYSE:MMM,152.2,152.2,152.2,152.2,10.0
2025-07-01 01:30:00,NYSE:MMM,152.0,152.0,152.0,152.0,1.0
2025-07-01 11:00:00,NYSE:MMM,151.27,152.88,151.27,152.88,15.0
2025-07-01 13:30:00,NYSE:MMM,151.49,151.49,151.49,151.49,6.0
2025-07-01 13:45:00,NYSE:MMM,152.14,152.25,152.11,152.25,18.0
2025-07-01 14:30:00,NYSE:MMM,152.01,152.02,151.9,151.9,7.0
2025-07-01 15:00:00,NYSE:MMM,151.59,152.24,151.59,152.24,2.0
2025-07-01 15:30:00,NYSE:MMM,151.71,151.71,151.71,151.71,5.0
2025-07-01 16:00:00,NYSE:MMM,152.11,152.11,152.11,152.11,1.0
2025-07-01 16:30:00,NYSE:MMM,151.85,152.4,151.41,152.38,8792.0
2025-07-01 16:45:00,NYSE:MMM,152.35,152.9,152.35,152.43,9792.0
2025-07-01 17:00:00,NYSE:MMM,152.45,153.97,152.31,153.935,19820.0
2025-07-01 17:15:00,NYSE:MMM,153.94,154.3,153.83,154.05,15646.0
2025-07-01 17:30:00,NYSE:MMM,154.13,154.59,153.79,154.02,17450.0
2025-07-01 17:45:00,NYSE:MMM,153.97,154.31,153.72,154.11,11631.0
2025-07-01 18:00:00,NYSE:MMM,154.09,154.5,153.98,154.47,18422.0
2025-07-01 18:15:00,NYSE:MMM,154.42,155.2,154.2,155.2,64818.0
2025-07-01 18:30:00,NYSE:MMM,155.2,156.05,155.2,155.39,36353.0
2025-07-01 18:45:00,NYSE:MMM,155.5,155.6,155.0,155.6,6204.0
2025-07-01 19:00:00,NYSE:MMM,155.545,155.8,155.545,155.75,5778.0
2025-07-01 19:15:00,NYSE:MMM,155.82,156.055,155.46,155.86,9764.0
2025-07-01 19:30:00,NYSE:MMM,155.93,156.05,154.69,154.71,6453.0
2025-07-01 19:45:00,NYSE:MMM,154.68,154.86,154.32,154.32,6409.0
2025-07-01 20:00:00,NYSE:MMM,154.32,154.57,154.13,154.57,5542.0
2025-07-01 20:15:00,NYSE:MMM,154.59,154.8,154.545,154.8,3143.0
2025-07-01 20:30:00,NYSE:MMM,154.79,154.88,154.53,154.61,7233.0
2025-07-01 20:45:00,NYSE:MMM,154.635,154.69,154.25,154.52,5006.0
2025-07-01 21:00:00,NYSE:MMM,154.53,154.72,154.38,154.59,3777.0
2025-07-01 21:15:00,NYSE:MMM,154.6,154.66,154.35,154.35,3934.0
2025-07-01 21:30:00,NYSE:MMM,154.33,154.48,154.26,154.48,4623.0
2025-07-01 21:45:00,NYSE:MMM,154.49,154.72,154.49,154.7,6063.0
2025-07-01 22:00:00,NYSE:MMM,154.61,154.66,154.16,154.4,6593.0
2025-07-01 22:15:00,NYSE:MMM,154.4,154.63,154.4,154.625,6811.0
2025-07-01 22:30:00,NYSE:MMM,154.625,154.63,154.38,154.44,7816.0
2025-07-01 22:45:00,NYSE:MMM,154.48,154.61,153.77,153.8,58838.0
2025-07-01 23:15:00,NYSE:MMM,153.81,153.81,153.81,153.81,1.0
2025-07-01 23:30:00,NYSE:MMM,153.81,153.81,153.81,153.81,4.0
2025-07-02 01:00:00,NYSE:MMM,153.9,153.9,153.9,153.9,3.0
2025-07-02 11:15:00,NYSE:MMM,154.0,154.0,154.0,154.0,1.0
2025-07-02 11:30:00,NYSE:MMM,154.73,154.73,154.73,154.73,2.0
2025-07-02 12:00:00,NYSE:MMM,154.9,154.91,154.9,154.91,337.0
2025-07-02 12:45:00,NYSE:MMM,154.98,154.98,154.98,154.98,2.0
2025-07-02 13:15:00,NYSE:MMM,154.78,154.78,154.78,154.78,1.0
2025-07-02 14:00:00,NYSE:MMM,154.78,154.78,154.78,154.78,3.0
2025-07-02 14:15:00,NYSE:MMM,154.79,154.79,154.79,154.79,10.0
2025-07-02 14:45:00,NYSE:MMM,154.78,154.78,154.56,154.56,2.0
2025-07-02 15:45:00,NYSE:MMM,154.08,154.08,154.08,154.08,3.0
2025-07-02 16:00:00,NYSE:MMM,154.0,154.0,154.0,154.0,16.0
2025-07-02 16:15:00,NYSE:MMM,154.0,154.77,154.0,154.77,27.0
2025-07-02 16:30:00,NYSE:MMM,154.77,154.77,153.29,153.5,4092.0
2025-07-02 16:45:00,NYSE:MMM,153.67,153.8,153.32,153.69,3121.0
2025-07-02 17:00:00,NYSE:MMM,153.78,153.97,153.22,153.36,6133.0
2025-07-02 17:15:00,NYSE:MMM,153.37,154.21,153.205,154.21,5076.0
2025-07-02 17:30:00,NYSE:MMM,154.15,154.74,154.1,154.57,6737.0
2025-07-02 17:45:00,NYSE:MMM,154.62,154.875,154.41,154.77,5441.0
2025-07-02 18:00:00,NYSE:MMM,154.86,154.9,154.55,154.55,4242.0
2025-07-02 18:15:00,NYSE:MMM,154.66,155.45,154.66,155.3,15466.0
2025-07-02 18:30:00,NYSE:MMM,155.285,155.39,155.07,155.33,4058.0
