datetime,symbol,open,high,low,close,volume
2025-07-10 11:15:00,NYSE:NIO,3.54,3.54,3.535,3.535,2936.0
2025-07-10 11:30:00,NYSE:NIO,3.535,3.535,3.53,3.53,6500.0
2025-07-10 11:45:00,NYSE:NIO,3.535,3.535,3.53,3.53,196.0
2025-07-10 12:00:00,NYSE:NIO,3.53,3.54,3.53,3.54,5689.0
2025-07-10 12:15:00,NYSE:NIO,3.53,3.535,3.53,3.535,11511.0
2025-07-10 12:30:00,NYSE:NIO,3.53,3.53,3.53,3.53,30.0
2025-07-10 12:45:00,NYSE:NIO,3.535,3.535,3.53,3.53,3600.0
2025-07-10 13:00:00,NYSE:NIO,3.53,3.54,3.53,3.53,10800.0
2025-07-10 13:15:00,NYSE:NIO,3.535,3.54,3.53,3.53,8100.0
2025-07-10 13:30:00,NYSE:NIO,3.54,3.54,3.535,3.54,14080.0
2025-07-10 13:45:00,NYSE:NIO,3.545,3.55,3.54,3.54,18149.0
2025-07-10 14:00:00,NYSE:NIO,3.54,3.55,3.54,3.55,19408.0
2025-07-10 14:15:00,NYSE:NIO,3.54,3.56,3.54,3.55,66148.0
2025-07-10 14:30:00,NYSE:NIO,3.55,3.55,3.55,3.55,21068.0
2025-07-10 14:45:00,NYSE:NIO,3.55,3.55,3.53,3.53,26478.0
2025-07-10 15:00:00,NYSE:NIO,3.53,3.54,3.53,3.54,4216.0
2025-07-10 15:15:00,NYSE:NIO,3.54,3.54,3.53,3.54,11099.0
2025-07-10 15:30:00,NYSE:NIO,3.53,3.57,3.53,3.56,92191.0
2025-07-10 15:45:00,NYSE:NIO,3.55,3.56,3.55,3.55,5263.0
2025-07-10 16:00:00,NYSE:NIO,3.56,3.56,3.53,3.54,40415.0
2025-07-10 16:15:00,NYSE:NIO,3.54,3.55,3.53,3.55,13359.0
2025-07-10 16:30:00,NYSE:NIO,3.545,3.545,3.5,3.505,119919.0
2025-07-10 16:45:00,NYSE:NIO,3.505,3.505,3.495,3.505,99720.0
2025-07-10 17:00:00,NYSE:NIO,3.505,3.57,3.505,3.545,306343.0
2025-07-10 17:15:00,NYSE:NIO,3.55,3.58,3.54,3.57,263704.0
2025-07-10 17:30:00,NYSE:NIO,3.565,3.59,3.56,3.59,384185.0
2025-07-10 17:45:00,NYSE:NIO,3.59,3.65,3.58,3.63,1014279.0
2025-07-10 18:00:00,NYSE:NIO,3.64,3.685,3.64,3.655,983606.0
2025-07-10 18:15:00,NYSE:NIO,3.66,3.66,3.625,3.635,322554.0
2025-07-10 18:30:00,NYSE:NIO,3.635,3.64,3.6,3.605,263026.0
2025-07-10 18:45:00,NYSE:NIO,3.605,3.61,3.585,3.6,379293.0
2025-07-10 19:00:00,NYSE:NIO,3.605,3.61,3.6,3.6,36047.0
2025-07-10 19:15:00,NYSE:NIO,3.6,3.605,3.59,3.595,166682.0
2025-07-10 19:30:00,NYSE:NIO,3.59,3.6,3.59,3.595,9003.0
2025-07-10 19:45:00,NYSE:NIO,3.595,3.615,3.595,3.6,154465.0
2025-07-10 20:00:00,NYSE:NIO,3.605,3.61,3.58,3.58,123432.0
2025-07-10 20:15:00,NYSE:NIO,3.58,3.59,3.58,3.58,91742.0
2025-07-10 20:30:00,NYSE:NIO,3.585,3.59,3.58,3.585,12688.0
2025-07-10 20:45:00,NYSE:NIO,3.585,3.59,3.575,3.575,46761.0
2025-07-10 21:00:00,NYSE:NIO,3.575,3.58,3.575,3.58,38197.0
2025-07-10 21:15:00,NYSE:NIO,3.58,3.59,3.58,3.585,60995.0
2025-07-10 21:30:00,NYSE:NIO,3.59,3.59,3.58,3.58,19690.0
2025-07-10 21:45:00,NYSE:NIO,3.585,3.59,3.575,3.58,50821.0
2025-07-10 22:00:00,NYSE:NIO,3.585,3.59,3.585,3.59,32791.0
2025-07-10 22:15:00,NYSE:NIO,3.59,3.63,3.59,3.63,399039.0
2025-07-10 22:30:00,NYSE:NIO,3.63,3.665,3.625,3.66,697891.0
2025-07-10 22:45:00,NYSE:NIO,3.66,3.7,3.66,3.695,1586815.0
2025-07-10 23:00:00,NYSE:NIO,3.69,3.7,3.66,3.68,66872.0
2025-07-10 23:15:00,NYSE:NIO,3.68,3.69,3.68,3.68,9911.0
2025-07-10 23:30:00,NYSE:NIO,3.69,3.69,3.69,3.69,9774.0
2025-07-10 23:45:00,NYSE:NIO,3.68,3.68,3.68,3.68,1410.0
2025-07-11 00:00:00,NYSE:NIO,3.69,3.7,3.69,3.7,5467.0
2025-07-11 00:15:00,NYSE:NIO,3.7,3.7,3.69,3.7,6606.0
2025-07-11 01:00:00,NYSE:NIO,3.7,3.7,3.7,3.7,1789.0
2025-07-11 01:30:00,NYSE:NIO,3.7,3.7,3.7,3.7,100.0
2025-07-11 01:45:00,NYSE:NIO,3.7,3.7,3.69,3.69,410.0
2025-07-11 02:00:00,NYSE:NIO,3.7,3.7,3.7,3.7,7900.0
2025-07-11 02:15:00,NYSE:NIO,3.7,3.72,3.699,3.72,17403.0
2025-07-11 02:45:00,NYSE:NIO,3.72,3.72,3.72,3.72,11909.0
2025-07-11 11:00:00,NYSE:NIO,3.79,3.79,3.73,3.73,136895.0
2025-07-11 11:15:00,NYSE:NIO,3.73,3.74,3.73,3.74,7079.0
2025-07-11 11:30:00,NYSE:NIO,3.74,3.74,3.735,3.735,7400.0
2025-07-11 11:45:00,NYSE:NIO,3.74,3.74,3.73,3.73,14992.0
2025-07-11 12:00:00,NYSE:NIO,3.73,3.74,3.73,3.73,12585.0
2025-07-11 12:15:00,NYSE:NIO,3.73,3.74,3.73,3.73,10814.0
2025-07-11 12:30:00,NYSE:NIO,3.73,3.735,3.73,3.73,6348.0
2025-07-11 12:45:00,NYSE:NIO,3.735,3.74,3.73,3.74,8038.0
2025-07-11 13:00:00,NYSE:NIO,3.735,3.74,3.735,3.74,17032.0
2025-07-11 13:15:00,NYSE:NIO,3.74,3.74,3.735,3.735,1208.0
2025-07-11 13:30:00,NYSE:NIO,3.74,3.75,3.74,3.75,15235.0
2025-07-11 13:45:00,NYSE:NIO,3.75,3.76,3.75,3.75,11890.0
2025-07-11 14:00:00,NYSE:NIO,3.75,3.75,3.73,3.73,25591.0
2025-07-11 14:15:00,NYSE:NIO,3.73,3.74,3.73,3.73,8928.0
2025-07-11 14:30:00,NYSE:NIO,3.73,3.73,3.73,3.73,18654.0
2025-07-11 14:45:00,NYSE:NIO,3.73,3.74,3.73,3.735,4977.0
2025-07-11 15:00:00,NYSE:NIO,3.73,3.75,3.73,3.75,23629.0
2025-07-11 15:15:00,NYSE:NIO,3.74,3.75,3.74,3.741,17174.0
2025-07-11 15:30:00,NYSE:NIO,3.74,3.75,3.73,3.73,17692.0
2025-07-11 15:45:00,NYSE:NIO,3.73,3.74,3.73,3.74,14961.0
2025-07-11 16:00:00,NYSE:NIO,3.73,3.74,3.72,3.73,39046.0
2025-07-11 16:15:00,NYSE:NIO,3.74,3.74,3.73,3.74,5206.0
2025-07-11 16:30:00,NYSE:NIO,3.74,3.765,3.695,3.755,702815.0
2025-07-11 16:45:00,NYSE:NIO,3.755,3.88,3.755,3.865,1570855.0
2025-07-11 17:00:00,NYSE:NIO,3.86,3.955,3.86,3.92,1649726.0
2025-07-11 17:15:00,NYSE:NIO,3.92,4.05,3.92,3.985,1978538.0
2025-07-11 17:30:00,NYSE:NIO,3.985,3.99,3.95,3.98,738426.0
2025-07-11 17:45:00,NYSE:NIO,3.98,3.995,3.94,3.955,607936.0
2025-07-11 18:00:00,NYSE:NIO,3.955,3.955,3.94,3.955,336819.0
2025-07-11 18:15:00,NYSE:NIO,3.95,3.955,3.92,3.93,319530.0
2025-07-11 18:30:00,NYSE:NIO,3.93,3.93,3.88,3.9,215494.0
2025-07-11 18:45:00,NYSE:NIO,3.9,3.91,3.88,3.885,242979.0
2025-07-11 19:00:00,NYSE:NIO,3.89,3.89,3.865,3.865,205856.0
2025-07-11 19:15:00,NYSE:NIO,3.87,3.88,3.86,3.875,154032.0
2025-07-11 19:30:00,NYSE:NIO,3.88,3.885,3.87,3.88,466847.0
2025-07-11 19:45:00,NYSE:NIO,3.89,3.9,3.885,3.895,163364.0
2025-07-11 20:00:00,NYSE:NIO,3.895,3.895,3.87,3.87,215276.0
2025-07-11 20:15:00,NYSE:NIO,3.87,3.88,3.87,3.88,123369.0
2025-07-11 20:30:00,NYSE:NIO,3.875,3.875,3.86,3.865,136508.0
2025-07-11 20:45:00,NYSE:NIO,3.87,3.88,3.865,3.88,153991.0
