datetime,symbol,open,high,low,close,volume
2025-07-10 00:45:00,NYSE:NKE,73.6,73.61,73.59,73.59,1064.0
2025-07-10 01:00:00,NYSE:NKE,73.57,73.57,73.57,73.57,75.0
2025-07-10 01:15:00,NYSE:NKE,73.62,73.62,73.59,73.59,117.0
2025-07-10 01:30:00,NYSE:NKE,73.62,73.63,73.62,73.63,46.0
2025-07-10 01:45:00,NYSE:NKE,73.65,73.65,73.65,73.65,200.0
2025-07-10 02:15:00,NYSE:NKE,73.67,73.67,73.67,73.67,17.0
2025-07-10 02:30:00,NYSE:NKE,73.66,73.66,73.6,73.6,161.0
2025-07-10 02:45:00,NYSE:NKE,73.55,73.55,73.55,73.55,14.0
2025-07-10 11:00:00,NYSE:NKE,73.45,73.45,72.92,73.06,1261.0
2025-07-10 11:15:00,NYSE:NKE,73.05,73.05,73.0,73.01,293.0
2025-07-10 11:30:00,NYSE:NKE,72.98,73.02,72.94,72.96,387.0
2025-07-10 11:45:00,NYSE:NKE,72.91,72.95,72.9,72.94,114.0
2025-07-10 12:00:00,NYSE:NKE,72.89,72.9,72.86,72.86,407.0
2025-07-10 12:15:00,NYSE:NKE,72.84,72.89,72.79,72.85,102.0
2025-07-10 12:30:00,NYSE:NKE,72.92,72.92,72.84,72.89,237.0
2025-07-10 12:45:00,NYSE:NKE,72.9,72.93,72.88,72.9,126.0
2025-07-10 13:00:00,NYSE:NKE,72.89,72.93,72.88,72.93,221.0
2025-07-10 13:15:00,NYSE:NKE,72.9,72.92,72.9,72.9,45.0
2025-07-10 13:30:00,NYSE:NKE,72.93,73.0,72.93,73.0,547.0
2025-07-10 13:45:00,NYSE:NKE,72.98,73.03,72.98,73.0,215.0
2025-07-10 14:00:00,NYSE:NKE,73.03,73.11,73.03,73.1,513.0
2025-07-10 14:15:00,NYSE:NKE,73.09,73.09,73.04,73.04,127.0
2025-07-10 14:30:00,NYSE:NKE,73.06,73.1,73.05,73.06,352.0
2025-07-10 14:45:00,NYSE:NKE,73.04,73.1,73.04,73.09,145.0
2025-07-10 15:00:00,NYSE:NKE,73.12,73.12,72.93,72.95,1352.0
2025-07-10 15:15:00,NYSE:NKE,72.95,72.95,72.87,72.87,326.0
2025-07-10 15:30:00,NYSE:NKE,72.88,72.9,72.72,72.77,817.0
2025-07-10 15:45:00,NYSE:NKE,72.7,72.77,72.61,72.66,4512.0
2025-07-10 16:00:00,NYSE:NKE,72.7,72.77,72.67,72.74,1657.0
2025-07-10 16:15:00,NYSE:NKE,72.77,73.43,72.7,73.21,2488.0
2025-07-10 16:30:00,NYSE:NKE,73.13,73.74,72.995,73.74,91039.0
2025-07-10 16:45:00,NYSE:NKE,73.7,74.49,73.625,74.45,67243.0
2025-07-10 17:00:00,NYSE:NKE,74.44,74.64,74.26,74.64,67466.0
2025-07-10 17:15:00,NYSE:NKE,74.65,75.11,74.6,75.0,102894.0
2025-07-10 17:30:00,NYSE:NKE,74.99,75.055,74.84,74.9,65947.0
2025-07-10 17:45:00,NYSE:NKE,74.91,74.91,74.655,74.8,49534.0
2025-07-10 18:00:00,NYSE:NKE,74.8,75.23,74.79,75.18,56926.0
2025-07-10 18:15:00,NYSE:NKE,75.19,75.28,75.11,75.23,85285.0
2025-07-10 18:30:00,NYSE:NKE,75.23,75.28,75.095,75.14,63065.0
2025-07-10 18:45:00,NYSE:NKE,75.14,75.14,74.93,75.13,39517.0
2025-07-10 19:00:00,NYSE:NKE,75.13,75.24,75.07,75.13,26610.0
2025-07-10 19:15:00,NYSE:NKE,75.12,75.42,75.12,75.33,31639.0
2025-07-10 19:30:00,NYSE:NKE,75.32,75.45,75.27,75.44,28584.0
2025-07-10 19:45:00,NYSE:NKE,75.43,75.45,75.29,75.31,18182.0
2025-07-10 20:00:00,NYSE:NKE,75.32,75.35,75.23,75.31,27298.0
2025-07-10 20:15:00,NYSE:NKE,75.31,75.415,75.25,75.32,21551.0
2025-07-10 20:30:00,NYSE:NKE,75.33,75.49,75.285,75.29,22523.0
2025-07-10 20:45:00,NYSE:NKE,75.28,75.31,75.12,75.13,27269.0
2025-07-10 21:00:00,NYSE:NKE,75.13,75.13,74.87,74.95,22529.0
2025-07-10 21:15:00,NYSE:NKE,74.95,75.07,74.92,75.03,19911.0
2025-07-10 21:30:00,NYSE:NKE,75.03,75.04,74.77,74.89,27367.0
2025-07-10 21:45:00,NYSE:NKE,74.88,74.89,74.56,74.59,31409.0
2025-07-10 22:00:00,NYSE:NKE,74.59,74.73,74.53,74.69,22362.0
2025-07-10 22:15:00,NYSE:NKE,74.675,74.725,74.55,74.6,41585.0
2025-07-10 22:30:00,NYSE:NKE,74.6,74.7,74.595,74.695,47512.0
2025-07-10 22:45:00,NYSE:NKE,74.695,74.74,74.44,74.615,123376.0
2025-07-10 23:00:00,NYSE:NKE,74.62,74.63,74.62,74.63,56.0
