datetime,symbol,open,high,low,close,volume
2025-06-11 17:15:00,NYSE:NTR,59.81,60.0,59.74,60.0,12090.0
2025-06-11 17:30:00,NYSE:NTR,60.01,60.08,59.74,59.87,4590.0
2025-06-11 17:45:00,NYSE:NTR,59.865,59.88,59.69,59.72,2795.0
2025-06-11 18:00:00,NYSE:NTR,59.74,59.82,59.73,59.77,3880.0
2025-06-11 18:15:00,NYSE:NTR,59.77,59.82,59.76,59.78,2987.0
2025-06-11 18:30:00,NYSE:NTR,59.79,59.79,59.7,59.75,3744.0
2025-06-11 18:45:00,NYSE:NTR,59.74,59.78,59.69,59.74,2814.0
2025-06-11 19:00:00,NYSE:NTR,59.72,59.8,59.64,59.65,4474.0
2025-06-11 19:15:00,NYSE:NTR,59.6,59.65,59.59,59.61,7778.0
2025-06-11 19:30:00,NYSE:NTR,59.63,59.64,59.54,59.615,2131.0
2025-06-11 19:45:00,NYSE:NTR,59.62,59.69,59.6,59.685,2911.0
2025-06-11 20:00:00,NYSE:NTR,59.67,59.75,59.67,59.68,3308.0
2025-06-11 20:15:00,NYSE:NTR,59.67,59.71,59.63,59.67,5000.0
2025-06-11 20:30:00,NYSE:NTR,59.66,59.76,59.64,59.76,2827.0
2025-06-11 20:45:00,NYSE:NTR,59.74,59.85,59.73,59.83,4604.0
2025-06-11 21:00:00,NYSE:NTR,59.84,59.9,59.75,59.75,2439.0
2025-06-11 21:15:00,NYSE:NTR,59.74,59.94,59.69,59.93,9248.0
2025-06-11 21:30:00,NYSE:NTR,59.92,60.06,59.88,60.06,6103.0
2025-06-11 21:45:00,NYSE:NTR,60.07,60.07,59.89,59.95,7632.0
2025-06-11 22:00:00,NYSE:NTR,59.93,60.15,59.915,60.13,6304.0
2025-06-11 22:15:00,NYSE:NTR,60.13,60.15,60.03,60.06,11074.0
2025-06-11 22:30:00,NYSE:NTR,60.05,60.33,60.03,60.3,16855.0
2025-06-11 22:45:00,NYSE:NTR,60.28,60.28,60.05,60.22,29906.0
2025-06-11 23:00:00,NYSE:NTR,60.22,60.22,60.22,60.22,100.0
2025-06-12 11:00:00,NYSE:NTR,60.32,60.32,60.32,60.32,2.0
2025-06-12 16:30:00,NYSE:NTR,60.15,60.18,59.51,60.1,6551.0
2025-06-12 16:45:00,NYSE:NTR,60.07,60.14,59.94,60.09,2789.0
2025-06-12 17:00:00,NYSE:NTR,60.09,60.17,59.92,60.01,2336.0
2025-06-12 17:15:00,NYSE:NTR,59.99,60.16,59.94,60.1,1205.0
2025-06-12 17:30:00,NYSE:NTR,60.12,60.25,60.12,60.19,1815.0
2025-06-12 17:45:00,NYSE:NTR,60.19,60.2,60.06,60.08,2028.0
2025-06-12 18:00:00,NYSE:NTR,60.08,60.15,60.04,60.07,1620.0
2025-06-12 18:15:00,NYSE:NTR,60.06,60.15,60.04,60.06,815.0
2025-06-12 18:30:00,NYSE:NTR,60.035,60.13,60.035,60.11,1547.0
2025-06-12 18:45:00,NYSE:NTR,60.11,60.17,60.09,60.14,839.0
2025-06-12 19:00:00,NYSE:NTR,60.15,60.24,60.12,60.21,2895.0
2025-06-12 19:15:00,NYSE:NTR,60.22,60.29,60.19,60.27,3138.0
2025-06-12 19:30:00,NYSE:NTR,60.28,60.3,60.21,60.27,837.0
2025-06-12 19:45:00,NYSE:NTR,60.25,60.3,60.25,60.285,898.0
2025-06-12 20:00:00,NYSE:NTR,60.3,60.35,60.28,60.29,1436.0
2025-06-12 20:15:00,NYSE:NTR,60.29,60.31,60.25,60.27,1443.0
2025-06-12 20:30:00,NYSE:NTR,60.29,60.32,60.27,60.32,1158.0
2025-06-12 20:45:00,NYSE:NTR,60.33,60.35,60.24,60.24,3262.0
2025-06-12 21:00:00,NYSE:NTR,60.24,60.31,60.22,60.31,2635.0
2025-06-12 21:15:00,NYSE:NTR,60.3,60.33,60.28,60.32,972.0
2025-06-12 21:30:00,NYSE:NTR,60.3,60.36,60.3,60.35,1552.0
2025-06-12 21:45:00,NYSE:NTR,60.34,60.4,60.29,60.4,1675.0
2025-06-12 22:00:00,NYSE:NTR,60.41,60.41,60.35,60.37,2963.0
2025-06-12 22:15:00,NYSE:NTR,60.39,60.45,60.38,60.41,4887.0
2025-06-12 22:30:00,NYSE:NTR,60.4,60.43,60.31,60.31,9875.0
2025-06-12 22:45:00,NYSE:NTR,60.31,60.49,60.26,60.45,74271.0
2025-06-13 12:45:00,NYSE:NTR,60.51,60.51,60.51,60.51,2.0
2025-06-13 14:00:00,NYSE:NTR,60.55,60.55,60.55,60.55,250.0
2025-06-13 14:30:00,NYSE:NTR,60.73,60.75,60.73,60.75,710.0
2025-06-13 15:45:00,NYSE:NTR,60.85,61.0,60.85,60.99,1440.0
2025-06-13 16:15:00,NYSE:NTR,61.1,61.2,61.1,61.19,569.0
2025-06-13 16:30:00,NYSE:NTR,60.82,62.08,60.53,61.55,55601.0
2025-06-13 16:45:00,NYSE:NTR,61.57,61.76,61.49,61.54,10955.0
2025-06-13 17:00:00,NYSE:NTR,61.55,62.25,61.55,62.12,19279.0
2025-06-13 17:15:00,NYSE:NTR,62.13,62.2,61.81,62.11,16777.0
2025-06-13 17:30:00,NYSE:NTR,62.15,62.33,61.96,61.96,15883.0
2025-06-13 17:45:00,NYSE:NTR,61.99,61.99,61.67,61.89,65159.0
2025-06-13 18:00:00,NYSE:NTR,61.91,62.1,61.8,62.07,14389.0
2025-06-13 18:15:00,NYSE:NTR,62.05,62.48,62.02,62.34,44765.0
2025-06-13 18:30:00,NYSE:NTR,62.36,62.49,62.22,62.3,12093.0
2025-06-13 18:45:00,NYSE:NTR,62.29,62.35,62.2,62.2,3647.0
2025-06-13 19:00:00,NYSE:NTR,62.2,62.265,62.14,62.24,3118.0
2025-06-13 19:15:00,NYSE:NTR,62.26,62.37,62.24,62.24,4462.0
2025-06-13 19:30:00,NYSE:NTR,62.28,62.48,62.28,62.36,7326.0
2025-06-13 19:45:00,NYSE:NTR,62.34,62.465,62.23,62.41,6485.0
2025-06-13 20:00:00,NYSE:NTR,62.42,62.61,62.39,62.58,6299.0
2025-06-13 20:15:00,NYSE:NTR,62.57,62.67,62.52,62.54,8235.0
2025-06-13 20:30:00,NYSE:NTR,62.55,62.59,62.43,62.45,12832.0
2025-06-13 20:45:00,NYSE:NTR,62.48,62.6,62.48,62.56,5717.0
2025-06-13 21:00:00,NYSE:NTR,62.57,62.65,62.54,62.56,4962.0
2025-06-13 21:15:00,NYSE:NTR,62.56,62.57,62.41,62.45,2993.0
2025-06-13 21:30:00,NYSE:NTR,62.44,62.47,62.35,62.45,14785.0
2025-06-13 21:45:00,NYSE:NTR,62.48,62.6,62.48,62.56,3811.0
2025-06-13 22:00:00,NYSE:NTR,62.59,62.62,62.49,62.6,9189.0
2025-06-13 22:15:00,NYSE:NTR,62.59,62.63,62.51,62.54,5298.0
2025-06-13 22:30:00,NYSE:NTR,62.55,62.73,62.48,62.48,11345.0
2025-06-13 22:45:00,NYSE:NTR,62.5,62.92,62.44,62.9,67254.0
2025-06-14 00:00:00,NYSE:NTR,62.7,62.7,62.7,62.7,18.0
2025-06-16 14:00:00,NYSE:NTR,63.0,63.0,62.89,62.89,78.0
2025-06-16 16:15:00,NYSE:NTR,62.9,62.98,62.9,62.98,6.0
2025-06-16 16:30:00,NYSE:NTR,62.98,65.09,62.96,64.22,53927.0
2025-06-16 16:45:00,NYSE:NTR,64.25,64.78,63.76,63.81,20395.0
2025-06-16 17:00:00,NYSE:NTR,63.82,64.06,63.71,63.875,20209.0
2025-06-16 17:15:00,NYSE:NTR,63.9,63.95,63.33,63.39,23278.0
