datetime,symbol,open,high,low,close,volume
2025-06-20 20:45:00,NYSE:PNC,177.38,177.42,177.03,177.2,3197.0
2025-06-20 21:00:00,NYSE:PNC,177.21,177.29,177.09,177.29,4568.0
2025-06-20 21:15:00,NYSE:PNC,177.26,177.73,177.26,177.64,3268.0
2025-06-20 21:30:00,NYSE:PNC,177.67,177.75,177.5,177.5,3270.0
2025-06-20 21:45:00,NYSE:PNC,177.5,177.6,177.31,177.48,2727.0
2025-06-20 22:00:00,NYSE:PNC,177.5,177.82,177.48,177.76,3225.0
2025-06-20 22:15:00,NYSE:PNC,177.77,177.91,177.63,177.66,2370.0
2025-06-20 22:30:00,NYSE:PNC,177.74,177.91,177.65,177.7,5979.0
2025-06-20 22:45:00,NYSE:PNC,177.69,178.15,177.36,177.39,50464.0
2025-06-23 14:00:00,NYSE:PNC,178.0,178.0,178.0,178.0,18.0
2025-06-23 14:30:00,NYSE:PNC,177.39,177.39,177.39,177.39,2.0
2025-06-23 14:45:00,NYSE:PNC,176.29,176.29,176.29,176.29,1.0
2025-06-23 15:30:00,NYSE:PNC,177.39,177.39,177.29,177.29,33.0
2025-06-23 16:00:00,NYSE:PNC,177.29,177.29,177.29,177.29,10.0
2025-06-23 16:15:00,NYSE:PNC,177.29,177.39,177.29,177.39,2.0
2025-06-23 16:30:00,NYSE:PNC,176.61,178.01,176.61,177.85,3867.0
2025-06-23 16:45:00,NYSE:PNC,177.98,178.69,177.76,178.65,4684.0
2025-06-23 17:00:00,NYSE:PNC,178.67,179.18,178.56,178.62,4638.0
2025-06-23 17:15:00,NYSE:PNC,178.62,178.89,178.56,178.59,6498.0
2025-06-23 17:30:00,NYSE:PNC,178.59,178.66,177.76,177.77,4930.0
2025-06-23 17:45:00,NYSE:PNC,177.86,177.87,177.55,177.71,2446.0
2025-06-23 18:00:00,NYSE:PNC,177.81,177.95,177.74,177.91,2677.0
2025-06-23 18:15:00,NYSE:PNC,177.91,178.04,177.86,177.95,2541.0
2025-06-23 18:30:00,NYSE:PNC,177.92,178.04,177.75,177.88,3176.0
2025-06-23 18:45:00,NYSE:PNC,177.89,177.92,177.43,177.48,2374.0
2025-06-23 19:00:00,NYSE:PNC,177.46,177.56,177.37,177.37,1701.0
2025-06-23 19:15:00,NYSE:PNC,177.41,177.51,176.76,176.76,2060.0
2025-06-23 19:30:00,NYSE:PNC,176.75,177.01,176.15,176.91,2531.0
2025-06-23 19:45:00,NYSE:PNC,177.04,177.22,176.52,176.6,2697.0
2025-06-23 20:00:00,NYSE:PNC,176.67,177.61,176.61,177.61,2111.0
2025-06-23 20:15:00,NYSE:PNC,177.69,178.51,177.62,178.5,2328.0
