datetime,symbol,open,high,low,close,volume
2025-06-13 19:15:00,NYSE:RRC,40.52,40.64,40.36,40.39,2813.0
2025-06-13 19:30:00,NYSE:RRC,40.41,40.67,40.41,40.66,4338.0
2025-06-13 19:45:00,NYSE:RRC,40.65,40.75,40.58,40.71,3881.0
2025-06-13 20:00:00,NYSE:RRC,40.77,40.84,40.73,40.82,10861.0
2025-06-13 20:15:00,NYSE:RRC,40.83,40.95,40.83,40.85,6126.0
2025-06-13 20:30:00,NYSE:RRC,40.83,40.87,40.76,40.8,12772.0
2025-06-13 20:45:00,NYSE:RRC,40.82,40.9,40.73,40.89,4262.0
2025-06-13 21:00:00,NYSE:RRC,40.89,40.97,40.84,40.89,3297.0
2025-06-13 21:15:00,NYSE:RRC,40.89,40.99,40.81,40.915,6832.0
2025-06-13 21:30:00,NYSE:RRC,40.915,41.01,40.84,40.98,12914.0
2025-06-13 21:45:00,NYSE:RRC,40.99,41.08,40.92,40.96,11203.0
2025-06-13 22:00:00,NYSE:RRC,40.965,41.17,40.96,41.15,5807.0
2025-06-13 22:15:00,NYSE:RRC,41.14,41.46,41.07,41.35,67761.0
2025-06-13 22:30:00,NYSE:RRC,41.355,41.41,41.16,41.23,42224.0
2025-06-13 22:45:00,NYSE:RRC,41.22,41.44,41.08,41.375,77673.0
2025-06-13 23:00:00,NYSE:RRC,41.41,41.7,41.39,41.7,1358.0
2025-06-13 23:45:00,NYSE:RRC,41.82,41.94,41.82,41.94,1802.0
2025-06-14 02:45:00,NYSE:RRC,41.61,41.7,41.61,41.7,27.0
2025-06-16 11:00:00,NYSE:RRC,42.34,42.34,42.34,42.34,25.0
2025-06-16 14:00:00,NYSE:RRC,41.9,41.99,41.7,41.76,1880.0
2025-06-16 14:15:00,NYSE:RRC,41.77,41.77,41.77,41.77,10.0
2025-06-16 14:30:00,NYSE:RRC,41.76,41.76,41.7,41.7,1800.0
2025-06-16 14:45:00,NYSE:RRC,41.65,41.65,41.39,41.39,1919.0
2025-06-16 15:00:00,NYSE:RRC,41.36,41.36,41.25,41.25,752.0
2025-06-16 15:15:00,NYSE:RRC,41.3,41.33,41.3,41.33,109.0
2025-06-16 15:30:00,NYSE:RRC,41.25,41.3,41.25,41.3,775.0
2025-06-16 16:15:00,NYSE:RRC,41.23,41.23,41.22,41.22,41.0
2025-06-16 16:30:00,NYSE:RRC,41.08,42.51,41.08,42.09,39662.0
2025-06-16 16:45:00,NYSE:RRC,42.2,42.39,41.6,41.63,10814.0
2025-06-16 17:00:00,NYSE:RRC,41.7,41.92,41.67,41.79,8403.0
2025-06-16 17:15:00,NYSE:RRC,41.87,41.91,41.47,41.49,20187.0
2025-06-16 17:30:00,NYSE:RRC,41.47,41.51,40.97,41.31,44771.0
2025-06-16 17:45:00,NYSE:RRC,41.29,41.51,41.29,41.495,13392.0
2025-06-16 18:00:00,NYSE:RRC,41.51,41.51,41.36,41.51,8984.0
2025-06-16 18:15:00,NYSE:RRC,41.5,41.65,41.45,41.58,11009.0
2025-06-16 18:30:00,NYSE:RRC,41.61,41.77,41.57,41.73,7123.0
2025-06-16 18:45:00,NYSE:RRC,41.71,41.78,41.57,41.71,25440.0
2025-06-16 19:00:00,NYSE:RRC,41.67,41.71,41.58,41.665,5005.0
2025-06-16 19:15:00,NYSE:RRC,41.66,41.76,41.64,41.74,3036.0
2025-06-16 19:30:00,NYSE:RRC,41.72,41.77,41.67,41.77,3416.0
2025-06-16 19:45:00,NYSE:RRC,41.75,41.8,41.63,41.76,5917.0
2025-06-16 20:00:00,NYSE:RRC,41.77,41.81,41.72,41.73,3051.0
2025-06-16 20:15:00,NYSE:RRC,41.75,41.76,41.6,41.74,2656.0
2025-06-16 20:30:00,NYSE:RRC,41.735,41.82,41.73,41.77,7365.0
2025-06-16 20:45:00,NYSE:RRC,41.775,41.85,41.75,41.77,11109.0
2025-06-16 21:00:00,NYSE:RRC,41.78,41.88,41.7,41.76,5040.0
2025-06-16 21:15:00,NYSE:RRC,41.77,41.8,41.67,41.67,4316.0
2025-06-16 21:30:00,NYSE:RRC,41.68,41.69,41.58,41.63,5140.0
2025-06-16 21:45:00,NYSE:RRC,41.63,41.72,41.58,41.71,3835.0
2025-06-16 22:00:00,NYSE:RRC,41.72,41.79,41.64,41.74,12582.0
2025-06-16 22:15:00,NYSE:RRC,41.73,41.765,41.55,41.57,14349.0
2025-06-16 22:30:00,NYSE:RRC,41.58,41.595,41.48,41.57,16919.0
2025-06-16 22:45:00,NYSE:RRC,41.57,41.81,41.56,41.73,45452.0
2025-06-16 23:00:00,NYSE:RRC,41.99,41.99,41.98,41.98,36.0
2025-06-17 02:30:00,NYSE:RRC,41.85,41.85,41.85,41.85,71.0
2025-06-17 11:00:00,NYSE:RRC,42.5,42.5,42.5,42.5,178.0
2025-06-17 11:15:00,NYSE:RRC,42.4,42.4,42.4,42.4,5.0
2025-06-17 13:00:00,NYSE:RRC,41.81,41.81,41.81,41.81,2.0
2025-06-17 14:00:00,NYSE:RRC,41.87,42.14,41.81,42.14,120.0
