datetime,symbol,open,high,low,close,volume
2025-06-13 22:15:00,NYSE:SQM,32.795,32.795,32.68,32.72,1202.0
2025-06-13 22:30:00,NYSE:SQM,32.74,32.75,32.665,32.67,5605.0
2025-06-13 22:45:00,NYSE:SQM,32.665,32.79,32.65,32.77,11995.0
2025-06-16 16:30:00,NYSE:SQM,33.15,33.55,33.08,33.14,3669.0
2025-06-16 16:45:00,NYSE:SQM,33.24,33.4,33.19,33.3,2967.0
2025-06-16 17:00:00,NYSE:SQM,33.32,33.4,33.25,33.25,827.0
2025-06-16 17:15:00,NYSE:SQM,33.27,33.44,33.27,33.42,1478.0
2025-06-16 17:30:00,NYSE:SQM,33.39,33.47,33.315,33.34,1286.0
2025-06-16 17:45:00,NYSE:SQM,33.32,33.35,33.23,33.23,1171.0
2025-06-16 18:00:00,NYSE:SQM,33.22,33.26,33.06,33.06,896.0
2025-06-16 18:15:00,NYSE:SQM,33.02,33.02,32.83,32.86,1411.0
2025-06-16 18:30:00,NYSE:SQM,32.87,32.95,32.87,32.95,1669.0
2025-06-16 18:45:00,NYSE:SQM,32.98,33.06,32.98,33.06,1210.0
2025-06-16 19:00:00,NYSE:SQM,33.09,33.3,33.07,33.3,955.0
2025-06-16 19:15:00,NYSE:SQM,33.29,33.33,33.27,33.28,1122.0
2025-06-16 19:30:00,NYSE:SQM,33.31,33.44,33.305,33.39,1706.0
2025-06-16 19:45:00,NYSE:SQM,33.38,33.46,33.38,33.44,457.0
2025-06-16 20:00:00,NYSE:SQM,33.46,33.48,33.41,33.41,1973.0
2025-06-16 20:15:00,NYSE:SQM,33.46,33.49,33.46,33.46,361.0
2025-06-16 20:30:00,NYSE:SQM,33.5,33.55,33.49,33.49,1381.0
2025-06-16 20:45:00,NYSE:SQM,33.49,33.49,33.4,33.4,695.0
2025-06-16 21:00:00,NYSE:SQM,33.43,33.43,33.38,33.38,358.0
2025-06-16 21:15:00,NYSE:SQM,33.34,33.35,33.31,33.31,363.0
2025-06-16 21:30:00,NYSE:SQM,33.32,33.33,33.23,33.23,827.0
2025-06-16 21:45:00,NYSE:SQM,33.22,33.25,33.2,33.24,1711.0
2025-06-16 22:00:00,NYSE:SQM,33.26,33.31,33.25,33.27,552.0
2025-06-16 22:15:00,NYSE:SQM,33.29,33.29,33.2,33.26,737.0
2025-06-16 22:30:00,NYSE:SQM,33.23,33.23,33.15,33.15,3871.0
2025-06-16 22:45:00,NYSE:SQM,33.16,33.21,33.07,33.14,8960.0
2025-06-16 23:30:00,NYSE:SQM,33.12,33.12,33.12,33.12,80.0
2025-06-17 02:15:00,NYSE:SQM,33.01,33.01,33.01,33.01,13.0
2025-06-17 02:45:00,NYSE:SQM,33.0,33.0,33.0,33.0,1.0
2025-06-17 16:30:00,NYSE:SQM,32.88,32.96,32.54,32.93,2829.0
2025-06-17 16:45:00,NYSE:SQM,32.89,33.06,32.89,32.98,1624.0
2025-06-17 17:00:00,NYSE:SQM,33.02,33.02,32.94,32.94,729.0
2025-06-17 17:15:00,NYSE:SQM,32.93,32.93,32.74,32.8,1464.0
2025-06-17 17:30:00,NYSE:SQM,32.82,32.82,32.63,32.64,3479.0
2025-06-17 17:45:00,NYSE:SQM,32.64,32.71,32.63,32.71,1659.0
2025-06-17 18:00:00,NYSE:SQM,32.61,32.76,32.6,32.76,92.0
2025-06-17 18:15:00,NYSE:SQM,32.78,32.82,32.68,32.68,1294.0
2025-06-17 18:30:00,NYSE:SQM,32.64,32.79,32.62,32.76,1737.0
2025-06-17 18:45:00,NYSE:SQM,32.82,32.86,32.79,32.84,647.0
2025-06-17 19:00:00,NYSE:SQM,32.82,32.88,32.82,32.88,1810.0
