datetime,symbol,open,high,low,close,volume
2025-06-18 14:00:00,NYSE:SWK,64.33,64.33,64.33,64.33,1.0
2025-06-18 14:45:00,NYSE:SWK,64.33,64.5,64.33,64.5,57.0
2025-06-18 15:45:00,NYSE:SWK,64.38,64.38,64.3,64.3,2.0
2025-06-18 16:00:00,NYSE:SWK,64.3,64.3,64.3,64.3,1.0
2025-06-18 16:15:00,NYSE:SWK,64.17,64.22,64.14,64.14,13.0
2025-06-18 16:30:00,NYSE:SWK,63.94,64.5,63.93,64.23,5194.0
2025-06-18 16:45:00,NYSE:SWK,64.34,64.72,64.27,64.67,1861.0
2025-06-18 17:00:00,NYSE:SWK,64.66,65.0,64.63,64.92,2829.0
2025-06-18 17:15:00,NYSE:SWK,64.86,65.18,64.84,65.18,2091.0
2025-06-18 17:30:00,NYSE:SWK,65.17,65.27,64.98,65.085,2861.0
2025-06-18 17:45:00,NYSE:SWK,65.11,65.29,65.03,65.11,3127.0
2025-06-18 18:00:00,NYSE:SWK,65.14,65.18,64.98,65.13,2393.0
2025-06-18 18:15:00,NYSE:SWK,65.12,65.22,65.09,65.17,3718.0
2025-06-18 18:30:00,NYSE:SWK,65.2,65.31,65.15,65.29,6656.0
2025-06-18 18:45:00,NYSE:SWK,65.3,65.38,65.18,65.18,1893.0
2025-06-18 19:00:00,NYSE:SWK,65.2,65.33,65.16,65.33,1830.0
2025-06-18 19:15:00,NYSE:SWK,65.34,65.41,65.27,65.38,2530.0
2025-06-18 19:30:00,NYSE:SWK,65.38,65.38,65.28,65.28,3098.0
2025-06-18 19:45:00,NYSE:SWK,65.29,65.4,65.29,65.31,2812.0
2025-06-18 20:00:00,NYSE:SWK,65.32,65.38,65.26,65.33,1706.0
2025-06-18 20:15:00,NYSE:SWK,65.33,65.35,65.2,65.24,3791.0
2025-06-18 20:30:00,NYSE:SWK,65.24,65.28,65.11,65.16,3636.0
2025-06-18 20:45:00,NYSE:SWK,65.11,65.35,65.11,65.23,5699.0
2025-06-18 21:00:00,NYSE:SWK,65.26,65.65,65.05,65.21,4025.0
2025-06-18 21:15:00,NYSE:SWK,65.15,65.27,65.03,65.16,5524.0
2025-06-18 21:30:00,NYSE:SWK,65.2,65.5,65.175,65.41,4523.0
2025-06-18 21:45:00,NYSE:SWK,65.39,65.41,64.58,64.635,5722.0
2025-06-18 22:00:00,NYSE:SWK,64.6,65.01,64.59,64.94,5348.0
2025-06-18 22:15:00,NYSE:SWK,64.94,64.97,64.64,64.67,6934.0
2025-06-18 22:30:00,NYSE:SWK,64.66,64.87,64.63,64.85,3913.0
2025-06-18 22:45:00,NYSE:SWK,64.83,64.86,64.5,64.57,13557.0
2025-06-18 23:45:00,NYSE:SWK,65.66,65.66,65.66,65.66,1.0
2025-06-20 11:45:00,NYSE:SWK,64.59,64.59,64.59,64.59,1.0
2025-06-20 14:45:00,NYSE:SWK,65.2,65.23,65.2,65.23,324.0
2025-06-20 15:15:00,NYSE:SWK,65.2,65.2,65.13,65.13,471.0
2025-06-20 15:30:00,NYSE:SWK,65.21,65.21,65.21,65.21,34.0
2025-06-20 15:45:00,NYSE:SWK,65.24,65.24,65.24,65.24,5.0
2025-06-20 16:15:00,NYSE:SWK,64.91,64.91,64.91,64.91,3.0
2025-06-20 16:30:00,NYSE:SWK,65.61,65.61,64.82,65.41,5821.0
2025-06-20 16:45:00,NYSE:SWK,65.465,65.61,65.0,65.45,2588.0
2025-06-20 17:00:00,NYSE:SWK,65.5,65.54,65.21,65.29,2765.0
2025-06-20 17:15:00,NYSE:SWK,65.25,65.29,65.09,65.23,4438.0
2025-06-20 17:30:00,NYSE:SWK,65.27,65.29,64.89,64.97,3916.0
2025-06-20 17:45:00,NYSE:SWK,64.915,64.915,64.46,64.65,2399.0
2025-06-20 18:00:00,NYSE:SWK,64.64,64.85,64.59,64.85,1772.0
2025-06-20 18:15:00,NYSE:SWK,64.84,65.0,64.8,65.0,3204.0
2025-06-20 18:30:00,NYSE:SWK,65.02,65.33,64.91,65.32,5481.0
2025-06-20 18:45:00,NYSE:SWK,65.32,65.38,65.07,65.09,3368.0
2025-06-20 19:00:00,NYSE:SWK,65.05,65.33,65.05,65.16,2459.0
2025-06-20 19:15:00,NYSE:SWK,65.15,65.23,64.97,65.18,3155.0
2025-06-20 19:30:00,NYSE:SWK,65.2,65.3,64.99,64.99,5257.0
2025-06-20 19:45:00,NYSE:SWK,65.03,65.05,64.84,64.97,5682.0
2025-06-20 20:00:00,NYSE:SWK,64.95,65.07,64.89,64.89,3531.0
2025-06-20 20:15:00,NYSE:SWK,64.91,65.0,64.73,64.74,2946.0
2025-06-20 20:30:00,NYSE:SWK,64.72,64.83,64.66,64.735,3008.0
2025-06-20 20:45:00,NYSE:SWK,64.73,64.81,64.68,64.77,3505.0
2025-06-20 21:00:00,NYSE:SWK,64.76,64.8,64.71,64.75,1249.0
2025-06-20 21:15:00,NYSE:SWK,64.77,64.88,64.72,64.8,2884.0
2025-06-20 21:30:00,NYSE:SWK,64.82,64.92,64.65,64.74,2378.0
2025-06-20 21:45:00,NYSE:SWK,64.75,64.78,64.52,64.62,1615.0
2025-06-20 22:00:00,NYSE:SWK,64.6,64.69,64.36,64.37,3508.0
2025-06-20 22:15:00,NYSE:SWK,64.38,64.62,64.38,64.55,3466.0
2025-06-20 22:30:00,NYSE:SWK,64.55,64.66,64.48,64.62,6589.0
2025-06-20 22:45:00,NYSE:SWK,64.6,64.72,64.48,64.555,21466.0
2025-06-21 00:45:00,NYSE:SWK,64.98,64.98,64.98,64.98,2.0
2025-06-23 11:00:00,NYSE:SWK,64.51,64.51,64.51,64.51,10.0
2025-06-23 11:45:00,NYSE:SWK,64.55,64.99,64.55,64.99,3.0
2025-06-23 12:45:00,NYSE:SWK,64.87,64.87,64.87,64.87,6.0
2025-06-23 15:15:00,NYSE:SWK,64.48,64.48,64.48,64.48,4.0
2025-06-23 16:30:00,NYSE:SWK,64.08,64.6,63.97,63.985,6769.0
2025-06-23 16:45:00,NYSE:SWK,64.03,64.77,64.03,64.66,10868.0
2025-06-23 17:00:00,NYSE:SWK,64.67,65.18,64.62,65.11,10647.0
2025-06-23 17:15:00,NYSE:SWK,65.15,65.24,65.0,65.02,2643.0
2025-06-23 17:30:00,NYSE:SWK,65.05,65.16,64.83,64.92,4130.0
2025-06-23 17:45:00,NYSE:SWK,64.94,64.96,64.5,64.51,3425.0
2025-06-23 18:00:00,NYSE:SWK,64.54,64.67,64.52,64.56,2573.0
2025-06-23 18:15:00,NYSE:SWK,64.58,64.61,64.48,64.51,2820.0
2025-06-23 18:30:00,NYSE:SWK,64.47,64.53,64.285,64.285,2762.0
2025-06-23 18:45:00,NYSE:SWK,64.29,64.33,64.18,64.21,1931.0
2025-06-23 19:00:00,NYSE:SWK,64.2,64.2,64.07,64.07,2150.0
2025-06-23 19:15:00,NYSE:SWK,64.09,64.16,63.855,63.87,3816.0
2025-06-23 19:30:00,NYSE:SWK,63.85,63.85,63.28,63.69,6625.0
2025-06-23 19:45:00,NYSE:SWK,63.76,63.855,63.55,63.58,4612.0
2025-06-23 20:00:00,NYSE:SWK,63.59,64.1,63.59,64.08,5933.0
2025-06-23 20:15:00,NYSE:SWK,64.1,64.6,64.1,64.58,2396.0
2025-06-23 20:30:00,NYSE:SWK,64.64,64.93,64.64,64.87,1354.0
2025-06-23 20:45:00,NYSE:SWK,64.92,64.98,64.85,64.855,1783.0
2025-06-23 21:00:00,NYSE:SWK,64.88,64.93,64.81,64.92,3124.0
2025-06-23 21:15:00,NYSE:SWK,64.94,65.06,64.91,64.97,3674.0
2025-06-23 21:30:00,NYSE:SWK,65.0,65.17,65.0,65.17,1803.0
2025-06-23 21:45:00,NYSE:SWK,65.19,65.34,65.165,65.34,1430.0
