datetime,symbol,open,high,low,close,volume
2025-06-13 14:45:00,NYSE:SYK,378.5,378.5,378.5,378.5,21.0
2025-06-13 15:30:00,NYSE:SYK,378.0,378.0,378.0,378.0,1.0
2025-06-13 16:30:00,NYSE:SYK,377.35,380.11,377.35,379.08,989.0
2025-06-13 16:45:00,NYSE:SYK,378.83,379.49,378.45,379.27,955.0
2025-06-13 17:00:00,NYSE:SYK,379.28,381.07,379.28,380.51,1672.0
2025-06-13 17:15:00,NYSE:SYK,380.09,380.54,379.38,379.495,1087.0
2025-06-13 17:30:00,NYSE:SYK,379.495,380.45,379.38,380.0,1539.0
2025-06-13 17:45:00,NYSE:SYK,380.14,380.74,379.66,380.74,1322.0
2025-06-13 18:00:00,NYSE:SYK,380.75,381.18,380.41,380.41,1022.0
2025-06-13 18:15:00,NYSE:SYK,380.74,381.39,380.74,381.39,1567.0
2025-06-13 18:30:00,NYSE:SYK,381.36,381.68,381.15,381.52,916.0
2025-06-13 18:45:00,NYSE:SYK,381.51,382.36,381.34,381.78,847.0
2025-06-13 19:00:00,NYSE:SYK,381.75,382.03,381.52,381.97,751.0
2025-06-13 19:15:00,NYSE:SYK,381.92,382.3,381.49,381.49,1233.0
2025-06-13 19:30:00,NYSE:SYK,381.58,382.05,381.14,381.15,1781.0
2025-06-13 19:45:00,NYSE:SYK,381.04,381.91,380.9,381.72,1758.0
2025-06-13 20:00:00,NYSE:SYK,381.46,381.75,380.82,380.82,1605.0
2025-06-13 20:15:00,NYSE:SYK,380.72,380.85,380.33,380.55,908.0
2025-06-13 20:30:00,NYSE:SYK,380.39,380.75,380.21,380.39,444.0
2025-06-13 20:45:00,NYSE:SYK,380.43,380.65,379.92,380.3,481.0
2025-06-13 21:00:00,NYSE:SYK,380.63,380.68,379.77,379.86,1321.0
2025-06-13 21:15:00,NYSE:SYK,379.84,379.89,378.58,378.58,1412.0
2025-06-13 21:30:00,NYSE:SYK,378.74,378.93,377.75,378.34,839.0
2025-06-13 21:45:00,NYSE:SYK,378.35,378.83,378.24,378.42,1699.0
2025-06-13 22:00:00,NYSE:SYK,378.44,378.55,377.75,378.18,1701.0
2025-06-13 22:15:00,NYSE:SYK,378.18,378.18,377.42,377.46,3223.0
2025-06-13 22:30:00,NYSE:SYK,377.42,377.94,377.13,377.13,3228.0
2025-06-13 22:45:00,NYSE:SYK,377.18,377.81,376.835,377.26,10773.0
2025-06-13 23:45:00,NYSE:SYK,377.77,377.77,377.77,377.77,1.0
2025-06-16 12:00:00,NYSE:SYK,378.0,378.0,378.0,378.0,10.0
2025-06-16 14:15:00,NYSE:SYK,378.0,378.0,378.0,378.0,1.0
2025-06-16 15:45:00,NYSE:SYK,378.02,378.02,378.02,378.02,14.0
2025-06-16 16:00:00,NYSE:SYK,378.0,378.0,378.0,378.0,1.0
2025-06-16 16:15:00,NYSE:SYK,378.04,378.04,378.04,378.04,14.0
2025-06-16 16:30:00,NYSE:SYK,378.2,379.56,377.43,378.47,3095.0
2025-06-16 16:45:00,NYSE:SYK,378.47,380.56,378.47,380.29,2803.0
2025-06-16 17:00:00,NYSE:SYK,380.32,381.12,380.1,380.82,1582.0
2025-06-16 17:15:00,NYSE:SYK,380.96,381.25,380.77,380.99,296.0
2025-06-16 17:30:00,NYSE:SYK,381.0,381.7,381.0,381.46,2887.0
2025-06-16 17:45:00,NYSE:SYK,381.06,381.35,380.17,380.18,1696.0
2025-06-16 18:00:00,NYSE:SYK,380.26,380.42,378.57,378.6,1454.0
2025-06-16 18:15:00,NYSE:SYK,378.86,379.16,378.41,378.5,1602.0
2025-06-16 18:30:00,NYSE:SYK,378.65,379.19,378.28,378.86,2074.0
2025-06-16 18:45:00,NYSE:SYK,379.01,379.23,378.78,378.89,948.0
2025-06-16 19:00:00,NYSE:SYK,379.14,379.15,378.74,378.95,999.0
2025-06-16 19:15:00,NYSE:SYK,378.81,379.22,378.6,378.87,2030.0
2025-06-16 19:30:00,NYSE:SYK,378.75,378.94,378.63,378.7,724.0
2025-06-16 19:45:00,NYSE:SYK,378.73,378.77,378.07,378.07,497.0
2025-06-16 20:00:00,NYSE:SYK,378.24,378.24,377.87,378.02,1185.0
2025-06-16 20:15:00,NYSE:SYK,377.925,378.56,377.925,378.56,929.0
2025-06-16 20:30:00,NYSE:SYK,378.61,378.79,378.31,378.52,1441.0
2025-06-16 20:45:00,NYSE:SYK,378.33,378.33,377.68,377.68,756.0
2025-06-16 21:00:00,NYSE:SYK,377.83,378.04,377.64,378.04,1226.0
2025-06-16 21:15:00,NYSE:SYK,377.97,377.97,377.22,377.22,768.0
2025-06-16 21:30:00,NYSE:SYK,377.32,377.45,376.63,376.63,945.0
2025-06-16 21:45:00,NYSE:SYK,376.62,376.98,376.43,376.88,1271.0
2025-06-16 22:00:00,NYSE:SYK,376.85,377.01,376.14,376.29,938.0
2025-06-16 22:15:00,NYSE:SYK,376.29,376.55,375.99,376.26,2076.0
2025-06-16 22:30:00,NYSE:SYK,376.23,376.67,376.23,376.59,2435.0
2025-06-16 22:45:00,NYSE:SYK,376.67,377.3,376.34,377.16,17714.0
2025-06-16 23:00:00,NYSE:SYK,382.99,382.99,382.29,382.29,15.0
2025-06-17 01:45:00,NYSE:SYK,377.12,377.12,377.12,377.12,3.0
2025-06-17 02:30:00,NYSE:SYK,375.91,375.91,375.91,375.91,3.0
2025-06-17 16:00:00,NYSE:SYK,376.56,376.56,376.56,376.56,1.0
2025-06-17 16:30:00,NYSE:SYK,376.44,376.44,373.81,374.76,2121.0
2025-06-17 16:45:00,NYSE:SYK,374.725,375.23,373.23,374.22,1884.0
2025-06-17 17:00:00,NYSE:SYK,374.18,374.23,372.56,372.58,2325.0
2025-06-17 17:15:00,NYSE:SYK,372.56,372.88,371.8,372.72,1938.0
2025-06-17 17:30:00,NYSE:SYK,372.65,373.64,372.65,373.64,2247.0
2025-06-17 17:45:00,NYSE:SYK,373.72,374.14,373.52,373.65,2144.0
2025-06-17 18:00:00,NYSE:SYK,373.39,375.11,373.39,375.11,1038.0
2025-06-17 18:15:00,NYSE:SYK,374.96,374.96,373.9,374.38,2856.0
2025-06-17 18:30:00,NYSE:SYK,374.39,375.13,374.3,375.0,1226.0
2025-06-17 18:45:00,NYSE:SYK,374.99,375.445,374.81,375.0,1984.0
2025-06-17 19:00:00,NYSE:SYK,375.27,376.55,375.27,376.55,604.0
2025-06-17 19:15:00,NYSE:SYK,376.69,376.73,376.34,376.34,665.0
2025-06-17 19:30:00,NYSE:SYK,376.43,376.88,376.195,376.29,1829.0
2025-06-17 19:45:00,NYSE:SYK,376.46,376.83,376.25,376.39,1335.0
2025-06-17 20:00:00,NYSE:SYK,376.56,376.93,376.29,376.29,1573.0
2025-06-17 20:15:00,NYSE:SYK,376.02,376.02,375.0,375.0,1653.0
2025-06-17 20:30:00,NYSE:SYK,374.96,375.74,374.68,374.72,1390.0
2025-06-17 20:45:00,NYSE:SYK,374.525,375.22,374.29,374.68,2833.0
2025-06-17 21:00:00,NYSE:SYK,374.6,374.65,373.51,373.69,2539.0
2025-06-17 21:15:00,NYSE:SYK,373.48,373.48,372.48,372.96,1416.0
2025-06-17 21:30:00,NYSE:SYK,372.95,372.95,371.22,371.22,1505.0
2025-06-17 21:45:00,NYSE:SYK,371.22,372.15,370.99,372.15,3924.0
2025-06-17 22:00:00,NYSE:SYK,372.19,372.44,371.54,372.35,3528.0
2025-06-17 22:15:00,NYSE:SYK,372.39,372.84,372.14,372.74,2784.0
2025-06-17 22:30:00,NYSE:SYK,372.71,373.03,372.42,372.65,5444.0
2025-06-17 22:45:00,NYSE:SYK,372.7,373.54,372.64,373.42,16237.0
2025-06-17 23:15:00,NYSE:SYK,374.0,374.0,374.0,374.0,1.0
2025-06-18 14:00:00,NYSE:SYK,374.01,374.01,373.46,373.46,17.0
2025-06-18 15:15:00,NYSE:SYK,373.5,373.5,373.5,373.5,2.0
2025-06-18 15:45:00,NYSE:SYK,373.5,373.5,373.5,373.5,4.0
2025-06-18 16:00:00,NYSE:SYK,374.0,374.0,374.0,374.0,1.0
2025-06-18 16:30:00,NYSE:SYK,374.92,374.92,372.34,373.39,1894.0
2025-06-18 16:45:00,NYSE:SYK,373.42,373.94,372.92,373.11,3918.0
2025-06-18 17:00:00,NYSE:SYK,372.99,373.53,372.03,373.53,3251.0
2025-06-18 17:15:00,NYSE:SYK,373.51,374.05,372.98,373.96,2410.0
2025-06-18 17:30:00,NYSE:SYK,373.91,374.56,373.38,374.56,2581.0
2025-06-18 17:45:00,NYSE:SYK,374.62,375.15,374.47,374.78,3408.0
2025-06-18 18:00:00,NYSE:SYK,374.92,375.49,374.89,375.43,2372.0
2025-06-18 18:15:00,NYSE:SYK,375.3,375.67,375.0,375.16,3663.0
2025-06-18 18:30:00,NYSE:SYK,375.13,375.31,374.75,375.31,2629.0
2025-06-18 18:45:00,NYSE:SYK,375.59,375.6,374.71,374.72,2943.0
