datetime,symbol,open,high,low,close,volume
2025-06-25 20:00:00,NYSE:TSN,54.97,54.97,54.83,54.87,3999.0
2025-06-25 20:15:00,NYSE:TSN,54.86,54.91,54.86,54.9,2622.0
2025-06-25 20:30:00,NYSE:TSN,54.91,54.93,54.75,54.83,4787.0
2025-06-25 20:45:00,NYSE:TSN,54.83,54.87,54.83,54.845,1654.0
2025-06-25 21:00:00,NYSE:TSN,54.83,54.85,54.8,54.83,2654.0
2025-06-25 21:15:00,NYSE:TSN,54.82,54.83,54.71,54.74,2304.0
2025-06-25 21:30:00,NYSE:TSN,54.74,54.85,54.74,54.85,1857.0
2025-06-25 21:45:00,NYSE:TSN,54.85,54.89,54.83,54.84,3409.0
2025-06-25 22:00:00,NYSE:TSN,54.83,54.94,54.8,54.92,2060.0
2025-06-25 22:15:00,NYSE:TSN,54.93,55.01,54.92,54.98,4486.0
2025-06-25 22:30:00,NYSE:TSN,54.98,54.98,54.78,54.79,5330.0
2025-06-25 22:45:00,NYSE:TSN,54.8,54.84,54.64,54.675,19637.0
2025-06-25 23:30:00,NYSE:TSN,54.65,54.65,54.65,54.65,1.0
2025-06-26 00:45:00,NYSE:TSN,54.9,54.9,54.62,54.62,12.0
2025-06-26 11:45:00,NYSE:TSN,54.64,54.64,54.64,54.64,1.0
2025-06-26 13:00:00,NYSE:TSN,54.64,54.64,54.64,54.64,1.0
2025-06-26 13:15:00,NYSE:TSN,54.9,54.9,54.9,54.9,1.0
2025-06-26 14:00:00,NYSE:TSN,54.64,54.64,54.64,54.64,19.0
2025-06-26 14:30:00,NYSE:TSN,54.89,54.89,54.89,54.89,48.0
2025-06-26 16:00:00,NYSE:TSN,54.78,54.78,54.7,54.7,2.0
2025-06-26 16:15:00,NYSE:TSN,54.7,54.7,54.7,54.7,1.0
2025-06-26 16:30:00,NYSE:TSN,54.88,55.2,54.81,55.18,5903.0
2025-06-26 16:45:00,NYSE:TSN,55.18,55.21,54.87,54.88,8333.0
2025-06-26 17:00:00,NYSE:TSN,54.86,54.93,54.78,54.83,11255.0
2025-06-26 17:15:00,NYSE:TSN,54.83,54.86,54.73,54.81,6765.0
2025-06-26 17:30:00,NYSE:TSN,54.81,54.84,54.7,54.705,4265.0
2025-06-26 17:45:00,NYSE:TSN,54.7,54.82,54.7,54.82,6212.0
2025-06-26 18:00:00,NYSE:TSN,54.86,54.94,54.81,54.93,9617.0
2025-06-26 18:15:00,NYSE:TSN,54.94,55.08,54.92,55.05,6646.0
2025-06-26 18:30:00,NYSE:TSN,55.03,55.07,54.98,55.0,4154.0
2025-06-26 18:45:00,NYSE:TSN,55.0,55.005,54.83,54.84,2985.0
2025-06-26 19:00:00,NYSE:TSN,54.86,54.91,54.81,54.88,4484.0
2025-06-26 19:15:00,NYSE:TSN,54.88,54.91,54.845,54.9,2449.0
2025-06-26 19:30:00,NYSE:TSN,54.92,55.03,54.92,55.03,3079.0
2025-06-26 19:45:00,NYSE:TSN,55.035,55.085,54.99,54.99,7386.0
2025-06-26 20:00:00,NYSE:TSN,55.0,55.02,54.95,55.01,7478.0
2025-06-26 20:15:00,NYSE:TSN,55.02,55.11,55.02,55.04,4122.0
2025-06-26 20:30:00,NYSE:TSN,55.06,55.1,55.01,55.1,2952.0
2025-06-26 20:45:00,NYSE:TSN,55.09,55.09,54.97,54.98,2580.0
2025-06-26 21:00:00,NYSE:TSN,54.97,55.01,54.88,54.89,2140.0
2025-06-26 21:15:00,NYSE:TSN,54.89,54.93,54.875,54.875,2696.0
2025-06-26 21:30:00,NYSE:TSN,54.87,54.93,54.87,54.905,2259.0
2025-06-26 21:45:00,NYSE:TSN,54.9,54.9,54.82,54.845,4476.0
2025-06-26 22:00:00,NYSE:TSN,54.84,54.905,54.825,54.88,4761.0
2025-06-26 22:15:00,NYSE:TSN,54.88,54.92,54.87,54.92,6833.0
2025-06-26 22:30:00,NYSE:TSN,54.91,54.965,54.86,54.87,10761.0
2025-06-26 22:45:00,NYSE:TSN,54.87,55.05,54.87,55.015,38291.0
2025-06-27 12:15:00,NYSE:TSN,55.02,55.02,55.02,55.02,4.0
2025-06-27 14:00:00,NYSE:TSN,55.07,55.07,55.0,55.03,41.0
2025-06-27 15:00:00,NYSE:TSN,54.82,54.82,54.82,54.82,4.0
2025-06-27 15:15:00,NYSE:TSN,55.01,55.01,54.96,55.01,136.0
2025-06-27 15:30:00,NYSE:TSN,55.07,55.07,55.07,55.07,138.0
2025-06-27 16:00:00,NYSE:TSN,55.1,55.1,55.1,55.1,2.0
2025-06-27 16:30:00,NYSE:TSN,55.04,55.04,54.74,54.97,6970.0
2025-06-27 16:45:00,NYSE:TSN,54.99,55.19,54.93,55.14,22499.0
2025-06-27 17:00:00,NYSE:TSN,55.18,55.49,55.18,55.47,6695.0
2025-06-27 17:15:00,NYSE:TSN,55.475,55.49,55.35,55.38,3728.0
