datetime,symbol,open,high,low,close,volume
2025-06-06 21:45:00,NYSE:TTC,68.41,68.58,68.28,68.57,2803.0
2025-06-06 22:00:00,NYSE:TTC,68.55,68.89,68.54,68.89,6669.0
2025-06-06 22:15:00,NYSE:TTC,68.89,68.96,68.71,68.76,11470.0
2025-06-06 22:30:00,NYSE:TTC,68.78,68.88,68.44,68.61,18098.0
2025-06-06 22:45:00,NYSE:TTC,68.62,68.82,68.425,68.51,37385.0
2025-06-07 02:45:00,NYSE:TTC,68.57,68.57,68.51,68.51,2.0
2025-06-09 15:15:00,NYSE:TTC,68.55,68.55,68.51,68.51,12.0
2025-06-09 16:00:00,NYSE:TTC,68.52,68.52,68.5,68.5,571.0
2025-06-09 16:30:00,NYSE:TTC,69.015,69.875,69.0,69.64,4014.0
2025-06-09 16:45:00,NYSE:TTC,69.72,70.185,69.31,70.16,2960.0
2025-06-09 17:00:00,NYSE:TTC,70.24,70.645,70.13,70.38,17674.0
2025-06-09 17:15:00,NYSE:TTC,70.44,70.44,70.19,70.39,2604.0
2025-06-09 17:30:00,NYSE:TTC,70.44,70.46,70.135,70.22,4478.0
2025-06-09 17:45:00,NYSE:TTC,70.23,70.35,70.08,70.35,3572.0
2025-06-09 18:00:00,NYSE:TTC,70.36,70.76,70.33,70.74,12269.0
2025-06-09 18:15:00,NYSE:TTC,70.73,70.78,70.54,70.59,3230.0
2025-06-09 18:30:00,NYSE:TTC,70.565,70.88,70.565,70.87,4118.0
2025-06-09 18:45:00,NYSE:TTC,70.86,71.02,70.81,71.02,4257.0
2025-06-09 19:00:00,NYSE:TTC,71.0,71.05,70.88,71.015,3680.0
2025-06-09 19:15:00,NYSE:TTC,70.98,71.26,70.97,71.1,8585.0
2025-06-09 19:30:00,NYSE:TTC,71.08,71.22,71.08,71.15,4104.0
2025-06-09 19:45:00,NYSE:TTC,71.14,71.3,71.14,71.27,4520.0
2025-06-09 20:00:00,NYSE:TTC,71.28,71.43,71.27,71.36,3156.0
2025-06-09 20:15:00,NYSE:TTC,71.4,71.44,71.26,71.39,6536.0
2025-06-09 20:30:00,NYSE:TTC,71.39,71.6,71.39,71.55,3293.0
2025-06-09 20:45:00,NYSE:TTC,71.56,71.75,71.56,71.75,3917.0
2025-06-09 21:00:00,NYSE:TTC,71.71,71.84,71.69,71.84,2038.0
2025-06-09 21:15:00,NYSE:TTC,71.82,71.95,71.78,71.87,4412.0
2025-06-09 21:30:00,NYSE:TTC,71.86,71.95,71.7,71.77,2895.0
2025-06-09 21:45:00,NYSE:TTC,71.76,71.97,71.75,71.97,2038.0
2025-06-09 22:00:00,NYSE:TTC,71.97,72.14,71.95,72.09,6466.0
2025-06-09 22:15:00,NYSE:TTC,72.09,72.1,71.77,71.93,6278.0
2025-06-09 22:30:00,NYSE:TTC,71.94,71.98,71.87,71.9,6765.0
2025-06-09 22:45:00,NYSE:TTC,71.91,71.99,71.45,71.45,25214.0
2025-06-10 01:30:00,NYSE:TTC,71.75,71.75,71.75,71.75,1.0
2025-06-10 02:30:00,NYSE:TTC,71.48,71.48,71.45,71.45,6.0
2025-06-10 16:30:00,NYSE:TTC,71.74,71.74,71.005,71.1,596.0
2025-06-10 16:45:00,NYSE:TTC,71.26,71.96,71.04,71.845,1003.0
2025-06-10 17:00:00,NYSE:TTC,71.93,72.19,71.86,72.12,2451.0
2025-06-10 17:15:00,NYSE:TTC,72.12,72.245,71.8,72.11,2639.0
2025-06-10 17:30:00,NYSE:TTC,72.09,72.31,72.03,72.22,2940.0
2025-06-10 17:45:00,NYSE:TTC,72.19,72.24,71.93,71.93,964.0
2025-06-10 18:00:00,NYSE:TTC,72.03,72.14,71.895,71.895,754.0
2025-06-10 18:15:00,NYSE:TTC,71.88,72.11,71.85,72.11,604.0
2025-06-10 18:30:00,NYSE:TTC,72.06,72.06,71.83,71.92,1445.0
2025-06-10 18:45:00,NYSE:TTC,71.93,71.94,71.76,71.94,1505.0
2025-06-10 19:00:00,NYSE:TTC,72.0,72.045,71.74,71.77,1072.0
2025-06-10 19:15:00,NYSE:TTC,71.78,71.83,71.57,71.57,507.0
2025-06-10 19:30:00,NYSE:TTC,71.62,71.82,71.59,71.73,1156.0
2025-06-10 19:45:00,NYSE:TTC,71.74,71.985,71.74,71.985,1196.0
2025-06-10 20:00:00,NYSE:TTC,71.985,72.01,71.84,72.01,1485.0
2025-06-10 20:15:00,NYSE:TTC,72.01,72.04,71.84,71.85,1189.0
2025-06-10 20:30:00,NYSE:TTC,71.855,71.93,71.84,71.87,1531.0
2025-06-10 20:45:00,NYSE:TTC,71.83,71.94,71.71,71.745,2481.0
2025-06-10 21:00:00,NYSE:TTC,71.7,71.7,71.51,71.54,1404.0
2025-06-10 21:15:00,NYSE:TTC,71.51,71.51,71.36,71.4,913.0
2025-06-10 21:30:00,NYSE:TTC,71.41,71.56,71.4,71.41,2098.0
2025-06-10 21:45:00,NYSE:TTC,71.49,71.65,71.47,71.56,2102.0
2025-06-10 22:00:00,NYSE:TTC,71.61,71.64,71.5,71.54,1653.0
2025-06-10 22:15:00,NYSE:TTC,71.52,71.64,71.47,71.625,3241.0
2025-06-10 22:30:00,NYSE:TTC,71.64,71.735,71.58,71.7,3673.0
2025-06-10 22:45:00,NYSE:TTC,71.72,71.8,71.62,71.77,12391.0
2025-06-11 15:30:00,NYSE:TTC,72.31,72.32,72.31,72.32,106.0
2025-06-11 16:30:00,NYSE:TTC,71.63,71.63,71.62,71.62,301.0
2025-06-11 16:45:00,NYSE:TTC,71.52,71.52,71.52,71.52,1.0
2025-06-11 17:00:00,NYSE:TTC,71.52,71.6,70.95,70.95,4113.0
2025-06-11 17:15:00,NYSE:TTC,70.95,71.02,70.85,71.01,709.0
2025-06-11 17:30:00,NYSE:TTC,70.97,70.98,70.69,70.84,846.0
2025-06-11 17:45:00,NYSE:TTC,70.85,70.99,70.79,70.87,1732.0
2025-06-11 18:00:00,NYSE:TTC,70.92,70.92,70.71,70.8,1565.0
2025-06-11 18:15:00,NYSE:TTC,70.81,70.91,70.7,70.83,1710.0
2025-06-11 18:30:00,NYSE:TTC,70.84,70.88,70.61,70.7,1237.0
2025-06-11 18:45:00,NYSE:TTC,70.73,70.85,70.68,70.77,874.0
2025-06-11 19:00:00,NYSE:TTC,70.83,70.94,70.69,70.79,4082.0
2025-06-11 19:15:00,NYSE:TTC,70.805,70.805,70.59,70.64,907.0
2025-06-11 19:30:00,NYSE:TTC,70.62,70.73,70.6,70.68,1779.0
2025-06-11 19:45:00,NYSE:TTC,70.74,70.89,70.735,70.87,2249.0
2025-06-11 20:00:00,NYSE:TTC,70.86,70.96,70.85,70.88,3000.0
2025-06-11 20:15:00,NYSE:TTC,70.89,71.06,70.87,71.02,1346.0
2025-06-11 20:30:00,NYSE:TTC,71.01,71.01,70.85,70.91,1514.0
2025-06-11 20:45:00,NYSE:TTC,70.89,70.92,70.85,70.88,1326.0
2025-06-11 21:00:00,NYSE:TTC,70.87,70.87,70.5,70.5,763.0
2025-06-11 21:15:00,NYSE:TTC,70.49,70.95,70.38,70.84,3910.0
2025-06-11 21:30:00,NYSE:TTC,70.8,71.06,70.78,70.98,3467.0
2025-06-11 21:45:00,NYSE:TTC,70.93,71.08,70.85,70.86,7306.0
2025-06-11 22:00:00,NYSE:TTC,70.82,70.84,70.69,70.78,3601.0
2025-06-11 22:15:00,NYSE:TTC,70.75,70.79,70.58,70.67,3887.0
2025-06-11 22:30:00,NYSE:TTC,70.64,70.68,70.58,70.64,1510.0
2025-06-11 22:45:00,NYSE:TTC,70.63,70.74,70.47,70.71,9942.0
2025-06-12 16:30:00,NYSE:TTC,70.2,70.2,69.82,69.9,1308.0
2025-06-12 16:45:00,NYSE:TTC,69.84,70.06,69.705,69.835,1010.0
2025-06-12 17:00:00,NYSE:TTC,69.84,69.92,69.59,69.69,2309.0
2025-06-12 17:15:00,NYSE:TTC,69.67,69.76,69.475,69.75,6478.0
2025-06-12 17:30:00,NYSE:TTC,69.63,69.92,69.59,69.77,4147.0
2025-06-12 17:45:00,NYSE:TTC,69.77,69.88,69.68,69.86,2059.0
2025-06-12 18:00:00,NYSE:TTC,69.86,69.95,69.78,69.88,2055.0
2025-06-12 18:15:00,NYSE:TTC,69.85,69.92,69.72,69.78,1144.0
2025-06-12 18:30:00,NYSE:TTC,69.84,69.91,69.78,69.85,904.0
2025-06-12 18:45:00,NYSE:TTC,69.86,69.9,69.81,69.85,1139.0
2025-06-12 19:00:00,NYSE:TTC,69.89,69.9,69.73,69.82,1329.0
2025-06-12 19:15:00,NYSE:TTC,69.79,69.79,69.49,69.59,2386.0
2025-06-12 19:30:00,NYSE:TTC,69.57,69.76,69.54,69.74,752.0
2025-06-12 19:45:00,NYSE:TTC,69.74,69.84,69.71,69.835,1983.0
2025-06-12 20:00:00,NYSE:TTC,69.83,69.95,69.83,69.89,1344.0
2025-06-12 20:15:00,NYSE:TTC,69.87,69.94,69.74,69.75,2111.0
2025-06-12 20:30:00,NYSE:TTC,69.76,69.81,69.75,69.8,1080.0
2025-06-12 20:45:00,NYSE:TTC,69.78,69.82,69.78,69.79,615.0
2025-06-12 21:00:00,NYSE:TTC,69.79,69.81,69.68,69.68,760.0
2025-06-12 21:15:00,NYSE:TTC,69.69,69.69,69.52,69.58,1774.0
2025-06-12 21:30:00,NYSE:TTC,69.59,69.62,69.51,69.525,1775.0
2025-06-12 21:45:00,NYSE:TTC,69.52,69.54,69.46,69.51,1175.0
2025-06-12 22:00:00,NYSE:TTC,69.51,69.57,69.43,69.46,1783.0
2025-06-12 22:15:00,NYSE:TTC,69.45,69.59,69.45,69.58,3015.0
2025-06-12 22:30:00,NYSE:TTC,69.58,69.67,69.57,69.625,3039.0
2025-06-12 22:45:00,NYSE:TTC,69.58,69.73,69.5,69.73,9738.0
2025-06-12 23:15:00,NYSE:TTC,69.75,69.75,69.75,69.75,1.0
2025-06-13 16:15:00,NYSE:TTC,68.47,68.47,68.47,68.47,100.0
2025-06-13 16:30:00,NYSE:TTC,68.715,69.15,68.67,68.67,1992.0
2025-06-13 16:45:00,NYSE:TTC,68.58,68.58,67.98,67.98,4280.0
2025-06-13 17:00:00,NYSE:TTC,67.94,68.25,67.94,68.14,5555.0
2025-06-13 17:15:00,NYSE:TTC,68.11,68.19,67.9,67.9,2260.0
