datetime,symbol,open,high,low,close,volume
2025-07-03 15:30:00,NYSE:TWLO,56.9,57.05,56.9,57.05,2311.0
2025-07-03 15:45:00,NYSE:TWLO,56.91,56.91,56.91,56.91,9.0
2025-07-03 16:15:00,NYSE:TWLO,57.01,57.05,56.97,57.0,563.0
2025-07-03 16:30:00,NYSE:TWLO,57.0,57.2,56.8,56.92,57513.0
2025-07-03 16:45:00,NYSE:TWLO,56.92,57.12,56.88,56.95,103316.0
2025-07-03 17:00:00,NYSE:TWLO,56.94,57.04,56.83,56.87,40287.0
2025-07-03 17:15:00,NYSE:TWLO,56.87,56.97,56.725,56.765,32526.0
2025-07-03 17:30:00,NYSE:TWLO,56.76,57.055,56.75,57.03,40394.0
2025-07-03 17:45:00,NYSE:TWLO,57.03,57.115,56.99,57.05,52095.0
2025-07-03 18:00:00,NYSE:TWLO,57.04,57.16,57.0,57.05,88463.0
2025-07-03 18:15:00,NYSE:TWLO,57.05,57.05,56.87,56.94,25733.0
2025-07-03 18:30:00,NYSE:TWLO,56.94,56.995,56.91,56.96,21847.0
2025-07-03 18:45:00,NYSE:TWLO,56.95,56.985,56.895,56.975,36055.0
2025-07-03 19:00:00,NYSE:TWLO,56.97,57.05,56.965,57.04,30210.0
2025-07-03 19:15:00,NYSE:TWLO,57.045,57.05,57.0,57.05,40210.0
2025-07-03 19:30:00,NYSE:TWLO,57.04,57.11,56.985,57.025,87819.0
2025-07-03 19:45:00,NYSE:TWLO,57.025,57.11,56.85,56.99,135834.0
2025-07-03 20:00:00,NYSE:TWLO,56.985,57.09,56.98,57.09,626.0
2025-07-03 20:15:00,NYSE:TWLO,57.05,57.05,57.05,57.05,1.0
2025-07-03 20:30:00,NYSE:TWLO,57.13,57.5,57.13,57.5,2249.0
2025-07-03 21:00:00,NYSE:TWLO,57.19,57.19,57.19,57.19,5.0
2025-07-03 22:30:00,NYSE:TWLO,57.13,57.13,57.13,57.13,4.0
2025-07-03 22:45:00,NYSE:TWLO,57.15,57.15,57.15,57.15,24.0
2025-07-03 23:00:00,NYSE:TWLO,57.13,57.13,57.13,57.13,4.0
2025-07-03 23:30:00,NYSE:TWLO,57.14,57.14,57.14,57.14,5.0
2025-07-03 23:45:00,NYSE:TWLO,57.18,57.19,57.18,57.19,110.0
2025-07-07 11:00:00,NYSE:TWLO,57.07,57.07,56.58,56.8,2795.0
2025-07-07 11:15:00,NYSE:TWLO,56.8,56.8,56.29,56.62,643.0
2025-07-07 11:30:00,NYSE:TWLO,56.46,56.49,56.46,56.46,36.0
2025-07-07 12:30:00,NYSE:TWLO,56.34,56.34,56.34,56.34,206.0
2025-07-07 13:15:00,NYSE:TWLO,56.52,56.53,56.52,56.53,4.0
2025-07-07 13:45:00,NYSE:TWLO,56.42,56.42,56.42,56.42,4.0
2025-07-07 14:00:00,NYSE:TWLO,56.58,56.69,56.58,56.69,120.0
2025-07-07 14:15:00,NYSE:TWLO,56.63,56.65,56.63,56.64,17.0
2025-07-07 14:30:00,NYSE:TWLO,56.69,56.7,56.69,56.7,64.0
2025-07-07 14:45:00,NYSE:TWLO,56.7,56.7,56.7,56.7,35.0
2025-07-07 15:00:00,NYSE:TWLO,56.81,56.81,56.81,56.81,68.0
2025-07-07 15:30:00,NYSE:TWLO,56.78,56.78,56.76,56.76,295.0
2025-07-07 15:45:00,NYSE:TWLO,56.82,56.82,56.48,56.5,1280.0
2025-07-07 16:00:00,NYSE:TWLO,56.56,56.6,56.3,56.6,556.0
2025-07-07 16:15:00,NYSE:TWLO,56.6,56.65,56.5,56.5,869.0
2025-07-07 16:30:00,NYSE:TWLO,56.66,56.66,55.66,55.84,52342.0
2025-07-07 16:45:00,NYSE:TWLO,55.81,55.915,55.64,55.79,36675.0
2025-07-07 17:00:00,NYSE:TWLO,55.78,56.18,55.73,55.8,44972.0
2025-07-07 17:15:00,NYSE:TWLO,55.79,55.87,55.42,55.44,47178.0
2025-07-07 17:30:00,NYSE:TWLO,55.45,55.49,55.37,55.48,27709.0
2025-07-07 17:45:00,NYSE:TWLO,55.48,55.61,55.39,55.61,37242.0
2025-07-07 18:00:00,NYSE:TWLO,55.62,55.65,55.28,55.34,47667.0
2025-07-07 18:15:00,NYSE:TWLO,55.31,55.36,55.22,55.26,27036.0
2025-07-07 18:30:00,NYSE:TWLO,55.26,55.26,54.98,54.98,40638.0
2025-07-07 18:45:00,NYSE:TWLO,54.985,55.1,54.92,55.1,30056.0
2025-07-07 19:00:00,NYSE:TWLO,55.11,55.32,55.11,55.3,28223.0
2025-07-07 19:15:00,NYSE:TWLO,55.29,55.39,55.04,55.37,38578.0
2025-07-07 19:30:00,NYSE:TWLO,55.37,55.41,55.235,55.24,27395.0
2025-07-07 19:45:00,NYSE:TWLO,55.24,55.29,55.08,55.09,19790.0
2025-07-07 20:00:00,NYSE:TWLO,55.1,55.3,55.1,55.29,10193.0
2025-07-07 20:15:00,NYSE:TWLO,55.29,55.325,55.09,55.14,25059.0
2025-07-07 20:30:00,NYSE:TWLO,55.135,55.235,55.0,55.01,30758.0
2025-07-07 20:45:00,NYSE:TWLO,55.0,55.19,55.0,55.135,14549.0
2025-07-07 21:00:00,NYSE:TWLO,55.12,55.14,55.0,55.02,22073.0
2025-07-07 21:15:00,NYSE:TWLO,55.03,55.03,54.78,54.98,36811.0
2025-07-07 21:30:00,NYSE:TWLO,55.0,55.01,54.91,55.01,22199.0
2025-07-07 21:45:00,NYSE:TWLO,55.01,55.22,55.005,55.22,28033.0
2025-07-07 22:00:00,NYSE:TWLO,55.23,55.31,55.12,55.31,41793.0
2025-07-07 22:15:00,NYSE:TWLO,55.32,55.48,55.29,55.29,56021.0
2025-07-07 22:30:00,NYSE:TWLO,55.28,55.435,55.28,55.355,74995.0
2025-07-07 22:45:00,NYSE:TWLO,55.36,55.54,55.355,55.47,116884.0
2025-07-07 23:00:00,NYSE:TWLO,55.5,55.5,55.35,55.35,120.0
2025-07-07 23:15:00,NYSE:TWLO,55.46,55.46,55.46,55.46,1.0
2025-07-07 23:45:00,NYSE:TWLO,55.43,55.44,55.43,55.44,13.0
2025-07-08 00:00:00,NYSE:TWLO,55.43,55.43,55.43,55.43,4.0
2025-07-08 00:15:00,NYSE:TWLO,55.4,55.4,55.4,55.4,100.0
2025-07-08 01:00:00,NYSE:TWLO,55.36,55.36,55.36,55.36,1.0
2025-07-08 01:15:00,NYSE:TWLO,55.38,55.38,55.35,55.35,45.0
2025-07-08 02:30:00,NYSE:TWLO,55.45,55.45,55.45,55.45,4.0
2025-07-08 11:00:00,NYSE:TWLO,55.65,55.65,55.59,55.59,5.0
2025-07-08 12:45:00,NYSE:TWLO,55.56,55.56,55.56,55.56,110.0
2025-07-08 13:00:00,NYSE:TWLO,55.53,55.59,55.53,55.55,71.0
2025-07-08 13:45:00,NYSE:TWLO,55.56,55.56,55.56,55.56,15.0
2025-07-08 14:00:00,NYSE:TWLO,55.53,55.55,55.51,55.51,316.0
2025-07-08 14:15:00,NYSE:TWLO,55.57,55.57,55.51,55.51,26.0
2025-07-08 14:30:00,NYSE:TWLO,55.52,55.52,55.52,55.52,15.0
2025-07-08 14:45:00,NYSE:TWLO,55.57,55.57,55.51,55.51,318.0
2025-07-08 15:00:00,NYSE:TWLO,55.51,55.51,55.46,55.46,122.0
2025-07-08 15:45:00,NYSE:TWLO,55.53,55.55,55.5,55.5,101.0
2025-07-08 16:00:00,NYSE:TWLO,55.5,55.5,55.5,55.5,10.0
2025-07-08 16:15:00,NYSE:TWLO,55.52,55.52,55.45,55.45,1577.0
2025-07-08 16:30:00,NYSE:TWLO,55.48,55.55,55.11,55.21,25102.0
2025-07-08 16:45:00,NYSE:TWLO,55.21,55.3,54.84,54.85,26828.0
2025-07-08 17:00:00,NYSE:TWLO,54.835,54.93,54.735,54.82,38031.0
2025-07-08 17:15:00,NYSE:TWLO,54.82,54.94,54.785,54.89,22511.0
2025-07-08 17:30:00,NYSE:TWLO,54.91,55.08,54.89,54.95,20486.0
2025-07-08 17:45:00,NYSE:TWLO,54.96,54.98,54.81,54.84,33848.0
2025-07-08 18:00:00,NYSE:TWLO,54.84,55.2,54.78,55.13,45479.0
2025-07-08 18:15:00,NYSE:TWLO,55.13,55.22,55.11,55.16,15147.0
2025-07-08 18:30:00,NYSE:TWLO,55.17,55.24,55.12,55.22,13201.0
2025-07-08 18:45:00,NYSE:TWLO,55.22,55.35,55.21,55.32,7916.0
2025-07-08 19:00:00,NYSE:TWLO,55.33,55.37,55.27,55.34,10703.0
2025-07-08 19:15:00,NYSE:TWLO,55.345,55.415,55.26,55.4,18886.0
2025-07-08 19:30:00,NYSE:TWLO,55.4,55.4,55.295,55.335,10238.0
2025-07-08 19:45:00,NYSE:TWLO,55.335,55.335,55.22,55.275,20992.0
2025-07-08 20:00:00,NYSE:TWLO,55.27,55.295,55.2,55.255,17821.0
2025-07-08 20:15:00,NYSE:TWLO,55.25,55.27,55.13,55.25,32715.0
2025-07-08 20:30:00,NYSE:TWLO,55.26,55.325,55.2,55.27,32444.0
2025-07-08 20:45:00,NYSE:TWLO,55.27,55.43,55.27,55.39,13898.0
2025-07-08 21:00:00,NYSE:TWLO,55.38,55.38,55.28,55.32,11585.0
2025-07-08 21:15:00,NYSE:TWLO,55.32,55.48,55.315,55.46,32665.0
2025-07-08 21:30:00,NYSE:TWLO,55.47,55.61,55.445,55.56,28090.0
2025-07-08 21:45:00,NYSE:TWLO,55.56,55.6,55.46,55.495,8711.0
2025-07-08 22:00:00,NYSE:TWLO,55.49,55.55,55.47,55.54,17964.0
2025-07-08 22:15:00,NYSE:TWLO,55.54,55.695,55.52,55.69,19457.0
2025-07-08 22:30:00,NYSE:TWLO,55.68,55.74,55.675,55.73,28957.0
2025-07-08 22:45:00,NYSE:TWLO,55.74,55.82,55.44,55.47,151455.0
2025-07-08 23:00:00,NYSE:TWLO,55.41,55.51,55.41,55.51,18.0
2025-07-09 00:00:00,NYSE:TWLO,55.53,55.53,55.53,55.53,10.0
2025-07-09 00:45:00,NYSE:TWLO,55.51,55.51,55.5,55.5,110.0
2025-07-09 01:00:00,NYSE:TWLO,55.47,55.47,55.47,55.47,100.0
2025-07-09 02:00:00,NYSE:TWLO,55.67,55.67,55.67,55.67,71.0
2025-07-09 02:15:00,NYSE:TWLO,55.67,55.67,55.67,55.67,30.0
2025-07-09 11:45:00,NYSE:TWLO,55.5,55.73,55.5,55.73,126.0
2025-07-09 13:00:00,NYSE:TWLO,55.73,55.73,55.73,55.73,1.0
2025-07-09 13:15:00,NYSE:TWLO,55.65,55.65,55.65,55.65,5.0
2025-07-09 13:30:00,NYSE:TWLO,55.62,55.62,55.62,55.62,1.0
2025-07-09 14:00:00,NYSE:TWLO,55.65,55.65,55.65,55.65,2.0
2025-07-09 14:30:00,NYSE:TWLO,55.64,55.71,55.64,55.7,780.0
2025-07-09 15:00:00,NYSE:TWLO,55.66,55.66,55.63,55.63,60.0
2025-07-09 15:45:00,NYSE:TWLO,55.62,55.62,55.62,55.62,100.0
2025-07-09 16:30:00,NYSE:TWLO,55.66,55.66,55.11,55.44,26828.0
2025-07-09 16:45:00,NYSE:TWLO,55.48,55.59,55.4,55.54,18818.0
2025-07-09 17:00:00,NYSE:TWLO,55.53,55.65,55.43,55.52,16556.0
2025-07-09 17:15:00,NYSE:TWLO,55.5,55.56,55.33,55.38,46257.0
2025-07-09 17:30:00,NYSE:TWLO,55.37,55.39,55.2,55.22,13628.0
2025-07-09 17:45:00,NYSE:TWLO,55.24,55.445,55.19,55.35,13344.0
2025-07-09 18:00:00,NYSE:TWLO,55.34,55.48,55.34,55.35,23535.0
2025-07-09 18:15:00,NYSE:TWLO,55.34,55.5,55.32,55.46,7084.0
2025-07-09 18:30:00,NYSE:TWLO,55.46,55.73,55.455,55.73,8443.0
2025-07-09 18:45:00,NYSE:TWLO,55.74,55.8,55.6,55.66,8851.0
